"CDV","0000055","20240711|123730","20240708_1557509_070854_087608","R09_1_FRA_Grand Est Open 88 - Contrexeville","Cascino/Jacquemot","Kalashnikova/Shymanovich","|K|0.274431|EK|G||OL1|3.65|EOL1|OL2|1.4352|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.015|ENAOL1|NAOL2|1.449|ENAOL2|NAVE1|-6|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/cascino-estelle-jacquemot-elsa-kalashnikova-oksana-shymanovich-iryna-nqFizGbt/","","","","","","","","","","2.48","1.5","","","","","","",""
"CDV","0000056","20240711|123735","20240708_1557509_095255_095256","R09_1_FRA_Grand Est Open 88 - Contrexeville","Monnet/Rouvroy","Cavalle-Reimers/Lizarazo","|K|0.280582|EK|G||OL1|3.57|EOL1|OL2|1.456|EOL2|OH1|1|EOH1|OH2|2.03|EOH2|EG|NA||NAOL1|3.927|ENAOL1|NAOL2|1.47|ENAOL2|NAVE1|-6|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/monnet-carole-rouvroy-margaux-cavalle-reimers-ivonne-lizarazo-yuliana-YaDaYgTh/","","","","2.7","1.4","","","","","2.77","1.44","","","","","","",""
"CDV","0000057","20240711|123739","20240708_1557509_095253_069107","R09_1_FRA_Grand Est Open 88 - Contrexeville","Wu/Zhang","Murray/Schoofs","|K|0.576204|EK|G||OL1|1.8096|EOL1|OL2|2.36|EOL2|OH1|2.523|EOH1|OH2|3.304|EOH2|EG|NA||NAOL1|1.827|ENAOL1|NAOL2|2.596|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-6|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/wu-fang-hsien-zhang-shuai-murray-samantha-schoofs-bibiane-rVlsGCDO/","","","","","","","","","","1.52","2.42","","","","","","",""
"CSV","0000058","20240711|123755","20240708_1559305_000461_024845","R05_1_ITA_W75 Rome","Lepchenko","Bandecchi","|K|0.546762|EK|G||OL1|1.94895|EOL1|OL2|2.26525|EOL2|OH1|2.562|EOH1|OH2|2.9393|EOH2|EG|NA|NOT|ENA||AH-5.5|4.444|433.969|1.331|129.943|AH-5|4.444|433.969|1.546|151.006|AH-4|3.032|296.054|1.8|175.766|AH-3.5|2.376|231.985|1.8|175.766|AH-3|2.376|231.985|1.84|179.66|AH-2.5|2.309|225.533|1.84|179.66|AH-2|2.309|225.533|1.883|183.85|AH-1.5|2.245|219.261|1.883|183.85||AH1.5|2.003|192.029|2.176|208.662|AH2|2.003|192.029|2.312|221.678|AH2.5|1.9|182.184|2.312|221.678|AH3|1.9|182.184|2.631|252.28|AH3.5|1.728|165.669|2.631|252.28|AH4|1.728|165.669|3.368|322.943|AH4.5|1.511|144.854|3.368|322.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.24575|5.6|1.62386|5.6|EK-1.5||K21|6.42304|5.6|6.86306|5.6|EK21||K1.5|1.5|5.6|3.91087|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/itf-w75-h-rome-women/lepchenko-varvara-bandecchi-susan-8CObSnrn/#ah;2;-0.50;2","-0.5","1.79","1.93","1.77","1.93","","","","","1.79","1.93","","","","","","",""
"CSV","0000058","20240711|123753","20240708_1559305_000461_024845","R05_1_ITA_W75 Rome","Lepchenko","Bandecchi","|K|0.546762|EK|G||OL1|1.94895|EOL1|OL2|2.26525|EOL2|OH1|2.562|EOH1|OH2|2.9393|EOH2|EG|NA|NOT|ENA||AH-5.5|4.444|433.969|1.331|129.943|AH-5|4.444|433.969|1.546|151.006|AH-4|3.032|296.054|1.8|175.766|AH-3.5|2.376|231.985|1.8|175.766|AH-3|2.376|231.985|1.84|179.66|AH-2.5|2.309|225.533|1.84|179.66|AH-2|2.309|225.533|1.883|183.85|AH-1.5|2.245|219.261|1.883|183.85||AH1.5|2.003|192.029|2.176|208.662|AH2|2.003|192.029|2.312|221.678|AH2.5|1.9|182.184|2.312|221.678|AH3|1.9|182.184|2.631|252.28|AH3.5|1.728|165.669|2.631|252.28|AH4|1.728|165.669|3.368|322.943|AH4.5|1.511|144.854|3.368|322.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.24575|5.6|1.62386|5.6|EK-1.5||K21|6.42304|5.6|6.86306|5.6|EK21||K1.5|1.5|5.6|3.91087|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/itf-w75-h-rome-women/lepchenko-varvara-bandecchi-susan-8CObSnrn/#ah;2;-1.50;2","-1.5","1.91","1.82","1.88","1.82","","","","","1.91","1.82","","","","","","",""
"CSV","0000058","20240711|123759","20240708_1559305_000461_024845","R05_1_ITA_W75 Rome","Lepchenko","Bandecchi","|K|0.546762|EK|G||OL1|1.94895|EOL1|OL2|2.26525|EOL2|OH1|2.562|EOH1|OH2|2.9393|EOH2|EG|NA|NOT|ENA||AH-5.5|4.444|433.969|1.331|129.943|AH-5|4.444|433.969|1.546|151.006|AH-4|3.032|296.054|1.8|175.766|AH-3.5|2.376|231.985|1.8|175.766|AH-3|2.376|231.985|1.84|179.66|AH-2.5|2.309|225.533|1.84|179.66|AH-2|2.309|225.533|1.883|183.85|AH-1.5|2.245|219.261|1.883|183.85||AH1.5|2.003|192.029|2.176|208.662|AH2|2.003|192.029|2.312|221.678|AH2.5|1.9|182.184|2.312|221.678|AH3|1.9|182.184|2.631|252.28|AH3.5|1.728|165.669|2.631|252.28|AH4|1.728|165.669|3.368|322.943|AH4.5|1.511|144.854|3.368|322.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.24575|5.6|1.62386|5.6|EK-1.5||K21|6.42304|5.6|6.86306|5.6|EK21||K1.5|1.5|5.6|3.91087|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/itf-w75-h-rome-women/lepchenko-varvara-bandecchi-susan-8CObSnrn/#ah;2;1.50;1","1.5","1.31","3.2","1.31","3.15","","","","","1.31","3.2","","","","","","",""
"CSV","0000058","20240711|123757","20240708_1559305_000461_024845","R05_1_ITA_W75 Rome","Lepchenko","Bandecchi","|K|0.546762|EK|G||OL1|1.94895|EOL1|OL2|2.26525|EOL2|OH1|2.562|EOH1|OH2|2.9393|EOH2|EG|NA|NOT|ENA||AH-5.5|4.444|433.969|1.331|129.943|AH-5|4.444|433.969|1.546|151.006|AH-4|3.032|296.054|1.8|175.766|AH-3.5|2.376|231.985|1.8|175.766|AH-3|2.376|231.985|1.84|179.66|AH-2.5|2.309|225.533|1.84|179.66|AH-2|2.309|225.533|1.883|183.85|AH-1.5|2.245|219.261|1.883|183.85||AH1.5|2.003|192.029|2.176|208.662|AH2|2.003|192.029|2.312|221.678|AH2.5|1.9|182.184|2.312|221.678|AH3|1.9|182.184|2.631|252.28|AH3.5|1.728|165.669|2.631|252.28|AH4|1.728|165.669|3.368|322.943|AH4.5|1.511|144.854|3.368|322.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.24575|5.6|1.62386|5.6|EK-1.5||K21|6.42304|5.6|6.86306|5.6|EK21||K1.5|1.5|5.6|3.91087|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/italy/itf-w75-h-rome-women/lepchenko-varvara-bandecchi-susan-8CObSnrn/#ah;2;-1.50;1","-1.5","2.71","1.42","2.68","1.41","","","","","2.71","1.42","","","","","","",""
"CSV","0000058","20240711|123744","20240708_1559305_000461_024845","R05_1_ITA_W75 Rome","Lepchenko","Bandecchi","|K|0.546762|EK|G||OL1|1.94895|EOL1|OL2|2.26525|EOL2|OH1|2.562|EOH1|OH2|2.9393|EOH2|EG|NA|NOT|ENA||AH-5.5|4.444|433.969|1.331|129.943|AH-5|4.444|433.969|1.546|151.006|AH-4|3.032|296.054|1.8|175.766|AH-3.5|2.376|231.985|1.8|175.766|AH-3|2.376|231.985|1.84|179.66|AH-2.5|2.309|225.533|1.84|179.66|AH-2|2.309|225.533|1.883|183.85|AH-1.5|2.245|219.261|1.883|183.85||AH1.5|2.003|192.029|2.176|208.662|AH2|2.003|192.029|2.312|221.678|AH2.5|1.9|182.184|2.312|221.678|AH3|1.9|182.184|2.631|252.28|AH3.5|1.728|165.669|2.631|252.28|AH4|1.728|165.669|3.368|322.943|AH4.5|1.511|144.854|3.368|322.943|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.24575|5.6|1.62386|5.6|EK-1.5||K21|6.42304|5.6|6.86306|5.6|EK21||K1.5|1.5|5.6|3.91087|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-w75-h-rome-women/lepchenko-varvara-bandecchi-susan-8CObSnrn/","","1.75","2.0","1.71","2.01","","","1.75","2.0","1.75","2.03","","","","","","",""
"CSV","0000059","20240711|123813","20240708_1559405_018197_055173","R05_1_POR_W50 Corroios-Seixal","Bolkvadze","Snigur","|K|0.347008|EK|G||OL1|2.96225|EOL1|OL2|1.6401|EOL2|OH1|3.8437|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA||AH-5.5|8.564|836.305|1.163|113.581|AH-5|8.564|836.305|1.208|117.963|AH-4|6.725|656.703|1.277|124.664|AH-3.5|5.176|505.455|1.277|124.664|AH-3|5.176|505.455|1.316|128.553|AH-2.5|4.61|450.221|1.316|128.553|AH-2|4.61|450.221|1.319|128.842|AH-1.5|4.574|446.717|1.319|128.842||AH1.5|3.623|347.382|1.465|140.423|AH2|3.623|347.382|1.517|145.472|AH2.5|3.337|319.915|1.517|145.472|AH3|3.337|319.915|1.635|156.764|AH3.5|2.88|276.167|1.635|156.764|AH4|2.88|276.167|1.941|186.07|AH4.5|2.255|216.185|1.941|186.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.66133|1|1.5|1|EK-1.5||K21|9.42013|1|5.28318|5.6|EK21||K1.5|2.05264|5.6|2.3859|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/bolkvadze-mariam-snigur-daria-61TKtUTQ/#ah;2;4.50;2","4.5","1.85","1.88","1.84","1.86","","","","","1.85","1.88","","","","","","",""
"CSV","0000059","20240711|123811","20240708_1559405_018197_055173","R05_1_POR_W50 Corroios-Seixal","Bolkvadze","Snigur","|K|0.347008|EK|G||OL1|2.96225|EOL1|OL2|1.6401|EOL2|OH1|3.8437|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA||AH-5.5|8.564|836.305|1.163|113.581|AH-5|8.564|836.305|1.208|117.963|AH-4|6.725|656.703|1.277|124.664|AH-3.5|5.176|505.455|1.277|124.664|AH-3|5.176|505.455|1.316|128.553|AH-2.5|4.61|450.221|1.316|128.553|AH-2|4.61|450.221|1.319|128.842|AH-1.5|4.574|446.717|1.319|128.842||AH1.5|3.623|347.382|1.465|140.423|AH2|3.623|347.382|1.517|145.472|AH2.5|3.337|319.915|1.517|145.472|AH3|3.337|319.915|1.635|156.764|AH3.5|2.88|276.167|1.635|156.764|AH4|2.88|276.167|1.941|186.07|AH4.5|2.255|216.185|1.941|186.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.66133|1|1.5|1|EK-1.5||K21|9.42013|1|5.28318|5.6|EK21||K1.5|2.05264|5.6|2.3859|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/bolkvadze-mariam-snigur-daria-61TKtUTQ/#ah;2;3.50;2","3.5","2.14","1.66","","","","","","","2.14","1.66","","","","","","",""
"CSV","0000059","20240711|123818","20240708_1559405_018197_055173","R05_1_POR_W50 Corroios-Seixal","Bolkvadze","Snigur","|K|0.347008|EK|G||OL1|2.96225|EOL1|OL2|1.6401|EOL2|OH1|3.8437|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA||AH-5.5|8.564|836.305|1.163|113.581|AH-5|8.564|836.305|1.208|117.963|AH-4|6.725|656.703|1.277|124.664|AH-3.5|5.176|505.455|1.277|124.664|AH-3|5.176|505.455|1.316|128.553|AH-2.5|4.61|450.221|1.316|128.553|AH-2|4.61|450.221|1.319|128.842|AH-1.5|4.574|446.717|1.319|128.842||AH1.5|3.623|347.382|1.465|140.423|AH2|3.623|347.382|1.517|145.472|AH2.5|3.337|319.915|1.517|145.472|AH3|3.337|319.915|1.635|156.764|AH3.5|2.88|276.167|1.635|156.764|AH4|2.88|276.167|1.941|186.07|AH4.5|2.255|216.185|1.941|186.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.66133|1|1.5|1|EK-1.5||K21|9.42013|1|5.28318|5.6|EK21||K1.5|2.05264|5.6|2.3859|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/bolkvadze-mariam-snigur-daria-61TKtUTQ/#ah;2;1.50;1","1.5","1.82","1.93","1.8","1.9","","","","","1.82","1.93","","","","","","",""
"CSV","0000059","20240711|123815","20240708_1559405_018197_055173","R05_1_POR_W50 Corroios-Seixal","Bolkvadze","Snigur","|K|0.347008|EK|G||OL1|2.96225|EOL1|OL2|1.6401|EOL2|OH1|3.8437|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA||AH-5.5|8.564|836.305|1.163|113.581|AH-5|8.564|836.305|1.208|117.963|AH-4|6.725|656.703|1.277|124.664|AH-3.5|5.176|505.455|1.277|124.664|AH-3|5.176|505.455|1.316|128.553|AH-2.5|4.61|450.221|1.316|128.553|AH-2|4.61|450.221|1.319|128.842|AH-1.5|4.574|446.717|1.319|128.842||AH1.5|3.623|347.382|1.465|140.423|AH2|3.623|347.382|1.517|145.472|AH2.5|3.337|319.915|1.517|145.472|AH3|3.337|319.915|1.635|156.764|AH3.5|2.88|276.167|1.635|156.764|AH4|2.88|276.167|1.941|186.07|AH4.5|2.255|216.185|1.941|186.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.66133|1|1.5|1|EK-1.5||K21|9.42013|1|5.28318|5.6|EK21||K1.5|2.05264|5.6|2.3859|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/bolkvadze-mariam-snigur-daria-61TKtUTQ/#ah;2;-1.50;1","-1.5","4.55","1.18","4.42","1.17","","","","","4.55","1.18","","","","","","",""
"CSV","0000059","20240711|123804","20240708_1559405_018197_055173","R05_1_POR_W50 Corroios-Seixal","Bolkvadze","Snigur","|K|0.347008|EK|G||OL1|2.96225|EOL1|OL2|1.6401|EOL2|OH1|3.8437|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA||AH-5.5|8.564|836.305|1.163|113.581|AH-5|8.564|836.305|1.208|117.963|AH-4|6.725|656.703|1.277|124.664|AH-3.5|5.176|505.455|1.277|124.664|AH-3|5.176|505.455|1.316|128.553|AH-2.5|4.61|450.221|1.316|128.553|AH-2|4.61|450.221|1.319|128.842|AH-1.5|4.574|446.717|1.319|128.842||AH1.5|3.623|347.382|1.465|140.423|AH2|3.623|347.382|1.517|145.472|AH2.5|3.337|319.915|1.517|145.472|AH3|3.337|319.915|1.635|156.764|AH3.5|2.88|276.167|1.635|156.764|AH4|2.88|276.167|1.941|186.07|AH4.5|2.255|216.185|1.941|186.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.66133|1|1.5|1|EK-1.5||K21|9.42013|1|5.28318|5.6|EK21||K1.5|2.05264|5.6|2.3859|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/bolkvadze-mariam-snigur-daria-61TKtUTQ/","","2.81","1.4","2.75","1.39","","","2.6","1.45","2.81","1.45","","","","","","",""
"FSV","0000060","20240711|123822","20240708_1564805_018194_072821","R05_0_ARG_W15 Lujan","Herazo Gonzalez","Markus","|K|0.88033|EK|G||OL1|1.2141|EOL1|OL2|9.0706|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-w15-lujan-women/herazo-gonzalez-maria-fernanda-markus-carla-QHbRYXck/","","","","1.09","6.15","","","","","1.09","6.15","","","","","","",""
