"FSM","0000007","20240712|174112","20240708_1988810_055656_061997","R10_0_THA_M15 Nakhon Si Thammarat","Samrej","Chanta","|K|0.702923|EK|G||OL1|1.52152|EOL1|OL2|3.45088|EOL2|OH1|143|EOH1|OH2|5.055|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|231.655|231.655|214.204|214.204|AH-3.5|187.563|187.563|214.204|214.204|AH-3|187.563|187.563|247.596|247.596|AH-2.5|167.753|167.753|247.596|247.596|AH-2|167.753|167.753|274.37|274.37|AH-1.5|157.349|157.349|274.37|274.37||AH1.5|140.473|140.473|347.076|347.076|AH2|140.473|140.473|396.79|396.79|AH2.5|133.694|133.694|396.79|396.79|AH3|133.694|133.694|501.62|501.62|AH3.5|124.899|124.899|501.62|501.62|AH4|124.899|124.899|747.538|747.538|AH4.5|115.443|115.443|747.538|747.538|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"CDV","0000008","20240712|174116","20240708_1557512_095253_087608","R12_1_FRA_Grand Est Open 88 - Contrexeville","Wu/Zhang","Kalashnikova/Shymanovich","|K|0.473229|EK|G||OL1|2.12|EOL1|OL2|1.976|EOL2|OH1|2.968|EOH1|OH2|2.755|EOH2|EG|NA||NAOL1|2.332|ENAOL1|NAOL2|1.995|ENAOL2|NAVE1|-6|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/wu-fang-hsien-zhang-shuai-kalashnikova-oksana-shymanovich-iryna-p23V2PKG/","","","","","","","","","","","","","","","","","",""
"CSM","0000009","20240712|174129","20240708_1984909_061667_047566","R09_1_CAN_Winnipeg Challenger","Bu","Holt","|K|0.603891|EK|G||OL1|1.7513|EOL1|OL2|2.69445|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8083|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.635|248.56|2.006|189.275|AH-2.5|2.247|212.013|2.006|189.275|AH-2|2.247|212.013|2.182|205.894|AH-1.5|2.061|194.434|2.182|205.894||AH1.5|1.835|166.778|2.747|249.75|AH2|1.835|166.778|2.987|271.505|AH2.5|1.741|158.307|2.987|271.505|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.90388|6|1.69377|6|EK-1.5||K21|4.84411|6|6.84805|1|EK21||K1.5|1.54|6|4.50181|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/yunchaokete-bu-holt-brandon-YXCLykgT/#ah;2;-1.50;2","-1.5","1.99","1.86","1.91","1.79","","","1.97","1.79","1.99","1.86","","","","","","",""
"CSM","0000009","20240712|174131","20240708_1984909_061667_047566","R09_1_CAN_Winnipeg Challenger","Bu","Holt","|K|0.603891|EK|G||OL1|1.7513|EOL1|OL2|2.69445|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8083|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.635|248.56|2.006|189.275|AH-2.5|2.247|212.013|2.006|189.275|AH-2|2.247|212.013|2.182|205.894|AH-1.5|2.061|194.434|2.182|205.894||AH1.5|1.835|166.778|2.747|249.75|AH2|1.835|166.778|2.987|271.505|AH2.5|1.741|158.307|2.987|271.505|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.90388|6|1.69377|6|EK-1.5||K21|4.84411|6|6.84805|1|EK21||K1.5|1.54|6|4.50181|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/yunchaokete-bu-holt-brandon-YXCLykgT/#ah;2;-2.50;2","-2.5","","","2.12","1.64","","","","","2.12","1.64","","","","","","",""
"CSM","0000009","20240712|174136","20240708_1984909_061667_047566","R09_1_CAN_Winnipeg Challenger","Bu","Holt","|K|0.603891|EK|G||OL1|1.7513|EOL1|OL2|2.69445|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8083|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.635|248.56|2.006|189.275|AH-2.5|2.247|212.013|2.006|189.275|AH-2|2.247|212.013|2.182|205.894|AH-1.5|2.061|194.434|2.182|205.894||AH1.5|1.835|166.778|2.747|249.75|AH2|1.835|166.778|2.987|271.505|AH2.5|1.741|158.307|2.987|271.505|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.90388|6|1.69377|6|EK-1.5||K21|4.84411|6|6.84805|1|EK21||K1.5|1.54|6|4.50181|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/yunchaokete-bu-holt-brandon-YXCLykgT/#ah;2;1.50;1","1.5","1.34","3.41","1.31","3.15","","","1.3","3.4","1.34","3.41","","","","","","",""
"CSM","0000009","20240712|174133","20240708_1984909_061667_047566","R09_1_CAN_Winnipeg Challenger","Bu","Holt","|K|0.603891|EK|G||OL1|1.7513|EOL1|OL2|2.69445|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8083|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.635|248.56|2.006|189.275|AH-2.5|2.247|212.013|2.006|189.275|AH-2|2.247|212.013|2.182|205.894|AH-1.5|2.061|194.434|2.182|205.894||AH1.5|1.835|166.778|2.747|249.75|AH2|1.835|166.778|2.987|271.505|AH2.5|1.741|158.307|2.987|271.505|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.90388|6|1.69377|6|EK-1.5||K21|4.84411|6|6.84805|1|EK21||K1.5|1.54|6|4.50181|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/yunchaokete-bu-holt-brandon-YXCLykgT/#ah;2;-1.50;1","-1.5","2.86","1.45","2.68","1.41","","","2.95","1.38","2.95","1.45","","","","","","",""
"CSM","0000009","20240712|174120","20240708_1984909_061667_047566","R09_1_CAN_Winnipeg Challenger","Bu","Holt","|K|0.603891|EK|G||OL1|1.7513|EOL1|OL2|2.69445|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8083|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.635|248.56|2.006|189.275|AH-2.5|2.247|212.013|2.006|189.275|AH-2|2.247|212.013|2.182|205.894|AH-1.5|2.061|194.434|2.182|205.894||AH1.5|1.835|166.778|2.747|249.75|AH2|1.835|166.778|2.987|271.505|AH2.5|1.741|158.307|2.987|271.505|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.90388|6|1.69377|6|EK-1.5||K21|4.84411|6|6.84805|1|EK21||K1.5|1.54|6|4.50181|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/yunchaokete-bu-holt-brandon-YXCLykgT/","","1.81","2.05","1.75","1.95","","","1.78","2.02","1.81","2.08","","","","","","",""
"CSM","0000010","20240712|174153","20240708_1984909_039863_067986","R09_1_CAN_Winnipeg Challenger","Shimabukuro","Schoolkate","|K|0.506902|EK|G||OL1|2.1087|EOL1|OL2|2.16195|EOL2|OH1|1|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2533|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.11|293.38|1.732|163.409|AH-2.5|2.732|257.708|1.732|163.409|AH-2|2.732|257.708|1.864|175.806|AH-1.5|2.458|231.916|1.864|175.806||AH1.5|2.104|191.274|2.305|209.56|AH2|2.104|191.274|2.54|230.868|AH2.5|1.941|176.413|2.54|230.868|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.19597|6|1.6011|6|EK-1.5||K21|6.58497|1|5.60114|6|EK21||K1.5|1.54|6|3.67908|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/shimabukuro-sho-schoolkate-tristan-joc5CI8t/#ah;2;1.50;2","1.5","","","","","","","1.73","2.05","1.73","2.05","","","","","","",""
"CSM","0000010","20240712|174150","20240708_1984909_039863_067986","R09_1_CAN_Winnipeg Challenger","Shimabukuro","Schoolkate","|K|0.506902|EK|G||OL1|2.1087|EOL1|OL2|2.16195|EOL2|OH1|1|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2533|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.11|293.38|1.732|163.409|AH-2.5|2.732|257.708|1.732|163.409|AH-2|2.732|257.708|1.864|175.806|AH-1.5|2.458|231.916|1.864|175.806||AH1.5|2.104|191.274|2.305|209.56|AH2|2.104|191.274|2.54|230.868|AH2.5|1.941|176.413|2.54|230.868|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.19597|6|1.6011|6|EK-1.5||K21|6.58497|1|5.60114|6|EK21||K1.5|1.54|6|3.67908|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/shimabukuro-sho-schoolkate-tristan-joc5CI8t/#ah;2;0.50;2","0.5","1.84","2.02","","","","","","","1.84","2.02","","","","","","",""
"CSM","0000010","20240712|174158","20240708_1984909_039863_067986","R09_1_CAN_Winnipeg Challenger","Shimabukuro","Schoolkate","|K|0.506902|EK|G||OL1|2.1087|EOL1|OL2|2.16195|EOL2|OH1|1|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2533|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.11|293.38|1.732|163.409|AH-2.5|2.732|257.708|1.732|163.409|AH-2|2.732|257.708|1.864|175.806|AH-1.5|2.458|231.916|1.864|175.806||AH1.5|2.104|191.274|2.305|209.56|AH2|2.104|191.274|2.54|230.868|AH2.5|1.941|176.413|2.54|230.868|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.19597|6|1.6011|6|EK-1.5||K21|6.58497|1|5.60114|6|EK21||K1.5|1.54|6|3.67908|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/shimabukuro-sho-schoolkate-tristan-joc5CI8t/#ah;2;1.50;1","1.5","1.38","3.19","1.35","2.95","","","1.37","3.05","1.38","3.19","","","","","","",""
"CSM","0000010","20240712|174155","20240708_1984909_039863_067986","R09_1_CAN_Winnipeg Challenger","Shimabukuro","Schoolkate","|K|0.506902|EK|G||OL1|2.1087|EOL1|OL2|2.16195|EOL2|OH1|1|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2533|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.11|293.38|1.732|163.409|AH-2.5|2.732|257.708|1.732|163.409|AH-2|2.732|257.708|1.864|175.806|AH-1.5|2.458|231.916|1.864|175.806||AH1.5|2.104|191.274|2.305|209.56|AH2|2.104|191.274|2.54|230.868|AH2.5|1.941|176.413|2.54|230.868|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.19597|6|1.6011|6|EK-1.5||K21|6.58497|1|5.60114|6|EK21||K1.5|1.54|6|3.67908|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/shimabukuro-sho-schoolkate-tristan-joc5CI8t/#ah;2;-1.50;1","-1.5","3.1","1.4","2.95","1.35","","","3.25","1.33","3.25","1.4","","","","","","",""
