"FDM","0000007","20240717|115131","20240715_1989809_112967_107526","R09_0_USA_M25 East Lansing","Mccormick/Nefve","Horve/Okonkwo","|K|0.751215|EK|G||OL1|1.37618|EOL1|OL2|4.221|EOL2|OH1|134|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men-doubles/mccormick-tristan-nefve-axel-horve-lucas-okonkwo-oliver-bmQyyy0J/","","","","1.72","2.0","","","","","1.73","2.0","","","","","","",""
"FSM","0000010","20240717|115147","20240715_1989804_078642_044775","R04_0_USA_M25 East Lansing","Guzauskas","O'Hoisin","|K|0.534997|EK|G||OL1|1.98968|EOL1|OL2|2.29824|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|293.655|293.655|168.374|168.374|AH-3.5|246.255|246.255|168.374|168.374|AH-3|246.255|246.255|183.991|183.991|AH-2.5|219.06|219.06|183.991|183.991|AH-2|219.06|219.06|193.955|193.955|AH-1.5|206.433|206.433|193.955|193.955||AH1.5|180.139|180.139|224.783|224.783|AH2|180.139|180.139|242.227|242.227|AH2.5|170.31|170.31|242.227|242.227|AH3|170.31|170.31|270.304|270.304|AH3.5|158.718|158.718|270.304|270.304|AH4|158.718|158.718|331.336|331.336|AH4.5|143.227|143.227|331.336|331.336|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men/guzauska-gabrielius-o-hoisin-osgar-SfErkwBG/#ah;2;1.50;2","1.5","1.79","1.95","1.78","1.92","","","","","1.79","1.95","","","","","","",""
"FSM","0000010","20240717|115145","20240715_1989804_078642_044775","R04_0_USA_M25 East Lansing","Guzauskas","O'Hoisin","|K|0.534997|EK|G||OL1|1.98968|EOL1|OL2|2.29824|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|293.655|293.655|168.374|168.374|AH-3.5|246.255|246.255|168.374|168.374|AH-3|246.255|246.255|183.991|183.991|AH-2.5|219.06|219.06|183.991|183.991|AH-2|219.06|219.06|193.955|193.955|AH-1.5|206.433|206.433|193.955|193.955||AH1.5|180.139|180.139|224.783|224.783|AH2|180.139|180.139|242.227|242.227|AH2.5|170.31|170.31|242.227|242.227|AH3|170.31|170.31|270.304|270.304|AH3.5|158.718|158.718|270.304|270.304|AH4|158.718|158.718|331.336|331.336|AH4.5|143.227|143.227|331.336|331.336|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men/guzauska-gabrielius-o-hoisin-osgar-SfErkwBG/#ah;2;0.50;2","0.5","1.91","1.83","1.86","1.84","","","","","1.91","1.84","","","","","","",""
"FSM","0000010","20240717|115152","20240715_1989804_078642_044775","R04_0_USA_M25 East Lansing","Guzauskas","O'Hoisin","|K|0.534997|EK|G||OL1|1.98968|EOL1|OL2|2.29824|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|293.655|293.655|168.374|168.374|AH-3.5|246.255|246.255|168.374|168.374|AH-3|246.255|246.255|183.991|183.991|AH-2.5|219.06|219.06|183.991|183.991|AH-2|219.06|219.06|193.955|193.955|AH-1.5|206.433|206.433|193.955|193.955||AH1.5|180.139|180.139|224.783|224.783|AH2|180.139|180.139|242.227|242.227|AH2.5|170.31|170.31|242.227|242.227|AH3|170.31|170.31|270.304|270.304|AH3.5|158.718|158.718|270.304|270.304|AH4|158.718|158.718|331.336|331.336|AH4.5|143.227|143.227|331.336|331.336|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men/guzauska-gabrielius-o-hoisin-osgar-SfErkwBG/#ah;2;1.50;1","1.5","1.43","2.71","1.41","2.68","","","","","1.43","2.71","","","","","","",""
"FSM","0000010","20240717|115150","20240715_1989804_078642_044775","R04_0_USA_M25 East Lansing","Guzauskas","O'Hoisin","|K|0.534997|EK|G||OL1|1.98968|EOL1|OL2|2.29824|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|293.655|293.655|168.374|168.374|AH-3.5|246.255|246.255|168.374|168.374|AH-3|246.255|246.255|183.991|183.991|AH-2.5|219.06|219.06|183.991|183.991|AH-2|219.06|219.06|193.955|193.955|AH-1.5|206.433|206.433|193.955|193.955||AH1.5|180.139|180.139|224.783|224.783|AH2|180.139|180.139|242.227|242.227|AH2.5|170.31|170.31|242.227|242.227|AH3|170.31|170.31|270.304|270.304|AH3.5|158.718|158.718|270.304|270.304|AH4|158.718|158.718|331.336|331.336|AH4.5|143.227|143.227|331.336|331.336|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men/guzauska-gabrielius-o-hoisin-osgar-SfErkwBG/#ah;2;-1.50;1","-1.5","2.93","1.37","2.87","1.36","","","","","2.93","1.37","","","","","","",""
"FSM","0000010","20240717|115139","20240715_1989804_078642_044775","R04_0_USA_M25 East Lansing","Guzauskas","O'Hoisin","|K|0.534997|EK|G||OL1|1.98968|EOL1|OL2|2.29824|EOL2|OH1|187|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|293.655|293.655|168.374|168.374|AH-3.5|246.255|246.255|168.374|168.374|AH-3|246.255|246.255|183.991|183.991|AH-2.5|219.06|219.06|183.991|183.991|AH-2|219.06|219.06|193.955|193.955|AH-1.5|206.433|206.433|193.955|193.955||AH1.5|180.139|180.139|224.783|224.783|AH2|180.139|180.139|242.227|242.227|AH2.5|170.31|170.31|242.227|242.227|AH3|170.31|170.31|270.304|270.304|AH3.5|158.718|158.718|270.304|270.304|AH4|158.718|158.718|331.336|331.336|AH4.5|143.227|143.227|331.336|331.336|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-east-lansing-mi-men/guzauska-gabrielius-o-hoisin-osgar-SfErkwBG/","","1.96","1.79","1.9","1.8","","","","","1.96","1.8","","","","","","",""
"FSM","0000011","20240717|115152","20240715_1989804_103365_104856","R04_0_USA_M25 East Lansing","Young","Ian Kotzen","|K|0.396297|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|607.681|607.681|128.083|128.083|AH-3.5|456.084|456.084|128.083|128.083|AH-3|456.084|456.084|136.266|136.266|AH-2.5|375.739|375.739|136.266|136.266|AH-2|375.739|375.739|144.357|144.357|AH-1.5|325.442|325.442|144.357|144.357||AH1.5|258.546|258.546|163.073|163.073|AH2|258.546|258.546|172.09|172.09|AH2.5|238.715|238.715|172.09|172.09|AH3|238.715|238.715|193.311|193.311|AH3.5|207.169|207.169|193.311|193.311|AH4|207.169|207.169|241.105|241.105|AH4.5|170.869|170.869|241.105|241.105|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","","","",""
"SM","0000012","20240717|115202","20240715_1939505_026845_029812","R05_2_SUI_EFG Swiss Open - Gstaad","Galan","Berrettini","|K|0.129647|EK|G||OL1|8.4534|EOL1|OL2|1.265|EOL2|OH1|1|EOH1|OH2|1.6675|EOH2|EG|NA||NAOL1|8.46884|ENAOL1|NAOL2|1.2765|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.091|1.45|AH-3.5|10910|14500|1.091|1.45|AH-3|10910|14500|1.104|1.467|AH-2.5|94.391|125.45|1.104|1.467|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.788|6.346|1.418|1.879|AH3|4.788|6.346|1.702|2.256|AH3.5|3.062|4.058|1.702|2.256|AH4|3.062|4.058|2.258|2.993|AH4.5|2.122|2.813|2.258|2.993|AH5|2.122|2.813|3.419|4.532|AH5.5|1.609|2.132|3.419|4.532||EAH||AHS||K-1.5|379.84|1|1.52|1|EK-1.5||K21|8.0091|1|3.90024|7|EK21||K1.5|2.65757|7|1.85244|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/switzerland/atp-gstaad/galan-daniel-elahi-berrettini-matteo-IaZCKY9O/#ah;2;4.50;2","4.5","1.77","2.13","1.7","2.02","","","1.84","1.94","1.84","2.13","","","","","","",""
"SM","0000012","20240717|115204","20240715_1939505_026845_029812","R05_2_SUI_EFG Swiss Open - Gstaad","Galan","Berrettini","|K|0.129647|EK|G||OL1|8.4534|EOL1|OL2|1.265|EOL2|OH1|1|EOH1|OH2|1.6675|EOH2|EG|NA||NAOL1|8.46884|ENAOL1|NAOL2|1.2765|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.091|1.45|AH-3.5|10910|14500|1.091|1.45|AH-3|10910|14500|1.104|1.467|AH-2.5|94.391|125.45|1.104|1.467|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.788|6.346|1.418|1.879|AH3|4.788|6.346|1.702|2.256|AH3.5|3.062|4.058|1.702|2.256|AH4|3.062|4.058|2.258|2.993|AH4.5|2.122|2.813|2.258|2.993|AH5|2.122|2.813|3.419|4.532|AH5.5|1.609|2.132|3.419|4.532||EAH||AHS||K-1.5|379.84|1|1.52|1|EK-1.5||K21|8.0091|1|3.90024|7|EK21||K1.5|2.65757|7|1.85244|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/switzerland/atp-gstaad/galan-daniel-elahi-berrettini-matteo-IaZCKY9O/#ah;2;3.50;2","3.5","2.45","1.6","2.27","1.56","","","","","2.45","1.6","","","","","","",""
"SM","0000012","20240717|115208","20240715_1939505_026845_029812","R05_2_SUI_EFG Swiss Open - Gstaad","Galan","Berrettini","|K|0.129647|EK|G||OL1|8.4534|EOL1|OL2|1.265|EOL2|OH1|1|EOH1|OH2|1.6675|EOH2|EG|NA||NAOL1|8.46884|ENAOL1|NAOL2|1.2765|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.091|1.45|AH-3.5|10910|14500|1.091|1.45|AH-3|10910|14500|1.104|1.467|AH-2.5|94.391|125.45|1.104|1.467|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.788|6.346|1.418|1.879|AH3|4.788|6.346|1.702|2.256|AH3.5|3.062|4.058|1.702|2.256|AH4|3.062|4.058|2.258|2.993|AH4.5|2.122|2.813|2.258|2.993|AH5|2.122|2.813|3.419|4.532|AH5.5|1.609|2.132|3.419|4.532||EAH||AHS||K-1.5|379.84|1|1.52|1|EK-1.5||K21|8.0091|1|3.90024|7|EK21||K1.5|2.65757|7|1.85244|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/switzerland/atp-gstaad/galan-daniel-elahi-berrettini-matteo-IaZCKY9O/#ah;2;1.50;1","1.5","2.36","1.64","2.25","1.57","","","2.28","1.61","2.36","1.64","","","","","","",""
"SM","0000012","20240717|115206","20240715_1939505_026845_029812","R05_2_SUI_EFG Swiss Open - Gstaad","Galan","Berrettini","|K|0.129647|EK|G||OL1|8.4534|EOL1|OL2|1.265|EOL2|OH1|1|EOH1|OH2|1.6675|EOH2|EG|NA||NAOL1|8.46884|ENAOL1|NAOL2|1.2765|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.091|1.45|AH-3.5|10910|14500|1.091|1.45|AH-3|10910|14500|1.104|1.467|AH-2.5|94.391|125.45|1.104|1.467|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.788|6.346|1.418|1.879|AH3|4.788|6.346|1.702|2.256|AH3.5|3.062|4.058|1.702|2.256|AH4|3.062|4.058|2.258|2.993|AH4.5|2.122|2.813|2.258|2.993|AH5|2.122|2.813|3.419|4.532|AH5.5|1.609|2.132|3.419|4.532||EAH||AHS||K-1.5|379.84|1|1.52|1|EK-1.5||K21|8.0091|1|3.90024|7|EK21||K1.5|2.65757|7|1.85244|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/switzerland/atp-gstaad/galan-daniel-elahi-berrettini-matteo-IaZCKY9O/#ah;2;-1.50;1","-1.5","10.16","1.08","7.85","1.05","","","9.5","1.07","10.16","1.08","","","","","","",""
