"DV","0000007","20240718|173509","20240715_1523610_095258_088213","R10_2_HUN_Hungarian Grand Prix - Budapest","Babos/Perez","Piter/Stollar","|K|0.57184|EK|G||OL1|1.78325|EOL1|OL2|2.45466|EOL2|OH1|175|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.785|ENAOL1|NAOL2|2.6442|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/hungary/wta-budapest-doubles/babos-timea-perez-ellen-piter-katarzyna-stollar-fanny-MJtyBfxA/","","1.56","2.44","1.52","2.37","","","","","1.56","2.55","","","","","","",""
"SM","0000008","20240718|173523","20240715_1939409_052394_021506","R09_2_SWE_Nordea Open - Bastad","Tirante","Carballes Baena","|K|0.271103|EK|G||OL1|4.04055|EOL1|OL2|1.518|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.04793|ENAOL1|NAOL2|1.5318|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|22.89|30.422|1.146|1.523|AH-5|22.89|30.422|1.219|1.62|AH-4|10.395|13.816|1.251|1.663|AH-3.5|8.52|11.324|1.251|1.663|AH-3|8.52|11.324|1.327|1.763|AH-2.5|6.144|8.166|1.327|1.763|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.01|3.99|1.719|2.278|AH3|3.01|3.99|1.99|2.638|AH3.5|2.43|3.22|1.99|2.638|AH4|2.43|3.22|2.666|3.533|AH4.5|1.856|2.459|2.666|3.533|AH5|1.856|2.459|3.571|4.734|AH5.5|1.577|2.09|3.571|4.734||EAH||AHS||K-1.5|7.76921|1|1.52|7|EK-1.5||K21|7.17243|1|4.43854|7|EK21||K1.5|2.01772|7|2.32217|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/sweden/atp-bastad/tirante-thiago-agustin-carballes-baena-roberto-tlgxcq3T/#ah;2;3.50;2","3.5","1.88","1.99","1.86","1.84","","","","","1.88","1.99","","","","","","",""
"SM","0000008","20240718|173521","20240715_1939409_052394_021506","R09_2_SWE_Nordea Open - Bastad","Tirante","Carballes Baena","|K|0.271103|EK|G||OL1|4.04055|EOL1|OL2|1.518|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.04793|ENAOL1|NAOL2|1.5318|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|22.89|30.422|1.146|1.523|AH-5|22.89|30.422|1.219|1.62|AH-4|10.395|13.816|1.251|1.663|AH-3.5|8.52|11.324|1.251|1.663|AH-3|8.52|11.324|1.327|1.763|AH-2.5|6.144|8.166|1.327|1.763|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.01|3.99|1.719|2.278|AH3|3.01|3.99|1.99|2.638|AH3.5|2.43|3.22|1.99|2.638|AH4|2.43|3.22|2.666|3.533|AH4.5|1.856|2.459|2.666|3.533|AH5|1.856|2.459|3.571|4.734|AH5.5|1.577|2.09|3.571|4.734||EAH||AHS||K-1.5|7.76921|1|1.52|7|EK-1.5||K21|7.17243|1|4.43854|7|EK21||K1.5|2.01772|7|2.32217|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/sweden/atp-bastad/tirante-thiago-agustin-carballes-baena-roberto-tlgxcq3T/#ah;2;2.50;2","2.5","2.26","1.69","2.2","1.6","","","2.25","1.62","2.26","1.69","","","","","","",""
"SM","0000008","20240718|173528","20240715_1939409_052394_021506","R09_2_SWE_Nordea Open - Bastad","Tirante","Carballes Baena","|K|0.271103|EK|G||OL1|4.04055|EOL1|OL2|1.518|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.04793|ENAOL1|NAOL2|1.5318|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|22.89|30.422|1.146|1.523|AH-5|22.89|30.422|1.219|1.62|AH-4|10.395|13.816|1.251|1.663|AH-3.5|8.52|11.324|1.251|1.663|AH-3|8.52|11.324|1.327|1.763|AH-2.5|6.144|8.166|1.327|1.763|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.01|3.99|1.719|2.278|AH3|3.01|3.99|1.99|2.638|AH3.5|2.43|3.22|1.99|2.638|AH4|2.43|3.22|2.666|3.533|AH4.5|1.856|2.459|2.666|3.533|AH5|1.856|2.459|3.571|4.734|AH5.5|1.577|2.09|3.571|4.734||EAH||AHS||K-1.5|7.76921|1|1.52|7|EK-1.5||K21|7.17243|1|4.43854|7|EK21||K1.5|2.01772|7|2.32217|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/sweden/atp-bastad/tirante-thiago-agustin-carballes-baena-roberto-tlgxcq3T/#ah;2;1.50;1","1.5","1.74","2.17","1.7","2.02","","","1.71","2.12","1.74","2.17","","","","","","",""
"SM","0000008","20240718|173526","20240715_1939409_052394_021506","R09_2_SWE_Nordea Open - Bastad","Tirante","Carballes Baena","|K|0.271103|EK|G||OL1|4.04055|EOL1|OL2|1.518|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.04793|ENAOL1|NAOL2|1.5318|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|22.89|30.422|1.146|1.523|AH-5|22.89|30.422|1.219|1.62|AH-4|10.395|13.816|1.251|1.663|AH-3.5|8.52|11.324|1.251|1.663|AH-3|8.52|11.324|1.327|1.763|AH-2.5|6.144|8.166|1.327|1.763|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.01|3.99|1.719|2.278|AH3|3.01|3.99|1.99|2.638|AH3.5|2.43|3.22|1.99|2.638|AH4|2.43|3.22|2.666|3.533|AH4.5|1.856|2.459|2.666|3.533|AH5|1.856|2.459|3.571|4.734|AH5.5|1.577|2.09|3.571|4.734||EAH||AHS||K-1.5|7.76921|1|1.52|7|EK-1.5||K21|7.17243|1|4.43854|7|EK21||K1.5|2.01772|7|2.32217|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/sweden/atp-bastad/tirante-thiago-agustin-carballes-baena-roberto-tlgxcq3T/#ah;2;-1.50;1","-1.5","5.23","1.19","4.75","1.15","","","5.4","1.16","5.4","1.19","","","","","","",""
"SM","0000008","20240718|173514","20240715_1939409_052394_021506","R09_2_SWE_Nordea Open - Bastad","Tirante","Carballes Baena","|K|0.271103|EK|G||OL1|4.04055|EOL1|OL2|1.518|EOL2|OH1|1|EOH1|OH2|2.001|EOH2|EG|NA||NAOL1|4.04793|ENAOL1|NAOL2|1.5318|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|22.89|30.422|1.146|1.523|AH-5|22.89|30.422|1.219|1.62|AH-4|10.395|13.816|1.251|1.663|AH-3.5|8.52|11.324|1.251|1.663|AH-3|8.52|11.324|1.327|1.763|AH-2.5|6.144|8.166|1.327|1.763|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|3.01|3.99|1.719|2.278|AH3|3.01|3.99|1.99|2.638|AH3.5|2.43|3.22|1.99|2.638|AH4|2.43|3.22|2.666|3.533|AH4.5|1.856|2.459|2.666|3.533|AH5|1.856|2.459|3.571|4.734|AH5.5|1.577|2.09|3.571|4.734||EAH||AHS||K-1.5|7.76921|1|1.52|7|EK-1.5||K21|7.17243|1|4.43854|7|EK21||K1.5|2.01772|7|2.32217|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/sweden/atp-bastad/tirante-thiago-agustin-carballes-baena-roberto-tlgxcq3T/","","3.0","1.44","2.85","1.37","","","2.95","1.41","3.06","1.44","","","","","","",""
"CSM","0000009","20240718|173542","20240715_1985309_040605_047387","R09_1_ESP_Pozoblanco Challenger","Added","Holmgren","|K|0.244229|EK|G||OL1|4.3665|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA||NAOL1|4.551|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.894|1122.07|1000|1000|AH-2.5|7.211|680.247|1000|1000|AH-2|7.211|680.247|1000|1000|AH-1.5|5.704|538.159|1000|1000||AH1.5|3.827|347.944|1000|1000|AH2|3.827|347.944|1000|1000|AH2.5|3.034|275.854|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.8338|1|1.54|1|EK-1.5||K21|8.1996|1|3.96554|6|EK21||K1.5|2.24348|6|2.09383|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/pozoblanco-challenger-men/added-dan-holmgren-august-pMsPgJjK/#ah;2;4.50;2","4.5","1.51","2.67","1.48","2.45","","","","","1.51","2.67","","","","","","",""
"CSM","0000009","20240718|173539","20240715_1985309_040605_047387","R09_1_ESP_Pozoblanco Challenger","Added","Holmgren","|K|0.244229|EK|G||OL1|4.3665|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA||NAOL1|4.551|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.894|1122.07|1000|1000|AH-2.5|7.211|680.247|1000|1000|AH-2|7.211|680.247|1000|1000|AH-1.5|5.704|538.159|1000|1000||AH1.5|3.827|347.944|1000|1000|AH2|3.827|347.944|1000|1000|AH2.5|3.034|275.854|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.8338|1|1.54|1|EK-1.5||K21|8.1996|1|3.96554|6|EK21||K1.5|2.24348|6|2.09383|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/pozoblanco-challenger-men/added-dan-holmgren-august-pMsPgJjK/#ah;2;3.50;2","3.5","1.89","1.96","1.82","1.88","","","","","1.89","1.96","","","","","","",""
"CSM","0000009","20240718|173546","20240715_1985309_040605_047387","R09_1_ESP_Pozoblanco Challenger","Added","Holmgren","|K|0.244229|EK|G||OL1|4.3665|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA||NAOL1|4.551|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.894|1122.07|1000|1000|AH-2.5|7.211|680.247|1000|1000|AH-2|7.211|680.247|1000|1000|AH-1.5|5.704|538.159|1000|1000||AH1.5|3.827|347.944|1000|1000|AH2|3.827|347.944|1000|1000|AH2.5|3.034|275.854|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.8338|1|1.54|1|EK-1.5||K21|8.1996|1|3.96554|6|EK21||K1.5|2.24348|6|2.09383|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/pozoblanco-challenger-men/added-dan-holmgren-august-pMsPgJjK/#ah;2;1.50;1","1.5","1.95","1.9","1.89","1.81","","","","","1.95","1.9","","","","","","",""
"CSM","0000009","20240718|173544","20240715_1985309_040605_047387","R09_1_ESP_Pozoblanco Challenger","Added","Holmgren","|K|0.244229|EK|G||OL1|4.3665|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA||NAOL1|4.551|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.894|1122.07|1000|1000|AH-2.5|7.211|680.247|1000|1000|AH-2|7.211|680.247|1000|1000|AH-1.5|5.704|538.159|1000|1000||AH1.5|3.827|347.944|1000|1000|AH2|3.827|347.944|1000|1000|AH2.5|3.034|275.854|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.8338|1|1.54|1|EK-1.5||K21|8.1996|1|3.96554|6|EK21||K1.5|2.24348|6|2.09383|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/pozoblanco-challenger-men/added-dan-holmgren-august-pMsPgJjK/#ah;2;-1.50;1","-1.5","5.77","1.16","5.1","1.13","","","","","5.77","1.16","","","","","","",""
"CSM","0000009","20240718|173532","20240715_1985309_040605_047387","R09_1_ESP_Pozoblanco Challenger","Added","Holmgren","|K|0.244229|EK|G||OL1|4.3665|EOL1|OL2|1.40315|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA||NAOL1|4.551|ENAOL1|NAOL2|1.40315|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.894|1122.07|1000|1000|AH-2.5|7.211|680.247|1000|1000|AH-2|7.211|680.247|1000|1000|AH-1.5|5.704|538.159|1000|1000||AH1.5|3.827|347.944|1000|1000|AH2|3.827|347.944|1000|1000|AH2.5|3.034|275.854|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|13.8338|1|1.54|1|EK-1.5||K21|8.1996|1|3.96554|6|EK21||K1.5|2.24348|6|2.09383|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/pozoblanco-challenger-men/added-dan-holmgren-august-pMsPgJjK/","","3.14","1.39","2.95","1.35","","","3.0","1.38","3.2","1.39","","","","","","",""
