"FDM","0000001","20240721|135911","20240715_1991212_107007_068444","R12_0_MEX_M15 Huamantla","Gomez/Rodriguez","Lopez Villasenor/Sanchez","|K|0.445752|EK|G||OL1|2.3625|EOL1|OL2|1.85887|EOL2|OH1|3.825|EOH1|OH2|181|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-men-doubles/gomez-juan-sebastian-rodriguez-johan-alexander-lopez-villasenor-gerardo-sanchez-manuel-CElvH8el/","","","","1.9","1.8","","","","","1.91","1.8","","","","","","",""
"FSM","0000002","20240721|135926","20240715_1990212_042963_033904","R12_0_ESP_M25 Gandia","Sanchez Jover","Brancaccio","|K|0.420512|EK|G||OL1|2.43712|EOL1|OL2|1.84072|EOL2|OH1|3.57|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|359.114|359.114|149.579|149.579|AH-3.5|301.697|301.697|149.579|149.579|AH-3|301.697|301.697|157.844|157.844|AH-2.5|272.88|272.88|157.844|157.844|AH-2|272.88|272.88|165.53|165.53|AH-1.5|252.602|252.602|165.53|165.53||AH1.5|214.495|214.495|187.34|187.34|AH2|214.495|214.495|198.369|198.369|AH2.5|201.658|201.658|198.369|198.369|AH3|201.658|201.658|219.05|219.05|AH3.5|183.998|183.998|219.05|219.05|AH4|183.998|183.998|260.25|260.25|AH4.5|162.403|162.403|260.25|260.25|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-gandia-men/sanchez-jover-carlos-brancaccio-raul-jZjojjaf/#ah;2;1.50;2","1.5","","","1.87","1.83","","","","","1.87","1.83","","","","","","",""
"FSM","0000002","20240721|135924","20240715_1990212_042963_033904","R12_0_ESP_M25 Gandia","Sanchez Jover","Brancaccio","|K|0.420512|EK|G||OL1|2.43712|EOL1|OL2|1.84072|EOL2|OH1|3.57|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|359.114|359.114|149.579|149.579|AH-3.5|301.697|301.697|149.579|149.579|AH-3|301.697|301.697|157.844|157.844|AH-2.5|272.88|272.88|157.844|157.844|AH-2|272.88|272.88|165.53|165.53|AH-1.5|252.602|252.602|165.53|165.53||AH1.5|214.495|214.495|187.34|187.34|AH2|214.495|214.495|198.369|198.369|AH2.5|201.658|201.658|198.369|198.369|AH3|201.658|201.658|219.05|219.05|AH3.5|183.998|183.998|219.05|219.05|AH4|183.998|183.998|260.25|260.25|AH4.5|162.403|162.403|260.25|260.25|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-gandia-men/sanchez-jover-carlos-brancaccio-raul-jZjojjaf/#ah;2;0.50;2","0.5","1.85","1.93","1.95","1.75","","","","","1.95","1.93","","","","","","",""
"FSM","0000002","20240721|135931","20240715_1990212_042963_033904","R12_0_ESP_M25 Gandia","Sanchez Jover","Brancaccio","|K|0.420512|EK|G||OL1|2.43712|EOL1|OL2|1.84072|EOL2|OH1|3.57|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|359.114|359.114|149.579|149.579|AH-3.5|301.697|301.697|149.579|149.579|AH-3|301.697|301.697|157.844|157.844|AH-2.5|272.88|272.88|157.844|157.844|AH-2|272.88|272.88|165.53|165.53|AH-1.5|252.602|252.602|165.53|165.53||AH1.5|214.495|214.495|187.34|187.34|AH2|214.495|214.495|198.369|198.369|AH2.5|201.658|201.658|198.369|198.369|AH3|201.658|201.658|219.05|219.05|AH3.5|183.998|183.998|219.05|219.05|AH4|183.998|183.998|260.25|260.25|AH4.5|162.403|162.403|260.25|260.25|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-gandia-men/sanchez-jover-carlos-brancaccio-raul-jZjojjaf/#ah;2;1.50;1","1.5","1.36","3.05","1.41","2.68","","","","","1.41","3.05","","","","","","",""
"FSM","0000002","20240721|135929","20240715_1990212_042963_033904","R12_0_ESP_M25 Gandia","Sanchez Jover","Brancaccio","|K|0.420512|EK|G||OL1|2.43712|EOL1|OL2|1.84072|EOL2|OH1|3.57|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|359.114|359.114|149.579|149.579|AH-3.5|301.697|301.697|149.579|149.579|AH-3|301.697|301.697|157.844|157.844|AH-2.5|272.88|272.88|157.844|157.844|AH-2|272.88|272.88|165.53|165.53|AH-1.5|252.602|252.602|165.53|165.53||AH1.5|214.495|214.495|187.34|187.34|AH2|214.495|214.495|198.369|198.369|AH2.5|201.658|201.658|198.369|198.369|AH3|201.658|201.658|219.05|219.05|AH3.5|183.998|183.998|219.05|219.05|AH4|183.998|183.998|260.25|260.25|AH4.5|162.403|162.403|260.25|260.25|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-gandia-men/sanchez-jover-carlos-brancaccio-raul-jZjojjaf/#ah;2;-1.50;1","-1.5","2.94","1.39","3.0","1.34","","","","","3.0","1.39","","","","","","",""
"FSM","0000002","20240721|135916","20240715_1990212_042963_033904","R12_0_ESP_M25 Gandia","Sanchez Jover","Brancaccio","|K|0.420512|EK|G||OL1|2.43712|EOL1|OL2|1.84072|EOL2|OH1|3.57|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|359.114|359.114|149.579|149.579|AH-3.5|301.697|301.697|149.579|149.579|AH-3|301.697|301.697|157.844|157.844|AH-2.5|272.88|272.88|157.844|157.844|AH-2|272.88|272.88|165.53|165.53|AH-1.5|252.602|252.602|165.53|165.53||AH1.5|214.495|214.495|187.34|187.34|AH2|214.495|214.495|198.369|198.369|AH2.5|201.658|201.658|198.369|198.369|AH3|201.658|201.658|219.05|219.05|AH3.5|183.998|183.998|219.05|219.05|AH4|183.998|183.998|260.25|260.25|AH4.5|162.403|162.403|260.25|260.25|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-gandia-men/sanchez-jover-carlos-brancaccio-raul-jZjojjaf/","","1.9","1.87","2.0","1.72","","","1.97","1.76","2.0","1.87","","","","","","",""
"FSM","0000003","20240721|135941","20240715_1990412_086545_085763","R12_0_ITA_M15 Gubbio","Pennaforti","Pieri","|K|0.682801|EK|G||OL1|1.56408|EOL1|OL2|3.23584|EOL2|OH1|147|EOH1|OH2|4.74|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|237.55|237.55|207.328|207.328|AH-3.5|193.172|193.172|207.328|207.328|AH-3|193.172|193.172|238.515|238.515|AH-2.5|172.194|172.194|238.515|238.515|AH-2|172.194|172.194|266.658|266.658|AH-1.5|160.003|160.003|266.658|266.658||AH1.5|142.75|142.75|333.917|333.917|AH2|142.75|142.75|366.572|366.572|AH2.5|137.513|137.513|366.572|366.572|AH3|137.513|137.513|432.255|432.255|AH3.5|130.097|130.097|432.255|432.255|AH4|130.097|130.097|572.269|572.269|AH4.5|121.174|121.174|572.269|572.269|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/italy/itf-m15-gubbio-men/pennaforti-gabriele-pieri-samuele-ILhwhCUs/#ah;2;-3.50;2","-3.5","","","1.78","1.92","","","","","1.78","1.92","","","","","","",""
"FSM","0000003","20240721|135935","20240715_1990412_086545_085763","R12_0_ITA_M15 Gubbio","Pennaforti","Pieri","|K|0.682801|EK|G||OL1|1.56408|EOL1|OL2|3.23584|EOL2|OH1|147|EOH1|OH2|4.74|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|237.55|237.55|207.328|207.328|AH-3.5|193.172|193.172|207.328|207.328|AH-3|193.172|193.172|238.515|238.515|AH-2.5|172.194|172.194|238.515|238.515|AH-2|172.194|172.194|266.658|266.658|AH-1.5|160.003|160.003|266.658|266.658||AH1.5|142.75|142.75|333.917|333.917|AH2|142.75|142.75|366.572|366.572|AH2.5|137.513|137.513|366.572|366.572|AH3|137.513|137.513|432.255|432.255|AH3.5|130.097|130.097|432.255|432.255|AH4|130.097|130.097|572.269|572.269|AH4.5|121.174|121.174|572.269|572.269|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-gubbio-men/pennaforti-gabriele-pieri-samuele-ILhwhCUs/","","","","1.44","2.59","","","1.4","2.7","1.44","2.7","","","","","","",""
"CDM","0000004","20240721|135951","20240722_1985704_091255_111493","R04_1_FIN_Tampere Challenger","Comesana/Torres","Kirkin/Popko","|K|0.492126|EK|G||OL1|2.07468|EOL1|OL2|2.00349|EOL2|OH1|204|EOH1|OH2|197|EOH2|EG|NA||NAOL1|2.20932|ENAOL1|NAOL2|2.13351|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/finland/tampere-challenger-men-doubles/comesana-francisco-torres-juan-bautista-kirkin-ergi-popko-dmitry-h2T2f9HU/","","","","","","","","","","","","","","","","","",""
"CDM","0000005","20240721|135955","20240722_1985604_095625_089024","R04_1_USA_Chicago Challenger","Kiger/Sigouin","Chidekh/Sanchez","|K|0.544286|EK|G||OL1|1.8527|EOL1|OL2|2.2374|EOL2|OH1|2.76|EOH1|OH2|220|EOH2|EG|NA||NAOL1|2.02952|ENAOL1|NAOL2|2.3826|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/chicago-challenger-men-doubles/kiger-mac-sigouin-benjamin-chidekh-clement-sanchez-luca-zR6FL35N/","","","","1.65","2.1","","","","","1.65","2.1","","","","","","",""
"CDM","0000006","20240721|135959","20240722_1985604_109891_113054","R04_1_USA_Chicago Challenger","Kirchheimer/Vandecasteele","Hilderbrand/Lawson","|K|0.35965|EK|G||OL1|2.83743|EOL1|OL2|1.58083|EOL2|OH1|279|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.02157|ENAOL1|NAOL2|1.73171|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/chicago-challenger-men-doubles/kirchheimer-strong-vandecasteele-quinn-hilderbrand-trey-lawson-alex-WdhoGsTp/","","","","2.95","1.35","","","","","2.95","1.35","","","","","","",""
