"FDV","0000001","20240726|165515","20240722_1562609_079006_095474","R09_0_JPN_W15 Sapporo","Ayukawa/Parnaby","Niimi/Tamura","|K|0.840906|EK|G||OL1|1.19|EOL1|OL2|6.51015|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-w15-sapporo-women-doubles/ayukawa-mana-parnaby-alana-niimi-koharu-tamura-kurumi-pIkuT6rh/","","","","1.19","4.15","","","","","1.19","4.17","","","","","","",""
"FSM","0000002","20240726|165527","20240722_1991310_028774_084323","R10_0_KAZ_M25 Astana","Sultanov","Pokorny","|K|0.573664|EK|G||OL1|1.862|EOL1|OL2|2.4064|EOL2|OH1|175|EOH1|OH2|3.525|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|303.693|303.693|174.985|174.985|AH-3.5|233.359|233.359|174.985|174.985|AH-3|233.359|233.359|196.784|196.784|AH-2.5|203.323|203.323|196.784|196.784|AH-2|203.323|203.323|214.518|214.518|AH-1.5|187.323|187.323|214.518|214.518||AH1.5|163.61|163.61|257.208|257.208|AH2|163.61|163.61|285.296|285.296|AH2.5|153.968|153.968|285.296|285.296|AH3|153.968|153.968|339.805|339.805|AH3.5|141.701|141.701|339.805|339.805|AH4|141.701|141.701|465.33|465.33|AH4.5|127.373|127.373|465.33|465.33|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m25-astana-men/sultanov-khumoyun-pokorny-lukas-WIXLQTJU/#ah;2;0.50;2","0.5","","","1.8","1.9","","","","","1.8","1.9","","","","","","",""
"FSM","0000002","20240726|165525","20240722_1991310_028774_084323","R10_0_KAZ_M25 Astana","Sultanov","Pokorny","|K|0.573664|EK|G||OL1|1.862|EOL1|OL2|2.4064|EOL2|OH1|175|EOH1|OH2|3.525|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|303.693|303.693|174.985|174.985|AH-3.5|233.359|233.359|174.985|174.985|AH-3|233.359|233.359|196.784|196.784|AH-2.5|203.323|203.323|196.784|196.784|AH-2|203.323|203.323|214.518|214.518|AH-1.5|187.323|187.323|214.518|214.518||AH1.5|163.61|163.61|257.208|257.208|AH2|163.61|163.61|285.296|285.296|AH2.5|153.968|153.968|285.296|285.296|AH3|153.968|153.968|339.805|339.805|AH3.5|141.701|141.701|339.805|339.805|AH4|141.701|141.701|465.33|465.33|AH4.5|127.373|127.373|465.33|465.33|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/kazakhstan/itf-m25-astana-men/sultanov-khumoyun-pokorny-lukas-WIXLQTJU/#ah;2;-0.50;2","-0.5","","","1.9","1.8","","","","","1.9","1.8","","","","","","",""
"FSM","0000002","20240726|165520","20240722_1991310_028774_084323","R10_0_KAZ_M25 Astana","Sultanov","Pokorny","|K|0.573664|EK|G||OL1|1.862|EOL1|OL2|2.4064|EOL2|OH1|175|EOH1|OH2|3.525|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|303.693|303.693|174.985|174.985|AH-3.5|233.359|233.359|174.985|174.985|AH-3|233.359|233.359|196.784|196.784|AH-2.5|203.323|203.323|196.784|196.784|AH-2|203.323|203.323|214.518|214.518|AH-1.5|187.323|187.323|214.518|214.518||AH1.5|163.61|163.61|257.208|257.208|AH2|163.61|163.61|285.296|285.296|AH2.5|153.968|153.968|285.296|285.296|AH3|153.968|153.968|339.805|339.805|AH3.5|141.701|141.701|339.805|339.805|AH4|141.701|141.701|465.33|465.33|AH4.5|127.373|127.373|465.33|465.33|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/kazakhstan/itf-m25-astana-men/sultanov-khumoyun-pokorny-lukas-WIXLQTJU/","","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"SM","0000003","20240726|165547","20240729_1940004_086691_064891","R04_2_FRA_Olympics - Paris","Mensik","Shevchenko","|K|0.620663|EK|G||OL1|1.782|EOL1|OL2|2.8908|EOL2|OH1|2.349|EOH1|OH2|3.6168|EOH2|EG|NA||NAOL1|1.7982|ENAOL1|NAOL2|2.89608|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.59|6.101|1.431|1.902|AH-5|4.59|6.101|1.709|2.271|AH-4|3.017|4.01|2.042|2.714|AH-3.5|2.342|3.113|2.042|2.714|AH-3|2.342|3.113|2.395|3.184|AH-2.5|2.003|2.663|2.395|3.184|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.491|1.976|4.107|5.444|AH3|1.491|1.976|5.169|6.851|AH3.5|1.388|1.839|5.169|6.851|AH4|1.388|1.839|7.606|10.082|AH4.5|1.278|1.694|7.606|10.082|AH5|1.278|1.694|10.767|14.27|AH5.5|1.218|1.614|10.767|14.27||EAH||AHS||K-1.5|2.79471|7|1.7386|7|EK-1.5||K21|3.98435|7|6.63208|1|EK21||K1.5|1.52|7|6.19334|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-olympic-games/mensik-jakub-shevchenko-alexander-tbhxDHt3/#ah;2;-1.50;2","-1.5","1.87","1.99","1.79","1.91","","","","","1.87","1.99","","","","","","",""
"SM","0000003","20240726|165545","20240729_1940004_086691_064891","R04_2_FRA_Olympics - Paris","Mensik","Shevchenko","|K|0.620663|EK|G||OL1|1.782|EOL1|OL2|2.8908|EOL2|OH1|2.349|EOH1|OH2|3.6168|EOH2|EG|NA||NAOL1|1.7982|ENAOL1|NAOL2|2.89608|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.59|6.101|1.431|1.902|AH-5|4.59|6.101|1.709|2.271|AH-4|3.017|4.01|2.042|2.714|AH-3.5|2.342|3.113|2.042|2.714|AH-3|2.342|3.113|2.395|3.184|AH-2.5|2.003|2.663|2.395|3.184|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.491|1.976|4.107|5.444|AH3|1.491|1.976|5.169|6.851|AH3.5|1.388|1.839|5.169|6.851|AH4|1.388|1.839|7.606|10.082|AH4.5|1.278|1.694|7.606|10.082|AH5|1.278|1.694|10.767|14.27|AH5.5|1.218|1.614|10.767|14.27||EAH||AHS||K-1.5|2.79471|7|1.7386|7|EK-1.5||K21|3.98435|7|6.63208|1|EK21||K1.5|1.52|7|6.19334|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-olympic-games/mensik-jakub-shevchenko-alexander-tbhxDHt3/#ah;2;-2.50;2","-2.5","2.04","1.82","1.95","1.75","","","","","2.04","1.82","","","","","","",""
"SM","0000003","20240726|165551","20240729_1940004_086691_064891","R04_2_FRA_Olympics - Paris","Mensik","Shevchenko","|K|0.620663|EK|G||OL1|1.782|EOL1|OL2|2.8908|EOL2|OH1|2.349|EOH1|OH2|3.6168|EOH2|EG|NA||NAOL1|1.7982|ENAOL1|NAOL2|2.89608|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.59|6.101|1.431|1.902|AH-5|4.59|6.101|1.709|2.271|AH-4|3.017|4.01|2.042|2.714|AH-3.5|2.342|3.113|2.042|2.714|AH-3|2.342|3.113|2.395|3.184|AH-2.5|2.003|2.663|2.395|3.184|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.491|1.976|4.107|5.444|AH3|1.491|1.976|5.169|6.851|AH3.5|1.388|1.839|5.169|6.851|AH4|1.388|1.839|7.606|10.082|AH4.5|1.278|1.694|7.606|10.082|AH5|1.278|1.694|10.767|14.27|AH5.5|1.218|1.614|10.767|14.27||EAH||AHS||K-1.5|2.79471|7|1.7386|7|EK-1.5||K21|3.98435|7|6.63208|1|EK21||K1.5|1.52|7|6.19334|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-olympic-games/mensik-jakub-shevchenko-alexander-tbhxDHt3/#ah;2;1.50;1","1.5","1.28","3.9","1.24","3.65","","","","","1.28","3.9","","","","","","",""
"SM","0000003","20240726|165549","20240729_1940004_086691_064891","R04_2_FRA_Olympics - Paris","Mensik","Shevchenko","|K|0.620663|EK|G||OL1|1.782|EOL1|OL2|2.8908|EOL2|OH1|2.349|EOH1|OH2|3.6168|EOH2|EG|NA||NAOL1|1.7982|ENAOL1|NAOL2|2.89608|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.59|6.101|1.431|1.902|AH-5|4.59|6.101|1.709|2.271|AH-4|3.017|4.01|2.042|2.714|AH-3.5|2.342|3.113|2.042|2.714|AH-3|2.342|3.113|2.395|3.184|AH-2.5|2.003|2.663|2.395|3.184|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.491|1.976|4.107|5.444|AH3|1.491|1.976|5.169|6.851|AH3.5|1.388|1.839|5.169|6.851|AH4|1.388|1.839|7.606|10.082|AH4.5|1.278|1.694|7.606|10.082|AH5|1.278|1.694|10.767|14.27|AH5.5|1.218|1.614|10.767|14.27||EAH||AHS||K-1.5|2.79471|7|1.7386|7|EK-1.5||K21|3.98435|7|6.63208|1|EK21||K1.5|1.52|7|6.19334|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-olympic-games/mensik-jakub-shevchenko-alexander-tbhxDHt3/#ah;2;-1.50;1","-1.5","2.75","1.48","2.55","1.45","","","","","2.75","1.48","","","","","","",""
"SM","0000003","20240726|165536","20240729_1940004_086691_064891","R04_2_FRA_Olympics - Paris","Mensik","Shevchenko","|K|0.620663|EK|G||OL1|1.782|EOL1|OL2|2.8908|EOL2|OH1|2.349|EOH1|OH2|3.6168|EOH2|EG|NA||NAOL1|1.7982|ENAOL1|NAOL2|2.89608|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.59|6.101|1.431|1.902|AH-5|4.59|6.101|1.709|2.271|AH-4|3.017|4.01|2.042|2.714|AH-3.5|2.342|3.113|2.042|2.714|AH-3|2.342|3.113|2.395|3.184|AH-2.5|2.003|2.663|2.395|3.184|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.491|1.976|4.107|5.444|AH3|1.491|1.976|5.169|6.851|AH3.5|1.388|1.839|5.169|6.851|AH4|1.388|1.839|7.606|10.082|AH4.5|1.278|1.694|7.606|10.082|AH5|1.278|1.694|10.767|14.27|AH5.5|1.218|1.614|10.767|14.27||EAH||AHS||K-1.5|2.79471|7|1.7386|7|EK-1.5||K21|3.98435|7|6.63208|1|EK21||K1.5|1.52|7|6.19334|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-olympic-games/mensik-jakub-shevchenko-alexander-tbhxDHt3/","","1.72","2.21","1.64","2.12","","","","","1.72","2.21","","","","","","",""
"FSV","0000004","20240726|165556","20240722_1562610_039522_037732","R10_0_JPN_W15 Sapporo","Lee","Miyamoto","|K|0.766356|EK|G||OL1|1.39515|EOL1|OL2|4.65465|EOL2|OH1|131|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-w15-sapporo-women/lee-eunhye-2000-miyamoto-ayumi-M7IY0fb6/","","","","1.24","3.65","","","","","1.25","3.65","","","","","","",""
"FSV","0000005","20240726|165600","20240722_1562610_069758_027780","R10_0_JPN_W15 Sapporo","Mushika","Zhang","|K|0.592555|EK|G||OL1|1.79985|EOL1|OL2|2.6691|EOL2|OH1|169|EOH1|OH2|246|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-w15-sapporo-women/mushika-mio-zhang-ying-Y7u148m1/","","","","1.6","2.2","","","","","1.61","2.2","","","","","","",""
