"FDV","0000001","20240729|201601","20240729_1564704_090464_086442","R04_0_FIN_W15 Savitaipale","Bjork/Johansson","Haavisto/Remander","|K|0.646729|EK|G||OL1|1.55|EOL1|OL2|2.9394|EOL2|OH1|155|EOH1|OH2|284|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/finland/itf-w15-savitaipale-women-doubles/bjork-june-johansson-ida-haavisto-ella-remander-stella-jNlZYXVH/","","","","1.29","3.25","","","","","1.29","3.3","","","","","","",""
"FDV","0000002","20240729|201605","20240729_1564704_019254_095722","R04_0_FIN_W15 Savitaipale","Kolb/Kolb","Matos Sequeira Fernandes/Roots","|K|0.840416|EK|G||OL1|1.19|EOL1|OL2|6.48945|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/finland/itf-w15-savitaipale-women-doubles/kolb-maryna-kolb-nadiya-matos-sequeira-fernandes-jizel-roots-andrea-MscIxGWh/","","","","1.05","8.2","","","","","1.05","8.2","","","","","","",""
"FSM","0000003","20240729|201615","20240729_1992904_103575_067172","R04_0_ROU_M25 Pitesti","Ghetu","Saraiva Dos Santos","|K|0.533601|EK|G||OL1|2.00032|EOL1|OL2|2.2876|EOL2|OH1|188|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.654|310.654|166.735|166.735|AH-3.5|249.847|249.847|166.735|166.735|AH-3|249.847|249.847|178.906|178.906|AH-2.5|226.733|226.733|178.906|178.906|AH-2|226.733|226.733|194.843|194.843|AH-1.5|205.438|205.438|194.843|194.843||AH1.5|178.03|178.03|228.156|228.156|AH2|178.03|178.03|240.317|240.317|AH2.5|171.267|171.267|240.317|240.317|AH3|171.267|171.267|287.68|287.68|AH3.5|153.282|153.282|287.68|287.68|AH4|153.282|153.282|371.485|371.485|AH4.5|136.834|136.834|371.485|371.485|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/ghetu-gabriel-saraiva-dos-santos-paulo-andre-6upbh5P9/#ah;2;1.50;2","1.5","","","1.87","1.83","","","","","1.87","1.83","","","","","","",""
"FSM","0000003","20240729|201617","20240729_1992904_103575_067172","R04_0_ROU_M25 Pitesti","Ghetu","Saraiva Dos Santos","|K|0.533601|EK|G||OL1|2.00032|EOL1|OL2|2.2876|EOL2|OH1|188|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.654|310.654|166.735|166.735|AH-3.5|249.847|249.847|166.735|166.735|AH-3|249.847|249.847|178.906|178.906|AH-2.5|226.733|226.733|178.906|178.906|AH-2|226.733|226.733|194.843|194.843|AH-1.5|205.438|205.438|194.843|194.843||AH1.5|178.03|178.03|228.156|228.156|AH2|178.03|178.03|240.317|240.317|AH2.5|171.267|171.267|240.317|240.317|AH3|171.267|171.267|287.68|287.68|AH3.5|153.282|153.282|287.68|287.68|AH4|153.282|153.282|371.485|371.485|AH4.5|136.834|136.834|371.485|371.485|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/ghetu-gabriel-saraiva-dos-santos-paulo-andre-6upbh5P9/#ah;2;0.50;2","0.5","","","1.95","1.75","","","","","1.95","1.75","","","","","","",""
"FSM","0000003","20240729|201609","20240729_1992904_103575_067172","R04_0_ROU_M25 Pitesti","Ghetu","Saraiva Dos Santos","|K|0.533601|EK|G||OL1|2.00032|EOL1|OL2|2.2876|EOL2|OH1|188|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.654|310.654|166.735|166.735|AH-3.5|249.847|249.847|166.735|166.735|AH-3|249.847|249.847|178.906|178.906|AH-2.5|226.733|226.733|178.906|178.906|AH-2|226.733|226.733|194.843|194.843|AH-1.5|205.438|205.438|194.843|194.843||AH1.5|178.03|178.03|228.156|228.156|AH2|178.03|178.03|240.317|240.317|AH2.5|171.267|171.267|240.317|240.317|AH3|171.267|171.267|287.68|287.68|AH3.5|153.282|153.282|287.68|287.68|AH4|153.282|153.282|371.485|371.485|AH4.5|136.834|136.834|371.485|371.485|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/ghetu-gabriel-saraiva-dos-santos-paulo-andre-6upbh5P9/","","","","2.0","1.72","","","","","2.0","1.72","","","","","","",""
"FSM","0000004","20240729|201633","20240729_1992904_038391_105800","R04_0_ROU_M25 Pitesti","Haliak","Gerbaud","|K|0.810037|EK|G||OL1|1.31936|EOL1|OL2|5.39648|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|159.01|159.01|350.963|350.963|AH-3.5|139.847|139.847|350.963|350.963|AH-3|139.847|139.847|421.85|421.85|AH-2.5|131.07|131.07|421.85|421.85|AH-2|131.07|131.07|484.047|484.047|AH-1.5|126.038|126.038|484.047|484.047||AH1.5|116.494|116.494|706.285|706.285|AH2|116.494|116.494|808.064|808.064|AH2.5|114.123|114.123|808.064|808.064|AH3|114.123|114.123|956.456|956.456|AH3.5|111.676|111.676|956.456|956.456|AH4|111.676|111.676|1097.29|1097.29|AH4.5|110.027|110.027|1097.29|1097.29|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/haliak-mikalai-gerbaud-thomas-6HVZiyET/#ah;2;-6.00;2","-6.0","","","1.78","1.92","","","","","1.78","1.92","","","","","","",""
"FSM","0000004","20240729|201631","20240729_1992904_038391_105800","R04_0_ROU_M25 Pitesti","Haliak","Gerbaud","|K|0.810037|EK|G||OL1|1.31936|EOL1|OL2|5.39648|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|159.01|159.01|350.963|350.963|AH-3.5|139.847|139.847|350.963|350.963|AH-3|139.847|139.847|421.85|421.85|AH-2.5|131.07|131.07|421.85|421.85|AH-2|131.07|131.07|484.047|484.047|AH-1.5|126.038|126.038|484.047|484.047||AH1.5|116.494|116.494|706.285|706.285|AH2|116.494|116.494|808.064|808.064|AH2.5|114.123|114.123|808.064|808.064|AH3|114.123|114.123|956.456|956.456|AH3.5|111.676|111.676|956.456|956.456|AH4|111.676|111.676|1097.29|1097.29|AH4.5|110.027|110.027|1097.29|1097.29|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/haliak-mikalai-gerbaud-thomas-6HVZiyET/#ah;2;-6.50;2","-6.5","","","2.02","1.7","","","","","2.02","1.7","","","","","","",""
"FSM","0000004","20240729|201622","20240729_1992904_038391_105800","R04_0_ROU_M25 Pitesti","Haliak","Gerbaud","|K|0.810037|EK|G||OL1|1.31936|EOL1|OL2|5.39648|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|159.01|159.01|350.963|350.963|AH-3.5|139.847|139.847|350.963|350.963|AH-3|139.847|139.847|421.85|421.85|AH-2.5|131.07|131.07|421.85|421.85|AH-2|131.07|131.07|484.047|484.047|AH-1.5|126.038|126.038|484.047|484.047||AH1.5|116.494|116.494|706.285|706.285|AH2|116.494|116.494|808.064|808.064|AH2.5|114.123|114.123|808.064|808.064|AH3|114.123|114.123|956.456|956.456|AH3.5|111.676|111.676|956.456|956.456|AH4|111.676|111.676|1097.29|1097.29|AH4.5|110.027|110.027|1097.29|1097.29|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/haliak-mikalai-gerbaud-thomas-6HVZiyET/","","","","1.09","6.15","","","","","1.09","6.15","","","","","","",""
"FSM","0000005","20240729|201638","20240729_1992904_085119_081961","R04_0_ROU_M25 Pitesti","Snitari","Piatti","|K|0.976005|EK|G||OL1|1.15|EOL1|OL2|42.6803|EOL2|OH1|103|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|152.979|152.979|420.642|420.642|AH-3.5|131.187|131.187|420.642|420.642|AH-3|131.187|131.187|602.491|602.491|AH-2.5|119.901|119.901|602.491|602.491|AH-2|119.901|119.901|851.589|851.589|AH-1.5|113.305|113.305|851.589|851.589||AH1.5|104.429|104.429|2357.71|2357.71|AH2|104.429|104.429|4627.2|4627.2|AH2.5|102.209|102.209|4627.2|4627.2|AH3|102.209|102.209|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/romania/itf-m25-pitesti-men/ilya-snitari-piatti-rocco-pl2hubUN/","","","","1.03","9.3","","","","","1.03","9.3","","","","","","",""
"SM","0000006","20240729|201701","20240729_1940104_086082_026218","R04_2_USA_Citi Open - Washington","Shang","Ymer","|K|0.786806|EK|G||OL1|1.408|EOL1|OL2|5.1465|EOL2|OH1|1.856|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4208|ENAOL1|NAOL2|5.1559|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.92|5.211|1.512|2.009|AH-5|3.92|5.211|1.93|2.566|AH-4|2.509|3.335|2.593|3.446|AH-3.5|1.883|2.503|2.593|3.446|AH-3|1.883|2.503|3.3|4.385|AH-2.5|1.63|2.166|3.3|4.385|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.67|8.292|10.99|AH3|1.26|1.67|15.03|19.921|AH3.5|1.18|1.564|15.03|19.921|AH4|1.18|1.564|28.231|37.417|AH4.5|1.138|1.508|28.231|37.417|AH5|1.138|1.508|43.955|58.259|AH5.5|1.122|1.487|43.955|58.259||EAH||AHS||K-1.5|2.14488|7|2.18956|7|EK-1.5||K21|3.81043|7|8.03502|1|EK21||K1.5|1.52|1|15.4246|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-washington/shang-juncheng-ymer-elias-vZeHTk23/#ah;2;-2.50;2","-2.5","1.57","2.48","1.53","2.35","","","","","1.57","2.48","","","","","","",""
"SM","0000006","20240729|201658","20240729_1940104_086082_026218","R04_2_USA_Citi Open - Washington","Shang","Ymer","|K|0.786806|EK|G||OL1|1.408|EOL1|OL2|5.1465|EOL2|OH1|1.856|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4208|ENAOL1|NAOL2|5.1559|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.92|5.211|1.512|2.009|AH-5|3.92|5.211|1.93|2.566|AH-4|2.509|3.335|2.593|3.446|AH-3.5|1.883|2.503|2.593|3.446|AH-3|1.883|2.503|3.3|4.385|AH-2.5|1.63|2.166|3.3|4.385|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.26|1.67|8.292|10.99|AH3|1.26|1.67|15.03|19.921|AH3.5|1.18|1.564|15.03|19.921|AH4|1.18|1.564|28.231|37.417|AH4.5|1.138|1.508|28.231|37.417|AH5|1.138|1.508|43.955|58.259|AH5.5|1.122|1.487|43.955|58.259||EAH||AHS||K-1.5|2.14488|7|2.18956|7|EK-1.5||K21|3.81043|7|8.03502|1|EK21||K1.5|1.52|1|15.4246|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-washington/shang-juncheng-ymer-elias-vZeHTk23/#ah;2;-3.50;2","-3.5","1.86","2.0","1.79","1.91","","","","","1.86","2.0","","","","","","",""
