"CSM","0000019","20240801|134759","20240729_1985909_030801_083795","R09_1_POR_Porto Challenger","Ursu","Faria","|K|0.230276|EK|G||OL1|4.63275|EOL1|OL2|1.3715|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.8285|ENAOL1|NAOL2|1.3715|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|11.753|1108.8|1.19|112.294|AH-2.5|9.682|913.392|1.19|112.294|AH-2|9.682|913.392|1.21|114.128|AH-1.5|8.563|807.805|1.21|114.128||AH1.5|5.359|487.22|1.384|125.825|AH2|5.359|487.22|1.497|136.12|AH2.5|4.145|376.851|1.497|136.12|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|14.0778|1|1.54|1|EK-1.5||K21|7.38629|1|4.93516|6|EK21||K1.5|2.45592|6|1.94892|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/portugal/porto-challenger-men/ursu-vadym-faria-jaime-pj5aAgc6/","","","","","","","","","","","","","","","","","",""
"CSM","0000020","20240801|134816","20240729_1986009_074899_047557","R09_1_SMR_San Marino Challenger","Heide","Tseng","|K|0.513472|EK|G||OL1|2.07675|EOL1|OL2|2.1939|EOL2|OH1|195|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1645|ENAOL1|NAOL2|2.2866|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.795|263.683|1.932|182.266|AH-2.5|2.349|221.557|1.932|182.266|AH-2|2.349|221.557|2.105|198.565|AH-1.5|2.135|201.456|2.105|198.565||AH1.5|1.897|172.452|2.618|238.023|AH2|1.897|172.452|2.87|260.925|AH2.5|1.784|162.141|2.87|260.925|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33462|6|1.56568|6|EK-1.5||K21|5.33875|6|6.11467|1|EK21||K1.5|1.54|6|3.7103|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/heide-gustavo-tseng-chun-hsin-ddqCbOTj/#ah;2;0.50;2","0.5","1.87","1.99","1.82","1.88","","","","","1.87","1.99","","","","","","",""
"CSM","0000020","20240801|134814","20240729_1986009_074899_047557","R09_1_SMR_San Marino Challenger","Heide","Tseng","|K|0.513472|EK|G||OL1|2.07675|EOL1|OL2|2.1939|EOL2|OH1|195|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1645|ENAOL1|NAOL2|2.2866|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.795|263.683|1.932|182.266|AH-2.5|2.349|221.557|1.932|182.266|AH-2|2.349|221.557|2.105|198.565|AH-1.5|2.135|201.456|2.105|198.565||AH1.5|1.897|172.452|2.618|238.023|AH2|1.897|172.452|2.87|260.925|AH2.5|1.784|162.141|2.87|260.925|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33462|6|1.56568|6|EK-1.5||K21|5.33875|6|6.11467|1|EK21||K1.5|1.54|6|3.7103|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/heide-gustavo-tseng-chun-hsin-ddqCbOTj/#ah;2;-0.50;2","-0.5","2.0","1.86","1.92","1.78","","","","","2.0","1.86","","","","","","",""
"CSM","0000020","20240801|134821","20240729_1986009_074899_047557","R09_1_SMR_San Marino Challenger","Heide","Tseng","|K|0.513472|EK|G||OL1|2.07675|EOL1|OL2|2.1939|EOL2|OH1|195|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1645|ENAOL1|NAOL2|2.2866|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.795|263.683|1.932|182.266|AH-2.5|2.349|221.557|1.932|182.266|AH-2|2.349|221.557|2.105|198.565|AH-1.5|2.135|201.456|2.105|198.565||AH1.5|1.897|172.452|2.618|238.023|AH2|1.897|172.452|2.87|260.925|AH2.5|1.784|162.141|2.87|260.925|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33462|6|1.56568|6|EK-1.5||K21|5.33875|6|6.11467|1|EK21||K1.5|1.54|6|3.7103|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/heide-gustavo-tseng-chun-hsin-ddqCbOTj/#ah;2;1.50;1","1.5","1.37","3.22","1.34","3.0","","","","","1.37","3.22","","","","","","",""
"CSM","0000020","20240801|134819","20240729_1986009_074899_047557","R09_1_SMR_San Marino Challenger","Heide","Tseng","|K|0.513472|EK|G||OL1|2.07675|EOL1|OL2|2.1939|EOL2|OH1|195|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1645|ENAOL1|NAOL2|2.2866|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.795|263.683|1.932|182.266|AH-2.5|2.349|221.557|1.932|182.266|AH-2|2.349|221.557|2.105|198.565|AH-1.5|2.135|201.456|2.105|198.565||AH1.5|1.897|172.452|2.618|238.023|AH2|1.897|172.452|2.87|260.925|AH2.5|1.784|162.141|2.87|260.925|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33462|6|1.56568|6|EK-1.5||K21|5.33875|6|6.11467|1|EK21||K1.5|1.54|6|3.7103|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/heide-gustavo-tseng-chun-hsin-ddqCbOTj/#ah;2;-1.50;1","-1.5","3.11","1.39","2.95","1.35","","","","","3.11","1.39","","","","","","",""
"CSM","0000020","20240801|134808","20240729_1986009_074899_047557","R09_1_SMR_San Marino Challenger","Heide","Tseng","|K|0.513472|EK|G||OL1|2.07675|EOL1|OL2|2.1939|EOL2|OH1|195|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1645|ENAOL1|NAOL2|2.2866|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.795|263.683|1.932|182.266|AH-2.5|2.349|221.557|1.932|182.266|AH-2|2.349|221.557|2.105|198.565|AH-1.5|2.135|201.456|2.105|198.565||AH1.5|1.897|172.452|2.618|238.023|AH2|1.897|172.452|2.87|260.925|AH2.5|1.784|162.141|2.87|260.925|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33462|6|1.56568|6|EK-1.5||K21|5.33875|6|6.11467|1|EK21||K1.5|1.54|6|3.7103|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/heide-gustavo-tseng-chun-hsin-ddqCbOTj/","","1.93","1.92","1.87","1.83","","","","","1.93","1.92","","","","","","",""
"CSM","0000021","20240801|134828","20240729_1986009_028108_052934","R09_1_SMR_San Marino Challenger","Muller","Cerundolo","|K|0.645705|EK|G||OL1|1.63525|EOL1|OL2|3.01395|EOL2|OH1|155|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.63525|ENAOL1|NAOL2|3.1413|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.095|197.598|2.469|232.954|AH-2.5|1.857|175.214|2.469|232.954|AH-2|1.857|175.214|2.682|253.022|AH-1.5|1.753|165.35|2.682|253.022||AH1.5|1.618|147.094|3.436|312.34|AH2|1.618|147.094|3.752|341.121|AH2.5|1.556|141.473|3.752|341.121|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.76028|6|1.75148|6|EK-1.5||K21|4.89352|6|6.14407|1|EK21||K1.5|1.54|6|5.20035|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men/muller-alexandre-cerundolo-juan-manuel-E1avGUK7/","","","","","","","","","","","","","","","","","",""
"CSM","0000022","20240801|134837","20240729_1986209_069561_071166","R09_1_USA_Lexington Challenger","Braswell","Wong","|K|0.545033|EK|G||OL1|1.9596|EOL1|OL2|2.343|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.442|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.328|219.578|2.258|213.053|AH-2.5|1.998|188.454|2.258|213.053|AH-2|1.998|188.454|2.463|232.364|AH-1.5|1.861|175.549|2.463|232.364||AH1.5|1.703|154.841|3.106|282.345|AH2|1.703|154.841|3.308|300.693|AH2.5|1.648|149.827|3.308|300.693|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.50703|6|1.54|6|EK-1.5||K21|6.29979|1|4.96002|6|EK21||K1.5|1.54|6|3.57687|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/lexington-challenger-men/braswell-micah-wong-chak-lam-coleman-dSNyLnSN/","","","","","","","","","","","","","","","","","",""
"CSV","0000023","20240801|134854","20240729_1563705_006590_032662","R05_1_MAR_W35 Mohammedia","Buyukakcay","Arias Manjon","|K|0.741556|EK|G||OL1|1.43775|EOL1|OL2|3.96675|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.269|221.618|1.866|182.225|AH-5|2.269|221.618|2.196|214.425|AH-4|1.919|187.394|2.766|270.158|AH-3.5|1.626|158.769|2.766|270.158|AH-3|1.626|158.769|3.186|311.115|AH-2.5|1.509|147.367|3.186|311.115|AH-2|1.509|147.367|3.676|358.952|AH-1.5|1.419|138.617|3.676|358.952||AH1.5|1.391|133.323|4.173|400.09|AH2|1.391|133.323|4.224|404.959|AH2.5|1.385|132.791|4.224|404.959|AH3|1.385|132.791|4.882|468.078|AH3.5|1.326|127.168|4.882|468.078|AH4|1.326|127.168|6.557|628.676|AH4.5|1.24|118.915|6.557|628.676|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.2695|5.6|2.16324|5.6|EK-1.5||K21|4.7987|5.6|11.1817|1|EK21||K1.5|1.5|1|7.90898|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/morocco/itf-w35-mohammedia-women/buyukakcay-cagla-arias-manjon-paula-EBSI8Ix1/#ah;2;-4.50;2","-4.5","1.76","2.0","1.82","1.88","","","","","1.82","2.0","","","","","","",""
"CSV","0000023","20240801|134855","20240729_1563705_006590_032662","R05_1_MAR_W35 Mohammedia","Buyukakcay","Arias Manjon","|K|0.741556|EK|G||OL1|1.43775|EOL1|OL2|3.96675|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.269|221.618|1.866|182.225|AH-5|2.269|221.618|2.196|214.425|AH-4|1.919|187.394|2.766|270.158|AH-3.5|1.626|158.769|2.766|270.158|AH-3|1.626|158.769|3.186|311.115|AH-2.5|1.509|147.367|3.186|311.115|AH-2|1.509|147.367|3.676|358.952|AH-1.5|1.419|138.617|3.676|358.952||AH1.5|1.391|133.323|4.173|400.09|AH2|1.391|133.323|4.224|404.959|AH2.5|1.385|132.791|4.224|404.959|AH3|1.385|132.791|4.882|468.078|AH3.5|1.326|127.168|4.882|468.078|AH4|1.326|127.168|6.557|628.676|AH4.5|1.24|118.915|6.557|628.676|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.2695|5.6|2.16324|5.6|EK-1.5||K21|4.7987|5.6|11.1817|1|EK21||K1.5|1.5|1|7.90898|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/morocco/itf-w35-mohammedia-women/buyukakcay-cagla-arias-manjon-paula-EBSI8Ix1/#ah;2;-5.00;2","-5.0","1.93","1.81","2.01","1.71","","","","","2.01","1.81","","","","","","",""
"CSV","0000023","20240801|134859","20240729_1563705_006590_032662","R05_1_MAR_W35 Mohammedia","Buyukakcay","Arias Manjon","|K|0.741556|EK|G||OL1|1.43775|EOL1|OL2|3.96675|EOL2|OH1|1.89|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.269|221.618|1.866|182.225|AH-5|2.269|221.618|2.196|214.425|AH-4|1.919|187.394|2.766|270.158|AH-3.5|1.626|158.769|2.766|270.158|AH-3|1.626|158.769|3.186|311.115|AH-2.5|1.509|147.367|3.186|311.115|AH-2|1.509|147.367|3.676|358.952|AH-1.5|1.419|138.617|3.676|358.952||AH1.5|1.391|133.323|4.173|400.09|AH2|1.391|133.323|4.224|404.959|AH2.5|1.385|132.791|4.224|404.959|AH3|1.385|132.791|4.882|468.078|AH3.5|1.326|127.168|4.882|468.078|AH4|1.326|127.168|6.557|628.676|AH4.5|1.24|118.915|6.557|628.676|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.2695|5.6|2.16324|5.6|EK-1.5||K21|4.7987|5.6|11.1817|1|EK21||K1.5|1.5|1|7.90898|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/morocco/itf-w35-mohammedia-women/buyukakcay-cagla-arias-manjon-paula-EBSI8Ix1/#ah;2;1.50;1","1.5","1.13","5.49","1.12","5.35","","","","","1.13","5.49","","","","","","",""
