"FDV","0000013","20240806|091100","20240805_1566104_072861_095897","R04_0_TUN_W15 Monastir","Cirotte/Girard","Vanlangendonck/Viviani","|K|0.513611|EK|G||OL1|1.95|EOL1|OL2|2.1321|EOL2|OH1|195|EOH1|OH2|206|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-30-women-doubles/astrid-cirotte-girard-emmanuelle-vanlangendonck-eliessa-viviani-maria-vittoria-dWLDckgd/","","","","2.0","1.72","","","","","2.0","1.73","","","","","","",""
"FDV","0000014","20240806|091105","20240805_1566104_095892_095893","R04_0_TUN_W15 Monastir","Koller/Soriano Santiago","Gaillard/Thomas Iglesias","|K|0.705232|EK|G||OL1|1.42|EOL1|OL2|3.519|EOL2|OH1|142|EOH1|OH2|340|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-30-women-doubles/koller-arabella-soriano-santiago-marta-gaillard-delia-thomas-iglesias-lena-YkCOJuAb/","","","","1.24","3.65","","","","","1.24","3.65","","","","","","",""
"FSM","0000015","20240806|091118","20240805_1995204_035979_050519","R04_0_CGO_M25 Brazzaville","Vujic","Kalyanpur","|K|0.629004|EK|G||OL1|1.69176|EOL1|OL2|2.7648|EOL2|OH1|159|EOH1|OH2|4.05|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.029|242.029|194.617|194.617|AH-3.5|205.689|205.689|194.617|194.617|AH-3|205.689|205.689|215.838|215.838|AH-2.5|186.328|186.328|215.838|215.838|AH-2|186.328|186.328|232.475|232.475|AH-1.5|175.486|175.486|232.475|232.475||AH1.5|154.919|154.919|282.086|282.086|AH2|154.919|154.919|311.378|311.378|AH2.5|147.309|147.309|311.378|311.378|AH3|147.309|147.309|373.071|373.071|AH3.5|136.621|136.621|373.071|373.071|AH4|136.621|136.621|505.633|505.633|AH4.5|124.653|124.653|505.633|505.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/republic-of-the-congo/itf-m25-brazzaville-3-men/vujic-stefan-kalyanpur-adil-0dfpgpmD/#ah;2;-3.00;2","-3.0","1.87","1.87","1.85","1.85","","","","","1.87","1.87","","","","","","",""
"FSM","0000015","20240806|091116","20240805_1995204_035979_050519","R04_0_CGO_M25 Brazzaville","Vujic","Kalyanpur","|K|0.629004|EK|G||OL1|1.69176|EOL1|OL2|2.7648|EOL2|OH1|159|EOH1|OH2|4.05|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.029|242.029|194.617|194.617|AH-3.5|205.689|205.689|194.617|194.617|AH-3|205.689|205.689|215.838|215.838|AH-2.5|186.328|186.328|215.838|215.838|AH-2|186.328|186.328|232.475|232.475|AH-1.5|175.486|175.486|232.475|232.475||AH1.5|154.919|154.919|282.086|282.086|AH2|154.919|154.919|311.378|311.378|AH2.5|147.309|147.309|311.378|311.378|AH3|147.309|147.309|373.071|373.071|AH3.5|136.621|136.621|373.071|373.071|AH4|136.621|136.621|505.633|505.633|AH4.5|124.653|124.653|505.633|505.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/republic-of-the-congo/itf-m25-brazzaville-3-men/vujic-stefan-kalyanpur-adil-0dfpgpmD/#ah;2;-3.50;2","-3.5","1.98","1.77","1.97","1.73","","","","","1.98","1.77","","","","","","",""
"FSM","0000015","20240806|091121","20240805_1995204_035979_050519","R04_0_CGO_M25 Brazzaville","Vujic","Kalyanpur","|K|0.629004|EK|G||OL1|1.69176|EOL1|OL2|2.7648|EOL2|OH1|159|EOH1|OH2|4.05|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.029|242.029|194.617|194.617|AH-3.5|205.689|205.689|194.617|194.617|AH-3|205.689|205.689|215.838|215.838|AH-2.5|186.328|186.328|215.838|215.838|AH-2|186.328|186.328|232.475|232.475|AH-1.5|175.486|175.486|232.475|232.475||AH1.5|154.919|154.919|282.086|282.086|AH2|154.919|154.919|311.378|311.378|AH2.5|147.309|147.309|311.378|311.378|AH3|147.309|147.309|373.071|373.071|AH3.5|136.621|136.621|373.071|373.071|AH4|136.621|136.621|505.633|505.633|AH4.5|124.653|124.653|505.633|505.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/republic-of-the-congo/itf-m25-brazzaville-3-men/vujic-stefan-kalyanpur-adil-0dfpgpmD/#ah;2;1.50;1","1.5","1.25","3.68","1.24","3.65","","","","","1.25","3.68","","","","","","",""
"FSM","0000015","20240806|091120","20240805_1995204_035979_050519","R04_0_CGO_M25 Brazzaville","Vujic","Kalyanpur","|K|0.629004|EK|G||OL1|1.69176|EOL1|OL2|2.7648|EOL2|OH1|159|EOH1|OH2|4.05|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.029|242.029|194.617|194.617|AH-3.5|205.689|205.689|194.617|194.617|AH-3|205.689|205.689|215.838|215.838|AH-2.5|186.328|186.328|215.838|215.838|AH-2|186.328|186.328|232.475|232.475|AH-1.5|175.486|175.486|232.475|232.475||AH1.5|154.919|154.919|282.086|282.086|AH2|154.919|154.919|311.378|311.378|AH2.5|147.309|147.309|311.378|311.378|AH3|147.309|147.309|373.071|373.071|AH3.5|136.621|136.621|373.071|373.071|AH4|136.621|136.621|505.633|505.633|AH4.5|124.653|124.653|505.633|505.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/republic-of-the-congo/itf-m25-brazzaville-3-men/vujic-stefan-kalyanpur-adil-0dfpgpmD/#ah;2;-1.50;1","-1.5","2.25","1.6","2.23","1.58","","","","","2.25","1.6","","","","","","",""
"FSM","0000015","20240806|091110","20240805_1995204_035979_050519","R04_0_CGO_M25 Brazzaville","Vujic","Kalyanpur","|K|0.629004|EK|G||OL1|1.69176|EOL1|OL2|2.7648|EOL2|OH1|159|EOH1|OH2|4.05|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|242.029|242.029|194.617|194.617|AH-3.5|205.689|205.689|194.617|194.617|AH-3|205.689|205.689|215.838|215.838|AH-2.5|186.328|186.328|215.838|215.838|AH-2|186.328|186.328|232.475|232.475|AH-1.5|175.486|175.486|232.475|232.475||AH1.5|154.919|154.919|282.086|282.086|AH2|154.919|154.919|311.378|311.378|AH2.5|147.309|147.309|311.378|311.378|AH3|147.309|147.309|373.071|373.071|AH3.5|136.621|136.621|373.071|373.071|AH4|136.621|136.621|505.633|505.633|AH4.5|124.653|124.653|505.633|505.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/republic-of-the-congo/itf-m25-brazzaville-3-men/vujic-stefan-kalyanpur-adil-0dfpgpmD/","","1.53","2.39","1.48","2.45","","","1.42","2.65","1.53","2.66","","","","","","",""
"FSM","0000016","20240806|091136","20240805_1996204_050391_042150","R04_0_ESP_M15+H Tauste","Lopez Morillo","Marrero Curbelo","|K|0.49269|EK|G||OL1|2.15992|EOL1|OL2|2.10672|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m15-h-tauste-men/lopez-morillo-imanol-marrero-curbelo-ivan-ADCQV2X8/#ah;2;2.50;2","2.5","","","1.67","2.07","","","","","1.67","2.07","","","","","","",""
"FSM","0000016","20240806|091134","20240805_1996204_050391_042150","R04_0_ESP_M15+H Tauste","Lopez Morillo","Marrero Curbelo","|K|0.49269|EK|G||OL1|2.15992|EOL1|OL2|2.10672|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m15-h-tauste-men/lopez-morillo-imanol-marrero-curbelo-ivan-ADCQV2X8/#ah;2;1.50;2","1.5","","","1.83","1.87","","","","","1.83","1.87","","","","","","",""
"FSM","0000016","20240806|091126","20240805_1996204_050391_042150","R04_0_ESP_M15+H Tauste","Lopez Morillo","Marrero Curbelo","|K|0.49269|EK|G||OL1|2.15992|EOL1|OL2|2.10672|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m15-h-tauste-men/lopez-morillo-imanol-marrero-curbelo-ivan-ADCQV2X8/","","","","2.2","1.6","","","","","2.2","1.71","","","","","","",""
"FSM","0000018","20240806|091151","20240805_1995304_087763_051087","R04_0_GBR_M25 Roehampton","Bowden","Tajima","|K|0.745042|EK|G||OL1|1.4364|EOL1|OL2|4.02432|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|164.274|164.274|333.118|333.118|AH-3.5|142.897|142.897|333.118|333.118|AH-3|142.897|142.897|384.766|384.766|AH-2.5|135.117|135.117|384.766|384.766|AH-2|135.117|135.117|433.772|433.772|AH-1.5|129.961|129.961|433.772|433.772||AH1.5|119.631|119.631|609.4|609.4|AH2|119.631|119.631|731.638|731.638|AH2.5|115.832|115.832|731.638|731.638|AH3|115.832|115.832|1089.15|1089.15|AH3.5|110.11|110.11|1089.15|1089.15|AH4|110.11|110.11|1693.11|1693.11|AH4.5|106.277|106.277|1693.11|1693.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-roehampton-4-men/bowden-louis-tajima-naoki-SdZ2tIBT/#ah;2;-4.50;2","-4.5","1.69","2.1","1.67","2.07","","","","","1.69","2.1","","","","","","",""
