"FSM","0000037","20240814|092251","20240812_1996604_060218_083315","R04_0_GBR_M25 Aldershot","Salvestre","McCabe","|K|0.0930263|EK|G||OL1|11.008|EOL1|OL2|1.18104|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|102.512|102.512|AH-2.5|4080.17|4080.17|102.512|102.512|AH-2|4080.17|4080.17|105.435|105.435|AH-1.5|1939.78|1939.78|105.435|105.435||AH1.5|750.132|750.132|115.381|115.381|AH2|750.132|750.132|122.531|122.531|AH2.5|543.827|543.827|122.531|122.531|AH3|543.827|543.827|137.228|137.228|AH3.5|368.617|368.617|137.228|137.228|AH4|368.617|368.617|169.023|169.023|AH4.5|244.88|244.88|169.023|169.023|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/salvestre-damien-mccabe-james-4OgRd5rg/","","","","","","","","","","6.04","1.09","","","","","","",""
"FSM","0000038","20240814|092316","20240812_1996605_023259_065506","R05_0_GBR_M25 Aldershot","Mott","Story","|K|0.67907|EK|G||OL1|1.57472|EOL1|OL2|3.19488|EOL2|OH1|1|EOH1|OH2|4.68|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|241.939|241.939|203.59|203.59|AH-3.5|196.535|196.535|203.59|203.59|AH-3|196.535|196.535|236.279|236.279|AH-2.5|173.379|173.379|236.279|236.279|AH-2|173.379|173.379|259.539|259.539|AH-1.5|162.681|162.681|259.539|259.539||AH1.5|144.936|144.936|322.538|322.538|AH2|144.936|144.936|363.007|363.007|AH2.5|138.022|138.022|363.007|363.007|AH3|138.022|138.022|429.447|429.447|AH3.5|130.354|130.354|429.447|429.447|AH4|130.354|130.354|597.936|597.936|AH4.5|120.083|120.083|597.936|597.936|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/mott-blake-story-james-tCPVKp0n/#ah;2;-4.00;2","-4.0","1.84","1.88","","","","","","","1.84","1.88","","","","","","",""
"FSM","0000038","20240814|092314","20240812_1996605_023259_065506","R05_0_GBR_M25 Aldershot","Mott","Story","|K|0.67907|EK|G||OL1|1.57472|EOL1|OL2|3.19488|EOL2|OH1|1|EOH1|OH2|4.68|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|241.939|241.939|203.59|203.59|AH-3.5|196.535|196.535|203.59|203.59|AH-3|196.535|196.535|236.279|236.279|AH-2.5|173.379|173.379|236.279|236.279|AH-2|173.379|173.379|259.539|259.539|AH-1.5|162.681|162.681|259.539|259.539||AH1.5|144.936|144.936|322.538|322.538|AH2|144.936|144.936|363.007|363.007|AH2.5|138.022|138.022|363.007|363.007|AH3|138.022|138.022|429.447|429.447|AH3.5|130.354|130.354|429.447|429.447|AH4|130.354|130.354|597.936|597.936|AH4.5|120.083|120.083|597.936|597.936|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/mott-blake-story-james-tCPVKp0n/#ah;2;-4.50;2","-4.5","2.01","1.73","","","","","","","2.01","1.73","","","","","","",""
"FSM","0000038","20240814|092320","20240812_1996605_023259_065506","R05_0_GBR_M25 Aldershot","Mott","Story","|K|0.67907|EK|G||OL1|1.57472|EOL1|OL2|3.19488|EOL2|OH1|1|EOH1|OH2|4.68|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|241.939|241.939|203.59|203.59|AH-3.5|196.535|196.535|203.59|203.59|AH-3|196.535|196.535|236.279|236.279|AH-2.5|173.379|173.379|236.279|236.279|AH-2|173.379|173.379|259.539|259.539|AH-1.5|162.681|162.681|259.539|259.539||AH1.5|144.936|144.936|322.538|322.538|AH2|144.936|144.936|363.007|363.007|AH2.5|138.022|138.022|363.007|363.007|AH3|138.022|138.022|429.447|429.447|AH3.5|130.354|130.354|429.447|429.447|AH4|130.354|130.354|597.936|597.936|AH4.5|120.083|120.083|597.936|597.936|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/mott-blake-story-james-tCPVKp0n/#ah;2;1.50;1","1.5","1.16","4.69","","","","","","","1.16","4.69","","","","","","",""
"FSM","0000038","20240814|092318","20240812_1996605_023259_065506","R05_0_GBR_M25 Aldershot","Mott","Story","|K|0.67907|EK|G||OL1|1.57472|EOL1|OL2|3.19488|EOL2|OH1|1|EOH1|OH2|4.68|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|241.939|241.939|203.59|203.59|AH-3.5|196.535|196.535|203.59|203.59|AH-3|196.535|196.535|236.279|236.279|AH-2.5|173.379|173.379|236.279|236.279|AH-2|173.379|173.379|259.539|259.539|AH-1.5|162.681|162.681|259.539|259.539||AH1.5|144.936|144.936|322.538|322.538|AH2|144.936|144.936|363.007|363.007|AH2.5|138.022|138.022|363.007|363.007|AH3|138.022|138.022|429.447|429.447|AH3.5|130.354|130.354|429.447|429.447|AH4|130.354|130.354|597.936|597.936|AH4.5|120.083|120.083|597.936|597.936|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/mott-blake-story-james-tCPVKp0n/#ah;2;-1.50;1","-1.5","1.9","1.83","","","","","","","1.9","1.83","","","","","","",""
"FSM","0000038","20240814|092306","20240812_1996605_023259_065506","R05_0_GBR_M25 Aldershot","Mott","Story","|K|0.67907|EK|G||OL1|1.57472|EOL1|OL2|3.19488|EOL2|OH1|1|EOH1|OH2|4.68|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|241.939|241.939|203.59|203.59|AH-3.5|196.535|196.535|203.59|203.59|AH-3|196.535|196.535|236.279|236.279|AH-2.5|173.379|173.379|236.279|236.279|AH-2|173.379|173.379|259.539|259.539|AH-1.5|162.681|162.681|259.539|259.539||AH1.5|144.936|144.936|322.538|322.538|AH2|144.936|144.936|363.007|363.007|AH2.5|138.022|138.022|363.007|363.007|AH3|138.022|138.022|429.447|429.447|AH3.5|130.354|130.354|429.447|429.447|AH4|130.354|130.354|597.936|597.936|AH4.5|120.083|120.083|597.936|597.936|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/mott-blake-story-james-tCPVKp0n/","","1.37","2.88","","","","","","","1.37","2.92","","","","","","",""
"FSM","0000039","20240814|092329","20240812_1996605_059443_042990","R05_0_GBR_M25 Aldershot","Stewart","Imamura","|K|0.556052|EK|G||OL1|1.9152|EOL1|OL2|2.31424|EOL2|OH1|180|EOH1|OH2|3.39|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|297.026|297.026|173.086|173.086|AH-3.5|236.826|236.826|173.086|173.086|AH-3|236.826|236.826|191.358|191.358|AH-2.5|209.46|209.46|191.358|191.358|AH-2|209.46|209.46|204.767|204.767|AH-1.5|195.45|195.45|204.767|204.767||AH1.5|170.005|170.005|242.846|242.846|AH2|170.005|170.005|269.519|269.519|AH2.5|158.99|158.99|269.519|269.519|AH3|158.99|158.99|317.71|317.71|AH3.5|145.933|145.933|317.71|317.71|AH4|145.933|145.933|425.121|425.121|AH4.5|130.758|130.758|425.121|425.121|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/stewart-hamish-imamura-masamichi-WKpUTuqH/#ah;2;0.50;2","0.5","1.93","1.81","","","","","","","1.93","1.81","","","","","","",""
"FSM","0000039","20240814|092335","20240812_1996605_059443_042990","R05_0_GBR_M25 Aldershot","Stewart","Imamura","|K|0.556052|EK|G||OL1|1.9152|EOL1|OL2|2.31424|EOL2|OH1|180|EOH1|OH2|3.39|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|297.026|297.026|173.086|173.086|AH-3.5|236.826|236.826|173.086|173.086|AH-3|236.826|236.826|191.358|191.358|AH-2.5|209.46|209.46|191.358|191.358|AH-2|209.46|209.46|204.767|204.767|AH-1.5|195.45|195.45|204.767|204.767||AH1.5|170.005|170.005|242.846|242.846|AH2|170.005|170.005|269.519|269.519|AH2.5|158.99|158.99|269.519|269.519|AH3|158.99|158.99|317.71|317.71|AH3.5|145.933|145.933|317.71|317.71|AH4|145.933|145.933|425.121|425.121|AH4.5|130.758|130.758|425.121|425.121|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/stewart-hamish-imamura-masamichi-WKpUTuqH/#ah;2;1.50;1","1.5","1.42","2.69","","","","","","","1.42","2.69","","","","","","",""
"FSM","0000039","20240814|092332","20240812_1996605_059443_042990","R05_0_GBR_M25 Aldershot","Stewart","Imamura","|K|0.556052|EK|G||OL1|1.9152|EOL1|OL2|2.31424|EOL2|OH1|180|EOH1|OH2|3.39|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|297.026|297.026|173.086|173.086|AH-3.5|236.826|236.826|173.086|173.086|AH-3|236.826|236.826|191.358|191.358|AH-2.5|209.46|209.46|191.358|191.358|AH-2|209.46|209.46|204.767|204.767|AH-1.5|195.45|195.45|204.767|204.767||AH1.5|170.005|170.005|242.846|242.846|AH2|170.005|170.005|269.519|269.519|AH2.5|158.99|158.99|269.519|269.519|AH3|158.99|158.99|317.71|317.71|AH3.5|145.933|145.933|317.71|317.71|AH4|145.933|145.933|425.121|425.121|AH4.5|130.758|130.758|425.121|425.121|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/stewart-hamish-imamura-masamichi-WKpUTuqH/#ah;2;-1.50;1","-1.5","2.96","1.36","","","","","","","2.96","1.36","","","","","","",""
"FSM","0000039","20240814|092324","20240812_1996605_059443_042990","R05_0_GBR_M25 Aldershot","Stewart","Imamura","|K|0.556052|EK|G||OL1|1.9152|EOL1|OL2|2.31424|EOL2|OH1|180|EOH1|OH2|3.39|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|297.026|297.026|173.086|173.086|AH-3.5|236.826|236.826|173.086|173.086|AH-3|236.826|236.826|191.358|191.358|AH-2.5|209.46|209.46|191.358|191.358|AH-2|209.46|209.46|204.767|204.767|AH-1.5|195.45|195.45|204.767|204.767||AH1.5|170.005|170.005|242.846|242.846|AH2|170.005|170.005|269.519|269.519|AH2.5|158.99|158.99|269.519|269.519|AH3|158.99|158.99|317.71|317.71|AH3.5|145.933|145.933|317.71|317.71|AH4|145.933|145.933|425.121|425.121|AH4.5|130.758|130.758|425.121|425.121|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/united-kingdom/itf-m25-aldershot-men/stewart-hamish-imamura-masamichi-WKpUTuqH/","","2.01","1.74","","","","","","","2.01","1.74","","","","","","",""
"FSM","0000040","20240814|092339","20240812_1998104_091448_105035","R04_0_GER_M15 Ueberlingen","Engel","Funk","|K|0.899426|EK|G||OL1|1.19168|EOL1|OL2|10.1888|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/germany/itf-m15-uberlingen-men/engel-justin-funk-aaron-8xdBJ1Ck/","","","","","","","","","","1.08","6.63","","","","","","",""
