"FDV","0000007","20240815|123908","20240812_1567709_086831_096083","R09_0_USA_W15 Huntsville","Hsu/Yamakita","Bennett/Dekkers","|K|0.9688|EK|G||OL1|1.1|EOL1|OL2|33.1821|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-huntsville-al-women-doubles/hsu-chieh-yu-yamakita-mia-bennett-dj-florentine-dekkers-8SIvZPWF/","","","","1.57","2.25","","","","","1.62","2.25","","","","","","",""
"FSM","0000008","20240815|123923","20240812_1996909_007732_032811","R09_0_BRA_M25 Londrina","Dutra Da Silva","Monzon","|K|0.883802|EK|G||OL1|1.21296|EOL1|OL2|8.81664|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|151.379|151.379|434.615|434.615|AH-3.5|129.885|129.885|434.615|434.615|AH-3|129.885|129.885|585.039|585.039|AH-2.5|120.617|120.617|585.039|585.039|AH-2|120.617|120.617|798.238|798.238|AH-1.5|114.322|114.322|798.238|798.238||AH1.5|105.601|105.601|1885.49|1885.49|AH2|105.601|105.601|2749.96|2749.96|AH2.5|103.774|103.774|2749.96|2749.96|AH3|103.774|103.774|16792.4|16792.4|AH3.5|100.599|100.599|16792.4|16792.4|AH4|100.599|100.599|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/dutra-da-silva-daniel-monzon-ignacio-v5SAUPcK/#ah;2;-5.00;2","-5.0","1.57","2.33","1.66","2.08","","","","","1.66","2.33","","","","","","",""
"FSM","0000008","20240815|123921","20240812_1996909_007732_032811","R09_0_BRA_M25 Londrina","Dutra Da Silva","Monzon","|K|0.883802|EK|G||OL1|1.21296|EOL1|OL2|8.81664|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|151.379|151.379|434.615|434.615|AH-3.5|129.885|129.885|434.615|434.615|AH-3|129.885|129.885|585.039|585.039|AH-2.5|120.617|120.617|585.039|585.039|AH-2|120.617|120.617|798.238|798.238|AH-1.5|114.322|114.322|798.238|798.238||AH1.5|105.601|105.601|1885.49|1885.49|AH2|105.601|105.601|2749.96|2749.96|AH2.5|103.774|103.774|2749.96|2749.96|AH3|103.774|103.774|16792.4|16792.4|AH3.5|100.599|100.599|16792.4|16792.4|AH4|100.599|100.599|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/dutra-da-silva-daniel-monzon-ignacio-v5SAUPcK/#ah;2;-5.50;2","-5.5","1.78","1.99","1.78","1.92","","","","","1.78","1.99","","","","","","",""
"FSM","0000008","20240815|123928","20240812_1996909_007732_032811","R09_0_BRA_M25 Londrina","Dutra Da Silva","Monzon","|K|0.883802|EK|G||OL1|1.21296|EOL1|OL2|8.81664|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|151.379|151.379|434.615|434.615|AH-3.5|129.885|129.885|434.615|434.615|AH-3|129.885|129.885|585.039|585.039|AH-2.5|120.617|120.617|585.039|585.039|AH-2|120.617|120.617|798.238|798.238|AH-1.5|114.322|114.322|798.238|798.238||AH1.5|105.601|105.601|1885.49|1885.49|AH2|105.601|105.601|2749.96|2749.96|AH2.5|103.774|103.774|2749.96|2749.96|AH3|103.774|103.774|16792.4|16792.4|AH3.5|100.599|100.599|16792.4|16792.4|AH4|100.599|100.599|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/dutra-da-silva-daniel-monzon-ignacio-v5SAUPcK/#ah;2;1.50;1","1.5","1.04","11.25","1.03","9.0","","","","","1.04","11.25","","","","","","",""
"FSM","0000008","20240815|123925","20240812_1996909_007732_032811","R09_0_BRA_M25 Londrina","Dutra Da Silva","Monzon","|K|0.883802|EK|G||OL1|1.21296|EOL1|OL2|8.81664|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|151.379|151.379|434.615|434.615|AH-3.5|129.885|129.885|434.615|434.615|AH-3|129.885|129.885|585.039|585.039|AH-2.5|120.617|120.617|585.039|585.039|AH-2|120.617|120.617|798.238|798.238|AH-1.5|114.322|114.322|798.238|798.238||AH1.5|105.601|105.601|1885.49|1885.49|AH2|105.601|105.601|2749.96|2749.96|AH2.5|103.774|103.774|2749.96|2749.96|AH3|103.774|103.774|16792.4|16792.4|AH3.5|100.599|100.599|16792.4|16792.4|AH4|100.599|100.599|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/dutra-da-silva-daniel-monzon-ignacio-v5SAUPcK/#ah;2;-1.50;1","-1.5","1.39","2.87","1.38","2.8","","","","","1.39","2.87","","","","","","",""
"FSM","0000008","20240815|123913","20240812_1996909_007732_032811","R09_0_BRA_M25 Londrina","Dutra Da Silva","Monzon","|K|0.883802|EK|G||OL1|1.21296|EOL1|OL2|8.81664|EOL2|OH1|114|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|151.379|151.379|434.615|434.615|AH-3.5|129.885|129.885|434.615|434.615|AH-3|129.885|129.885|585.039|585.039|AH-2.5|120.617|120.617|585.039|585.039|AH-2|120.617|120.617|798.238|798.238|AH-1.5|114.322|114.322|798.238|798.238||AH1.5|105.601|105.601|1885.49|1885.49|AH2|105.601|105.601|2749.96|2749.96|AH2.5|103.774|103.774|2749.96|2749.96|AH3|103.774|103.774|16792.4|16792.4|AH3.5|100.599|100.599|16792.4|16792.4|AH4|100.599|100.599|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/dutra-da-silva-daniel-monzon-ignacio-v5SAUPcK/","","1.12","5.86","1.13","5.1","","","","","1.16","5.86","","","","","","",""
"FSM","0000009","20240815|123939","20240812_1996909_065733_013804","R09_0_BRA_M25 Londrina","Gimenez","Leite","|K|0.39537|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|449.692|449.692|137.538|137.538|AH-3.5|366.396|366.396|137.538|137.538|AH-3|366.396|366.396|144.36|144.36|AH-2.5|325.43|325.43|144.36|144.36|AH-2|325.43|325.43|149.369|149.369|AH-1.5|302.558|302.558|149.369|149.369||AH1.5|250.077|250.077|166.632|166.632|AH2|250.077|250.077|175.737|175.737|AH2.5|232.037|232.037|175.737|175.737|AH3|232.037|232.037|190.804|190.804|AH3.5|210.127|210.127|190.804|190.804|AH4|210.127|210.127|219.11|219.11|AH4.5|183.956|183.956|219.11|219.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-leite-wilson-WGnOys5m/#ah;2;2.50;2","2.5","2.0","1.76","1.94","1.76","","","","","2.0","1.76","","","","","","",""
"FSM","0000009","20240815|123941","20240812_1996909_065733_013804","R09_0_BRA_M25 Londrina","Gimenez","Leite","|K|0.39537|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|449.692|449.692|137.538|137.538|AH-3.5|366.396|366.396|137.538|137.538|AH-3|366.396|366.396|144.36|144.36|AH-2.5|325.43|325.43|144.36|144.36|AH-2|325.43|325.43|149.369|149.369|AH-1.5|302.558|302.558|149.369|149.369||AH1.5|250.077|250.077|166.632|166.632|AH2|250.077|250.077|175.737|175.737|AH2.5|232.037|232.037|175.737|175.737|AH3|232.037|232.037|190.804|190.804|AH3.5|210.127|210.127|190.804|190.804|AH4|210.127|210.127|219.11|219.11|AH4.5|183.956|183.956|219.11|219.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-leite-wilson-WGnOys5m/#ah;2;-0.50;2","-0.5","","","1.84","1.86","","","","","1.84","1.86","","","","","","",""
"FSM","0000009","20240815|123946","20240812_1996909_065733_013804","R09_0_BRA_M25 Londrina","Gimenez","Leite","|K|0.39537|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|449.692|449.692|137.538|137.538|AH-3.5|366.396|366.396|137.538|137.538|AH-3|366.396|366.396|144.36|144.36|AH-2.5|325.43|325.43|144.36|144.36|AH-2|325.43|325.43|149.369|149.369|AH-1.5|302.558|302.558|149.369|149.369||AH1.5|250.077|250.077|166.632|166.632|AH2|250.077|250.077|175.737|175.737|AH2.5|232.037|232.037|175.737|175.737|AH3|232.037|232.037|190.804|190.804|AH3.5|210.127|210.127|190.804|190.804|AH4|210.127|210.127|219.11|219.11|AH4.5|183.956|183.956|219.11|219.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-leite-wilson-WGnOys5m/#ah;2;1.50;1","1.5","1.6","2.28","1.57","2.25","","","","","1.6","2.28","","","","","","",""
"FSM","0000009","20240815|123943","20240812_1996909_065733_013804","R09_0_BRA_M25 Londrina","Gimenez","Leite","|K|0.39537|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|449.692|449.692|137.538|137.538|AH-3.5|366.396|366.396|137.538|137.538|AH-3|366.396|366.396|144.36|144.36|AH-2.5|325.43|325.43|144.36|144.36|AH-2|325.43|325.43|149.369|149.369|AH-1.5|302.558|302.558|149.369|149.369||AH1.5|250.077|250.077|166.632|166.632|AH2|250.077|250.077|175.737|175.737|AH2.5|232.037|232.037|175.737|175.737|AH3|232.037|232.037|190.804|190.804|AH3.5|210.127|210.127|190.804|190.804|AH4|210.127|210.127|219.11|219.11|AH4.5|183.956|183.956|219.11|219.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-leite-wilson-WGnOys5m/#ah;2;-1.50;1","-1.5","3.52","1.28","3.4","1.27","","","","","3.52","1.28","","","","","","",""
"FSM","0000009","20240815|123932","20240812_1996909_065733_013804","R09_0_BRA_M25 Londrina","Gimenez","Leite","|K|0.39537|EK|G||OL1|2.59072|EOL1|OL2|1.76624|EOL2|OH1|3.795|EOH1|OH2|166|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|449.692|449.692|137.538|137.538|AH-3.5|366.396|366.396|137.538|137.538|AH-3|366.396|366.396|144.36|144.36|AH-2.5|325.43|325.43|144.36|144.36|AH-2|325.43|325.43|149.369|149.369|AH-1.5|302.558|302.558|149.369|149.369||AH1.5|250.077|250.077|166.632|166.632|AH2|250.077|250.077|175.737|175.737|AH2.5|232.037|232.037|175.737|175.737|AH3|232.037|232.037|190.804|190.804|AH3.5|210.127|210.127|190.804|190.804|AH4|210.127|210.127|219.11|219.11|AH4.5|183.956|183.956|219.11|219.11|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-londrina-men/gimenez-igor-leite-wilson-WGnOys5m/","","2.34","1.57","2.3","1.55","","","","","2.34","1.9","","","","","","",""
