"FSM","0000007","20240820|084915","20240819_1999004_033947_070468","R04_0_AUT_M15 Kottingbrunn","Lomakin","Filar","|K|0.333993|EK|G||OL1|3.072|EOL1|OL2|1.60664|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|546.769|546.769|133.463|133.463|AH-3.5|398.839|398.839|133.463|133.463|AH-3|398.839|398.839|143.008|143.008|AH-2.5|332.516|332.516|143.008|143.008|AH-2|332.516|332.516|150.57|150.57|AH-1.5|297.746|297.746|150.57|150.57||AH1.5|242.617|242.617|170.118|170.118|AH2|242.617|242.617|181.574|181.574|AH2.5|222.588|222.588|181.574|181.574|AH3|222.588|222.588|204.581|204.581|AH3.5|195.619|195.619|204.581|204.581|AH4|195.619|195.619|250.622|250.622|AH4.5|166.392|166.392|250.622|250.622|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/austria/itf-m15-kottingbrunn-men/lomakin-grigoriy-filar-karol-juGEDoBa/","","","","","","","","","","2.6","1.44","","","","","","",""
"FSM","0000008","20240820|084929","20240819_1999404_085282_085198","R04_0_BEL_M15 Lambermont","Bonnaud","Alimli","|K|0.601683|EK|G||OL1|1.77688|EOL1|OL2|2.58048|EOL2|OH1|167|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|233.544|233.544|194.723|194.723|AH-3.5|205.571|205.571|194.723|194.723|AH-3|205.571|205.571|209.229|209.229|AH-2.5|191.55|191.55|209.229|209.229|AH-2|191.55|191.55|220.35|220.35|AH-1.5|183.091|183.091|220.35|220.35||AH1.5|163.119|163.119|258.431|258.431|AH2|163.119|163.119|277.33|277.33|AH2.5|156.392|156.392|277.33|277.33|AH3|156.392|156.392|313.077|313.077|AH3.5|146.931|146.931|313.077|313.077|AH4|146.931|146.931|370.051|370.051|AH4.5|137.03|137.03|370.051|370.051|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/belgium/itf-m15-lambermont-men/bonnaud-arthur-alimli-mikail-xEZeYPDG/","","","","1.52","2.37","","","","","1.54","2.37","","","","","","",""
"FSM","0000009","20240820|084954","20240819_1998804_103818_088550","R04_0_BRA_M25 Belem","Meneo","Pinto","|K|0.599722|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-belem-men/meneo-tadeo-pinto-lucca-bBO4wc6e/#ah;2;-1.50;2","-1.5","1.8","1.94","1.76","1.94","","","","","1.8","1.94","","","","","","",""
"FSM","0000009","20240820|084953","20240819_1998804_103818_088550","R04_0_BRA_M25 Belem","Meneo","Pinto","|K|0.599722|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-belem-men/meneo-tadeo-pinto-lucca-bBO4wc6e/#ah;2;-2.50;2","-2.5","1.93","1.82","1.9","1.8","","","","","1.93","1.82","","","","","","",""
"FSM","0000009","20240820|084958","20240819_1998804_103818_088550","R04_0_BRA_M25 Belem","Meneo","Pinto","|K|0.599722|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-belem-men/meneo-tadeo-pinto-lucca-bBO4wc6e/#ah;2;1.50;1","1.5","1.35","3.04","1.34","3.0","","","","","1.35","3.04","","","","","","",""
"FSM","0000009","20240820|084956","20240819_1998804_103818_088550","R04_0_BRA_M25 Belem","Meneo","Pinto","|K|0.599722|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-belem-men/meneo-tadeo-pinto-lucca-bBO4wc6e/#ah;2;-1.50;1","-1.5","2.37","1.54","2.35","1.53","","","","","2.37","1.54","","","","","","",""
"FSM","0000009","20240820|084944","20240819_1998804_103818_088550","R04_0_BRA_M25 Belem","Meneo","Pinto","|K|0.599722|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-belem-men/meneo-tadeo-pinto-lucca-bBO4wc6e/","","","","1.65","2.1","","","1.66","2.05","1.68","2.1","","","","","","",""
"FSM","0000010","20240820|085011","20240819_1998604_013209_050391","R04_0_ESP_M25 Santander","Chazal","Lopez Morillo","|K|0.582016|EK|G||OL1|1.83008|EOL1|OL2|2.4576|EOL2|OH1|172|EOH1|OH2|3.6|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|275.74|275.74|178.886|178.886|AH-3.5|226.765|226.765|178.886|178.886|AH-3|226.765|226.765|197.622|197.622|AH-2.5|202.436|202.436|197.622|197.622|AH-2|202.436|202.436|209.724|209.724|AH-1.5|191.138|191.138|209.724|209.724||AH1.5|167.517|167.517|248.111|248.111|AH2|167.517|167.517|272.909|272.909|AH2.5|157.834|157.834|272.909|272.909|AH3|157.834|157.834|309.99|309.99|AH3.5|147.621|147.621|309.99|309.99|AH4|147.621|147.621|388.665|388.665|AH4.5|134.642|134.642|388.665|388.665|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-santander-men/chazal-maxime-lopez-morillo-imanol-21Oa3RD4/#ah;2;-3.50;2","-3.5","1.79","1.95","1.78","1.92","","","","","1.79","1.95","","","","","","",""
"FSM","0000010","20240820|085013","20240819_1998604_013209_050391","R04_0_ESP_M25 Santander","Chazal","Lopez Morillo","|K|0.582016|EK|G||OL1|1.83008|EOL1|OL2|2.4576|EOL2|OH1|172|EOH1|OH2|3.6|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|275.74|275.74|178.886|178.886|AH-3.5|226.765|226.765|178.886|178.886|AH-3|226.765|226.765|197.622|197.622|AH-2.5|202.436|202.436|197.622|197.622|AH-2|202.436|202.436|209.724|209.724|AH-1.5|191.138|191.138|209.724|209.724||AH1.5|167.517|167.517|248.111|248.111|AH2|167.517|167.517|272.909|272.909|AH2.5|157.834|157.834|272.909|272.909|AH3|157.834|157.834|309.99|309.99|AH3.5|147.621|147.621|309.99|309.99|AH4|147.621|147.621|388.665|388.665|AH4.5|134.642|134.642|388.665|388.665|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-santander-men/chazal-maxime-lopez-morillo-imanol-21Oa3RD4/#ah;2;-4.50;2","-4.5","2.1","1.68","","","","","","","2.1","1.68","","","","","","",""
"FSM","0000010","20240820|085017","20240819_1998604_013209_050391","R04_0_ESP_M25 Santander","Chazal","Lopez Morillo","|K|0.582016|EK|G||OL1|1.83008|EOL1|OL2|2.4576|EOL2|OH1|172|EOH1|OH2|3.6|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|275.74|275.74|178.886|178.886|AH-3.5|226.765|226.765|178.886|178.886|AH-3|226.765|226.765|197.622|197.622|AH-2.5|202.436|202.436|197.622|197.622|AH-2|202.436|202.436|209.724|209.724|AH-1.5|191.138|191.138|209.724|209.724||AH1.5|167.517|167.517|248.111|248.111|AH2|167.517|167.517|272.909|272.909|AH2.5|157.834|157.834|272.909|272.909|AH3|157.834|157.834|309.99|309.99|AH3.5|147.621|147.621|309.99|309.99|AH4|147.621|147.621|388.665|388.665|AH4.5|134.642|134.642|388.665|388.665|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-santander-men/chazal-maxime-lopez-morillo-imanol-21Oa3RD4/#ah;2;1.50;1","1.5","1.22","4.05","1.21","3.9","","","","","1.22","4.05","","","","","","",""
"FSM","0000010","20240820|085015","20240819_1998604_013209_050391","R04_0_ESP_M25 Santander","Chazal","Lopez Morillo","|K|0.582016|EK|G||OL1|1.83008|EOL1|OL2|2.4576|EOL2|OH1|172|EOH1|OH2|3.6|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|275.74|275.74|178.886|178.886|AH-3.5|226.765|226.765|178.886|178.886|AH-3|226.765|226.765|197.622|197.622|AH-2.5|202.436|202.436|197.622|197.622|AH-2|202.436|202.436|209.724|209.724|AH-1.5|191.138|191.138|209.724|209.724||AH1.5|167.517|167.517|248.111|248.111|AH2|167.517|167.517|272.909|272.909|AH2.5|157.834|157.834|272.909|272.909|AH3|157.834|157.834|309.99|309.99|AH3.5|147.621|147.621|309.99|309.99|AH4|147.621|147.621|388.665|388.665|AH4.5|134.642|134.642|388.665|388.665|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-santander-men/chazal-maxime-lopez-morillo-imanol-21Oa3RD4/#ah;2;-1.50;1","-1.5","1.95","1.79","1.92","1.78","","","","","1.95","1.79","","","","","","",""
