"SM","0000025","20240820|132528","20240826_1940502_082371_010828","R02_4_USA_U.S. Open - New York","van Assche","Albot","|K|0.583209|EK|G||OL1|1.892|EOL1|OL2|2.628|EOL2|OH1|2.494|EOH1|OH2|3.288|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.6328|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-us-open/van-assche-luca-albot-radu-4OklRkN8/","","1.76","2.09","1.71","2.01","","","","","1.8","2.09","","","","","","",""
"SM","0000026","20240820|132539","20240819_1940405_011226_076127","R05_2_USA_Winston-Salem Open - Winston-Salem","Goffin","Darderi","|K|0.478884|EK|G||OL1|2.28855|EOL1|OL2|2.112|EOL2|OH1|2.8633|EOH1|OH2|2.784|EOH2|EG|NA||NAOL1|2.29273|ENAOL1|NAOL2|2.1312|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|6.692|8.895|1.303|1.732|AH-5|6.692|8.895|1.407|1.87|AH-4|4.856|6.454|1.619|2.152|AH-3.5|3.346|4.446|1.619|2.152|AH-3|3.346|4.446|1.75|2.326|AH-2.5|2.897|3.85|1.75|2.326|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.964|2.603|2.47|3.274|AH3|1.964|2.603|3.091|4.097|AH3.5|1.693|2.244|3.091|4.097|AH4|1.693|2.244|4.123|5.465|AH4.5|1.489|1.974|4.123|5.465|AH5|1.489|1.974|6.73|8.92|AH5.5|1.306|1.731|6.73|8.92||EAH||AHS||K-1.5|3.67527|7|1.52|7|EK-1.5||K21|7.03273|1|4.49155|7|EK21||K1.5|1.52247|7|3.53235|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-winston-salem/goffin-david-darderi-luciano-8Gx90f0N/#ah;2;1.50;2","1.5","","","1.61","2.17","","","","","1.61","2.17","","","","","","",""
"SM","0000026","20240820|132547","20240819_1940405_011226_076127","R05_2_USA_Winston-Salem Open - Winston-Salem","Goffin","Darderi","|K|0.478884|EK|G||OL1|2.28855|EOL1|OL2|2.112|EOL2|OH1|2.8633|EOH1|OH2|2.784|EOH2|EG|NA||NAOL1|2.29273|ENAOL1|NAOL2|2.1312|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|6.692|8.895|1.303|1.732|AH-5|6.692|8.895|1.407|1.87|AH-4|4.856|6.454|1.619|2.152|AH-3.5|3.346|4.446|1.619|2.152|AH-3|3.346|4.446|1.75|2.326|AH-2.5|2.897|3.85|1.75|2.326|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.964|2.603|2.47|3.274|AH3|1.964|2.603|3.091|4.097|AH3.5|1.693|2.244|3.091|4.097|AH4|1.693|2.244|4.123|5.465|AH4.5|1.489|1.974|4.123|5.465|AH5|1.489|1.974|6.73|8.92|AH5.5|1.306|1.731|6.73|8.92||EAH||AHS||K-1.5|3.67527|7|1.52|7|EK-1.5||K21|7.03273|1|4.49155|7|EK21||K1.5|1.52247|7|3.53235|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-winston-salem/goffin-david-darderi-luciano-8Gx90f0N/#ah;2;1.50;1","1.5","1.36","3.3","1.32","3.1","","","","","1.36","3.3","","","","","","",""
"SM","0000026","20240820|132544","20240819_1940405_011226_076127","R05_2_USA_Winston-Salem Open - Winston-Salem","Goffin","Darderi","|K|0.478884|EK|G||OL1|2.28855|EOL1|OL2|2.112|EOL2|OH1|2.8633|EOH1|OH2|2.784|EOH2|EG|NA||NAOL1|2.29273|ENAOL1|NAOL2|2.1312|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|6.692|8.895|1.303|1.732|AH-5|6.692|8.895|1.407|1.87|AH-4|4.856|6.454|1.619|2.152|AH-3.5|3.346|4.446|1.619|2.152|AH-3|3.346|4.446|1.75|2.326|AH-2.5|2.897|3.85|1.75|2.326|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.964|2.603|2.47|3.274|AH3|1.964|2.603|3.091|4.097|AH3.5|1.693|2.244|3.091|4.097|AH4|1.693|2.244|4.123|5.465|AH4.5|1.489|1.974|4.123|5.465|AH5|1.489|1.974|6.73|8.92|AH5.5|1.306|1.731|6.73|8.92||EAH||AHS||K-1.5|3.67527|7|1.52|7|EK-1.5||K21|7.03273|1|4.49155|7|EK21||K1.5|1.52247|7|3.53235|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-winston-salem/goffin-david-darderi-luciano-8Gx90f0N/#ah;2;-1.50;1","-1.5","3.17","1.38","3.0","1.34","","","","","3.17","1.38","","","","","","",""
"SM","0000026","20240820|132533","20240819_1940405_011226_076127","R05_2_USA_Winston-Salem Open - Winston-Salem","Goffin","Darderi","|K|0.478884|EK|G||OL1|2.28855|EOL1|OL2|2.112|EOL2|OH1|2.8633|EOH1|OH2|2.784|EOH2|EG|NA||NAOL1|2.29273|ENAOL1|NAOL2|2.1312|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|6.692|8.895|1.303|1.732|AH-5|6.692|8.895|1.407|1.87|AH-4|4.856|6.454|1.619|2.152|AH-3.5|3.346|4.446|1.619|2.152|AH-3|3.346|4.446|1.75|2.326|AH-2.5|2.897|3.85|1.75|2.326|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.964|2.603|2.47|3.274|AH3|1.964|2.603|3.091|4.097|AH3.5|1.693|2.244|3.091|4.097|AH4|1.693|2.244|4.123|5.465|AH4.5|1.489|1.974|4.123|5.465|AH5|1.489|1.974|6.73|8.92|AH5.5|1.306|1.731|6.73|8.92||EAH||AHS||K-1.5|3.67527|7|1.52|7|EK-1.5||K21|7.03273|1|4.49155|7|EK21||K1.5|1.52247|7|3.53235|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-winston-salem/goffin-david-darderi-luciano-8Gx90f0N/","","1.87","2.0","1.8","1.9","","","1.92","1.88","1.92","2.0","","","","","","",""
"SM","0000027","20240820|132600","20240819_1940405_036263_028900","R05_2_USA_Winston-Salem Open - Winston-Salem","Moutet","Safiullin","|K|0.421396|EK|G||OL1|2.6061|EOL1|OL2|1.903|EOL2|OH1|3.2606|EOH1|OH2|2.5085|EOH2|EG|NA||NAOL1|2.61086|ENAOL1|NAOL2|1.9203|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.97|13.251|1.225|1.628|AH-5|9.97|13.251|1.318|1.751|AH-4|6.345|8.433|1.493|1.985|AH-3.5|4.05|5.382|1.493|1.985|AH-3|4.05|5.382|1.645|2.186|AH-2.5|3.241|4.308|1.645|2.186|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.122|2.812|2.259|2.994|AH3|2.122|2.812|2.654|3.518|AH3.5|1.861|2.467|2.654|3.518|AH4|1.861|2.467|3.346|4.435|AH4.5|1.625|2.154|3.346|4.435|AH5|1.625|2.154|4.929|6.533|AH5.5|1.406|1.864|4.929|6.533||EAH||AHS||K-1.5|4.87009|7|1.52|7|EK-1.5||K21|5.09349|7|5.04726|7|EK21||K1.5|1.62753|7|3.10658|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-winston-salem/moutet-corentin-safiullin-roman-tCHM3fnK/#ah;2;1.50;2","1.5","2.07","1.8","1.97","1.73","","","","","2.07","1.8","","","","","","",""
"SM","0000027","20240820|132603","20240819_1940405_036263_028900","R05_2_USA_Winston-Salem Open - Winston-Salem","Moutet","Safiullin","|K|0.421396|EK|G||OL1|2.6061|EOL1|OL2|1.903|EOL2|OH1|3.2606|EOH1|OH2|2.5085|EOH2|EG|NA||NAOL1|2.61086|ENAOL1|NAOL2|1.9203|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.97|13.251|1.225|1.628|AH-5|9.97|13.251|1.318|1.751|AH-4|6.345|8.433|1.493|1.985|AH-3.5|4.05|5.382|1.493|1.985|AH-3|4.05|5.382|1.645|2.186|AH-2.5|3.241|4.308|1.645|2.186|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.122|2.812|2.259|2.994|AH3|2.122|2.812|2.654|3.518|AH3.5|1.861|2.467|2.654|3.518|AH4|1.861|2.467|3.346|4.435|AH4.5|1.625|2.154|3.346|4.435|AH5|1.625|2.154|4.929|6.533|AH5.5|1.406|1.864|4.929|6.533||EAH||AHS||K-1.5|4.87009|7|1.52|7|EK-1.5||K21|5.09349|7|5.04726|7|EK21||K1.5|1.62753|7|3.10658|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-winston-salem/moutet-corentin-safiullin-roman-tCHM3fnK/#ah;2;0.50;2","0.5","","","2.15","1.62","","","","","2.15","1.62","","","","","","",""
"SM","0000027","20240820|132608","20240819_1940405_036263_028900","R05_2_USA_Winston-Salem Open - Winston-Salem","Moutet","Safiullin","|K|0.421396|EK|G||OL1|2.6061|EOL1|OL2|1.903|EOL2|OH1|3.2606|EOH1|OH2|2.5085|EOH2|EG|NA||NAOL1|2.61086|ENAOL1|NAOL2|1.9203|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.97|13.251|1.225|1.628|AH-5|9.97|13.251|1.318|1.751|AH-4|6.345|8.433|1.493|1.985|AH-3.5|4.05|5.382|1.493|1.985|AH-3|4.05|5.382|1.645|2.186|AH-2.5|3.241|4.308|1.645|2.186|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.122|2.812|2.259|2.994|AH3|2.122|2.812|2.654|3.518|AH3.5|1.861|2.467|2.654|3.518|AH4|1.861|2.467|3.346|4.435|AH4.5|1.625|2.154|3.346|4.435|AH5|1.625|2.154|4.929|6.533|AH5.5|1.406|1.864|4.929|6.533||EAH||AHS||K-1.5|4.87009|7|1.52|7|EK-1.5||K21|5.09349|7|5.04726|7|EK21||K1.5|1.62753|7|3.10658|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-winston-salem/moutet-corentin-safiullin-roman-tCHM3fnK/#ah;2;1.50;1","1.5","1.51","2.66","1.47","2.5","","","1.5","2.55","1.51","2.66","","","","","","",""
"SM","0000027","20240820|132605","20240819_1940405_036263_028900","R05_2_USA_Winston-Salem Open - Winston-Salem","Moutet","Safiullin","|K|0.421396|EK|G||OL1|2.6061|EOL1|OL2|1.903|EOL2|OH1|3.2606|EOH1|OH2|2.5085|EOH2|EG|NA||NAOL1|2.61086|ENAOL1|NAOL2|1.9203|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.97|13.251|1.225|1.628|AH-5|9.97|13.251|1.318|1.751|AH-4|6.345|8.433|1.493|1.985|AH-3.5|4.05|5.382|1.493|1.985|AH-3|4.05|5.382|1.645|2.186|AH-2.5|3.241|4.308|1.645|2.186|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.122|2.812|2.259|2.994|AH3|2.122|2.812|2.654|3.518|AH3.5|1.861|2.467|2.654|3.518|AH4|1.861|2.467|3.346|4.435|AH4.5|1.625|2.154|3.346|4.435|AH5|1.625|2.154|4.929|6.533|AH5.5|1.406|1.864|4.929|6.533||EAH||AHS||K-1.5|4.87009|7|1.52|7|EK-1.5||K21|5.09349|7|5.04726|7|EK21||K1.5|1.62753|7|3.10658|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-winston-salem/moutet-corentin-safiullin-roman-tCHM3fnK/#ah;2;-1.50;1","-1.5","4.1","1.26","3.75","1.23","","","4.1","1.24","4.1","1.26","","","","","","",""
"SM","0000027","20240820|132551","20240819_1940405_036263_028900","R05_2_USA_Winston-Salem Open - Winston-Salem","Moutet","Safiullin","|K|0.421396|EK|G||OL1|2.6061|EOL1|OL2|1.903|EOL2|OH1|3.2606|EOH1|OH2|2.5085|EOH2|EG|NA||NAOL1|2.61086|ENAOL1|NAOL2|1.9203|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.97|13.251|1.225|1.628|AH-5|9.97|13.251|1.318|1.751|AH-4|6.345|8.433|1.493|1.985|AH-3.5|4.05|5.382|1.493|1.985|AH-3|4.05|5.382|1.645|2.186|AH-2.5|3.241|4.308|1.645|2.186|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.122|2.812|2.259|2.994|AH3|2.122|2.812|2.654|3.518|AH3.5|1.861|2.467|2.654|3.518|AH4|1.861|2.467|3.346|4.435|AH4.5|1.625|2.154|3.346|4.435|AH5|1.625|2.154|4.929|6.533|AH5.5|1.406|1.864|4.929|6.533||EAH||AHS||K-1.5|4.87009|7|1.52|7|EK-1.5||K21|5.09349|7|5.04726|7|EK21||K1.5|1.62753|7|3.10658|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-winston-salem/moutet-corentin-safiullin-roman-tCHM3fnK/","","2.36","1.64","2.25","1.57","","","2.32","1.61","2.36","1.65","","","","","","",""
"SV","0000028","20240820|132612","20240826_1524402_031727_041888","R02_4_USA_U.S. Open - New York","Gao","Starodubtseva","|K|0.296954|EK|G||OL1|3.40033|EOL1|OL2|1.6016|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA||NAOL1|3.67667|ENAOL1|NAOL2|1.6016|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open/gao-xinyu-starodubtsewa-yulia-Usq1SI7N/","","2.79","1.45","","","","","","","2.79","1.46","","","","","","",""
