"SV","0000091","20240821|084104","20240826_1524402_018454_072414","R02_4_USA_U.S. Open - New York","Shymanovich","Joint","|K|0.212772|EK|G||OL1|4.7423|EOL1|OL2|1.4336|EOL2|OH1|1|EOH1|OH2|128|EOH2|EG|NA||NAOL1|5.1277|ENAOL1|NAOL2|1.4336|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open/shymanovich-iryna-joint-maya-Kte1GrS6/","","4.12","1.24","3.25","1.29","","","","","4.25","1.29","","","","","","",""
"SV","0000092","20240821|084114","20240819_1524205_054123_011371","R05_2_MEX_Abierto GNP Seguros - Monterrey","Avanesyan","Svitolina","|K|0.265491|EK|G||OL1|3.80393|EOL1|OL2|1.5344|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.11307|ENAOL1|NAOL2|1.5344|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|16.191|19.31|1.169|1.394|AH-5|16.191|19.31|1.228|1.464|AH-4|9.712|11.583|1.282|1.529|AH-3.5|7.265|8.665|1.282|1.529|AH-3|7.265|8.665|1.357|1.619|AH-2.5|5.537|6.604|1.357|1.619|AH-2|5.537|6.604|1.41|1.681|AH-1.5|4.809|5.735|1.41|1.681||AH1.5|3.425|312.761|1.61|147.001|AH2|3.425|312.761|1.706|155.812|AH2.5|3.057|279.174|1.706|155.812|AH3|3.057|279.174|1.889|172.486|AH3.5|2.606|237.958|1.889|172.486|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.84912|1|1.20862|1|EK-1.5||K21|7.61905|5.5|5.17279|5.5|EK21||K1.5|2.05356|5.5|2.3273|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/avanesyan-elina-monfils-elina-GS4IrmBm/#ah;2;4.50;2","4.5","1.92","1.93","1.82","1.88","","","1.89","1.87","1.92","1.93","","","","","","",""
"SV","0000092","20240821|084116","20240819_1524205_054123_011371","R05_2_MEX_Abierto GNP Seguros - Monterrey","Avanesyan","Svitolina","|K|0.265491|EK|G||OL1|3.80393|EOL1|OL2|1.5344|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.11307|ENAOL1|NAOL2|1.5344|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|16.191|19.31|1.169|1.394|AH-5|16.191|19.31|1.228|1.464|AH-4|9.712|11.583|1.282|1.529|AH-3.5|7.265|8.665|1.282|1.529|AH-3|7.265|8.665|1.357|1.619|AH-2.5|5.537|6.604|1.357|1.619|AH-2|5.537|6.604|1.41|1.681|AH-1.5|4.809|5.735|1.41|1.681||AH1.5|3.425|312.761|1.61|147.001|AH2|3.425|312.761|1.706|155.812|AH2.5|3.057|279.174|1.706|155.812|AH3|3.057|279.174|1.889|172.486|AH3.5|2.606|237.958|1.889|172.486|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.84912|1|1.20862|1|EK-1.5||K21|7.61905|5.5|5.17279|5.5|EK21||K1.5|2.05356|5.5|2.3273|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/avanesyan-elina-monfils-elina-GS4IrmBm/#ah;2;3.50;2","3.5","2.34","1.64","2.23","1.58","","","","","2.34","1.64","","","","","","",""
"SV","0000092","20240821|084119","20240819_1524205_054123_011371","R05_2_MEX_Abierto GNP Seguros - Monterrey","Avanesyan","Svitolina","|K|0.265491|EK|G||OL1|3.80393|EOL1|OL2|1.5344|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.11307|ENAOL1|NAOL2|1.5344|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|16.191|19.31|1.169|1.394|AH-5|16.191|19.31|1.228|1.464|AH-4|9.712|11.583|1.282|1.529|AH-3.5|7.265|8.665|1.282|1.529|AH-3|7.265|8.665|1.357|1.619|AH-2.5|5.537|6.604|1.357|1.619|AH-2|5.537|6.604|1.41|1.681|AH-1.5|4.809|5.735|1.41|1.681||AH1.5|3.425|312.761|1.61|147.001|AH2|3.425|312.761|1.706|155.812|AH2.5|3.057|279.174|1.706|155.812|AH3|3.057|279.174|1.889|172.486|AH3.5|2.606|237.958|1.889|172.486|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.84912|1|1.20862|1|EK-1.5||K21|7.61905|5.5|5.17279|5.5|EK21||K1.5|2.05356|5.5|2.3273|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/avanesyan-elina-monfils-elina-GS4IrmBm/#ah;2;1.50;1","1.5","1.95","1.9","1.87","1.83","","","1.95","1.81","1.95","1.9","","","","","","",""
"SV","0000092","20240821|084117","20240819_1524205_054123_011371","R05_2_MEX_Abierto GNP Seguros - Monterrey","Avanesyan","Svitolina","|K|0.265491|EK|G||OL1|3.80393|EOL1|OL2|1.5344|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.11307|ENAOL1|NAOL2|1.5344|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|16.191|19.31|1.169|1.394|AH-5|16.191|19.31|1.228|1.464|AH-4|9.712|11.583|1.282|1.529|AH-3.5|7.265|8.665|1.282|1.529|AH-3|7.265|8.665|1.357|1.619|AH-2.5|5.537|6.604|1.357|1.619|AH-2|5.537|6.604|1.41|1.681|AH-1.5|4.809|5.735|1.41|1.681||AH1.5|3.425|312.761|1.61|147.001|AH2|3.425|312.761|1.706|155.812|AH2.5|3.057|279.174|1.706|155.812|AH3|3.057|279.174|1.889|172.486|AH3.5|2.606|237.958|1.889|172.486|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.84912|1|1.20862|1|EK-1.5||K21|7.61905|5.5|5.17279|5.5|EK21||K1.5|2.05356|5.5|2.3273|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/avanesyan-elina-monfils-elina-GS4IrmBm/#ah;2;-1.50;1","-1.5","7.15","1.12","6.0","1.1","","","6.5","1.12","7.15","1.12","","","","","","",""
"SV","0000092","20240821|084107","20240819_1524205_054123_011371","R05_2_MEX_Abierto GNP Seguros - Monterrey","Avanesyan","Svitolina","|K|0.265491|EK|G||OL1|3.80393|EOL1|OL2|1.5344|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.11307|ENAOL1|NAOL2|1.5344|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|16.191|19.31|1.169|1.394|AH-5|16.191|19.31|1.228|1.464|AH-4|9.712|11.583|1.282|1.529|AH-3.5|7.265|8.665|1.282|1.529|AH-3|7.265|8.665|1.357|1.619|AH-2.5|5.537|6.604|1.357|1.619|AH-2|5.537|6.604|1.41|1.681|AH-1.5|4.809|5.735|1.41|1.681||AH1.5|3.425|312.761|1.61|147.001|AH2|3.425|312.761|1.706|155.812|AH2.5|3.057|279.174|1.706|155.812|AH3|3.057|279.174|1.889|172.486|AH3.5|2.606|237.958|1.889|172.486|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|7.84912|1|1.20862|1|EK-1.5||K21|7.61905|5.5|5.17279|5.5|EK21||K1.5|2.05356|5.5|2.3273|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/wta-monterrey/avanesyan-elina-monfils-elina-GS4IrmBm/","","3.59","1.32","3.25","1.29","","","3.6","1.29","3.6","1.32","","","","","","",""
"SV","0000093","20240821|084132","20240819_1524305_017501_057090","R05_2_USA_Tennis in the Land - Cleveland","Siniakova","Bouzas Maneiro","|K|0.618684|EK|G||OL1|1.8144|EOL1|OL2|2.65367|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8144|ENAOL1|NAOL2|2.86933|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.755|4.479|1.536|1.832|AH-5|3.755|4.479|1.791|2.135|AH-4|2.786|3.323|2.196|2.619|AH-3.5|2.164|2.581|2.196|2.619|AH-3|2.164|2.581|2.514|2.998|AH-2.5|1.925|2.295|2.514|2.998|AH-2|1.925|2.295|2.689|3.207|AH-1.5|1.833|2.186|2.689|3.207||AH1.5|1.571|143.502|3.612|329.876|AH2|1.571|143.502|4.09|373.523|AH2.5|1.495|136.56|4.09|373.523|AH3|1.495|136.56|4.793|437.703|AH3.5|1.419|129.612|4.793|437.703|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73225|5.5|1.78993|1|EK-1.5||K21|5.27983|5.5|8.45194|1|EK21||K1.5|1.35532|1|4.83272|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/siniakova-katerina-bouzas-maneiro-jessica-I7kADizg/#ah;2;-2.50;2","-2.5","1.73","2.17","1.65","2.1","","","","","1.73","2.17","","","","","","",""
"SV","0000093","20240821|084131","20240819_1524305_017501_057090","R05_2_USA_Tennis in the Land - Cleveland","Siniakova","Bouzas Maneiro","|K|0.618684|EK|G||OL1|1.8144|EOL1|OL2|2.65367|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8144|ENAOL1|NAOL2|2.86933|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.755|4.479|1.536|1.832|AH-5|3.755|4.479|1.791|2.135|AH-4|2.786|3.323|2.196|2.619|AH-3.5|2.164|2.581|2.196|2.619|AH-3|2.164|2.581|2.514|2.998|AH-2.5|1.925|2.295|2.514|2.998|AH-2|1.925|2.295|2.689|3.207|AH-1.5|1.833|2.186|2.689|3.207||AH1.5|1.571|143.502|3.612|329.876|AH2|1.571|143.502|4.09|373.523|AH2.5|1.495|136.56|4.09|373.523|AH3|1.495|136.56|4.793|437.703|AH3.5|1.419|129.612|4.793|437.703|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73225|5.5|1.78993|1|EK-1.5||K21|5.27983|5.5|8.45194|1|EK21||K1.5|1.35532|1|4.83272|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/wta-cleveland/siniakova-katerina-bouzas-maneiro-jessica-I7kADizg/#ah;2;-3.50;2","-3.5","1.93","1.93","1.85","1.85","","","1.88","1.91","1.93","1.93","","","","","","",""
"SV","0000093","20240821|084136","20240819_1524305_017501_057090","R05_2_USA_Tennis in the Land - Cleveland","Siniakova","Bouzas Maneiro","|K|0.618684|EK|G||OL1|1.8144|EOL1|OL2|2.65367|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8144|ENAOL1|NAOL2|2.86933|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.755|4.479|1.536|1.832|AH-5|3.755|4.479|1.791|2.135|AH-4|2.786|3.323|2.196|2.619|AH-3.5|2.164|2.581|2.196|2.619|AH-3|2.164|2.581|2.514|2.998|AH-2.5|1.925|2.295|2.514|2.998|AH-2|1.925|2.295|2.689|3.207|AH-1.5|1.833|2.186|2.689|3.207||AH1.5|1.571|143.502|3.612|329.876|AH2|1.571|143.502|4.09|373.523|AH2.5|1.495|136.56|4.09|373.523|AH3|1.495|136.56|4.793|437.703|AH3.5|1.419|129.612|4.793|437.703|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73225|5.5|1.78993|1|EK-1.5||K21|5.27983|5.5|8.45194|1|EK21||K1.5|1.35532|1|4.83272|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/siniakova-katerina-bouzas-maneiro-jessica-I7kADizg/#ah;2;1.50;1","1.5","1.21","4.67","1.19","4.15","","","1.2","4.6","1.21","4.67","","","","","","",""
"SV","0000093","20240821|084134","20240819_1524305_017501_057090","R05_2_USA_Tennis in the Land - Cleveland","Siniakova","Bouzas Maneiro","|K|0.618684|EK|G||OL1|1.8144|EOL1|OL2|2.65367|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8144|ENAOL1|NAOL2|2.86933|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.755|4.479|1.536|1.832|AH-5|3.755|4.479|1.791|2.135|AH-4|2.786|3.323|2.196|2.619|AH-3.5|2.164|2.581|2.196|2.619|AH-3|2.164|2.581|2.514|2.998|AH-2.5|1.925|2.295|2.514|2.998|AH-2|1.925|2.295|2.689|3.207|AH-1.5|1.833|2.186|2.689|3.207||AH1.5|1.571|143.502|3.612|329.876|AH2|1.571|143.502|4.09|373.523|AH2.5|1.495|136.56|4.09|373.523|AH3|1.495|136.56|4.793|437.703|AH3.5|1.419|129.612|4.793|437.703|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73225|5.5|1.78993|1|EK-1.5||K21|5.27983|5.5|8.45194|1|EK21||K1.5|1.35532|1|4.83272|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/wta-cleveland/siniakova-katerina-bouzas-maneiro-jessica-I7kADizg/#ah;2;-1.50;1","-1.5","2.25","1.68","2.15","1.62","","","2.2","1.66","2.25","1.68","","","","","","",""
"SV","0000093","20240821|084123","20240819_1524305_017501_057090","R05_2_USA_Tennis in the Land - Cleveland","Siniakova","Bouzas Maneiro","|K|0.618684|EK|G||OL1|1.8144|EOL1|OL2|2.65367|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8144|ENAOL1|NAOL2|2.86933|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|3.755|4.479|1.536|1.832|AH-5|3.755|4.479|1.791|2.135|AH-4|2.786|3.323|2.196|2.619|AH-3.5|2.164|2.581|2.196|2.619|AH-3|2.164|2.581|2.514|2.998|AH-2.5|1.925|2.295|2.514|2.998|AH-2|1.925|2.295|2.689|3.207|AH-1.5|1.833|2.186|2.689|3.207||AH1.5|1.571|143.502|3.612|329.876|AH2|1.571|143.502|4.09|373.523|AH2.5|1.495|136.56|4.09|373.523|AH3|1.495|136.56|4.793|437.703|AH3.5|1.419|129.612|4.793|437.703|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73225|5.5|1.78993|1|EK-1.5||K21|5.27983|5.5|8.45194|1|EK21||K1.5|1.35532|1|4.83272|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-cleveland/siniakova-katerina-bouzas-maneiro-jessica-I7kADizg/","","1.51","2.67","1.46","2.52","","","1.48","2.65","1.51","2.75","","","","","","",""
