"SV","0000043","20240823|135425","20240826_1524404_045854_045072","R04_4_USA_U.S. Open - New York","Swiatek","Rakhimova","|K|0.998967|EK|G||OL1|1.1312|EOL1|OL2|976.419|EOL2|OH1|101|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1312|ENAOL1|NAOL2|1055.77|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA||AHS||K-1.5|1|1|1|1|EK-1.5||K21|1|1|1|1|EK21||K1.5|1|1|1|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open/swiatek-iga-rakhimova-kamilla-zu0CZAyP/","","1.01","32.82","1.01","17.3","","","1.02","17.0","1.03","32.82","","","","","","",""
"SV","0000044","20240823|135439","20240819_1524210_066597_042098","R10_2_MEX_Abierto GNP Seguros - Monterrey","Noskova","Navarro","|K|0.449756|EK|G||OL1|2.25007|EOL1|OL2|2.0384|EOL2|OH1|223|EOH1|OH2|182|EOH2|EG|NA||NAOL1|2.43293|ENAOL1|NAOL2|2.0384|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.11|9.673|1.259|1.502|AH-5|8.11|9.673|1.387|1.655|AH-4|5.085|6.065|1.473|1.756|AH-3.5|4.194|5.002|1.473|1.756|AH-3|4.194|5.002|1.637|1.953|AH-2.5|3.261|3.89|1.637|1.953|AH-2|3.261|3.89|1.765|2.105|AH-1.5|2.85|3.399|1.765|2.105||AH1.5|2.308|210.744|2.084|190.298|AH2|2.308|210.744|2.216|202.345|AH2.5|2.165|197.709|2.216|202.345|AH3|2.165|197.709|2.485|226.955|AH3.5|1.958|178.768|2.485|226.955|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.3139|5.5|1.40883|1|EK-1.5||K21|7.37417|5.5|5.33602|5.5|EK21||K1.5|1.65866|1|3.06056|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/noskova-linda-navarro-emma-d2dI8B7k/#ah;2;3.50;2","3.5","","","1.61","2.17","","","1.67","2.17","1.67","2.17","","","","","","",""
"SV","0000044","20240823|135437","20240819_1524210_066597_042098","R10_2_MEX_Abierto GNP Seguros - Monterrey","Noskova","Navarro","|K|0.449756|EK|G||OL1|2.25007|EOL1|OL2|2.0384|EOL2|OH1|223|EOH1|OH2|182|EOH2|EG|NA||NAOL1|2.43293|ENAOL1|NAOL2|2.0384|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.11|9.673|1.259|1.502|AH-5|8.11|9.673|1.387|1.655|AH-4|5.085|6.065|1.473|1.756|AH-3.5|4.194|5.002|1.473|1.756|AH-3|4.194|5.002|1.637|1.953|AH-2.5|3.261|3.89|1.637|1.953|AH-2|3.261|3.89|1.765|2.105|AH-1.5|2.85|3.399|1.765|2.105||AH1.5|2.308|210.744|2.084|190.298|AH2|2.308|210.744|2.216|202.345|AH2.5|2.165|197.709|2.216|202.345|AH3|2.165|197.709|2.485|226.955|AH3.5|1.958|178.768|2.485|226.955|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.3139|5.5|1.40883|1|EK-1.5||K21|7.37417|5.5|5.33602|5.5|EK21||K1.5|1.65866|1|3.06056|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/noskova-linda-navarro-emma-d2dI8B7k/#ah;2;1.50;2","1.5","1.96","1.91","1.84","1.86","","","1.91","1.87","1.96","1.91","","","","","","",""
"SV","0000044","20240823|135445","20240819_1524210_066597_042098","R10_2_MEX_Abierto GNP Seguros - Monterrey","Noskova","Navarro","|K|0.449756|EK|G||OL1|2.25007|EOL1|OL2|2.0384|EOL2|OH1|223|EOH1|OH2|182|EOH2|EG|NA||NAOL1|2.43293|ENAOL1|NAOL2|2.0384|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.11|9.673|1.259|1.502|AH-5|8.11|9.673|1.387|1.655|AH-4|5.085|6.065|1.473|1.756|AH-3.5|4.194|5.002|1.473|1.756|AH-3|4.194|5.002|1.637|1.953|AH-2.5|3.261|3.89|1.637|1.953|AH-2|3.261|3.89|1.765|2.105|AH-1.5|2.85|3.399|1.765|2.105||AH1.5|2.308|210.744|2.084|190.298|AH2|2.308|210.744|2.216|202.345|AH2.5|2.165|197.709|2.216|202.345|AH3|2.165|197.709|2.485|226.955|AH3.5|1.958|178.768|2.485|226.955|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.3139|5.5|1.40883|1|EK-1.5||K21|7.37417|5.5|5.33602|5.5|EK21||K1.5|1.65866|1|3.06056|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/noskova-linda-navarro-emma-d2dI8B7k/#ah;2;1.50;1","1.5","1.48","2.79","1.43","2.62","","","1.44","2.75","1.48","2.79","","","","","","",""
"SV","0000044","20240823|135442","20240819_1524210_066597_042098","R10_2_MEX_Abierto GNP Seguros - Monterrey","Noskova","Navarro","|K|0.449756|EK|G||OL1|2.25007|EOL1|OL2|2.0384|EOL2|OH1|223|EOH1|OH2|182|EOH2|EG|NA||NAOL1|2.43293|ENAOL1|NAOL2|2.0384|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.11|9.673|1.259|1.502|AH-5|8.11|9.673|1.387|1.655|AH-4|5.085|6.065|1.473|1.756|AH-3.5|4.194|5.002|1.473|1.756|AH-3|4.194|5.002|1.637|1.953|AH-2.5|3.261|3.89|1.637|1.953|AH-2|3.261|3.89|1.765|2.105|AH-1.5|2.85|3.399|1.765|2.105||AH1.5|2.308|210.744|2.084|190.298|AH2|2.308|210.744|2.216|202.345|AH2.5|2.165|197.709|2.216|202.345|AH3|2.165|197.709|2.485|226.955|AH3.5|1.958|178.768|2.485|226.955|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.3139|5.5|1.40883|1|EK-1.5||K21|7.37417|5.5|5.33602|5.5|EK21||K1.5|1.65866|1|3.06056|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/noskova-linda-navarro-emma-d2dI8B7k/#ah;2;-1.50;1","-1.5","3.75","1.3","3.4","1.27","","","3.65","1.28","3.75","1.3","","","","","","",""
"SV","0000044","20240823|135430","20240819_1524210_066597_042098","R10_2_MEX_Abierto GNP Seguros - Monterrey","Noskova","Navarro","|K|0.449756|EK|G||OL1|2.25007|EOL1|OL2|2.0384|EOL2|OH1|223|EOH1|OH2|182|EOH2|EG|NA||NAOL1|2.43293|ENAOL1|NAOL2|2.0384|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.11|9.673|1.259|1.502|AH-5|8.11|9.673|1.387|1.655|AH-4|5.085|6.065|1.473|1.756|AH-3.5|4.194|5.002|1.473|1.756|AH-3|4.194|5.002|1.637|1.953|AH-2.5|3.261|3.89|1.637|1.953|AH-2|3.261|3.89|1.765|2.105|AH-1.5|2.85|3.399|1.765|2.105||AH1.5|2.308|210.744|2.084|190.298|AH2|2.308|210.744|2.216|202.345|AH2.5|2.165|197.709|2.216|202.345|AH3|2.165|197.709|2.485|226.955|AH3.5|1.958|178.768|2.485|226.955|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.3139|5.5|1.40883|1|EK-1.5||K21|7.37417|5.5|5.33602|5.5|EK21||K1.5|1.65866|1|3.06056|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/wta-monterrey/noskova-linda-navarro-emma-d2dI8B7k/","","2.13","1.79","2.01","1.71","","","2.14","1.71","2.14","1.8","","","","","","",""
"SV","0000045","20240823|135457","20240819_1524210_038478_014054","R10_2_MEX_Abierto GNP Seguros - Monterrey","Sun","Alexandrova","|K|0.407297|EK|G||OL1|2.48214|EOL1|OL2|1.8928|EOL2|OH1|246|EOH1|OH2|169|EOH2|EG|NA||NAOL1|2.68386|ENAOL1|NAOL2|1.8928|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.806|8.118|1.298|1.548|AH-5|6.806|8.118|1.423|1.697|AH-4|4.657|5.554|1.547|1.845|AH-3.5|3.692|4.403|1.547|1.845|AH-3|3.692|4.403|1.68|2.004|AH-2.5|3.102|3.7|1.68|2.004|AH-2|3.102|3.7|1.782|2.125|AH-1.5|2.807|3.347|1.782|2.125||AH1.5|2.388|218.059|2.022|184.703|AH2|2.388|218.059|2.205|201.332|AH2.5|2.176|198.686|2.205|201.332|AH3|2.176|198.686|2.479|226.397|AH3.5|1.961|179.116|2.479|226.397|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29153|1|1.31919|1|EK-1.5||K21|7.56698|5.5|5.65202|5.5|EK21||K1.5|1.85213|1|2.6133|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/radovcic-lulu-alexandrova-ekaterina-WOnRzFYi/#ah;2;2.50;2","2.5","1.8","2.1","1.71","2.01","","","1.87","1.91","1.87","2.1","","","","","","",""
"SV","0000045","20240823|135459","20240819_1524210_038478_014054","R10_2_MEX_Abierto GNP Seguros - Monterrey","Sun","Alexandrova","|K|0.407297|EK|G||OL1|2.48214|EOL1|OL2|1.8928|EOL2|OH1|246|EOH1|OH2|169|EOH2|EG|NA||NAOL1|2.68386|ENAOL1|NAOL2|1.8928|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.806|8.118|1.298|1.548|AH-5|6.806|8.118|1.423|1.697|AH-4|4.657|5.554|1.547|1.845|AH-3.5|3.692|4.403|1.547|1.845|AH-3|3.692|4.403|1.68|2.004|AH-2.5|3.102|3.7|1.68|2.004|AH-2|3.102|3.7|1.782|2.125|AH-1.5|2.807|3.347|1.782|2.125||AH1.5|2.388|218.059|2.022|184.703|AH2|2.388|218.059|2.205|201.332|AH2.5|2.176|198.686|2.205|201.332|AH3|2.176|198.686|2.479|226.397|AH3.5|1.961|179.116|2.479|226.397|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29153|1|1.31919|1|EK-1.5||K21|7.56698|5.5|5.65202|5.5|EK21||K1.5|1.85213|1|2.6133|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/wta-monterrey/radovcic-lulu-alexandrova-ekaterina-WOnRzFYi/#ah;2;0.50;2","0.5","2.11","1.79","1.97","1.73","","","","","2.11","1.79","","","","","","",""
"SV","0000045","20240823|135505","20240819_1524210_038478_014054","R10_2_MEX_Abierto GNP Seguros - Monterrey","Sun","Alexandrova","|K|0.407297|EK|G||OL1|2.48214|EOL1|OL2|1.8928|EOL2|OH1|246|EOH1|OH2|169|EOH2|EG|NA||NAOL1|2.68386|ENAOL1|NAOL2|1.8928|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.806|8.118|1.298|1.548|AH-5|6.806|8.118|1.423|1.697|AH-4|4.657|5.554|1.547|1.845|AH-3.5|3.692|4.403|1.547|1.845|AH-3|3.692|4.403|1.68|2.004|AH-2.5|3.102|3.7|1.68|2.004|AH-2|3.102|3.7|1.782|2.125|AH-1.5|2.807|3.347|1.782|2.125||AH1.5|2.388|218.059|2.022|184.703|AH2|2.388|218.059|2.205|201.332|AH2.5|2.176|198.686|2.205|201.332|AH3|2.176|198.686|2.479|226.397|AH3.5|1.961|179.116|2.479|226.397|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29153|1|1.31919|1|EK-1.5||K21|7.56698|5.5|5.65202|5.5|EK21||K1.5|1.85213|1|2.6133|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/radovcic-lulu-alexandrova-ekaterina-WOnRzFYi/#ah;2;1.50;1","1.5","1.51","2.69","1.46","2.52","","","1.5","2.55","1.51","2.69","","","","","","",""
"SV","0000045","20240823|135502","20240819_1524210_038478_014054","R10_2_MEX_Abierto GNP Seguros - Monterrey","Sun","Alexandrova","|K|0.407297|EK|G||OL1|2.48214|EOL1|OL2|1.8928|EOL2|OH1|246|EOH1|OH2|169|EOH2|EG|NA||NAOL1|2.68386|ENAOL1|NAOL2|1.8928|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.806|8.118|1.298|1.548|AH-5|6.806|8.118|1.423|1.697|AH-4|4.657|5.554|1.547|1.845|AH-3.5|3.692|4.403|1.547|1.845|AH-3|3.692|4.403|1.68|2.004|AH-2.5|3.102|3.7|1.68|2.004|AH-2|3.102|3.7|1.782|2.125|AH-1.5|2.807|3.347|1.782|2.125||AH1.5|2.388|218.059|2.022|184.703|AH2|2.388|218.059|2.205|201.332|AH2.5|2.176|198.686|2.205|201.332|AH3|2.176|198.686|2.479|226.397|AH3.5|1.961|179.116|2.479|226.397|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29153|1|1.31919|1|EK-1.5||K21|7.56698|5.5|5.65202|5.5|EK21||K1.5|1.85213|1|2.6133|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/wta-monterrey/radovcic-lulu-alexandrova-ekaterina-WOnRzFYi/#ah;2;-1.50;1","-1.5","3.57","1.33","3.25","1.29","","","3.85","1.26","3.85","1.33","","","","","","",""
"SV","0000045","20240823|135450","20240819_1524210_038478_014054","R10_2_MEX_Abierto GNP Seguros - Monterrey","Sun","Alexandrova","|K|0.407297|EK|G||OL1|2.48214|EOL1|OL2|1.8928|EOL2|OH1|246|EOH1|OH2|169|EOH2|EG|NA||NAOL1|2.68386|ENAOL1|NAOL2|1.8928|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.806|8.118|1.298|1.548|AH-5|6.806|8.118|1.423|1.697|AH-4|4.657|5.554|1.547|1.845|AH-3.5|3.692|4.403|1.547|1.845|AH-3|3.692|4.403|1.68|2.004|AH-2.5|3.102|3.7|1.68|2.004|AH-2|3.102|3.7|1.782|2.125|AH-1.5|2.807|3.347|1.782|2.125||AH1.5|2.388|218.059|2.022|184.703|AH2|2.388|218.059|2.205|201.332|AH2.5|2.176|198.686|2.205|201.332|AH3|2.176|198.686|2.479|226.397|AH3.5|1.961|179.116|2.479|226.397|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.29153|1|1.31919|1|EK-1.5||K21|7.56698|5.5|5.65202|5.5|EK21||K1.5|1.85213|1|2.6133|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/wta-monterrey/radovcic-lulu-alexandrova-ekaterina-WOnRzFYi/","","2.19","1.75","2.05","1.68","","","2.28","1.63","2.28","1.75","","","","","","",""
