"FDM","0000007","20240826|150234","20240826_1999604_114033_097408","R04_0_THA_M25 Nakhon Si Thammarat","Nithithananont/Phunsawat","Chaiyarin/Noikor","|K|0.502894|EK|G||OL1|2.0895|EOL1|OL2|2.121|EOL2|OH1|1|EOH1|OH2|3.434|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/thailand/itf-m25-nakhon-si-thammarat-men-doubles/nithithananont-natthayut-phunsawat-chanon-chaiyarin-credit-noikor-noppadol-pEaoHVeR/","","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000008","20240826|150248","20240826_2000004_044990_057258","R04_0_ESP_M25 Oviedo","De Krom","Winter Lopez","|K|0.599392|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|265.709|265.709|183.898|183.898|AH-3.5|219.192|219.192|183.898|183.898|AH-3|219.192|219.192|206.655|206.655|AH-2.5|193.76|193.76|206.655|206.655|AH-2|193.76|193.76|223.318|223.318|AH-1.5|181.091|181.091|223.318|223.318||AH1.5|160.008|160.008|266.644|266.644|AH2|160.008|160.008|289.886|289.886|AH2.5|152.663|152.663|289.886|289.886|AH3|152.663|152.663|323.482|323.482|AH3.5|144.746|144.746|323.482|323.482|AH4|144.746|144.746|405.647|405.647|AH4.5|132.717|132.717|405.647|405.647|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/de-krom-michiel-winter-lopez-benjamin-zitK32tP/#ah;2;-2.50;2","-2.5","1.68","2.1","1.72","2.0","","","","","1.72","2.1","","","","","","",""
"FSM","0000008","20240826|150247","20240826_2000004_044990_057258","R04_0_ESP_M25 Oviedo","De Krom","Winter Lopez","|K|0.599392|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|265.709|265.709|183.898|183.898|AH-3.5|219.192|219.192|183.898|183.898|AH-3|219.192|219.192|206.655|206.655|AH-2.5|193.76|193.76|206.655|206.655|AH-2|193.76|193.76|223.318|223.318|AH-1.5|181.091|181.091|223.318|223.318||AH1.5|160.008|160.008|266.644|266.644|AH2|160.008|160.008|289.886|289.886|AH2.5|152.663|152.663|289.886|289.886|AH3|152.663|152.663|323.482|323.482|AH3.5|144.746|144.746|323.482|323.482|AH4|144.746|144.746|405.647|405.647|AH4.5|132.717|132.717|405.647|405.647|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/de-krom-michiel-winter-lopez-benjamin-zitK32tP/#ah;2;-3.50;2","-3.5","1.87","1.87","1.85","1.85","","","","","1.87","1.87","","","","","","",""
"FSM","0000008","20240826|150252","20240826_2000004_044990_057258","R04_0_ESP_M25 Oviedo","De Krom","Winter Lopez","|K|0.599392|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|265.709|265.709|183.898|183.898|AH-3.5|219.192|219.192|183.898|183.898|AH-3|219.192|219.192|206.655|206.655|AH-2.5|193.76|193.76|206.655|206.655|AH-2|193.76|193.76|223.318|223.318|AH-1.5|181.091|181.091|223.318|223.318||AH1.5|160.008|160.008|266.644|266.644|AH2|160.008|160.008|289.886|289.886|AH2.5|152.663|152.663|289.886|289.886|AH3|152.663|152.663|323.482|323.482|AH3.5|144.746|144.746|323.482|323.482|AH4|144.746|144.746|405.647|405.647|AH4.5|132.717|132.717|405.647|405.647|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/de-krom-michiel-winter-lopez-benjamin-zitK32tP/#ah;2;1.50;1","1.5","1.22","4.05","1.21","3.9","","","","","1.22","4.05","","","","","","",""
"FSM","0000008","20240826|150250","20240826_2000004_044990_057258","R04_0_ESP_M25 Oviedo","De Krom","Winter Lopez","|K|0.599392|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|265.709|265.709|183.898|183.898|AH-3.5|219.192|219.192|183.898|183.898|AH-3|219.192|219.192|206.655|206.655|AH-2.5|193.76|193.76|206.655|206.655|AH-2|193.76|193.76|223.318|223.318|AH-1.5|181.091|181.091|223.318|223.318||AH1.5|160.008|160.008|266.644|266.644|AH2|160.008|160.008|289.886|289.886|AH2.5|152.663|152.663|289.886|289.886|AH3|152.663|152.663|323.482|323.482|AH3.5|144.746|144.746|323.482|323.482|AH4|144.746|144.746|405.647|405.647|AH4.5|132.717|132.717|405.647|405.647|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/de-krom-michiel-winter-lopez-benjamin-zitK32tP/#ah;2;-1.50;1","-1.5","2.14","1.66","2.12","1.64","","","","","2.14","1.66","","","","","","",""
"FSM","0000008","20240826|150238","20240826_2000004_044990_057258","R04_0_ESP_M25 Oviedo","De Krom","Winter Lopez","|K|0.599392|EK|G||OL1|1.77688|EOL1|OL2|2.56|EOL2|OH1|167|EOH1|OH2|3.75|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|265.709|265.709|183.898|183.898|AH-3.5|219.192|219.192|183.898|183.898|AH-3|219.192|219.192|206.655|206.655|AH-2.5|193.76|193.76|206.655|206.655|AH-2|193.76|193.76|223.318|223.318|AH-1.5|181.091|181.091|223.318|223.318||AH1.5|160.008|160.008|266.644|266.644|AH2|160.008|160.008|289.886|289.886|AH2.5|152.663|152.663|289.886|289.886|AH3|152.663|152.663|323.482|323.482|AH3.5|144.746|144.746|323.482|323.482|AH4|144.746|144.746|405.647|405.647|AH4.5|132.717|132.717|405.647|405.647|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/de-krom-michiel-winter-lopez-benjamin-zitK32tP/","","1.56","2.34","1.54","2.33","","","1.52","2.35","1.56","2.36","","","","","","",""
"FSM","0000010","20240826|150308","20240826_2000004_078285_041083","R04_0_ESP_M25 Oviedo","Blanch","Damas","|K|0.352237|EK|G||OL1|2.90816|EOL1|OL2|1.6492|EOL2|OH1|4.26|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|484.508|484.508|134.97|134.97|AH-3.5|385.957|385.957|134.97|134.97|AH-3|385.957|385.957|141.377|141.377|AH-2.5|341.681|341.681|141.377|141.377|AH-2|341.681|341.681|148.553|148.553|AH-1.5|305.96|305.96|148.553|148.553||AH1.5|252.116|252.116|165.739|165.739|AH2|252.116|252.116|173.693|173.693|AH2.5|235.698|235.698|173.693|173.693|AH3|235.698|235.698|191.183|191.183|AH3.5|209.67|209.67|191.183|191.183|AH4|209.67|209.67|225.879|225.879|AH4.5|179.442|179.442|225.879|225.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/blanch-dali-damas-miguel-xfqREm6N/#ah;2;3.50;2","3.5","1.92","1.81","1.89","1.81","","","","","1.92","1.81","","","","","","",""
"FSM","0000010","20240826|150310","20240826_2000004_078285_041083","R04_0_ESP_M25 Oviedo","Blanch","Damas","|K|0.352237|EK|G||OL1|2.90816|EOL1|OL2|1.6492|EOL2|OH1|4.26|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|484.508|484.508|134.97|134.97|AH-3.5|385.957|385.957|134.97|134.97|AH-3|385.957|385.957|141.377|141.377|AH-2.5|341.681|341.681|141.377|141.377|AH-2|341.681|341.681|148.553|148.553|AH-1.5|305.96|305.96|148.553|148.553||AH1.5|252.116|252.116|165.739|165.739|AH2|252.116|252.116|173.693|173.693|AH2.5|235.698|235.698|173.693|173.693|AH3|235.698|235.698|191.183|191.183|AH3.5|209.67|209.67|191.183|191.183|AH4|209.67|209.67|225.879|225.879|AH4.5|179.442|179.442|225.879|225.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/blanch-dali-damas-miguel-xfqREm6N/#ah;2;3.00;2","3.0","2.08","1.69","1.91","1.79","","","","","2.08","1.79","","","","","","",""
"FSM","0000010","20240826|150314","20240826_2000004_078285_041083","R04_0_ESP_M25 Oviedo","Blanch","Damas","|K|0.352237|EK|G||OL1|2.90816|EOL1|OL2|1.6492|EOL2|OH1|4.26|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|484.508|484.508|134.97|134.97|AH-3.5|385.957|385.957|134.97|134.97|AH-3|385.957|385.957|141.377|141.377|AH-2.5|341.681|341.681|141.377|141.377|AH-2|341.681|341.681|148.553|148.553|AH-1.5|305.96|305.96|148.553|148.553||AH1.5|252.116|252.116|165.739|165.739|AH2|252.116|252.116|173.693|173.693|AH2.5|235.698|235.698|173.693|173.693|AH3|235.698|235.698|191.183|191.183|AH3.5|209.67|209.67|191.183|191.183|AH4|209.67|209.67|225.879|225.879|AH4.5|179.442|179.442|225.879|225.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/blanch-dali-damas-miguel-xfqREm6N/#ah;2;1.50;1","1.5","1.71","2.05","1.7","2.02","","","","","1.71","2.05","","","","","","",""
"FSM","0000010","20240826|150312","20240826_2000004_078285_041083","R04_0_ESP_M25 Oviedo","Blanch","Damas","|K|0.352237|EK|G||OL1|2.90816|EOL1|OL2|1.6492|EOL2|OH1|4.26|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|484.508|484.508|134.97|134.97|AH-3.5|385.957|385.957|134.97|134.97|AH-3|385.957|385.957|141.377|141.377|AH-2.5|341.681|341.681|141.377|141.377|AH-2|341.681|341.681|148.553|148.553|AH-1.5|305.96|305.96|148.553|148.553||AH1.5|252.116|252.116|165.739|165.739|AH2|252.116|252.116|173.693|173.693|AH2.5|235.698|235.698|173.693|173.693|AH3|235.698|235.698|191.183|191.183|AH3.5|209.67|209.67|191.183|191.183|AH4|209.67|209.67|225.879|225.879|AH4.5|179.442|179.442|225.879|225.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/blanch-dali-damas-miguel-xfqREm6N/#ah;2;-1.50;1","-1.5","4.6","1.17","4.57","1.16","","","","","4.6","1.17","","","","","","",""
"FSM","0000010","20240826|150300","20240826_2000004_078285_041083","R04_0_ESP_M25 Oviedo","Blanch","Damas","|K|0.352237|EK|G||OL1|2.90816|EOL1|OL2|1.6492|EOL2|OH1|4.26|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|484.508|484.508|134.97|134.97|AH-3.5|385.957|385.957|134.97|134.97|AH-3|385.957|385.957|141.377|141.377|AH-2.5|341.681|341.681|141.377|141.377|AH-2|341.681|341.681|148.553|148.553|AH-1.5|305.96|305.96|148.553|148.553||AH1.5|252.116|252.116|165.739|165.739|AH2|252.116|252.116|173.693|173.693|AH2.5|235.698|235.698|173.693|173.693|AH3|235.698|235.698|191.183|191.183|AH3.5|209.67|209.67|191.183|191.183|AH4|209.67|209.67|225.879|225.879|AH4.5|179.442|179.442|225.879|225.879|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-oviedo-men/blanch-dali-damas-miguel-xfqREm6N/","","2.72","1.41","2.45","1.48","","","2.5","1.48","2.72","1.48","","","","","","",""
