"DV","0000013","20240826|150337","20240826_1524404_096299_096300","R04_4_USA_U.S. Open - New York","Gadecki/Wu","Osorio/Parks","|K|0.606248|EK|G||OL1|1.68135|EOL1|OL2|2.66446|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.683|ENAOL1|NAOL2|2.8702|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-us-open-doubles/gadecki-olivia-wu-fang-hsien-osorio-serrano-maria-camila-parks-alycia-OKxWgXB7/","","","","1.6","2.2","","","","","1.62","2.2","","","","","","",""
"CSM","0000014","20240826|150353","20240826_1994904_084235_036617","R04_1_ESP_Manacor Challenger","Collignon","Meligeni Alves","|K|0.684532|EK|G||OL1|1.55085|EOL1|OL2|3.37605|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5187|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/collignon-raphael-meligeni-rodrigues-alves-felipe-AuquOQe5/#ah;2;-1.50;2","-1.5","","","1.61","2.17","","","","","1.61","2.17","","","","","","",""
"CSM","0000014","20240826|150350","20240826_1994904_084235_036617","R04_1_ESP_Manacor Challenger","Collignon","Meligeni Alves","|K|0.684532|EK|G||OL1|1.55085|EOL1|OL2|3.37605|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5187|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/collignon-raphael-meligeni-rodrigues-alves-felipe-AuquOQe5/#ah;2;-2.50;2","-2.5","1.82","2.01","1.77","1.93","","","","","1.82","2.01","","","","","","",""
"CSM","0000014","20240826|150358","20240826_1994904_084235_036617","R04_1_ESP_Manacor Challenger","Collignon","Meligeni Alves","|K|0.684532|EK|G||OL1|1.55085|EOL1|OL2|3.37605|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5187|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/collignon-raphael-meligeni-rodrigues-alves-felipe-AuquOQe5/#ah;2;1.50;1","1.5","1.23","4.3","1.2","4.05","","","","","1.23","4.3","","","","","","",""
"CSM","0000014","20240826|150356","20240826_1994904_084235_036617","R04_1_ESP_Manacor Challenger","Collignon","Meligeni Alves","|K|0.684532|EK|G||OL1|1.55085|EOL1|OL2|3.37605|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5187|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/collignon-raphael-meligeni-rodrigues-alves-felipe-AuquOQe5/#ah;2;-1.50;1","-1.5","2.31","1.63","2.23","1.58","","","","","2.31","1.63","","","","","","",""
"CSM","0000014","20240826|150342","20240826_1994904_084235_036617","R04_1_ESP_Manacor Challenger","Collignon","Meligeni Alves","|K|0.684532|EK|G||OL1|1.55085|EOL1|OL2|3.37605|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5187|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/collignon-raphael-meligeni-rodrigues-alves-felipe-AuquOQe5/","","1.52","2.57","1.48","2.45","","","","","1.52","2.57","","","","","","",""
"CSM","0000015","20240826|150411","20240826_1994904_023301_048442","R04_1_ESP_Manacor Challenger","Couacaud","Molleker","|K|0.674037|EK|G||OL1|1.57195|EOL1|OL2|3.26955|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57195|ENAOL1|NAOL2|3.4077|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/couacaud-enzo-molleker-rudolf-UDs1TLXp/#ah;2;-2.50;2","-2.5","1.75","2.1","1.71","2.01","","","","","1.75","2.1","","","","","","",""
"CSM","0000015","20240826|150412","20240826_1994904_023301_048442","R04_1_ESP_Manacor Challenger","Couacaud","Molleker","|K|0.674037|EK|G||OL1|1.57195|EOL1|OL2|3.26955|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57195|ENAOL1|NAOL2|3.4077|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/couacaud-enzo-molleker-rudolf-UDs1TLXp/#ah;2;-3.50;2","-3.5","2.07","1.78","1.97","1.73","","","","","2.07","1.78","","","","","","",""
"CSM","0000015","20240826|150417","20240826_1994904_023301_048442","R04_1_ESP_Manacor Challenger","Couacaud","Molleker","|K|0.674037|EK|G||OL1|1.57195|EOL1|OL2|3.26955|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57195|ENAOL1|NAOL2|3.4077|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/couacaud-enzo-molleker-rudolf-UDs1TLXp/#ah;2;1.50;1","1.5","1.21","4.59","1.18","4.3","","","","","1.21","4.59","","","","","","",""
"CSM","0000015","20240826|150415","20240826_1994904_023301_048442","R04_1_ESP_Manacor Challenger","Couacaud","Molleker","|K|0.674037|EK|G||OL1|1.57195|EOL1|OL2|3.26955|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57195|ENAOL1|NAOL2|3.4077|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/couacaud-enzo-molleker-rudolf-UDs1TLXp/#ah;2;-1.50;1","-1.5","2.18","1.7","2.1","1.65","","","","","2.18","1.7","","","","","","",""
"CSM","0000015","20240826|150402","20240826_1994904_023301_048442","R04_1_ESP_Manacor Challenger","Couacaud","Molleker","|K|0.674037|EK|G||OL1|1.57195|EOL1|OL2|3.26955|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.57195|ENAOL1|NAOL2|3.4077|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/mallorca-challenger-men/couacaud-enzo-molleker-rudolf-UDs1TLXp/","","1.48","2.7","1.44","2.59","","","1.47","2.62","1.48","2.7","","","","","","",""
