"CDM","0000019","20240921|080439","20240916_2002410_057343_113956","R10_1_FRA_St. Tropez Challenger","Goransson/Verbeek","Arneodo/Arribage","|K|0.547443|EK|G||OL1|1.84263|EOL1|OL2|2.24757|EOL2|OH1|2.745|EOH1|OH2|221|EOH2|EG|NA||NAOL1|2.01849|ENAOL1|NAOL2|2.39343|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/st-tropez-challenger-men-doubles/goransson-andre-verbeek-sem-arneodo-romain-arribage-theo-IL6dOXiJ/","","","","1.85","1.85","","","","","1.9","1.9","","","","","","",""
"CDM","0000020","20240921|080442","20240916_2002712_091389_047239","R12_1_ROU_Sibiu Challenger","Draxl/Harper","Merino/Negritu","|K|0.52317|EK|G||OL1|1.95264|EOL1|OL2|2.1357|EOL2|OH1|192|EOH1|OH2|210|EOH2|EG|NA||NAOL1|2.07936|ENAOL1|NAOL2|2.2743|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/romania/sibiu-challenger-men-doubles/draxl-liam-harper-cleeve-merino-alexander-negritu-christoph-2quFtF7m/","","","","1.65","2.1","","","","","1.68","2.19","","","","","","",""
"CDM","0000021","20240921|080446","20240916_2002612_114529_111576","R12_1_USA_Columbus Challenger","Harrison/Quinn","Hach Verdugo/Trotter","|K|0.442543|EK|G||OL1|2.29842|EOL1|OL2|1.81242|EOL2|OH1|226|EOH1|OH2|2.7|EOH2|EG|NA||NAOL1|2.44758|ENAOL1|NAOL2|1.9854|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/columbus-challenger-men-doubles/harrison-christian-quinn-ethan-hach-hans-trotter-james-kent-8xn1MrUF/","","","","","","","","","","2.05","1.65","","","","","","",""
"DV","0000022","20240921|080450","20240916_1584310_093802_096339","R10_2_THA_Thailand Open - Hua Hin","Danilina/Khromacheva","Barnett/Brooks","|K|0.861885|EK|G||OL1|1.19223|EOL1|OL2|7.60525|EOL2|OH1|117|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1934|ENAOL1|NAOL2|8.1925|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/thailand/wta-hua-hin-2-doubles/danilina-anna-khromacheva-irina-barnett-alicia-brooks-madelaine-SleC2Ho4/","","1.16","5.46","1.14","4.9","","","1.14","5.4","1.16","5.73","","","","","","",""
"SM","0000023","20240921|080500","20240916_1940709_014856_027358","R09_2_CHN_Chengdu Open - Chengdu","Hanfmann","Martinez","|K|0.545201|EK|G||OL1|2.024|EOL1|OL2|2.409|EOL2|OH1|2.668|EOH1|OH2|3.014|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.4134|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.025|6.678|1.394|1.852|AH-5|5.025|6.678|1.592|2.116|AH-4|3.466|4.607|1.86|2.473|AH-3.5|2.638|3.506|1.86|2.473|AH-3|2.638|3.506|2.178|2.894|AH-2.5|2.186|2.906|2.178|2.894|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.608|2.131|3.422|4.535|AH3|1.608|2.131|4.351|5.767|AH3.5|1.461|1.937|4.351|5.767|AH4|1.461|1.937|6.889|9.131|AH4.5|1.301|1.724|6.889|9.131|AH5|1.301|1.724|12.198|16.168|AH5.5|1.202|1.593|12.198|16.168||EAH||AHS||K-1.5|3.28381|7|1.57875|7|EK-1.5||K21|5.12397|7|5.1894|7|EK21||K1.5|1.52|7|4.37391|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-chengdu/hanfmann-yannick-martinez-pedro-SIOYVlzn/#ah;2;-1.50;2","-1.5","1.92","1.95","1.84","1.86","","","1.91","1.87","1.92","1.95","","","","","","",""
"SM","0000023","20240921|080502","20240916_1940709_014856_027358","R09_2_CHN_Chengdu Open - Chengdu","Hanfmann","Martinez","|K|0.545201|EK|G||OL1|2.024|EOL1|OL2|2.409|EOL2|OH1|2.668|EOH1|OH2|3.014|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.4134|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.025|6.678|1.394|1.852|AH-5|5.025|6.678|1.592|2.116|AH-4|3.466|4.607|1.86|2.473|AH-3.5|2.638|3.506|1.86|2.473|AH-3|2.638|3.506|2.178|2.894|AH-2.5|2.186|2.906|2.178|2.894|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.608|2.131|3.422|4.535|AH3|1.608|2.131|4.351|5.767|AH3.5|1.461|1.937|4.351|5.767|AH4|1.461|1.937|6.889|9.131|AH4.5|1.301|1.724|6.889|9.131|AH5|1.301|1.724|12.198|16.168|AH5.5|1.202|1.593|12.198|16.168||EAH||AHS||K-1.5|3.28381|7|1.57875|7|EK-1.5||K21|5.12397|7|5.1894|7|EK21||K1.5|1.52|7|4.37391|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-chengdu/hanfmann-yannick-martinez-pedro-SIOYVlzn/#ah;2;-2.50;2","-2.5","2.14","1.76","2.07","1.67","","","","","2.14","1.76","","","","","","",""
"SM","0000023","20240921|080507","20240916_1940709_014856_027358","R09_2_CHN_Chengdu Open - Chengdu","Hanfmann","Martinez","|K|0.545201|EK|G||OL1|2.024|EOL1|OL2|2.409|EOL2|OH1|2.668|EOH1|OH2|3.014|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.4134|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.025|6.678|1.394|1.852|AH-5|5.025|6.678|1.592|2.116|AH-4|3.466|4.607|1.86|2.473|AH-3.5|2.638|3.506|1.86|2.473|AH-3|2.638|3.506|2.178|2.894|AH-2.5|2.186|2.906|2.178|2.894|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.608|2.131|3.422|4.535|AH3|1.608|2.131|4.351|5.767|AH3.5|1.461|1.937|4.351|5.767|AH4|1.461|1.937|6.889|9.131|AH4.5|1.301|1.724|6.889|9.131|AH5|1.301|1.724|12.198|16.168|AH5.5|1.202|1.593|12.198|16.168||EAH||AHS||K-1.5|3.28381|7|1.57875|7|EK-1.5||K21|5.12397|7|5.1894|7|EK21||K1.5|1.52|7|4.37391|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-chengdu/hanfmann-yannick-martinez-pedro-SIOYVlzn/#ah;2;1.50;1","1.5","1.29","3.87","1.26","3.47","","","1.28","3.65","1.29","3.87","","","","","","",""
"SM","0000023","20240921|080504","20240916_1940709_014856_027358","R09_2_CHN_Chengdu Open - Chengdu","Hanfmann","Martinez","|K|0.545201|EK|G||OL1|2.024|EOL1|OL2|2.409|EOL2|OH1|2.668|EOH1|OH2|3.014|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.4134|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.025|6.678|1.394|1.852|AH-5|5.025|6.678|1.592|2.116|AH-4|3.466|4.607|1.86|2.473|AH-3.5|2.638|3.506|1.86|2.473|AH-3|2.638|3.506|2.178|2.894|AH-2.5|2.186|2.906|2.178|2.894|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.608|2.131|3.422|4.535|AH3|1.608|2.131|4.351|5.767|AH3.5|1.461|1.937|4.351|5.767|AH4|1.461|1.937|6.889|9.131|AH4.5|1.301|1.724|6.889|9.131|AH5|1.301|1.724|12.198|16.168|AH5.5|1.202|1.593|12.198|16.168||EAH||AHS||K-1.5|3.28381|7|1.57875|7|EK-1.5||K21|5.12397|7|5.1894|7|EK21||K1.5|1.52|7|4.37391|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-chengdu/hanfmann-yannick-martinez-pedro-SIOYVlzn/#ah;2;-1.50;1","-1.5","2.88","1.46","2.7","1.4","","","2.8","1.43","2.88","1.46","","","","","","",""
"SM","0000023","20240921|080454","20240916_1940709_014856_027358","R09_2_CHN_Chengdu Open - Chengdu","Hanfmann","Martinez","|K|0.545201|EK|G||OL1|2.024|EOL1|OL2|2.409|EOL2|OH1|2.668|EOH1|OH2|3.014|EOH2|EG|NA||NAOL1|2.0424|ENAOL1|NAOL2|2.4134|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|5.025|6.678|1.394|1.852|AH-5|5.025|6.678|1.592|2.116|AH-4|3.466|4.607|1.86|2.473|AH-3.5|2.638|3.506|1.86|2.473|AH-3|2.638|3.506|2.178|2.894|AH-2.5|2.186|2.906|2.178|2.894|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.608|2.131|3.422|4.535|AH3|1.608|2.131|4.351|5.767|AH3.5|1.461|1.937|4.351|5.767|AH4|1.461|1.937|6.889|9.131|AH4.5|1.301|1.724|6.889|9.131|AH5|1.301|1.724|12.198|16.168|AH5.5|1.202|1.593|12.198|16.168||EAH||AHS||K-1.5|3.28381|7|1.57875|7|EK-1.5||K21|5.12397|7|5.1894|7|EK21||K1.5|1.52|7|4.37391|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/atp-chengdu/hanfmann-yannick-martinez-pedro-SIOYVlzn/","","1.71","2.25","1.64","2.12","","","1.72","2.12","1.72","2.25","","","","","","",""
"SM","0000024","20240921|080521","20240916_1940809_009043_061667","R09_2_CHN_Hangzhou Open - Hangzhou","Kukushkin","Bu","|K|0.358344|EK|G||OL1|3.066|EOL1|OL2|1.716|EOL2|OH1|1|EOH1|OH2|2.262|EOH2|EG|NA||NAOL1|3.0716|ENAOL1|NAOL2|1.7316|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|14.028|18.644|1.183|1.572|AH-5|14.028|18.644|1.242|1.651|AH-4|8.957|11.904|1.363|1.812|AH-3.5|5.46|7.256|1.363|1.812|AH-3|5.46|7.256|1.473|1.957|AH-2.5|4.211|5.596|1.473|1.957|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.414|3.199|2.001|2.652|AH3|2.414|3.199|2.35|3.115|AH3.5|2.047|2.713|2.35|3.115|AH4|2.047|2.713|3.087|4.091|AH4.5|1.695|2.246|3.087|4.091|AH5|1.695|2.246|4.876|6.462|AH5.5|1.41|1.869|4.876|6.462||EAH||AHS||K-1.5|5.23123|7|1.52|7|EK-1.5||K21|7.29896|1|4.70015|7|EK21||K1.5|1.81928|7|2.62356|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-hangzhou/kukushkin-mikhail-yunchaokete-bu-ShmahI56/#ah;2;3.50;2","3.5","1.67","2.29","1.63","2.13","","","","","1.67","2.29","","","","","","",""
"SM","0000024","20240921|080519","20240916_1940809_009043_061667","R09_2_CHN_Hangzhou Open - Hangzhou","Kukushkin","Bu","|K|0.358344|EK|G||OL1|3.066|EOL1|OL2|1.716|EOL2|OH1|1|EOH1|OH2|2.262|EOH2|EG|NA||NAOL1|3.0716|ENAOL1|NAOL2|1.7316|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|14.028|18.644|1.183|1.572|AH-5|14.028|18.644|1.242|1.651|AH-4|8.957|11.904|1.363|1.812|AH-3.5|5.46|7.256|1.363|1.812|AH-3|5.46|7.256|1.473|1.957|AH-2.5|4.211|5.596|1.473|1.957|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.414|3.199|2.001|2.652|AH3|2.414|3.199|2.35|3.115|AH3.5|2.047|2.713|2.35|3.115|AH4|2.047|2.713|3.087|4.091|AH4.5|1.695|2.246|3.087|4.091|AH5|1.695|2.246|4.876|6.462|AH5.5|1.41|1.869|4.876|6.462||EAH||AHS||K-1.5|5.23123|7|1.52|7|EK-1.5||K21|7.29896|1|4.70015|7|EK21||K1.5|1.81928|7|2.62356|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-hangzhou/kukushkin-mikhail-yunchaokete-bu-ShmahI56/#ah;2;2.50;2","2.5","1.94","1.93","1.87","1.83","","","1.94","1.84","1.94","1.93","","","","","","",""
