"FDM","0000001","20240921|125100","20240916_2007812_114720_114732","R12_0_USA_M15 Fayetteville","Perez/Vance","Becroft/Legout","|K|0.519792|EK|G||OL1|2.0265|EOL1|OL2|2.1945|EOL2|OH1|3.281|EOH1|OH2|3.553|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-fayetteville-ar-men-doubles/perez-alfredo-vance-jack-becroft-isaac-legout-timo-6gLnMfiU/","","","","","","","","","","1.91","1.8","","","","","","",""
"CDM","0000002","20240921|125103","20240916_2002512_114544_107007","R12_1_COL_Cali Challenger","Aguilar J./Huertas Del Pino","Gomez/Rodriguez","|K|0.528063|EK|G||OL1|1.9323|EOL1|OL2|2.15604|EOL2|OH1|190|EOH1|OH2|212|EOH2|EG|NA||NAOL1|2.0577|ENAOL1|NAOL2|2.29596|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/colombia/cali-challenger-men-doubles/aguilar-juan-carlos-manuel-huertas-del-pino-conner-gomez-juan-sebastian-rodriguez-johan-alexander-0I56h0lo/","","","","","","","","","","1.63","2.21","","","","","","",""
"SM","0000003","20240921|125122","20240916_1940908_068074_087562","R08_2_GER_Laver Cup - Berlin","Alcaraz","Shelton","|K|0.820043|EK|G||OL1|1.342|EOL1|OL2|6.0882|EOL2|OH1|1.769|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-laver-cup/alcaraz-garfia-carlos-shelton-ben-CY89G8Q6/#ah;2;1.50;1","1.5","1.06","10.04","","","","","","","1.06","10.04","","","","","","",""
"SM","0000003","20240921|125120","20240916_1940908_068074_087562","R08_2_GER_Laver Cup - Berlin","Alcaraz","Shelton","|K|0.820043|EK|G||OL1|1.342|EOL1|OL2|6.0882|EOL2|OH1|1.769|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-laver-cup/alcaraz-garfia-carlos-shelton-ben-CY89G8Q6/#ah;2;-1.50;1","-1.5","1.69","2.19","","","","","","","1.69","2.19","","","","","","",""
"SM","0000003","20240921|125107","20240916_1940908_068074_087562","R08_2_GER_Laver Cup - Berlin","Alcaraz","Shelton","|K|0.820043|EK|G||OL1|1.342|EOL1|OL2|6.0882|EOL2|OH1|1.769|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-laver-cup/alcaraz-garfia-carlos-shelton-ben-CY89G8Q6/","","1.24","4.18","","","","","","","1.27","4.74","","","","","","",""
"SM","0000004","20240921|125138","20240916_1940908_024008_029932","R08_2_GER_Laver Cup - Berlin","Zverev","Fritz","|K|0.616956|EK|G||OL1|1.793|EOL1|OL2|2.8689|EOL2|OH1|2.3635|EOH1|OH2|3.5894|EOH2|EG|NA||NAOL1|1.8093|ENAOL1|NAOL2|2.87414|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-laver-cup/zverev-alexander-fritz-taylor-802IEneJ/#ah;2;1.50;1","1.5","1.26","3.92","","","","","","","1.26","3.92","","","","","","",""
"SM","0000004","20240921|125136","20240916_1940908_024008_029932","R08_2_GER_Laver Cup - Berlin","Zverev","Fritz","|K|0.616956|EK|G||OL1|1.793|EOL1|OL2|2.8689|EOL2|OH1|2.3635|EOH1|OH2|3.5894|EOH2|EG|NA||NAOL1|1.8093|ENAOL1|NAOL2|2.87414|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-laver-cup/zverev-alexander-fritz-taylor-802IEneJ/#ah;2;-1.50;1","-1.5","2.63","1.5","","","","","","","2.63","1.5","","","","","","",""
"SM","0000004","20240921|125126","20240916_1940908_024008_029932","R08_2_GER_Laver Cup - Berlin","Zverev","Fritz","|K|0.616956|EK|G||OL1|1.793|EOL1|OL2|2.8689|EOL2|OH1|2.3635|EOH1|OH2|3.5894|EOH2|EG|NA||NAOL1|1.8093|ENAOL1|NAOL2|2.87414|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AHS||K-1.5|1.52|1|1.52|1|EK-1.5||K21|1.52|1|1.52|1|EK21||K1.5|1.52|1|1.52|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-laver-cup/zverev-alexander-fritz-taylor-802IEneJ/","","1.65","2.26","","","","","","","1.7","2.26","","","","","","",""
"CSM","0000005","20240921|125150","20240916_2002510_073983_012498","R10_1_COL_Cali Challenger","Bueno","Collarini","|K|0.386034|EK|G||OL1|2.769|EOL1|OL2|1.71965|EOL2|OH1|260|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.886|ENAOL1|NAOL2|1.71965|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.771|450.064|1.463|138.065|AH-2.5|3.845|362.707|1.463|138.065|AH-2|3.845|362.707|1.501|141.569|AH-1.5|3.61|340.563|1.501|141.569||AH1.5|2.988|271.611|1.741|158.271|AH2|2.988|271.611|1.86|169.047|AH2.5|2.693|244.828|1.86|169.047|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.89557|1|1.54|6|EK-1.5||K21|5.50113|6|5.72965|6|EK21||K1.5|1.86656|6|2.53357|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/colombia/cali-challenger-men/bueno-gonzalo-collarini-andrea-hpSklfO9/#ah;2;3.50;2","3.5","1.91","1.94","","","","","","","1.91","1.94","","","","","","",""
"CSM","0000005","20240921|125152","20240916_2002510_073983_012498","R10_1_COL_Cali Challenger","Bueno","Collarini","|K|0.386034|EK|G||OL1|2.769|EOL1|OL2|1.71965|EOL2|OH1|260|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.886|ENAOL1|NAOL2|1.71965|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.771|450.064|1.463|138.065|AH-2.5|3.845|362.707|1.463|138.065|AH-2|3.845|362.707|1.501|141.569|AH-1.5|3.61|340.563|1.501|141.569||AH1.5|2.988|271.611|1.741|158.271|AH2|2.988|271.611|1.86|169.047|AH2.5|2.693|244.828|1.86|169.047|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.89557|1|1.54|6|EK-1.5||K21|5.50113|6|5.72965|6|EK21||K1.5|1.86656|6|2.53357|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/colombia/cali-challenger-men/bueno-gonzalo-collarini-andrea-hpSklfO9/#ah;2;2.50;2","2.5","2.17","1.73","","","","","","","2.17","1.73","","","","","","",""
"CSM","0000005","20240921|125157","20240916_2002510_073983_012498","R10_1_COL_Cali Challenger","Bueno","Collarini","|K|0.386034|EK|G||OL1|2.769|EOL1|OL2|1.71965|EOL2|OH1|260|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.886|ENAOL1|NAOL2|1.71965|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|4.771|450.064|1.463|138.065|AH-2.5|3.845|362.707|1.463|138.065|AH-2|3.845|362.707|1.501|141.569|AH-1.5|3.61|340.563|1.501|141.569||AH1.5|2.988|271.611|1.741|158.271|AH2|2.988|271.611|1.86|169.047|AH2.5|2.693|244.828|1.86|169.047|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.89557|1|1.54|6|EK-1.5||K21|5.50113|6|5.72965|6|EK21||K1.5|1.86656|6|2.53357|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/colombia/cali-challenger-men/bueno-gonzalo-collarini-andrea-hpSklfO9/#ah;2;1.50;1","1.5","1.71","2.21","","","","","","","1.71","2.21","","","","","","",""
