"CDM","0000009","20240927|121839","20240923_2002910_079123_114792","R10_1_CHI_Antofagasta Challenger","Alves/Soto","Couacaud/De Jong","|K|0.455542|EK|G||OL1|2.2374|EOL1|OL2|1.8527|EOL2|OH1|220|EOH1|OH2|2.76|EOH2|EG|NA||NAOL1|2.3826|ENAOL1|NAOL2|2.02952|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/antofagasta-challenger-men-doubles/alves-mateus-2001-soto-matias-couacaud-enzo-de-jong-jesper-lvWvHkL6/","","","","1.9","1.8","","","","","1.9","1.83","","","","","","",""
"CDM","0000010","20240927|121844","20240923_2002910_040011_088789","R10_1_CHI_Antofagasta Challenger","Luz/Zormann Da Silva","Aboian/Aboian","|K|0.695332|EK|G||OL1|1.44994|EOL1|OL2|3.34593|EOL2|OH1|2.16|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.58832|ENAOL1|NAOL2|3.56307|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/antofagasta-challenger-men-doubles/luz-orlando-zormann-da-silva-marcelo-aboian-leonardo-aboian-valerio-Q5KdMCSr/","","","","1.31","3.15","","","","","1.31","3.27","","","","","","",""
"SV","0000011","20240927|121855","20240923_1525405_044040_041564","R05_3_CHN_China Open - Beijing","Osorio","Anisimova","|K|0.385424|EK|G||OL1|2.6234|EOL1|OL2|1.8256|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.8366|ENAOL1|NAOL2|1.8256|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.965|8.307|1.292|1.541|AH-5|6.965|8.307|1.384|1.651|AH-4|5.128|6.116|1.506|1.796|AH-3.5|3.946|4.706|1.506|1.796|AH-3|3.946|4.706|1.656|1.975|AH-2.5|3.189|3.803|1.656|1.975|AH-2|3.189|3.803|1.767|2.108|AH-1.5|2.844|3.392|1.767|2.108||AH1.5|2.34|213.731|2.058|187.926|AH2|2.34|213.731|2.201|201.001|AH2.5|2.179|199.009|2.201|201.001|AH3|2.179|199.009|2.402|219.399|AH3.5|2.012|183.753|2.402|219.399|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.54184|1|1.30267|1|EK-1.5||K21|7.5105|5.5|5.47238|5.5|EK21||K1.5|1.86045|5.5|2.59874|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/wta-beijing/osorio-serrano-maria-camila-anisimova-amanda-tpkBmBxQ/#ah;2;3.50;2","3.5","1.82","2.05","1.75","1.95","","","","","1.82","2.05","","","","","","",""
"SV","0000011","20240927|121857","20240923_1525405_044040_041564","R05_3_CHN_China Open - Beijing","Osorio","Anisimova","|K|0.385424|EK|G||OL1|2.6234|EOL1|OL2|1.8256|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.8366|ENAOL1|NAOL2|1.8256|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.965|8.307|1.292|1.541|AH-5|6.965|8.307|1.384|1.651|AH-4|5.128|6.116|1.506|1.796|AH-3.5|3.946|4.706|1.506|1.796|AH-3|3.946|4.706|1.656|1.975|AH-2.5|3.189|3.803|1.656|1.975|AH-2|3.189|3.803|1.767|2.108|AH-1.5|2.844|3.392|1.767|2.108||AH1.5|2.34|213.731|2.058|187.926|AH2|2.34|213.731|2.201|201.001|AH2.5|2.179|199.009|2.201|201.001|AH3|2.179|199.009|2.402|219.399|AH3.5|2.012|183.753|2.402|219.399|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.54184|1|1.30267|1|EK-1.5||K21|7.5105|5.5|5.47238|5.5|EK21||K1.5|1.86045|5.5|2.59874|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/wta-beijing/osorio-serrano-maria-camila-anisimova-amanda-tpkBmBxQ/#ah;2;2.50;2","2.5","2.04","1.83","1.95","1.75","","","","","2.04","1.83","","","","","","",""
"SV","0000011","20240927|121901","20240923_1525405_044040_041564","R05_3_CHN_China Open - Beijing","Osorio","Anisimova","|K|0.385424|EK|G||OL1|2.6234|EOL1|OL2|1.8256|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.8366|ENAOL1|NAOL2|1.8256|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.965|8.307|1.292|1.541|AH-5|6.965|8.307|1.384|1.651|AH-4|5.128|6.116|1.506|1.796|AH-3.5|3.946|4.706|1.506|1.796|AH-3|3.946|4.706|1.656|1.975|AH-2.5|3.189|3.803|1.656|1.975|AH-2|3.189|3.803|1.767|2.108|AH-1.5|2.844|3.392|1.767|2.108||AH1.5|2.34|213.731|2.058|187.926|AH2|2.34|213.731|2.201|201.001|AH2.5|2.179|199.009|2.201|201.001|AH3|2.179|199.009|2.402|219.399|AH3.5|2.012|183.753|2.402|219.399|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.54184|1|1.30267|1|EK-1.5||K21|7.5105|5.5|5.47238|5.5|EK21||K1.5|1.86045|5.5|2.59874|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/wta-beijing/osorio-serrano-maria-camila-anisimova-amanda-tpkBmBxQ/#ah;2;1.50;1","1.5","1.6","2.42","1.55","2.3","","","","","1.6","2.42","","","","","","",""
"SV","0000011","20240927|121859","20240923_1525405_044040_041564","R05_3_CHN_China Open - Beijing","Osorio","Anisimova","|K|0.385424|EK|G||OL1|2.6234|EOL1|OL2|1.8256|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.8366|ENAOL1|NAOL2|1.8256|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.965|8.307|1.292|1.541|AH-5|6.965|8.307|1.384|1.651|AH-4|5.128|6.116|1.506|1.796|AH-3.5|3.946|4.706|1.506|1.796|AH-3|3.946|4.706|1.656|1.975|AH-2.5|3.189|3.803|1.656|1.975|AH-2|3.189|3.803|1.767|2.108|AH-1.5|2.844|3.392|1.767|2.108||AH1.5|2.34|213.731|2.058|187.926|AH2|2.34|213.731|2.201|201.001|AH2.5|2.179|199.009|2.201|201.001|AH3|2.179|199.009|2.402|219.399|AH3.5|2.012|183.753|2.402|219.399|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.54184|1|1.30267|1|EK-1.5||K21|7.5105|5.5|5.47238|5.5|EK21||K1.5|1.86045|5.5|2.59874|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/wta-beijing/osorio-serrano-maria-camila-anisimova-amanda-tpkBmBxQ/#ah;2;-1.50;1","-1.5","4.29","1.24","3.9","1.21","","","","","4.29","1.24","","","","","","",""
"SV","0000011","20240927|121848","20240923_1525405_044040_041564","R05_3_CHN_China Open - Beijing","Osorio","Anisimova","|K|0.385424|EK|G||OL1|2.6234|EOL1|OL2|1.8256|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.8366|ENAOL1|NAOL2|1.8256|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|6.965|8.307|1.292|1.541|AH-5|6.965|8.307|1.384|1.651|AH-4|5.128|6.116|1.506|1.796|AH-3.5|3.946|4.706|1.506|1.796|AH-3|3.946|4.706|1.656|1.975|AH-2.5|3.189|3.803|1.656|1.975|AH-2|3.189|3.803|1.767|2.108|AH-1.5|2.844|3.392|1.767|2.108||AH1.5|2.34|213.731|2.058|187.926|AH2|2.34|213.731|2.201|201.001|AH2.5|2.179|199.009|2.201|201.001|AH3|2.179|199.009|2.402|219.399|AH3.5|2.012|183.753|2.402|219.399|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.54184|1|1.30267|1|EK-1.5||K21|7.5105|5.5|5.47238|5.5|EK21||K1.5|1.86045|5.5|2.59874|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/wta-beijing/osorio-serrano-maria-camila-anisimova-amanda-tpkBmBxQ/","","2.5","1.58","2.37","1.52","","","","","2.5","1.58","","","","","","",""
"CSV","0000012","20240927|121914","20240923_1575509_029373_074280","R09_1_USA_W35 Berkeley","Hruncakova","Mboko","|K|0.541509|EK|G||OL1|1.97025|EOL1|OL2|2.24475|EOL2|OH1|2.59|EOH1|OH2|2.9127|EOH2|EG|NA|NOT|ENA||AH-5.5|3.845|375.497|1.396|136.298|AH-5|3.845|375.497|1.575|153.838|AH-4|2.926|285.744|1.862|181.884|AH-3.5|2.275|222.124|1.862|181.884|AH-3|2.275|222.124|2.09|204.082|AH-2.5|2.008|196.078|2.09|204.082|AH-2|2.008|196.078|2.155|210.478|AH-1.5|1.951|190.516|2.155|210.478||AH1.5|1.697|162.679|2.707|259.542|AH2|1.697|162.679|3.191|305.957|AH2.5|1.549|148.554|3.191|305.957|AH3|1.549|148.554|3.67|351.892|AH3.5|1.457|139.7|3.67|351.892|AH4|1.457|139.7|4.424|424.196|AH4.5|1.365|130.846|4.424|424.196|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.96194|5.6|1.71936|5.6|EK-1.5||K21|6.692|5.6|6.3537|5.6|EK21||K1.5|1.5|1|4.52054|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-w35-berkeley-ca-women/hruncakova-viktoria-kuzmova-mboko-victoria-IiHFgVtP/#ah;2;0.50;2","0.5","1.81","1.97","1.79","1.91","","","","","1.81","1.97","","","","","","",""
"CSV","0000012","20240927|121921","20240923_1575509_029373_074280","R09_1_USA_W35 Berkeley","Hruncakova","Mboko","|K|0.541509|EK|G||OL1|1.97025|EOL1|OL2|2.24475|EOL2|OH1|2.59|EOH1|OH2|2.9127|EOH2|EG|NA|NOT|ENA||AH-5.5|3.845|375.497|1.396|136.298|AH-5|3.845|375.497|1.575|153.838|AH-4|2.926|285.744|1.862|181.884|AH-3.5|2.275|222.124|1.862|181.884|AH-3|2.275|222.124|2.09|204.082|AH-2.5|2.008|196.078|2.09|204.082|AH-2|2.008|196.078|2.155|210.478|AH-1.5|1.951|190.516|2.155|210.478||AH1.5|1.697|162.679|2.707|259.542|AH2|1.697|162.679|3.191|305.957|AH2.5|1.549|148.554|3.191|305.957|AH3|1.549|148.554|3.67|351.892|AH3.5|1.457|139.7|3.67|351.892|AH4|1.457|139.7|4.424|424.196|AH4.5|1.365|130.846|4.424|424.196|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.96194|5.6|1.71936|5.6|EK-1.5||K21|6.692|5.6|6.3537|5.6|EK21||K1.5|1.5|1|4.52054|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-w35-berkeley-ca-women/hruncakova-viktoria-kuzmova-mboko-victoria-IiHFgVtP/#ah;2;1.50;1","1.5","1.35","3.09","1.33","3.05","","","","","1.35","3.09","","","","","","",""
"CSV","0000012","20240927|121919","20240923_1575509_029373_074280","R09_1_USA_W35 Berkeley","Hruncakova","Mboko","|K|0.541509|EK|G||OL1|1.97025|EOL1|OL2|2.24475|EOL2|OH1|2.59|EOH1|OH2|2.9127|EOH2|EG|NA|NOT|ENA||AH-5.5|3.845|375.497|1.396|136.298|AH-5|3.845|375.497|1.575|153.838|AH-4|2.926|285.744|1.862|181.884|AH-3.5|2.275|222.124|1.862|181.884|AH-3|2.275|222.124|2.09|204.082|AH-2.5|2.008|196.078|2.09|204.082|AH-2|2.008|196.078|2.155|210.478|AH-1.5|1.951|190.516|2.155|210.478||AH1.5|1.697|162.679|2.707|259.542|AH2|1.697|162.679|3.191|305.957|AH2.5|1.549|148.554|3.191|305.957|AH3|1.549|148.554|3.67|351.892|AH3.5|1.457|139.7|3.67|351.892|AH4|1.457|139.7|4.424|424.196|AH4.5|1.365|130.846|4.424|424.196|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.96194|5.6|1.71936|5.6|EK-1.5||K21|6.692|5.6|6.3537|5.6|EK21||K1.5|1.5|1|4.52054|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-w35-berkeley-ca-women/hruncakova-viktoria-kuzmova-mboko-victoria-IiHFgVtP/#ah;2;-1.50;1","-1.5","2.88","1.4","2.75","1.39","","","","","2.88","1.4","","","","","","",""
"CSV","0000012","20240927|121905","20240923_1575509_029373_074280","R09_1_USA_W35 Berkeley","Hruncakova","Mboko","|K|0.541509|EK|G||OL1|1.97025|EOL1|OL2|2.24475|EOL2|OH1|2.59|EOH1|OH2|2.9127|EOH2|EG|NA|NOT|ENA||AH-5.5|3.845|375.497|1.396|136.298|AH-5|3.845|375.497|1.575|153.838|AH-4|2.926|285.744|1.862|181.884|AH-3.5|2.275|222.124|1.862|181.884|AH-3|2.275|222.124|2.09|204.082|AH-2.5|2.008|196.078|2.09|204.082|AH-2|2.008|196.078|2.155|210.478|AH-1.5|1.951|190.516|2.155|210.478||AH1.5|1.697|162.679|2.707|259.542|AH2|1.697|162.679|3.191|305.957|AH2.5|1.549|148.554|3.191|305.957|AH3|1.549|148.554|3.67|351.892|AH3.5|1.457|139.7|3.67|351.892|AH4|1.457|139.7|4.424|424.196|AH4.5|1.365|130.846|4.424|424.196|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.96194|5.6|1.71936|5.6|EK-1.5||K21|6.692|5.6|6.3537|5.6|EK21||K1.5|1.5|1|4.52054|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-w35-berkeley-ca-women/hruncakova-viktoria-kuzmova-mboko-victoria-IiHFgVtP/","","1.88","1.89","1.83","1.87","","","1.7","2.03","1.88","2.03","","","","","","",""
