"CDM","0000007","20240927|180456","20240923_2003112_103544_048503","R12_1_THA_Nonthaburi 4 Challenger","Bollipalli/Kadhe","Ellis/Walton","|K|0.504776|EK|G||OL1|2.02383|EOL1|OL2|2.05434|EOL2|OH1|199|EOH1|OH2|202|EOH2|EG|NA||NAOL1|2.15517|ENAOL1|NAOL2|2.18766|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/thailand/nonthaburi-4-challenger-men-doubles/bollipalli-rithvik-kadhe-arjun-ellis-blake-walton-adam-4OFW3VHE/","","","","1.57","2.25","","","","","1.6","2.25","","","","","","",""
"DM","0000008","20240927|180500","20240923_1941109_085486_114885","R09_2_CHN_China Open - Beijing","Bolelli/Vavassori","Bublik/Martinez","|K|0.739507|EK|G||OL1|1.4756|EOL1|OL2|3.9744|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5436|ENAOL1|NAOL2|4.1856|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/atp-beijing-doubles/bolelli-simone-vavassori-andrea-bublik-alexander-martinez-pedro-zVhnxyoe/","","","","1.35","2.95","","","","","1.38","2.95","","","","","","",""
"DM","0000009","20240927|180504","20240923_1941109_092845_110057","R09_2_CHN_China Open - Beijing","Gonzalez/Roger-Vasselin","Heliovaara/Patten","|K|0.361674|EK|G||OL1|2.86695|EOL1|OL2|1.70345|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA||NAOL1|3.0193|ENAOL1|NAOL2|1.78195|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/atp-beijing-doubles/gonzalez-santiago-roger-vasselin-edouard-heliovaara-harri-patten-henry-4haQh4sf/","","","","2.25","1.57","","","","","2.25","1.59","","","","","","",""
"DM","0000010","20240927|180508","20240923_1941009_114804_114614","R09_2_JPN_Japan Open Tennis Championships - Tokyo","Shelton/Thompson","Cash/Glasspool","|K|0.591546|EK|G||OL1|1.8445|EOL1|OL2|2.53575|EOL2|OH1|170|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.9295|ENAOL1|NAOL2|2.6705|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/japan/atp-tokyo-doubles/shelton-ben-thompson-jordan-cash-julian-glasspool-lloyd-pW0hFUpB/","","","","1.57","2.25","","","","","1.58","2.26","","","","","","",""
"SM","0000011","20240927|180523","20240923_1941105_047275_028900","R05_2_CHN_China Open - Beijing","Sinner","Safiullin","|K|0.961105|EK|G||OL1|1.155|EOL1|OL2|28.1634|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|28.2148|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.029|4.026|1.705|2.266|AH-5|3.029|4.026|2.425|3.222|AH-4|1.984|2.636|4.16|5.529|AH-3.5|1.479|1.965|4.16|5.529|AH-3|1.479|1.965|7.465|9.921|AH-2.5|1.278|1.698|7.465|9.921|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.70008|7|3.09199|1|EK-1.5||K21|3.27697|7|11.16|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-beijing/sinner-jannik-safiullin-roman-80SVYEFs/#ah;2;-4.50;2","-4.5","1.44","2.92","","","","","","","1.44","2.92","","","","","","",""
"SM","0000011","20240927|180521","20240923_1941105_047275_028900","R05_2_CHN_China Open - Beijing","Sinner","Safiullin","|K|0.961105|EK|G||OL1|1.155|EOL1|OL2|28.1634|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|28.2148|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.029|4.026|1.705|2.266|AH-5|3.029|4.026|2.425|3.222|AH-4|1.984|2.636|4.16|5.529|AH-3.5|1.479|1.965|4.16|5.529|AH-3|1.479|1.965|7.465|9.921|AH-2.5|1.278|1.698|7.465|9.921|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.70008|7|3.09199|1|EK-1.5||K21|3.27697|7|11.16|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-beijing/sinner-jannik-safiullin-roman-80SVYEFs/#ah;2;-5.50;2","-5.5","1.83","2.05","1.76","1.94","","","1.9","1.89","1.9","2.05","","","","","","",""
"SM","0000011","20240927|180528","20240923_1941105_047275_028900","R05_2_CHN_China Open - Beijing","Sinner","Safiullin","|K|0.961105|EK|G||OL1|1.155|EOL1|OL2|28.1634|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|28.2148|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.029|4.026|1.705|2.266|AH-5|3.029|4.026|2.425|3.222|AH-4|1.984|2.636|4.16|5.529|AH-3.5|1.479|1.965|4.16|5.529|AH-3|1.479|1.965|7.465|9.921|AH-2.5|1.278|1.698|7.465|9.921|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.70008|7|3.09199|1|EK-1.5||K21|3.27697|7|11.16|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-beijing/sinner-jannik-safiullin-roman-80SVYEFs/#ah;2;1.50;1","1.5","","","","","","","1.01","21.0","1.01","21.0","","","","","","",""
"SM","0000011","20240927|180526","20240923_1941105_047275_028900","R05_2_CHN_China Open - Beijing","Sinner","Safiullin","|K|0.961105|EK|G||OL1|1.155|EOL1|OL2|28.1634|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|28.2148|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.029|4.026|1.705|2.266|AH-5|3.029|4.026|2.425|3.222|AH-4|1.984|2.636|4.16|5.529|AH-3.5|1.479|1.965|4.16|5.529|AH-3|1.479|1.965|7.465|9.921|AH-2.5|1.278|1.698|7.465|9.921|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.70008|7|3.09199|1|EK-1.5||K21|3.27697|7|11.16|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-beijing/sinner-jannik-safiullin-roman-80SVYEFs/#ah;2;-1.50;1","-1.5","1.33","3.58","1.29","3.25","","","1.3","3.5","1.33","3.58","","","","","","",""
"SM","0000011","20240927|180512","20240923_1941105_047275_028900","R05_2_CHN_China Open - Beijing","Sinner","Safiullin","|K|0.961105|EK|G||OL1|1.155|EOL1|OL2|28.1634|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|28.2148|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|3.029|4.026|1.705|2.266|AH-5|3.029|4.026|2.425|3.222|AH-4|1.984|2.636|4.16|5.529|AH-3.5|1.479|1.965|4.16|5.529|AH-3|1.479|1.965|7.465|9.921|AH-2.5|1.278|1.698|7.465|9.921|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.094|1.45|10940|14500|AH3|1.094|1.45|10940|14500|AH3.5|1.094|1.45|10940|14500|AH4|1.094|1.45|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.70008|7|3.09199|1|EK-1.5||K21|3.27697|7|11.16|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/atp-beijing/sinner-jannik-safiullin-roman-80SVYEFs/","","1.07","11.2","1.05","8.2","","","1.07","9.0","1.07","11.2","","","","","","",""
"SM","0000012","20240927|180538","20240923_1941105_061667_063572","R05_2_CHN_China Open - Beijing","Bu","Musetti","|K|0.343967|EK|G||OL1|3.18645|EOL1|OL2|1.683|EOL2|OH1|1|EOH1|OH2|2.2185|EOH2|EG|NA||NAOL1|3.19227|ENAOL1|NAOL2|1.6983|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|13.116|17.433|1.19|1.582|AH-5|13.116|17.433|1.265|1.682|AH-4|7.917|10.522|1.316|1.749|AH-3.5|6.373|8.471|1.316|1.749|AH-3|6.373|8.471|1.399|1.86|AH-2.5|4.952|6.581|1.399|1.86|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.708|3.589|1.836|2.433|AH3|2.708|3.589|2.205|2.922|AH3.5|2.172|2.878|2.205|2.922|AH4|2.172|2.878|3.073|4.072|AH4.5|1.699|2.252|3.073|4.072|AH5|1.699|2.252|4.448|5.896|AH5.5|1.451|1.923|4.448|5.896||EAH||AHS||K-1.5|5.64509|1|1.52|7|EK-1.5||K21|8.08889|1|4.48963|7|EK21||K1.5|1.84584|7|2.57467|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-beijing/yunchaokete-bu-musetti-lorenzo-p8p9l82L/#ah;2;3.50;2","3.5","1.81","2.07","1.75","1.95","","","","","1.81","2.07","","","","","","",""
"SM","0000012","20240927|180540","20240923_1941105_061667_063572","R05_2_CHN_China Open - Beijing","Bu","Musetti","|K|0.343967|EK|G||OL1|3.18645|EOL1|OL2|1.683|EOL2|OH1|1|EOH1|OH2|2.2185|EOH2|EG|NA||NAOL1|3.19227|ENAOL1|NAOL2|1.6983|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|13.116|17.433|1.19|1.582|AH-5|13.116|17.433|1.265|1.682|AH-4|7.917|10.522|1.316|1.749|AH-3.5|6.373|8.471|1.316|1.749|AH-3|6.373|8.471|1.399|1.86|AH-2.5|4.952|6.581|1.399|1.86|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.708|3.589|1.836|2.433|AH3|2.708|3.589|2.205|2.922|AH3.5|2.172|2.878|2.205|2.922|AH4|2.172|2.878|3.073|4.072|AH4.5|1.699|2.252|3.073|4.072|AH5|1.699|2.252|4.448|5.896|AH5.5|1.451|1.923|4.448|5.896||EAH||AHS||K-1.5|5.64509|1|1.52|7|EK-1.5||K21|8.08889|1|4.48963|7|EK21||K1.5|1.84584|7|2.57467|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-beijing/yunchaokete-bu-musetti-lorenzo-p8p9l82L/#ah;2;2.50;2","2.5","2.13","1.77","2.04","1.69","","","1.94","1.84","2.13","1.84","","","","","","",""
