"CDM","0000007","20241003|123440","20240930_2003709_091045_100355","R09_1_USA_Tiburon Challenger","Cash/Tracy","Saville/Schoolkate","|K|0.393951|EK|G||OL1|2.58318|EOL1|OL2|1.67145|EOL2|OH1|254|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.75082|ENAOL1|NAOL2|1.83098|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/tiburon-challenger-men-doubles/cash-robert-tracy-james-saville-luke-schoolkate-tristan-8YwVBj05/","","","","1.85","1.85","","","","","1.85","1.9","","","","","","",""
"CDM","0000008","20241003|123443","20240930_2003709_113054_114916","R09_1_USA_Tiburon Challenger","Hilderbrand/Lawson","Oliveira/Stevenson","|K|0.606887|EK|G||OL1|1.66138|EOL1|OL2|2.59335|EOL2|OH1|2.475|EOH1|OH2|255|EOH2|EG|NA||NAOL1|1.81995|ENAOL1|NAOL2|2.76165|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/tiburon-challenger-men-doubles/hilderbrand-trey-lawson-alex-oliveira-goncalo-stevenson-kelsey-6uO4kclR/","","","","1.44","2.59","","","","","1.53","2.6","","","","","","",""
"CDM","0000009","20241003|123447","20240930_2003709_114915_114918","R09_1_USA_Tiburon Challenger","Kiger/Trhac","Kypson/Spizzirri","|K|0.508404|EK|G||OL1|2.00349|EOL1|OL2|2.07468|EOL2|OH1|197|EOH1|OH2|204|EOH2|EG|NA||NAOL1|2.13351|ENAOL1|NAOL2|2.20932|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/tiburon-challenger-men-doubles/kiger-mac-trhac-patrik-kypson-patrick-spizzirri-eliot-vgnEFY0t/","","","","1.85","1.85","","","","","1.85","1.9","","","","","","",""
"SM","0000010","20241003|123458","20240930_1941205_036858_022807","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Seyboth Wild","Medvedev","|K|0.110722|EK|G||OL1|9.8988|EOL1|OL2|1.243|EOL2|OH1|1|EOH1|OH2|1.6385|EOH2|EG|NA||NAOL1|9.91688|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.1|1.462|AH-3.5|134.773|179.121|1.1|1.462|AH-3|134.773|179.121|1.14|1.516|AH-2.5|25.241|33.547|1.14|1.516|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.823|6.393|1.415|1.875|AH3|4.823|6.393|1.642|2.176|AH3.5|3.278|4.345|1.642|2.176|AH4|3.278|4.345|2.141|2.837|AH4.5|2.237|2.966|2.141|2.837|AH5|2.237|2.966|3.309|4.385|AH5.5|1.634|2.166|3.309|4.385||EAH||AHS||K-1.5|11310|1|1.52|1|EK-1.5||K21|8.94213|1|3.99363|7|EK21||K1.5|2.82327|7|1.78559|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/seyboth-wild-thiago-medvedev-daniil-CEAbg7SP/#ah;2;5.50;2","5.5","1.81","2.06","1.74","1.96","","","","","1.81","2.06","","","","","","",""
"SM","0000010","20241003|123500","20240930_1941205_036858_022807","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Seyboth Wild","Medvedev","|K|0.110722|EK|G||OL1|9.8988|EOL1|OL2|1.243|EOL2|OH1|1|EOH1|OH2|1.6385|EOH2|EG|NA||NAOL1|9.91688|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.1|1.462|AH-3.5|134.773|179.121|1.1|1.462|AH-3|134.773|179.121|1.14|1.516|AH-2.5|25.241|33.547|1.14|1.516|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.823|6.393|1.415|1.875|AH3|4.823|6.393|1.642|2.176|AH3.5|3.278|4.345|1.642|2.176|AH4|3.278|4.345|2.141|2.837|AH4.5|2.237|2.966|2.141|2.837|AH5|2.237|2.966|3.309|4.385|AH5.5|1.634|2.166|3.309|4.385||EAH||AHS||K-1.5|11310|1|1.52|1|EK-1.5||K21|8.94213|1|3.99363|7|EK21||K1.5|2.82327|7|1.78559|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/seyboth-wild-thiago-medvedev-daniil-CEAbg7SP/#ah;2;4.50;2","4.5","2.52","1.56","2.37","1.52","","","","","2.52","1.56","","","","","","",""
"SM","0000010","20241003|123504","20240930_1941205_036858_022807","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Seyboth Wild","Medvedev","|K|0.110722|EK|G||OL1|9.8988|EOL1|OL2|1.243|EOL2|OH1|1|EOH1|OH2|1.6385|EOH2|EG|NA||NAOL1|9.91688|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.1|1.462|AH-3.5|134.773|179.121|1.1|1.462|AH-3|134.773|179.121|1.14|1.516|AH-2.5|25.241|33.547|1.14|1.516|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.823|6.393|1.415|1.875|AH3|4.823|6.393|1.642|2.176|AH3.5|3.278|4.345|1.642|2.176|AH4|3.278|4.345|2.141|2.837|AH4.5|2.237|2.966|2.141|2.837|AH5|2.237|2.966|3.309|4.385|AH5.5|1.634|2.166|3.309|4.385||EAH||AHS||K-1.5|11310|1|1.52|1|EK-1.5||K21|8.94213|1|3.99363|7|EK21||K1.5|2.82327|7|1.78559|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-shanghai/seyboth-wild-thiago-medvedev-daniil-CEAbg7SP/#ah;2;1.50;1","1.5","3.34","1.35","3.1","1.32","","","","","3.34","1.35","","","","","","",""
"SM","0000010","20241003|123451","20240930_1941205_036858_022807","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Seyboth Wild","Medvedev","|K|0.110722|EK|G||OL1|9.8988|EOL1|OL2|1.243|EOL2|OH1|1|EOH1|OH2|1.6385|EOH2|EG|NA||NAOL1|9.91688|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|10910|14500|1.091|1.45|AH-5|10910|14500|1.091|1.45|AH-4|10910|14500|1.1|1.462|AH-3.5|134.773|179.121|1.1|1.462|AH-3|134.773|179.121|1.14|1.516|AH-2.5|25.241|33.547|1.14|1.516|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|4.823|6.393|1.415|1.875|AH3|4.823|6.393|1.642|2.176|AH3.5|3.278|4.345|1.642|2.176|AH4|3.278|4.345|2.141|2.837|AH4.5|2.237|2.966|2.141|2.837|AH5|2.237|2.966|3.309|4.385|AH5.5|1.634|2.166|3.309|4.385||EAH||AHS||K-1.5|11310|1|1.52|1|EK-1.5||K21|8.94213|1|3.99363|7|EK21||K1.5|2.82327|7|1.78559|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/atp-shanghai/seyboth-wild-thiago-medvedev-daniil-CEAbg7SP/","","9.95","1.08","7.3","1.06","","","9.5","1.06","9.95","1.08","","","","","","",""
"SM","0000011","20241003|123517","20240930_1941205_068074_086082","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Alcaraz","Shang","|K|0.909464|EK|G||OL1|1.21|EOL1|OL2|12.0998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1219|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.976|3.956|1.722|2.289|AH-5|2.976|3.956|2.283|3.034|AH-4|2.09|2.777|3.359|4.464|AH-3.5|1.616|2.148|3.359|4.464|AH-3|1.616|2.148|5.257|6.987|AH-2.5|1.377|1.83|5.257|6.987|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.118|1.482|51.222|67.891|AH3|1.118|1.482|262.063|347.341|AH3.5|1.099|1.456|262.063|347.341|AH4|1.099|1.456|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.71259|7|3.04773|1|EK-1.5||K21|3.81949|7|9.07962|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/alcaraz-garfia-carlos-shang-juncheng-hGxJ82ae/#ah;2;-4.50;2","-4.5","1.59","2.45","1.54","2.33","","","","","1.59","2.45","","","","","","",""
"SM","0000011","20241003|123516","20240930_1941205_068074_086082","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Alcaraz","Shang","|K|0.909464|EK|G||OL1|1.21|EOL1|OL2|12.0998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1219|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.976|3.956|1.722|2.289|AH-5|2.976|3.956|2.283|3.034|AH-4|2.09|2.777|3.359|4.464|AH-3.5|1.616|2.148|3.359|4.464|AH-3|1.616|2.148|5.257|6.987|AH-2.5|1.377|1.83|5.257|6.987|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.118|1.482|51.222|67.891|AH3|1.118|1.482|262.063|347.341|AH3.5|1.099|1.456|262.063|347.341|AH4|1.099|1.456|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.71259|7|3.04773|1|EK-1.5||K21|3.81949|7|9.07962|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/atp-shanghai/alcaraz-garfia-carlos-shang-juncheng-hGxJ82ae/#ah;2;-5.50;2","-5.5","2.15","1.75","2.04","1.69","","","","","2.15","1.75","","","","","","",""
"SM","0000011","20241003|123520","20240930_1941205_068074_086082","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Alcaraz","Shang","|K|0.909464|EK|G||OL1|1.21|EOL1|OL2|12.0998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1219|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.976|3.956|1.722|2.289|AH-5|2.976|3.956|2.283|3.034|AH-4|2.09|2.777|3.359|4.464|AH-3.5|1.616|2.148|3.359|4.464|AH-3|1.616|2.148|5.257|6.987|AH-2.5|1.377|1.83|5.257|6.987|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.118|1.482|51.222|67.891|AH3|1.118|1.482|262.063|347.341|AH3.5|1.099|1.456|262.063|347.341|AH4|1.099|1.456|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.71259|7|3.04773|1|EK-1.5||K21|3.81949|7|9.07962|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/atp-shanghai/alcaraz-garfia-carlos-shang-juncheng-hGxJ82ae/#ah;2;-1.50;1","-1.5","1.39","3.12","1.36","2.87","","","","","1.39","3.12","","","","","","",""
"SM","0000011","20241003|123508","20240930_1941205_068074_086082","R05_3_CHN_Shanghai Rolex Masters - Shanghai","Alcaraz","Shang","|K|0.909464|EK|G||OL1|1.21|EOL1|OL2|12.0998|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1219|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|2.976|3.956|1.722|2.289|AH-5|2.976|3.956|2.283|3.034|AH-4|2.09|2.777|3.359|4.464|AH-3.5|1.616|2.148|3.359|4.464|AH-3|1.616|2.148|5.257|6.987|AH-2.5|1.377|1.83|5.257|6.987|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.118|1.482|51.222|67.891|AH3|1.118|1.482|262.063|347.341|AH3.5|1.099|1.456|262.063|347.341|AH4|1.099|1.456|10940|14500|AH4.5|1.094|1.45|10940|14500|AH5|1.094|1.45|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|1.71259|7|3.04773|1|EK-1.5||K21|3.81949|7|9.07962|1|EK21||K1.5|1.52|1|11310|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/atp-shanghai/alcaraz-garfia-carlos-shang-juncheng-hGxJ82ae/","","1.08","9.78","1.06","7.5","","","1.08","8.0","1.08","9.78","","","","","","",""
