"FDV","0000001","20241003|173244","20240930_1577410_097006_090454","R10_0_EGY_W15 Sharm ElSheikh","Pawlikowska/Samir","Suvirdjonkova/Zelinskaya","|K|0.690778|EK|G||OL1|1.45|EOL1|OL2|3.3534|EOL2|OH1|145|EOH1|OH2|324|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/egypt/itf-w15-sharm-elsheikh-12-women-doubles/pawlikowska-zuzanna-samir-sandra-suvirdjonkova-darja-zelinskaya-daria-vTnpQjZj/","","","","1.44","2.59","","","","","1.44","2.6","","","","","","",""
"FSM","0000002","20241003|173255","20240930_2009709_056813_011521","R09_0_AUS_M25 Cairns","Charlton","Moriya","|K|0.198569|EK|G||OL1|5.16096|EOL1|OL2|1.33|EOL2|OH1|1|EOH1|OH2|125|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1690.23|1690.23|110.521|110.521|AH-3.5|1050.48|1050.48|110.521|110.521|AH-3|1050.48|1050.48|115.651|115.651|AH-2.5|738.954|738.954|115.651|115.651|AH-2|738.954|738.954|118.41|118.41|AH-1.5|643.171|643.171|118.41|118.41||AH1.5|429.515|429.515|130.348|130.348|AH2|429.515|429.515|138.46|138.46|AH2.5|360.013|360.013|138.46|138.46|AH3|360.013|360.013|151.397|151.397|AH3.5|294.563|294.563|151.397|151.397|AH4|294.563|294.563|181.33|181.33|AH4.5|222.956|222.956|181.33|181.33|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-men/charlton-joshua-moriya-hiroki-zVUqBDAm/#ah;2;4.50;2","4.5","","","1.9","1.8","","","","","1.9","1.8","","","","","","",""
"FSM","0000002","20241003|173248","20240930_2009709_056813_011521","R09_0_AUS_M25 Cairns","Charlton","Moriya","|K|0.198569|EK|G||OL1|5.16096|EOL1|OL2|1.33|EOL2|OH1|1|EOH1|OH2|125|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1690.23|1690.23|110.521|110.521|AH-3.5|1050.48|1050.48|110.521|110.521|AH-3|1050.48|1050.48|115.651|115.651|AH-2.5|738.954|738.954|115.651|115.651|AH-2|738.954|738.954|118.41|118.41|AH-1.5|643.171|643.171|118.41|118.41||AH1.5|429.515|429.515|130.348|130.348|AH2|429.515|429.515|138.46|138.46|AH2.5|360.013|360.013|138.46|138.46|AH3|360.013|360.013|151.397|151.397|AH3.5|294.563|294.563|151.397|151.397|AH4|294.563|294.563|181.33|181.33|AH4.5|222.956|222.956|181.33|181.33|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-men/charlton-joshua-moriya-hiroki-zVUqBDAm/","","","","4.15","1.19","","","4.15","1.2","4.18","1.2","","","","","","",""
"FSM","0000003","20241003|173309","20240930_2009709_056591_083105","R09_0_AUS_M25 Cairns","Hulme","Winter","|K|0.2081|EK|G||OL1|4.92544|EOL1|OL2|1.35128|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1431.91|1431.91|113.045|113.045|AH-3.5|866.599|866.599|113.045|113.045|AH-3|866.599|866.599|118.177|118.177|AH-2.5|650.133|650.133|118.177|118.177|AH-2|650.133|650.133|121.621|121.621|AH-1.5|562.512|562.512|121.621|121.621||AH1.5|396.591|396.591|133.716|133.716|AH2|396.591|396.591|142.513|142.513|AH2.5|335.223|335.223|142.513|142.513|AH3|335.223|335.223|157.138|157.138|AH3.5|275.016|275.016|157.138|157.138|AH4|275.016|275.016|189.924|189.924|AH4.5|211.205|211.205|189.924|189.924|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-men/hulme-matthew-winter-edward-CUhXRWQq/#ah;2;5.50;2","5.5","","","1.68","2.05","","","","","1.68","2.05","","","","","","",""
"FSM","0000003","20241003|173311","20240930_2009709_056591_083105","R09_0_AUS_M25 Cairns","Hulme","Winter","|K|0.2081|EK|G||OL1|4.92544|EOL1|OL2|1.35128|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1431.91|1431.91|113.045|113.045|AH-3.5|866.599|866.599|113.045|113.045|AH-3|866.599|866.599|118.177|118.177|AH-2.5|650.133|650.133|118.177|118.177|AH-2|650.133|650.133|121.621|121.621|AH-1.5|562.512|562.512|121.621|121.621||AH1.5|396.591|396.591|133.716|133.716|AH2|396.591|396.591|142.513|142.513|AH2.5|335.223|335.223|142.513|142.513|AH3|335.223|335.223|157.138|157.138|AH3.5|275.016|275.016|157.138|157.138|AH4|275.016|275.016|189.924|189.924|AH4.5|211.205|211.205|189.924|189.924|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-men/hulme-matthew-winter-edward-CUhXRWQq/#ah;2;4.50;2","4.5","","","2.1","1.65","","","","","2.1","1.65","","","","","","",""
"FSM","0000003","20241003|173303","20240930_2009709_056591_083105","R09_0_AUS_M25 Cairns","Hulme","Winter","|K|0.2081|EK|G||OL1|4.92544|EOL1|OL2|1.35128|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1431.91|1431.91|113.045|113.045|AH-3.5|866.599|866.599|113.045|113.045|AH-3|866.599|866.599|118.177|118.177|AH-2.5|650.133|650.133|118.177|118.177|AH-2|650.133|650.133|121.621|121.621|AH-1.5|562.512|562.512|121.621|121.621||AH1.5|396.591|396.591|133.716|133.716|AH2|396.591|396.591|142.513|142.513|AH2.5|335.223|335.223|142.513|142.513|AH3|335.223|335.223|157.138|157.138|AH3.5|275.016|275.016|157.138|157.138|AH4|275.016|275.016|189.924|189.924|AH4.5|211.205|211.205|189.924|189.924|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-men/hulme-matthew-winter-edward-CUhXRWQq/","","","","4.15","1.19","","","4.15","1.2","4.15","1.21","","","","","","",""
"FSM","0000004","20241003|173327","20240930_2009405_044990_026500","R05_0_ESP_M25 Zaragoza","De Krom","Gakhov","|K|0.451639|EK|G||OL1|2.36208|EOL1|OL2|1.94712|EOL2|OH1|222|EOH1|OH2|183|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|366.513|366.513|150.522|150.522|AH-3.5|297.932|297.932|150.522|150.522|AH-3|297.932|297.932|163.226|163.226|AH-2.5|258.163|258.163|163.226|163.226|AH-2|258.163|258.163|173.336|173.336|AH-1.5|236.36|236.36|173.336|173.336||AH1.5|200.898|200.898|199.11|199.11|AH2|200.898|200.898|212.227|212.227|AH2.5|189.105|189.105|212.227|212.227|AH3|189.105|189.105|236.724|236.724|AH3.5|173.14|173.14|236.724|236.724|AH4|173.14|173.14|293.656|293.656|AH4.5|151.638|151.638|293.656|293.656|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-zaragoza-men/de-krom-michiel-gakhov-ivan-vsScrJbs/#ah;2;3.00;2","3.0","","","1.73","1.97","","","","","1.73","1.97","","","","","","",""
"FSM","0000004","20241003|173325","20240930_2009405_044990_026500","R05_0_ESP_M25 Zaragoza","De Krom","Gakhov","|K|0.451639|EK|G||OL1|2.36208|EOL1|OL2|1.94712|EOL2|OH1|222|EOH1|OH2|183|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|366.513|366.513|150.522|150.522|AH-3.5|297.932|297.932|150.522|150.522|AH-3|297.932|297.932|163.226|163.226|AH-2.5|258.163|258.163|163.226|163.226|AH-2|258.163|258.163|173.336|173.336|AH-1.5|236.36|236.36|173.336|173.336||AH1.5|200.898|200.898|199.11|199.11|AH2|200.898|200.898|212.227|212.227|AH2.5|189.105|189.105|212.227|212.227|AH3|189.105|189.105|236.724|236.724|AH3.5|173.14|173.14|236.724|236.724|AH4|173.14|173.14|293.656|293.656|AH4.5|151.638|151.638|293.656|293.656|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-zaragoza-men/de-krom-michiel-gakhov-ivan-vsScrJbs/#ah;2;2.50;2","2.5","","","1.84","1.86","","","","","1.84","1.86","","","","","","",""
"FSM","0000004","20241003|173317","20240930_2009405_044990_026500","R05_0_ESP_M25 Zaragoza","De Krom","Gakhov","|K|0.451639|EK|G||OL1|2.36208|EOL1|OL2|1.94712|EOL2|OH1|222|EOH1|OH2|183|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|366.513|366.513|150.522|150.522|AH-3.5|297.932|297.932|150.522|150.522|AH-3|297.932|297.932|163.226|163.226|AH-2.5|258.163|258.163|163.226|163.226|AH-2|258.163|258.163|173.336|173.336|AH-1.5|236.36|236.36|173.336|173.336||AH1.5|200.898|200.898|199.11|199.11|AH2|200.898|200.898|212.227|212.227|AH2.5|189.105|189.105|212.227|212.227|AH3|189.105|189.105|236.724|236.724|AH3.5|173.14|173.14|236.724|236.724|AH4|173.14|173.14|293.656|293.656|AH4.5|151.638|151.638|293.656|293.656|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-zaragoza-men/de-krom-michiel-gakhov-ivan-vsScrJbs/","","","","2.17","1.61","","","","","2.17","1.64","","","","","","",""
"CDM","0000005","20241003|173332","20240930_2003410_097319_114934","R10_1_FRA_Mouilleron-Le-Captif Challenger","Schnaitter/Wallner","Demoliner/Harrison","|K|0.600428|EK|G||OL1|1.68152|EOL1|OL2|2.55267|EOL2|OH1|2.505|EOH1|OH2|251|EOH2|EG|NA||NAOL1|1.84201|ENAOL1|NAOL2|2.71833|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/mouilleron-le-captif-challenger-men-doubles/schnaitter-jakob-wallner-mark-demoliner-marcelo-harrison-christian-EqMQnCOh/","","","","","","","","","","1.65","2.1","","","","","","",""
"CSM","0000006","20241003|173343","20240930_2003309_033284_019474","R09_1_ESP_Villena Challenger","Moreno De Alboran","Lestienne","|K|0.612165|EK|G||OL1|1.7302|EOL1|OL2|2.7477|EOL2|OH1|164|EOH1|OH2|258|EOH2|EG|NA||NAOL1|1.7302|ENAOL1|NAOL2|2.8638|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.474|233.438|2.159|203.674|AH-2.5|2.082|196.456|2.159|203.674|AH-2|2.082|196.456|2.414|227.777|AH-1.5|1.89|178.261|2.414|227.777||AH1.5|1.678|152.523|3.194|290.393|AH2|1.678|152.523|3.588|326.174|AH2.5|1.586|144.214|3.588|326.174|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.88931|6|1.6992|6|EK-1.5||K21|4.29729|6|6.16122|1|EK21||K1.5|1.54|6|5.44831|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/alicante-challenger-men/moreno-de-alboran-nicolas-lestienne-constant-4Gm30viU/#ah;2;-1.50;2","-1.5","1.81","2.05","1.75","1.95","","","","","1.81","2.05","","","","","","",""
