"CDM","0000001","20241006|130017","20241007_2010704_101272_061264","R04_1_CHN_Hangzhou Challenger","Bolt/Walton","Matsui/Ramanathan","|K|0.515019|EK|G||OL1|1.98315|EOL1|OL2|2.10519|EOL2|OH1|195|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11185|ENAOL1|NAOL2|2.24181|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men-doubles/bolt-alex-walton-adam-matsui-toshihide-ramanathan-ramkumar-d60cmylo/","","","","","","","","","","","","","","","","","",""
"CDM","0000002","20241006|130021","20241007_2010704_060688_114612","R04_1_CHN_Hangzhou Challenger","Sun/Te","Statham/Svajda","|K|0.52032|EK|G||OL1|1.96281|EOL1|OL2|2.12553|EOL2|OH1|1|EOH1|OH2|209|EOH2|EG|NA||NAOL1|2.09019|ENAOL1|NAOL2|2.26347|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men-doubles/sun-fajing-te-rigele-statham-jose-rubin-svajda-zachary-p0KKAVo9/","","","","","","","","","","","","","","","","","",""
"DV","0000003","20241006|130026","20241007_1525504_092863_097045","R04_3_CHN_Wuhan Open - Wuhan","Chan/Kudermetova","Cocciaretto/Parry","|K|0.797653|EK|G||OL1|1.28394|EOL1|OL2|5.19255|EOL2|OH1|126|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2852|ENAOL1|NAOL2|5.5935|ENAOL2|NAVE1|-3.3|ENAVE1|NAVE2|-8.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/wta-wuhan-doubles/chan-hao-ching-kudermetova-veronika-cocciaretto-elisabetta-parry-diane-fZ9Qcpoo/","","","","","","","","","","1.36","3.2","","","","","","",""
"CSM","0000004","20241006|130038","20240930_2003612_018720_061971","R12_1_ARG_Buenos Aires Challenger","Coria","Comesana","|K|0.431925|EK|G||OL1|2.4708|EOL1|OL2|1.86735|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA||NAOL1|2.5752|ENAOL1|NAOL2|1.86735|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.746|353.4|1.589|149.874|AH-2.5|3.185|300.507|1.589|149.874|AH-2|3.185|300.507|1.633|154.077|AH-1.5|3.02|284.921|1.633|154.077||AH1.5|2.577|234.303|1.919|174.459|AH2|2.577|234.303|2.089|189.9|AH2.5|2.324|211.234|2.089|189.9|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.18813|6|1.54|6|EK-1.5||K21|5.8442|6|5.59073|6|EK21||K1.5|1.65761|6|3.00747|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/buenos-aires-3-challenger-men/coria-federico-comesana-francisco-4tcBa1qo/#ah;2;0.50;2","0.5","","","1.75","1.95","","","","","1.75","1.95","","","","","","",""
"CSM","0000004","20241006|130036","20240930_2003612_018720_061971","R12_1_ARG_Buenos Aires Challenger","Coria","Comesana","|K|0.431925|EK|G||OL1|2.4708|EOL1|OL2|1.86735|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA||NAOL1|2.5752|ENAOL1|NAOL2|1.86735|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.746|353.4|1.589|149.874|AH-2.5|3.185|300.507|1.589|149.874|AH-2|3.185|300.507|1.633|154.077|AH-1.5|3.02|284.921|1.633|154.077||AH1.5|2.577|234.303|1.919|174.459|AH2|2.577|234.303|2.089|189.9|AH2.5|2.324|211.234|2.089|189.9|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.18813|6|1.54|6|EK-1.5||K21|5.8442|6|5.59073|6|EK21||K1.5|1.65761|6|3.00747|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/buenos-aires-3-challenger-men/coria-federico-comesana-francisco-4tcBa1qo/#ah;2;-0.50;2","-0.5","1.87","1.99","1.86","1.84","","","","","1.87","1.99","","","","","","",""
"CSM","0000004","20241006|130042","20240930_2003612_018720_061971","R12_1_ARG_Buenos Aires Challenger","Coria","Comesana","|K|0.431925|EK|G||OL1|2.4708|EOL1|OL2|1.86735|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA||NAOL1|2.5752|ENAOL1|NAOL2|1.86735|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.746|353.4|1.589|149.874|AH-2.5|3.185|300.507|1.589|149.874|AH-2|3.185|300.507|1.633|154.077|AH-1.5|3.02|284.921|1.633|154.077||AH1.5|2.577|234.303|1.919|174.459|AH2|2.577|234.303|2.089|189.9|AH2.5|2.324|211.234|2.089|189.9|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.18813|6|1.54|6|EK-1.5||K21|5.8442|6|5.59073|6|EK21||K1.5|1.65761|6|3.00747|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/buenos-aires-3-challenger-men/coria-federico-comesana-francisco-4tcBa1qo/#ah;2;1.50;1","1.5","1.34","3.39","","","","","","","1.34","3.39","","","","","","",""
"CSM","0000004","20241006|130040","20240930_2003612_018720_061971","R12_1_ARG_Buenos Aires Challenger","Coria","Comesana","|K|0.431925|EK|G||OL1|2.4708|EOL1|OL2|1.86735|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA||NAOL1|2.5752|ENAOL1|NAOL2|1.86735|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.746|353.4|1.589|149.874|AH-2.5|3.185|300.507|1.589|149.874|AH-2|3.185|300.507|1.633|154.077|AH-1.5|3.02|284.921|1.633|154.077||AH1.5|2.577|234.303|1.919|174.459|AH2|2.577|234.303|2.089|189.9|AH2.5|2.324|211.234|2.089|189.9|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.18813|6|1.54|6|EK-1.5||K21|5.8442|6|5.59073|6|EK21||K1.5|1.65761|6|3.00747|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/buenos-aires-3-challenger-men/coria-federico-comesana-francisco-4tcBa1qo/#ah;2;-1.50;1","-1.5","3.0","1.42","","","","","","","3.0","1.42","","","","","","",""
"CSM","0000004","20241006|130030","20240930_2003612_018720_061971","R12_1_ARG_Buenos Aires Challenger","Coria","Comesana","|K|0.431925|EK|G||OL1|2.4708|EOL1|OL2|1.86735|EOL2|OH1|232|EOH1|OH2|177|EOH2|EG|NA||NAOL1|2.5752|ENAOL1|NAOL2|1.86735|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.746|353.4|1.589|149.874|AH-2.5|3.185|300.507|1.589|149.874|AH-2|3.185|300.507|1.633|154.077|AH-1.5|3.02|284.921|1.633|154.077||AH1.5|2.577|234.303|1.919|174.459|AH2|2.577|234.303|2.089|189.9|AH2.5|2.324|211.234|2.089|189.9|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.18813|6|1.54|6|EK-1.5||K21|5.8442|6|5.59073|6|EK21||K1.5|1.65761|6|3.00747|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/argentina/buenos-aires-3-challenger-men/coria-federico-comesana-francisco-4tcBa1qo/","","1.81","2.06","1.8","1.9","","","","","1.82","2.06","","","","","","",""
"CSM","0000005","20241006|130053","20241007_2010704_010404_058149","R04_1_CHN_Hangzhou Challenger","Bai","Hijikata","|K|0.185041|EK|G||OL1|5.76165|EOL1|OL2|1.29765|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA||NAOL1|6.0051|ENAOL1|NAOL2|1.29765|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/bai-yan-hijikata-rinky-fiwvAWdT/#ah;2;4.50;2","4.5","1.8","2.04","1.76","1.94","","","","","1.8","2.04","","","","","","",""
"CSM","0000005","20241006|130055","20241007_2010704_010404_058149","R04_1_CHN_Hangzhou Challenger","Bai","Hijikata","|K|0.185041|EK|G||OL1|5.76165|EOL1|OL2|1.29765|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA||NAOL1|6.0051|ENAOL1|NAOL2|1.29765|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/bai-yan-hijikata-rinky-fiwvAWdT/#ah;2;4.00;2","4.0","2.0","1.83","1.94","1.76","","","","","2.0","1.83","","","","","","",""
"CSM","0000005","20241006|130100","20241007_2010704_010404_058149","R04_1_CHN_Hangzhou Challenger","Bai","Hijikata","|K|0.185041|EK|G||OL1|5.76165|EOL1|OL2|1.29765|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA||NAOL1|6.0051|ENAOL1|NAOL2|1.29765|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AHS||K-1.5|1.54|1|1.54|1|EK-1.5||K21|1.54|1|1.54|1|EK21||K1.5|1.54|1|1.54|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/bai-yan-hijikata-rinky-fiwvAWdT/#ah;2;1.50;1","1.5","1.96","1.86","1.9","1.8","","","","","1.96","1.86","","","","","","",""
