"CDM","0000019","20241007|122714","20241007_2010904_092918_052015","R04_1_FRA_Roanne Challenger","Frantzen/Jebens","Barrere/Eysseric","|K|0.604961|EK|G||OL1|1.67145|EOL1|OL2|2.58318|EOL2|OH1|2.49|EOH1|OH2|254|EOH2|EG|NA||NAOL1|1.83098|ENAOL1|NAOL2|2.75082|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/roanne-challenger-men-doubles/frantzen-constantin-jebens-hendrik-barrere-gregoire-eysseric-jonathan-n7mlmWGc/","","","","1.48","2.45","","","","","1.53","2.45","","","","","","",""
"CDM","0000020","20241007|122717","20241007_2010904_097319_114781","R04_1_FRA_Roanne Challenger","Schnaitter/Wallner","Haase/Miedler","|K|0.449425|EK|G||OL1|2.26791|EOL1|OL2|1.83256|EOL2|OH1|223|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.41509|ENAOL1|NAOL2|2.00746|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/roanne-challenger-men-doubles/schnaitter-jakob-wallner-mark-haase-robin-miedler-lucas-Uk5vbmVF/","","","","2.95","1.35","","","","","2.95","1.36","","","","","","",""
"CSM","0000021","20241007|122728","20241007_2011003_073268_024841","R03_1_ARG_Villa Maria Challenger","Aboian","Villanueva","|K|0.613498|EK|G||OL1|1.71965|EOL1|OL2|2.75835|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.8749|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.246|211.883|2.275|214.664|AH-2.5|1.984|187.211|2.275|214.664|AH-2|1.984|187.211|2.451|231.271|AH-1.5|1.867|176.178|2.451|231.271||AH1.5|1.724|156.737|3.039|276.251|AH2|1.724|156.737|3.256|295.964|AH2.5|1.661|151.03|3.256|295.964|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73683|6|1.76188|6|EK-1.5||K21|5.3583|6|6.23546|1|EK21||K1.5|1.54|6|4.80444|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/aboian-valerio-villanueva-gonzalo-S0oZPWgD/#ah;2;-1.50;2","-1.5","1.69","2.11","1.67","2.07","","","","","1.69","2.11","","","","","","",""
"CSM","0000021","20241007|122726","20241007_2011003_073268_024841","R03_1_ARG_Villa Maria Challenger","Aboian","Villanueva","|K|0.613498|EK|G||OL1|1.71965|EOL1|OL2|2.75835|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.8749|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.246|211.883|2.275|214.664|AH-2.5|1.984|187.211|2.275|214.664|AH-2|1.984|187.211|2.451|231.271|AH-1.5|1.867|176.178|2.451|231.271||AH1.5|1.724|156.737|3.039|276.251|AH2|1.724|156.737|3.256|295.964|AH2.5|1.661|151.03|3.256|295.964|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73683|6|1.76188|6|EK-1.5||K21|5.3583|6|6.23546|1|EK21||K1.5|1.54|6|4.80444|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/aboian-valerio-villanueva-gonzalo-S0oZPWgD/#ah;2;-2.50;2","-2.5","1.83","1.93","1.8","1.9","","","","","1.83","1.93","","","","","","",""
"CSM","0000021","20241007|122732","20241007_2011003_073268_024841","R03_1_ARG_Villa Maria Challenger","Aboian","Villanueva","|K|0.613498|EK|G||OL1|1.71965|EOL1|OL2|2.75835|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.8749|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.246|211.883|2.275|214.664|AH-2.5|1.984|187.211|2.275|214.664|AH-2|1.984|187.211|2.451|231.271|AH-1.5|1.867|176.178|2.451|231.271||AH1.5|1.724|156.737|3.039|276.251|AH2|1.724|156.737|3.256|295.964|AH2.5|1.661|151.03|3.256|295.964|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73683|6|1.76188|6|EK-1.5||K21|5.3583|6|6.23546|1|EK21||K1.5|1.54|6|4.80444|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/aboian-valerio-villanueva-gonzalo-S0oZPWgD/#ah;2;1.50;1","1.5","1.23","3.97","1.22","3.83","","","","","1.23","3.97","","","","","","",""
"CSM","0000021","20241007|122730","20241007_2011003_073268_024841","R03_1_ARG_Villa Maria Challenger","Aboian","Villanueva","|K|0.613498|EK|G||OL1|1.71965|EOL1|OL2|2.75835|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.8749|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.246|211.883|2.275|214.664|AH-2.5|1.984|187.211|2.275|214.664|AH-2|1.984|187.211|2.451|231.271|AH-1.5|1.867|176.178|2.451|231.271||AH1.5|1.724|156.737|3.039|276.251|AH2|1.724|156.737|3.256|295.964|AH2.5|1.661|151.03|3.256|295.964|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73683|6|1.76188|6|EK-1.5||K21|5.3583|6|6.23546|1|EK21||K1.5|1.54|6|4.80444|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/aboian-valerio-villanueva-gonzalo-S0oZPWgD/#ah;2;-1.50;1","-1.5","2.38","1.55","2.35","1.53","","","","","2.38","1.55","","","","","","",""
"CSM","0000021","20241007|122720","20241007_2011003_073268_024841","R03_1_ARG_Villa Maria Challenger","Aboian","Villanueva","|K|0.613498|EK|G||OL1|1.71965|EOL1|OL2|2.75835|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.71965|ENAOL1|NAOL2|2.8749|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.246|211.883|2.275|214.664|AH-2.5|1.984|187.211|2.275|214.664|AH-2|1.984|187.211|2.451|231.271|AH-1.5|1.867|176.178|2.451|231.271||AH1.5|1.724|156.737|3.039|276.251|AH2|1.724|156.737|3.256|295.964|AH2.5|1.661|151.03|3.256|295.964|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.73683|6|1.76188|6|EK-1.5||K21|5.3583|6|6.23546|1|EK21||K1.5|1.54|6|4.80444|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/aboian-valerio-villanueva-gonzalo-S0oZPWgD/","","1.57","2.34","1.55","2.3","","","","","1.57","2.42","","","","","","",""
"CSM","0000022","20241007|122744","20241007_2011003_018648_061966","R03_1_ARG_Villa Maria Challenger","Kicker","Justo","|K|0.783203|EK|G||OL1|1.3504|EOL1|OL2|4.9203|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3504|ENAOL1|NAOL2|5.1282|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.707|160.994|3.463|326.686|AH-2.5|1.528|144.114|3.463|326.686|AH-2|1.528|144.114|3.806|359.044|AH-1.5|1.469|138.604|3.806|359.044||AH1.5|1.4|127.297|5.13|466.344|AH2|1.4|127.297|5.637|512.468|AH2.5|1.367|124.244|5.637|512.468|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.16468|6|2.16118|6|EK-1.5||K21|5.01303|6|7.83218|1|EK21||K1.5|1.54|6|7.25389|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/kicker-nicolas-justo-guido-ivan-j7G4FbgK/#ah;2;-3.50;2","-3.5","1.71","2.08","1.67","2.07","","","","","1.71","2.08","","","","","","",""
"CSM","0000022","20241007|122746","20241007_2011003_018648_061966","R03_1_ARG_Villa Maria Challenger","Kicker","Justo","|K|0.783203|EK|G||OL1|1.3504|EOL1|OL2|4.9203|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3504|ENAOL1|NAOL2|5.1282|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.707|160.994|3.463|326.686|AH-2.5|1.528|144.114|3.463|326.686|AH-2|1.528|144.114|3.806|359.044|AH-1.5|1.469|138.604|3.806|359.044||AH1.5|1.4|127.297|5.13|466.344|AH2|1.4|127.297|5.637|512.468|AH2.5|1.367|124.244|5.637|512.468|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.16468|6|2.16118|6|EK-1.5||K21|5.01303|6|7.83218|1|EK21||K1.5|1.54|6|7.25389|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/kicker-nicolas-justo-guido-ivan-j7G4FbgK/#ah;2;-4.50;2","-4.5","2.02","1.76","1.97","1.73","","","","","2.02","1.76","","","","","","",""
"CSM","0000022","20241007|122749","20241007_2011003_018648_061966","R03_1_ARG_Villa Maria Challenger","Kicker","Justo","|K|0.783203|EK|G||OL1|1.3504|EOL1|OL2|4.9203|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3504|ENAOL1|NAOL2|5.1282|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.707|160.994|3.463|326.686|AH-2.5|1.528|144.114|3.463|326.686|AH-2|1.528|144.114|3.806|359.044|AH-1.5|1.469|138.604|3.806|359.044||AH1.5|1.4|127.297|5.13|466.344|AH2|1.4|127.297|5.637|512.468|AH2.5|1.367|124.244|5.637|512.468|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.16468|6|2.16118|6|EK-1.5||K21|5.01303|6|7.83218|1|EK21||K1.5|1.54|6|7.25389|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/kicker-nicolas-justo-guido-ivan-j7G4FbgK/#ah;2;1.50;1","1.5","1.16","4.92","1.15","4.75","","","","","1.16","4.92","","","","","","",""
"CSM","0000022","20241007|122748","20241007_2011003_018648_061966","R03_1_ARG_Villa Maria Challenger","Kicker","Justo","|K|0.783203|EK|G||OL1|1.3504|EOL1|OL2|4.9203|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3504|ENAOL1|NAOL2|5.1282|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.707|160.994|3.463|326.686|AH-2.5|1.528|144.114|3.463|326.686|AH-2|1.528|144.114|3.806|359.044|AH-1.5|1.469|138.604|3.806|359.044||AH1.5|1.4|127.297|5.13|466.344|AH2|1.4|127.297|5.637|512.468|AH2.5|1.367|124.244|5.637|512.468|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.16468|6|2.16118|6|EK-1.5||K21|5.01303|6|7.83218|1|EK21||K1.5|1.54|6|7.25389|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/kicker-nicolas-justo-guido-ivan-j7G4FbgK/#ah;2;-1.50;1","-1.5","1.93","1.83","1.89","1.81","","","","","1.93","1.83","","","","","","",""
