"FDV","0000001","20241007|162027","20241007_1579104_097113_097114","R04_0_ARM_W15 Tsaghkadzor","Bosaia/Sarkisova","Stagno/Viviani","|K|0.393573|EK|G||OL1|2.63925|EOL1|OL2|1.65|EOL2|OH1|255|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/armenia/itf-w15-tsaghkadzor-women-doubles/bosaia-erika-sarkisova-karine-stagno-beatrice-viviani-maria-vittoria-U7pTNnuP/","","","","","","","","","","","","","","","","","",""
"FSM","0000002","20241007|162044","20241007_2012804_027114_026960","R04_0_AUS_M25 Cairns","Delaney","Sinclair","|K|0.578812|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.401|310.401|173.179|173.179|AH-3.5|236.651|236.651|173.179|173.179|AH-3|236.651|236.651|198.214|198.214|AH-2.5|201.819|201.819|198.214|198.214|AH-2|201.819|201.819|221.405|221.405|AH-1.5|182.369|182.369|221.405|221.405||AH1.5|159.24|159.24|268.804|268.804|AH2|159.24|159.24|289.929|289.929|AH2.5|152.651|152.651|289.929|289.929|AH3|152.651|152.651|337.429|337.429|AH3.5|142.118|142.118|337.429|337.429|AH4|142.118|142.118|456.07|456.07|AH4.5|128.084|128.084|456.07|456.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/delaney-jake-sinclair-colin-bR0wjiqh/#ah;2;1.50;1","1.5","1.33","3.11","1.32","3.1","","","","","1.33","3.11","","","","","","",""
"FSM","0000002","20241007|162042","20241007_2012804_027114_026960","R04_0_AUS_M25 Cairns","Delaney","Sinclair","|K|0.578812|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.401|310.401|173.179|173.179|AH-3.5|236.651|236.651|173.179|173.179|AH-3|236.651|236.651|198.214|198.214|AH-2.5|201.819|201.819|198.214|198.214|AH-2|201.819|201.819|221.405|221.405|AH-1.5|182.369|182.369|221.405|221.405||AH1.5|159.24|159.24|268.804|268.804|AH2|159.24|159.24|289.929|289.929|AH2.5|152.651|152.651|289.929|289.929|AH3|152.651|152.651|337.429|337.429|AH3.5|142.118|142.118|337.429|337.429|AH4|142.118|142.118|456.07|456.07|AH4.5|128.084|128.084|456.07|456.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/delaney-jake-sinclair-colin-bR0wjiqh/#ah;2;-1.50;1","-1.5","2.76","1.4","2.7","1.4","","","","","2.76","1.4","","","","","","",""
"FSM","0000002","20241007|162031","20241007_2012804_027114_026960","R04_0_AUS_M25 Cairns","Delaney","Sinclair","|K|0.578812|EK|G||OL1|1.84072|EOL1|OL2|2.43712|EOL2|OH1|173|EOH1|OH2|3.57|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|310.401|310.401|173.179|173.179|AH-3.5|236.651|236.651|173.179|173.179|AH-3|236.651|236.651|198.214|198.214|AH-2.5|201.819|201.819|198.214|198.214|AH-2|201.819|201.819|221.405|221.405|AH-1.5|182.369|182.369|221.405|221.405||AH1.5|159.24|159.24|268.804|268.804|AH2|159.24|159.24|289.929|289.929|AH2.5|152.651|152.651|289.929|289.929|AH3|152.651|152.651|337.429|337.429|AH3.5|142.118|142.118|337.429|337.429|AH4|142.118|142.118|456.07|456.07|AH4.5|128.084|128.084|456.07|456.07|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/delaney-jake-sinclair-colin-bR0wjiqh/","","1.79","1.94","1.73","1.97","","","","","1.79","2.07","","","","","","",""
"FSM","0000003","20241007|162055","20241007_2012804_050146_102670","R04_0_AUS_M25 Cairns","Bouzige","Aguiard","|K|0.630555|EK|G||OL1|1.69176|EOL1|OL2|2.77504|EOL2|OH1|1|EOH1|OH2|4.065|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.325|248.325|198.825|198.825|AH-3.5|201.189|201.189|198.825|198.825|AH-3|201.189|201.189|226.216|226.216|AH-2.5|179.229|179.229|226.216|226.216|AH-2|179.229|179.229|246.552|246.552|AH-1.5|168.235|168.235|246.552|246.552||AH1.5|148.824|148.824|304.815|304.815|AH2|148.824|148.824|343.561|343.561|AH2.5|141.057|141.057|343.561|343.561|AH3|141.057|141.057|409.277|409.277|AH3.5|132.334|132.334|409.277|409.277|AH4|132.334|132.334|556.136|556.136|AH4.5|121.923|121.923|556.136|556.136|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/bouzige-moerani-aguiard-enzo-rcT8cf8F/#ah;2;-1.50;2","-1.5","1.74","2.01","1.72","2.0","","","","","1.74","2.01","","","","","","",""
"FSM","0000003","20241007|162058","20241007_2012804_050146_102670","R04_0_AUS_M25 Cairns","Bouzige","Aguiard","|K|0.630555|EK|G||OL1|1.69176|EOL1|OL2|2.77504|EOL2|OH1|1|EOH1|OH2|4.065|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.325|248.325|198.825|198.825|AH-3.5|201.189|201.189|198.825|198.825|AH-3|201.189|201.189|226.216|226.216|AH-2.5|179.229|179.229|226.216|226.216|AH-2|179.229|179.229|246.552|246.552|AH-1.5|168.235|168.235|246.552|246.552||AH1.5|148.824|148.824|304.815|304.815|AH2|148.824|148.824|343.561|343.561|AH2.5|141.057|141.057|343.561|343.561|AH3|141.057|141.057|409.277|409.277|AH3.5|132.334|132.334|409.277|409.277|AH4|132.334|132.334|556.136|556.136|AH4.5|121.923|121.923|556.136|556.136|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/bouzige-moerani-aguiard-enzo-rcT8cf8F/#ah;2;-2.00;2","-2.0","1.81","1.92","1.8","1.9","","","","","1.81","1.92","","","","","","",""
"FSM","0000003","20241007|162102","20241007_2012804_050146_102670","R04_0_AUS_M25 Cairns","Bouzige","Aguiard","|K|0.630555|EK|G||OL1|1.69176|EOL1|OL2|2.77504|EOL2|OH1|1|EOH1|OH2|4.065|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.325|248.325|198.825|198.825|AH-3.5|201.189|201.189|198.825|198.825|AH-3|201.189|201.189|226.216|226.216|AH-2.5|179.229|179.229|226.216|226.216|AH-2|179.229|179.229|246.552|246.552|AH-1.5|168.235|168.235|246.552|246.552||AH1.5|148.824|148.824|304.815|304.815|AH2|148.824|148.824|343.561|343.561|AH2.5|141.057|141.057|343.561|343.561|AH3|141.057|141.057|409.277|409.277|AH3.5|132.334|132.334|409.277|409.277|AH4|132.334|132.334|556.136|556.136|AH4.5|121.923|121.923|556.136|556.136|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/bouzige-moerani-aguiard-enzo-rcT8cf8F/#ah;2;1.50;1","1.5","1.26","3.6","1.25","3.57","","","","","1.26","3.6","","","","","","",""
"FSM","0000003","20241007|162100","20241007_2012804_050146_102670","R04_0_AUS_M25 Cairns","Bouzige","Aguiard","|K|0.630555|EK|G||OL1|1.69176|EOL1|OL2|2.77504|EOL2|OH1|1|EOH1|OH2|4.065|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.325|248.325|198.825|198.825|AH-3.5|201.189|201.189|198.825|198.825|AH-3|201.189|201.189|226.216|226.216|AH-2.5|179.229|179.229|226.216|226.216|AH-2|179.229|179.229|246.552|246.552|AH-1.5|168.235|168.235|246.552|246.552||AH1.5|148.824|148.824|304.815|304.815|AH2|148.824|148.824|343.561|343.561|AH2.5|141.057|141.057|343.561|343.561|AH3|141.057|141.057|409.277|409.277|AH3.5|132.334|132.334|409.277|409.277|AH4|132.334|132.334|556.136|556.136|AH4.5|121.923|121.923|556.136|556.136|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/bouzige-moerani-aguiard-enzo-rcT8cf8F/#ah;2;-1.50;1","-1.5","2.41","1.52","2.39","1.51","","","","","2.41","1.52","","","","","","",""
"FSM","0000003","20241007|162047","20241007_2012804_050146_102670","R04_0_AUS_M25 Cairns","Bouzige","Aguiard","|K|0.630555|EK|G||OL1|1.69176|EOL1|OL2|2.77504|EOL2|OH1|1|EOH1|OH2|4.065|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|248.325|248.325|198.825|198.825|AH-3.5|201.189|201.189|198.825|198.825|AH-3|201.189|201.189|226.216|226.216|AH-2.5|179.229|179.229|226.216|226.216|AH-2|179.229|179.229|246.552|246.552|AH-1.5|168.235|168.235|246.552|246.552||AH1.5|148.824|148.824|304.815|304.815|AH2|148.824|148.824|343.561|343.561|AH2.5|141.057|141.057|343.561|343.561|AH3|141.057|141.057|409.277|409.277|AH3.5|132.334|132.334|409.277|409.277|AH4|132.334|132.334|556.136|556.136|AH4.5|121.923|121.923|556.136|556.136|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/bouzige-moerani-aguiard-enzo-rcT8cf8F/","","1.6","2.23","1.57","2.25","","","","","1.6","2.25","","","","","","",""
"FSM","0000004","20241007|162114","20241007_2012804_056813_033614","R04_0_AUS_M25 Cairns","Charlton","Ellis","|K|0.201112|EK|G||OL1|5.09952|EOL1|OL2|1.34064|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|3856.82|3856.82|108.348|108.348|AH-3.5|1297.85|1297.85|108.348|108.348|AH-3|1297.85|1297.85|114.166|114.166|AH-2.5|805.904|805.904|114.166|114.166|AH-2|805.904|805.904|118.668|118.668|AH-1.5|635.678|635.678|118.668|118.668||AH1.5|418.645|418.645|131.383|131.383|AH2|418.645|418.645|139.906|139.906|AH2.5|350.589|350.589|139.906|139.906|AH3|350.589|350.589|156.321|156.321|AH3.5|277.553|277.553|156.321|156.321|AH4|277.553|277.553|194.02|194.02|AH4.5|206.36|206.36|194.02|194.02|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/charlton-joshua-ellis-blake-A7DmjC0k/#ah;2;4.50;2","4.5","1.71","2.04","1.67","2.07","","","","","1.71","2.07","","","","","","",""
"FSM","0000004","20241007|162116","20241007_2012804_056813_033614","R04_0_AUS_M25 Cairns","Charlton","Ellis","|K|0.201112|EK|G||OL1|5.09952|EOL1|OL2|1.34064|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|3856.82|3856.82|108.348|108.348|AH-3.5|1297.85|1297.85|108.348|108.348|AH-3|1297.85|1297.85|114.166|114.166|AH-2.5|805.904|805.904|114.166|114.166|AH-2|805.904|805.904|118.668|118.668|AH-1.5|635.678|635.678|118.668|118.668||AH1.5|418.645|418.645|131.383|131.383|AH2|418.645|418.645|139.906|139.906|AH2.5|350.589|350.589|139.906|139.906|AH3|350.589|350.589|156.321|156.321|AH3.5|277.553|277.553|156.321|156.321|AH4|277.553|277.553|194.02|194.02|AH4.5|206.36|206.36|194.02|194.02|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-cairns-3-men/charlton-joshua-ellis-blake-A7DmjC0k/#ah;2;4.00;2","4.0","1.93","1.81","1.91","1.79","","","","","1.93","1.81","","","","","","",""
