"FDM","0000001","20241009|112410","20241007_2012709_115167_066135","R09_0_USA_M25 Louisville","Avendano Cadena/Steinbach","Maginley/Zhu","|K|0.456733|EK|G||OL1|2.2995|EOL1|OL2|1.89995|EOL2|OH1|3.723|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men-doubles/avendano-cadena-miguel-steinbach-andre-maginley-jody-zhu-evan-l4qdeA1n/","","","","3.25","1.29","","","","","3.25","1.29","","","","","","",""
"FDM","0000002","20241009|112413","20241007_2012709_115163_115165","R09_0_USA_M25 Louisville","Horve/Kim","Mercer/Monday","|K|0.388696|EK|G||OL1|2.709|EOL1|OL2|1.68428|EOL2|OH1|4.386|EOH1|OH2|164|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-louisville-ky-men-doubles/horve-lucas-kim-aidan-mercer-john-monday-johannus-byYplgfJ/","","","","2.1","1.65","","","","","2.1","1.65","","","","","","",""
"FSM","0000003","20241009|112424","20241007_2012905_040369_053532","R05_0_CAN_M25 Edmonton","Muamba","Draxl","|K|0.0001|EK|G||OL1|10240|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|100.01|100.01|AH-2.5|1e+006|1e+006|100.01|100.01|AH-2|1e+006|1e+006|100.01|100.01|AH-1.5|1e+006|1e+006|100.01|100.01||AH1.5|1483.03|1483.03|107.23|107.23|AH2|1483.03|1483.03|112.993|112.993|AH2.5|869.654|869.654|112.993|112.993|AH3|869.654|869.654|122.971|122.971|AH3.5|535.324|535.324|122.971|122.971|AH4|535.324|535.324|145.037|145.037|AH4.5|322.04|322.04|145.037|145.037|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/itf-m25-edmonton-men/muamba-nicaise-draxl-liam-AiyGpKmR/#ah;2;6.50;2","6.5","","","1.94","1.76","","","","","1.94","1.76","","","","","","",""
"FSM","0000003","20241009|112417","20241007_2012905_040369_053532","R05_0_CAN_M25 Edmonton","Muamba","Draxl","|K|0.0001|EK|G||OL1|10240|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|100.01|100.01|AH-2.5|1e+006|1e+006|100.01|100.01|AH-2|1e+006|1e+006|100.01|100.01|AH-1.5|1e+006|1e+006|100.01|100.01||AH1.5|1483.03|1483.03|107.23|107.23|AH2|1483.03|1483.03|112.993|112.993|AH2.5|869.654|869.654|112.993|112.993|AH3|869.654|869.654|122.971|122.971|AH3.5|535.324|535.324|122.971|122.971|AH4|535.324|535.324|145.037|145.037|AH4.5|322.04|322.04|145.037|145.037|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/itf-m25-edmonton-men/muamba-nicaise-draxl-liam-AiyGpKmR/","","","","8.2","1.05","","","8.1","1.05","8.2","1.05","","","","","","",""
"CSM","0000004","20241009|112437","20241007_2011004_081995_046407","R04_1_ARG_Villa Maria Challenger","Ambrogi","Alves","|K|0.448935|EK|G||OL1|2.37495|EOL1|OL2|1.9383|EOL2|OH1|223|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4753|ENAOL1|NAOL2|2.0202|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.088|291.282|1.721|162.32|AH-2.5|2.761|260.462|1.721|162.32|AH-2|2.761|260.462|1.842|173.802|AH-1.5|2.496|235.498|1.842|173.802||AH1.5|2.153|195.692|2.25|204.502|AH2|2.153|195.692|2.481|225.539|AH2.5|1.976|179.657|2.481|225.539|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.6111|6|1.54|6|EK-1.5||K21|7.03164|1|5.5155|6|EK21||K1.5|1.62297|6|3.11869|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-alves-mateus-2001-Q7iOscWg/#ah;2;2.50;2","2.5","1.79","2.05","1.74","1.96","","","","","1.79","2.05","","","","","","",""
"CSM","0000004","20241009|112439","20241007_2011004_081995_046407","R04_1_ARG_Villa Maria Challenger","Ambrogi","Alves","|K|0.448935|EK|G||OL1|2.37495|EOL1|OL2|1.9383|EOL2|OH1|223|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4753|ENAOL1|NAOL2|2.0202|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.088|291.282|1.721|162.32|AH-2.5|2.761|260.462|1.721|162.32|AH-2|2.761|260.462|1.842|173.802|AH-1.5|2.496|235.498|1.842|173.802||AH1.5|2.153|195.692|2.25|204.502|AH2|2.153|195.692|2.481|225.539|AH2.5|1.976|179.657|2.481|225.539|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.6111|6|1.54|6|EK-1.5||K21|7.03164|1|5.5155|6|EK21||K1.5|1.62297|6|3.11869|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-alves-mateus-2001-Q7iOscWg/#ah;2;1.50;2","1.5","1.98","1.85","1.93","1.77","","","","","1.98","1.85","","","","","","",""
"CSM","0000004","20241009|112443","20241007_2011004_081995_046407","R04_1_ARG_Villa Maria Challenger","Ambrogi","Alves","|K|0.448935|EK|G||OL1|2.37495|EOL1|OL2|1.9383|EOL2|OH1|223|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4753|ENAOL1|NAOL2|2.0202|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.088|291.282|1.721|162.32|AH-2.5|2.761|260.462|1.721|162.32|AH-2|2.761|260.462|1.842|173.802|AH-1.5|2.496|235.498|1.842|173.802||AH1.5|2.153|195.692|2.25|204.502|AH2|2.153|195.692|2.481|225.539|AH2.5|1.976|179.657|2.481|225.539|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.6111|6|1.54|6|EK-1.5||K21|7.03164|1|5.5155|6|EK21||K1.5|1.62297|6|3.11869|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-alves-mateus-2001-Q7iOscWg/#ah;2;1.50;1","1.5","1.49","2.67","1.46","2.52","","","","","1.49","2.67","","","","","","",""
"CSM","0000004","20241009|112442","20241007_2011004_081995_046407","R04_1_ARG_Villa Maria Challenger","Ambrogi","Alves","|K|0.448935|EK|G||OL1|2.37495|EOL1|OL2|1.9383|EOL2|OH1|223|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4753|ENAOL1|NAOL2|2.0202|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.088|291.282|1.721|162.32|AH-2.5|2.761|260.462|1.721|162.32|AH-2|2.761|260.462|1.842|173.802|AH-1.5|2.496|235.498|1.842|173.802||AH1.5|2.153|195.692|2.25|204.502|AH2|2.153|195.692|2.481|225.539|AH2.5|1.976|179.657|2.481|225.539|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.6111|6|1.54|6|EK-1.5||K21|7.03164|1|5.5155|6|EK21||K1.5|1.62297|6|3.11869|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-alves-mateus-2001-Q7iOscWg/#ah;2;-1.50;1","-1.5","3.82","1.27","3.57","1.25","","","","","3.82","1.27","","","","","","",""
"CSM","0000004","20241009|112429","20241007_2011004_081995_046407","R04_1_ARG_Villa Maria Challenger","Ambrogi","Alves","|K|0.448935|EK|G||OL1|2.37495|EOL1|OL2|1.9383|EOL2|OH1|223|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4753|ENAOL1|NAOL2|2.0202|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|3.088|291.282|1.721|162.32|AH-2.5|2.761|260.462|1.721|162.32|AH-2|2.761|260.462|1.842|173.802|AH-1.5|2.496|235.498|1.842|173.802||AH1.5|2.153|195.692|2.25|204.502|AH2|2.153|195.692|2.481|225.539|AH2.5|1.976|179.657|2.481|225.539|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.6111|6|1.54|6|EK-1.5||K21|7.03164|1|5.5155|6|EK21||K1.5|1.62297|6|3.11869|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/ambrogi-luciano-emanuel-alves-mateus-2001-Q7iOscWg/","","2.23","1.67","2.17","1.61","","","2.2","1.65","2.23","1.67","","","","","","",""
"CSM","0000005","20241009|112458","20241007_2011004_018720_024841","R04_1_ARG_Villa Maria Challenger","Coria","Villanueva","|K|0.821249|EK|G||OL1|1.2871|EOL1|OL2|5.964|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2871|ENAOL1|NAOL2|6.216|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.568|147.914|4.224|398.527|AH-2.5|1.415|133.498|4.224|398.527|AH-2|1.415|133.498|4.854|457.931|AH-1.5|1.356|127.938|4.854|457.931||AH1.5|1.288|117.062|7.547|686.091|AH2|1.288|117.062|8.628|784.332|AH2.5|1.261|114.613|8.628|784.332|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.88587|6|2.57366|1|EK-1.5||K21|4.17291|6|9.82051|1|EK21||K1.5|1.54|1|19.0044|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/coria-federico-villanueva-gonzalo-MZpXuy16/#ah;2;-4.50;2","-4.5","1.55","2.5","1.5","2.4","","","","","1.55","2.5","","","","","","",""
"CSM","0000005","20241009|112456","20241007_2011004_018720_024841","R04_1_ARG_Villa Maria Challenger","Coria","Villanueva","|K|0.821249|EK|G||OL1|1.2871|EOL1|OL2|5.964|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.2871|ENAOL1|NAOL2|6.216|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.568|147.914|4.224|398.527|AH-2.5|1.415|133.498|4.224|398.527|AH-2|1.415|133.498|4.854|457.931|AH-1.5|1.356|127.938|4.854|457.931||AH1.5|1.288|117.062|7.547|686.091|AH2|1.288|117.062|8.628|784.332|AH2.5|1.261|114.613|8.628|784.332|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.88587|6|2.57366|1|EK-1.5||K21|4.17291|6|9.82051|1|EK21||K1.5|1.54|1|19.0044|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/argentina/villa-maria-challenger-men/coria-federico-villanueva-gonzalo-MZpXuy16/#ah;2;-5.50;2","-5.5","1.87","1.95","1.81","1.89","","","","","1.87","1.95","","","","","","",""
