"DM","0000007","20241012|130921","20240930_1941212_035651_083107","R12_3_CHN_Shanghai Rolex Masters - Shanghai","Gonzalez/Molteni","Koolhof/Mektic","|K|0.41526|EK|G||OL1|2.49435|EOL1|OL2|1.8662|EOL2|OH1|1|EOH1|OH2|172|EOH2|EG|NA||NAOL1|2.59075|ENAOL1|NAOL2|1.95048|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/atp-shanghai-doubles/gonzalez-maximo-molteni-andres-koolhof-wesley-mektic-nikola-EZpkx7TF/","","","","2.02","1.7","","","","","2.13","1.73","","","","","","",""
"CSM","0000008","20241012|130934","20241007_2010712_011517_018094","R12_1_CHN_Hangzhou Challenger","Duckworth","Mcdonald","|K|0.277522|EK|G||OL1|3.84465|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0071|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.415|133.491|AH-2.5|1000|1000|1.415|133.491|AH-2|1000|1000|1.506|142.12|AH-1.5|1000|1000|1.506|142.12||AH1.5|1000|1000|1.819|165.348|AH2|1000|1000|1.979|179.881|AH2.5|1000|1000|1.979|179.881|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49557|1|1.54|6|EK-1.5||K21|7.54707|1|4.72938|6|EK21||K1.5|1.98804|6|2.35377|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/duckworth-james-mcdonald-mackenzie-bRfoJC4m/#ah;2;3.50;2","3.5","1.74","2.16","1.72","2.0","","","","","1.74","2.16","","","","","","",""
"CSM","0000008","20241012|130932","20241007_2010712_011517_018094","R12_1_CHN_Hangzhou Challenger","Duckworth","Mcdonald","|K|0.277522|EK|G||OL1|3.84465|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0071|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.415|133.491|AH-2.5|1000|1000|1.415|133.491|AH-2|1000|1000|1.506|142.12|AH-1.5|1000|1000|1.506|142.12||AH1.5|1000|1000|1.819|165.348|AH2|1000|1000|1.979|179.881|AH2.5|1000|1000|1.979|179.881|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49557|1|1.54|6|EK-1.5||K21|7.54707|1|4.72938|6|EK21||K1.5|1.98804|6|2.35377|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/duckworth-james-mcdonald-mackenzie-bRfoJC4m/#ah;2;2.50;2","2.5","2.1","1.78","2.0","1.72","","","","","2.1","1.78","","","","","","",""
"CSM","0000008","20241012|130938","20241007_2010712_011517_018094","R12_1_CHN_Hangzhou Challenger","Duckworth","Mcdonald","|K|0.277522|EK|G||OL1|3.84465|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0071|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.415|133.491|AH-2.5|1000|1000|1.415|133.491|AH-2|1000|1000|1.506|142.12|AH-1.5|1000|1000|1.506|142.12||AH1.5|1000|1000|1.819|165.348|AH2|1000|1000|1.979|179.881|AH2.5|1000|1000|1.979|179.881|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49557|1|1.54|6|EK-1.5||K21|7.54707|1|4.72938|6|EK21||K1.5|1.98804|6|2.35377|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/duckworth-james-mcdonald-mackenzie-bRfoJC4m/#ah;2;1.50;1","1.5","1.7","2.22","1.63","2.13","","","","","1.7","2.22","","","","","","",""
"CSM","0000008","20241012|130936","20241007_2010712_011517_018094","R12_1_CHN_Hangzhou Challenger","Duckworth","Mcdonald","|K|0.277522|EK|G||OL1|3.84465|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0071|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.415|133.491|AH-2.5|1000|1000|1.415|133.491|AH-2|1000|1000|1.506|142.12|AH-1.5|1000|1000|1.506|142.12||AH1.5|1000|1000|1.819|165.348|AH2|1000|1000|1.979|179.881|AH2.5|1000|1000|1.979|179.881|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49557|1|1.54|6|EK-1.5||K21|7.54707|1|4.72938|6|EK21||K1.5|1.98804|6|2.35377|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/duckworth-james-mcdonald-mackenzie-bRfoJC4m/#ah;2;-1.50;1","-1.5","5.14","1.19","4.57","1.16","","","","","5.14","1.19","","","","","","",""
"CSM","0000008","20241012|130925","20241007_2010712_011517_018094","R12_1_CHN_Hangzhou Challenger","Duckworth","Mcdonald","|K|0.277522|EK|G||OL1|3.84465|EOL1|OL2|1.46645|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0071|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.415|133.491|AH-2.5|1000|1000|1.415|133.491|AH-2|1000|1000|1.506|142.12|AH-1.5|1000|1000|1.506|142.12||AH1.5|1000|1000|1.819|165.348|AH2|1000|1000|1.979|179.881|AH2.5|1000|1000|1.979|179.881|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.49557|1|1.54|6|EK-1.5||K21|7.54707|1|4.72938|6|EK21||K1.5|1.98804|6|2.35377|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/china/hangzhou-challenger-men/duckworth-james-mcdonald-mackenzie-bRfoJC4m/","","2.8","1.47","2.59","1.44","","","","","2.8","1.47","","","","","","",""
"CSM","0000009","20241012|130951","20241007_2011110_093452_047566","R10_1_USA_Fairfield Challenger","Tien","Holt","|K|0.734395|EK|G||OL1|1.44535|EOL1|OL2|4.01505|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.803|170.098|2.963|279.528|AH-2.5|1.65|155.702|2.963|279.528|AH-2|1.65|155.702|3.381|318.917|AH-1.5|1.544|145.68|3.381|318.917||AH1.5|1.442|131.093|4.638|421.612|AH2|1.442|131.093|5.058|459.793|AH2.5|1.406|127.794|5.058|459.793|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.33831|6|2.00017|6|EK-1.5||K21|4.17422|6|7.37649|1|EK21||K1.5|1.54|6|8.38375|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/fairfield-challenger-men/tien-learner-holt-brandon-xtQBvBDs/#ah;2;-2.50;2","-2.5","1.67","2.28","1.55","2.3","","","","","1.67","2.3","","","","","","",""
"CSM","0000009","20241012|130950","20241007_2011110_093452_047566","R10_1_USA_Fairfield Challenger","Tien","Holt","|K|0.734395|EK|G||OL1|1.44535|EOL1|OL2|4.01505|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.803|170.098|2.963|279.528|AH-2.5|1.65|155.702|2.963|279.528|AH-2|1.65|155.702|3.381|318.917|AH-1.5|1.544|145.68|3.381|318.917||AH1.5|1.442|131.093|4.638|421.612|AH2|1.442|131.093|5.058|459.793|AH2.5|1.406|127.794|5.058|459.793|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.33831|6|2.00017|6|EK-1.5||K21|4.17422|6|7.37649|1|EK21||K1.5|1.54|6|8.38375|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/fairfield-challenger-men/tien-learner-holt-brandon-xtQBvBDs/#ah;2;-3.50;2","-3.5","1.85","2.0","1.73","1.97","","","1.77","2.0","1.85","2.0","","","","","","",""
"CSM","0000009","20241012|130955","20241007_2011110_093452_047566","R10_1_USA_Fairfield Challenger","Tien","Holt","|K|0.734395|EK|G||OL1|1.44535|EOL1|OL2|4.01505|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.803|170.098|2.963|279.528|AH-2.5|1.65|155.702|2.963|279.528|AH-2|1.65|155.702|3.381|318.917|AH-1.5|1.544|145.68|3.381|318.917||AH1.5|1.442|131.093|4.638|421.612|AH2|1.442|131.093|5.058|459.793|AH2.5|1.406|127.794|5.058|459.793|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.33831|6|2.00017|6|EK-1.5||K21|4.17422|6|7.37649|1|EK21||K1.5|1.54|6|8.38375|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/fairfield-challenger-men/tien-learner-holt-brandon-xtQBvBDs/#ah;2;1.50;1","1.5","1.18","5.16","1.14","4.9","","","1.16","5.25","1.18","5.25","","","","","","",""
"CSM","0000009","20241012|130953","20241007_2011110_093452_047566","R10_1_USA_Fairfield Challenger","Tien","Holt","|K|0.734395|EK|G||OL1|1.44535|EOL1|OL2|4.01505|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.803|170.098|2.963|279.528|AH-2.5|1.65|155.702|2.963|279.528|AH-2|1.65|155.702|3.381|318.917|AH-1.5|1.544|145.68|3.381|318.917||AH1.5|1.442|131.093|4.638|421.612|AH2|1.442|131.093|5.058|459.793|AH2.5|1.406|127.794|5.058|459.793|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.33831|6|2.00017|6|EK-1.5||K21|4.17422|6|7.37649|1|EK21||K1.5|1.54|6|8.38375|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/fairfield-challenger-men/tien-learner-holt-brandon-xtQBvBDs/#ah;2;-1.50;1","-1.5","2.12","1.76","1.95","1.75","","","2.06","1.74","2.12","1.76","","","","","","",""
"CSM","0000009","20241012|130942","20241007_2011110_093452_047566","R10_1_USA_Fairfield Challenger","Tien","Holt","|K|0.734395|EK|G||OL1|1.44535|EOL1|OL2|4.01505|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1.803|170.098|2.963|279.528|AH-2.5|1.65|155.702|2.963|279.528|AH-2|1.65|155.702|3.381|318.917|AH-1.5|1.544|145.68|3.381|318.917||AH1.5|1.442|131.093|4.638|421.612|AH2|1.442|131.093|5.058|459.793|AH2.5|1.406|127.794|5.058|459.793|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.33831|6|2.00017|6|EK-1.5||K21|4.17422|6|7.37649|1|EK21||K1.5|1.54|6|8.38375|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/fairfield-challenger-men/tien-learner-holt-brandon-xtQBvBDs/","","1.47","2.79","1.38","2.8","","","1.38","2.95","1.47","2.95","","","","","","",""
