"FSM","0000061","20241016|081321","20241014_2014604_089699_016998","R04_0_UGA_M15 Kampala","Barbier Gazeu","Neuchrist","|K|0.22089|EK|G||OL1|4.63872|EOL1|OL2|1.37256|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1665.94|1665.94|111.014|111.014|AH-3.5|1007.93|1007.93|111.014|111.014|AH-3|1007.93|1007.93|115.482|115.482|AH-2.5|745.892|745.892|115.482|115.482|AH-2|745.892|745.892|119.463|119.463|AH-1.5|613.791|613.791|119.463|119.463||AH1.5|417.652|417.652|131.481|131.481|AH2|417.652|417.652|137.251|137.251|AH2.5|368.448|368.448|137.251|137.251|AH3|368.448|368.448|151.53|151.53|AH3.5|294.063|294.063|151.53|151.53|AH4|294.063|294.063|180.146|180.146|AH4.5|224.772|224.772|180.146|180.146|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/uganda/itf-m15-kampala-men/barbier-gazeu-paul-neuchrist-maximilian-UTNearCa/","","","","3.65","1.24","","","","","3.65","1.25","","","","","","",""
"FSM","0000062","20241016|081332","20241014_2013804_076232_029800","R04_0_USA_M25 Harlingen","Chopra","Kirchheimer","|K|0.333031|EK|G||OL1|3.08224|EOL1|OL2|1.596|EOL2|OH1|4.515|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|621.588|621.588|127.835|127.835|AH-3.5|459.264|459.264|127.835|127.835|AH-3|459.264|459.264|135.484|135.484|AH-2.5|381.816|381.816|135.484|135.484|AH-2|381.816|381.816|141.266|141.266|AH-1.5|342.327|342.327|141.266|141.266||AH1.5|272.673|272.673|157.913|157.913|AH2|272.673|272.673|167.398|167.398|AH2.5|248.372|248.372|167.398|167.398|AH3|248.372|248.372|186.147|186.147|AH3.5|216.081|216.081|186.147|186.147|AH4|216.081|216.081|224.49|224.49|AH4.5|180.328|180.328|224.49|224.49|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/chopra-keshav-kirchheimer-strong-StPIE9QF/#ah;2;3.50;2","3.5","1.88","1.85","1.86","1.84","","","","","1.88","1.85","","","","","","",""
"FSM","0000062","20241016|081334","20241014_2013804_076232_029800","R04_0_USA_M25 Harlingen","Chopra","Kirchheimer","|K|0.333031|EK|G||OL1|3.08224|EOL1|OL2|1.596|EOL2|OH1|4.515|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|621.588|621.588|127.835|127.835|AH-3.5|459.264|459.264|127.835|127.835|AH-3|459.264|459.264|135.484|135.484|AH-2.5|381.816|381.816|135.484|135.484|AH-2|381.816|381.816|141.266|141.266|AH-1.5|342.327|342.327|141.266|141.266||AH1.5|272.673|272.673|157.913|157.913|AH2|272.673|272.673|167.398|167.398|AH2.5|248.372|248.372|167.398|167.398|AH3|248.372|248.372|186.147|186.147|AH3.5|216.081|216.081|186.147|186.147|AH4|216.081|216.081|224.49|224.49|AH4.5|180.328|180.328|224.49|224.49|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/chopra-keshav-kirchheimer-strong-StPIE9QF/#ah;2;3.00;2","3.0","2.04","1.71","2.01","1.71","","","","","2.04","1.71","","","","","","",""
"FSM","0000062","20241016|081337","20241014_2013804_076232_029800","R04_0_USA_M25 Harlingen","Chopra","Kirchheimer","|K|0.333031|EK|G||OL1|3.08224|EOL1|OL2|1.596|EOL2|OH1|4.515|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|621.588|621.588|127.835|127.835|AH-3.5|459.264|459.264|127.835|127.835|AH-3|459.264|459.264|135.484|135.484|AH-2.5|381.816|381.816|135.484|135.484|AH-2|381.816|381.816|141.266|141.266|AH-1.5|342.327|342.327|141.266|141.266||AH1.5|272.673|272.673|157.913|157.913|AH2|272.673|272.673|167.398|167.398|AH2.5|248.372|248.372|167.398|167.398|AH3|248.372|248.372|186.147|186.147|AH3.5|216.081|216.081|186.147|186.147|AH4|216.081|216.081|224.49|224.49|AH4.5|180.328|180.328|224.49|224.49|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/chopra-keshav-kirchheimer-strong-StPIE9QF/#ah;2;1.50;1","1.5","1.76","1.98","1.75","1.95","","","","","1.76","1.98","","","","","","",""
"FSM","0000062","20241016|081335","20241014_2013804_076232_029800","R04_0_USA_M25 Harlingen","Chopra","Kirchheimer","|K|0.333031|EK|G||OL1|3.08224|EOL1|OL2|1.596|EOL2|OH1|4.515|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|621.588|621.588|127.835|127.835|AH-3.5|459.264|459.264|127.835|127.835|AH-3|459.264|459.264|135.484|135.484|AH-2.5|381.816|381.816|135.484|135.484|AH-2|381.816|381.816|141.266|141.266|AH-1.5|342.327|342.327|141.266|141.266||AH1.5|272.673|272.673|157.913|157.913|AH2|272.673|272.673|167.398|167.398|AH2.5|248.372|248.372|167.398|167.398|AH3|248.372|248.372|186.147|186.147|AH3.5|216.081|216.081|186.147|186.147|AH4|216.081|216.081|224.49|224.49|AH4.5|180.328|180.328|224.49|224.49|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/chopra-keshav-kirchheimer-strong-StPIE9QF/#ah;2;-1.50;1","-1.5","4.54","1.17","4.42","1.17","","","","","4.54","1.17","","","","","","",""
"FSM","0000062","20241016|081325","20241014_2013804_076232_029800","R04_0_USA_M25 Harlingen","Chopra","Kirchheimer","|K|0.333031|EK|G||OL1|3.08224|EOL1|OL2|1.596|EOL2|OH1|4.515|EOH1|OH2|150|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|621.588|621.588|127.835|127.835|AH-3.5|459.264|459.264|127.835|127.835|AH-3|459.264|459.264|135.484|135.484|AH-2.5|381.816|381.816|135.484|135.484|AH-2|381.816|381.816|141.266|141.266|AH-1.5|342.327|342.327|141.266|141.266||AH1.5|272.673|272.673|157.913|157.913|AH2|272.673|272.673|167.398|167.398|AH2.5|248.372|248.372|167.398|167.398|AH3|248.372|248.372|186.147|186.147|AH3.5|216.081|216.081|186.147|186.147|AH4|216.081|216.081|224.49|224.49|AH4.5|180.328|180.328|224.49|224.49|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/chopra-keshav-kirchheimer-strong-StPIE9QF/","","2.73","1.41","2.7","1.4","","","2.7","1.41","2.73","1.41","","","","","","",""
"FSM","0000063","20241016|081347","20241014_2013804_081809_077192","R04_0_USA_M25 Harlingen","Dickerson","Monday","|K|0.00118591|EK|G||OL1|863.478|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|100.01|100.01|AH-2.5|1e+006|1e+006|100.01|100.01|AH-2|1e+006|1e+006|100.01|100.01|AH-1.5|1e+006|1e+006|100.01|100.01||AH1.5|3156.64|3156.64|103.272|103.272|AH2|3156.64|3156.64|107.165|107.165|AH2.5|1495.75|1495.75|107.165|107.165|AH3|1495.75|1495.75|116.826|116.826|AH3.5|694.326|694.326|116.826|116.826|AH4|694.326|694.326|136.084|136.084|AH4.5|377.128|377.128|136.084|136.084|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/dickerson-ryan-monday-johannus-nVyid1Al/#ah;2;6.00;2","6.0","1.84","1.86","1.84","1.86","","","","","1.84","1.86","","","","","","",""
"FSM","0000063","20241016|081353","20241014_2013804_081809_077192","R04_0_USA_M25 Harlingen","Dickerson","Monday","|K|0.00118591|EK|G||OL1|863.478|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|100.01|100.01|AH-2.5|1e+006|1e+006|100.01|100.01|AH-2|1e+006|1e+006|100.01|100.01|AH-1.5|1e+006|1e+006|100.01|100.01||AH1.5|3156.64|3156.64|103.272|103.272|AH2|3156.64|3156.64|107.165|107.165|AH2.5|1495.75|1495.75|107.165|107.165|AH3|1495.75|1495.75|116.826|116.826|AH3.5|694.326|694.326|116.826|116.826|AH4|694.326|694.326|136.084|136.084|AH4.5|377.128|377.128|136.084|136.084|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/dickerson-ryan-monday-johannus-nVyid1Al/#ah;2;1.50;1","1.5","","","3.4","1.27","","","","","3.4","1.27","","","","","","",""
"FSM","0000063","20241016|081341","20241014_2013804_081809_077192","R04_0_USA_M25 Harlingen","Dickerson","Monday","|K|0.00118591|EK|G||OL1|863.478|EOL1|OL2|1.15|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1e+006|1e+006|100.01|100.01|AH-3.5|1e+006|1e+006|100.01|100.01|AH-3|1e+006|1e+006|100.01|100.01|AH-2.5|1e+006|1e+006|100.01|100.01|AH-2|1e+006|1e+006|100.01|100.01|AH-1.5|1e+006|1e+006|100.01|100.01||AH1.5|3156.64|3156.64|103.272|103.272|AH2|3156.64|3156.64|107.165|107.165|AH2.5|1495.75|1495.75|107.165|107.165|AH3|1495.75|1495.75|116.826|116.826|AH3.5|694.326|694.326|116.826|116.826|AH4|694.326|694.326|136.084|136.084|AH4.5|377.128|377.128|136.084|136.084|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/dickerson-ryan-monday-johannus-nVyid1Al/","","","","5.35","1.12","","","","","5.39","1.12","","","","","","",""
"FSM","0000064","20241016|081356","20241014_2013804_067703_079440","R04_0_USA_M25 Harlingen","Dostanic","Okonkwo","|K|0.9999|EK|G||OL1|1.15|EOL1|OL2|10240|EOL2|OH1|101|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|134.705|134.705|742.039|742.039|AH-3.5|115.575|115.575|742.039|742.039|AH-3|115.575|115.575|1539.25|1539.25|AH-2.5|106.948|106.948|1539.25|1539.25|AH-2|106.948|106.948|4471.47|4471.47|AH-1.5|102.288|102.288|4471.47|4471.47||AH1.5|100.01|100.01|1e+006|1e+006|AH2|100.01|100.01|1e+006|1e+006|AH2.5|100.01|100.01|1e+006|1e+006|AH3|100.01|100.01|1e+006|1e+006|AH3.5|100.01|100.01|1e+006|1e+006|AH4|100.01|100.01|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-harlingen-tx-men/dostanic-stefan-okonkwo-oliver-Ewaq0ABM/","","","","1.08","6.7","","","","","1.08","6.7","","","","","","",""
"SM","0000065","20241016|081408","20241014_1941305_001837_037532","R05_2_BEL_European Open - Antwerp","Bautista-Agut","Etcheverry","|K|0.43109|EK|G||OL1|2.5404|EOL1|OL2|1.936|EOL2|OH1|3.1784|EOH1|OH2|2.552|EOH2|EG|NA||NAOL1|2.54504|ENAOL1|NAOL2|1.9536|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA||AH-5.5|9.852|13.094|1.227|1.631|AH-5|9.852|13.094|1.332|1.77|AH-4|6.029|8.013|1.454|1.932|AH-3.5|4.373|5.812|1.454|1.932|AH-3|4.373|5.812|1.614|2.146|AH-2.5|3.365|4.473|1.614|2.146|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|2.1|2.783|2.284|3.027|AH3|2.1|2.783|2.788|3.695|AH3.5|1.8|2.386|2.788|3.695|AH4|1.8|2.386|3.995|5.295|AH4.5|1.507|1.997|3.995|5.295|AH5|1.507|1.997|6.484|8.594|AH5.5|1.316|1.744|6.484|8.594||EAH||AHS||K-1.5|4.37465|7|1.52|7|EK-1.5||K21|6.30939|1|4.62614|7|EK21||K1.5|1.62472|7|3.116|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/belgium/atp-antwerp/bautista-agut-roberto-etcheverry-tomas-martin-6HJAYiR1/#ah;2;1.50;2","1.5","1.99","1.88","1.9","1.8","","","1.93","1.86","1.99","1.88","","","","","","",""
