"DV","0000014","20241018|131400","20241014_1525712_091221_097227","R12_2_JPN_Japan Open Tennis Championships - Osaka","Bucsa/Niculescu","Shibahara/Siegemund","|K|0.347362|EK|G||OL1|3.02112|EOL1|OL2|1.56926|EOL2|OH1|1|EOH1|OH2|154|EOH2|EG|NA||NAOL1|3.27744|ENAOL1|NAOL2|1.57388|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/japan/wta-osaka-doubles/bucsa-cristina-niculescu-monica-shibahara-ena-siegemund-laura-hn3L8VXO/","","","","2.2","1.6","","","2.2","1.62","2.2","1.62","","","","","","",""
"DM","0000015","20241018|131404","20241014_1941310_083220_115207","R10_2_BEL_European Open - Antwerp","Haase/Pel","Galloway/Nedovyesov","|K|0.462249|EK|G||OL1|2.24595|EOL1|OL2|2.0181|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.33275|ENAOL1|NAOL2|2.10924|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/belgium/atp-antwerp-doubles/haase-robin-pel-david-galloway-robert-nedovyesov-aleksandr-EaOM8WAk/","","2.35","1.6","2.21","1.59","","","2.1","1.67","2.35","1.67","","","","","","",""
"DM","0000016","20241018|131409","20241014_1941910_070756_092756","R10_2_SWE_BNP Paribas Nordic Open - Stockholm","Nouza/Rikl","Nys/Zielinski","|K|0.404321|EK|G||OL1|2.5668|EOL1|OL2|1.8228|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.666|ENAOL1|NAOL2|1.90512|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/sweden/atp-stockholm-doubles/nouza-petr-rikl-patrik-nys-hugo-zielinski-jan-04fnDNQ1/","","2.58","1.51","2.62","1.43","","","2.7","1.45","3.03","1.53","","","","","","",""
"CSM","0000017","20241018|131425","20241014_2011509_011522_053532","R09_1_CAN_Calgary Challenger","Tomic","Draxl","|K|0.305153|EK|G||OL1|3.4932|EOL1|OL2|1.5192|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6408|ENAOL1|NAOL2|1.5192|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.321|124.621|AH-2.5|1000|1000|1.321|124.621|AH-2|1000|1000|1.37|129.234|AH-1.5|1000|1000|1.37|129.234||AH1.5|1000|1000|1.61|146.322|AH2|1000|1000|1.757|159.687|AH2.5|1000|1000|1.757|159.687|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.93708|1|1.54|6|EK-1.5||K21|7.73622|1|4.65024|6|EK21||K1.5|1.9361|6|2.4247|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/calgary-challenger-men/tomic-bernard-draxl-liam-WbBdqF4D/#ah;2;4.50;2","4.5","1.54","2.57","1.48","2.45","","","","","1.54","2.57","","","","","","",""
"CSM","0000017","20241018|131423","20241014_2011509_011522_053532","R09_1_CAN_Calgary Challenger","Tomic","Draxl","|K|0.305153|EK|G||OL1|3.4932|EOL1|OL2|1.5192|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6408|ENAOL1|NAOL2|1.5192|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.321|124.621|AH-2.5|1000|1000|1.321|124.621|AH-2|1000|1000|1.37|129.234|AH-1.5|1000|1000|1.37|129.234||AH1.5|1000|1000|1.61|146.322|AH2|1000|1000|1.757|159.687|AH2.5|1000|1000|1.757|159.687|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.93708|1|1.54|6|EK-1.5||K21|7.73622|1|4.65024|6|EK21||K1.5|1.9361|6|2.4247|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/calgary-challenger-men/tomic-bernard-draxl-liam-WbBdqF4D/#ah;2;3.50;2","3.5","1.87","1.98","1.81","1.89","","","","","1.87","1.98","","","","","","",""
"CSM","0000017","20241018|131431","20241014_2011509_011522_053532","R09_1_CAN_Calgary Challenger","Tomic","Draxl","|K|0.305153|EK|G||OL1|3.4932|EOL1|OL2|1.5192|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6408|ENAOL1|NAOL2|1.5192|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.321|124.621|AH-2.5|1000|1000|1.321|124.621|AH-2|1000|1000|1.37|129.234|AH-1.5|1000|1000|1.37|129.234||AH1.5|1000|1000|1.61|146.322|AH2|1000|1000|1.757|159.687|AH2.5|1000|1000|1.757|159.687|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.93708|1|1.54|6|EK-1.5||K21|7.73622|1|4.65024|6|EK21||K1.5|1.9361|6|2.4247|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/calgary-challenger-men/tomic-bernard-draxl-liam-WbBdqF4D/#ah;2;1.50;1","1.5","1.76","2.14","1.69","2.04","","","","","1.76","2.14","","","","","","",""
"CSM","0000017","20241018|131428","20241014_2011509_011522_053532","R09_1_CAN_Calgary Challenger","Tomic","Draxl","|K|0.305153|EK|G||OL1|3.4932|EOL1|OL2|1.5192|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6408|ENAOL1|NAOL2|1.5192|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.321|124.621|AH-2.5|1000|1000|1.321|124.621|AH-2|1000|1000|1.37|129.234|AH-1.5|1000|1000|1.37|129.234||AH1.5|1000|1000|1.61|146.322|AH2|1000|1000|1.757|159.687|AH2.5|1000|1000|1.757|159.687|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.93708|1|1.54|6|EK-1.5||K21|7.73622|1|4.65024|6|EK21||K1.5|1.9361|6|2.4247|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/calgary-challenger-men/tomic-bernard-draxl-liam-WbBdqF4D/#ah;2;-1.50;1","-1.5","5.41","1.17","4.9","1.14","","","","","5.41","1.17","","","","","","",""
"CSM","0000017","20241018|131413","20241014_2011509_011522_053532","R09_1_CAN_Calgary Challenger","Tomic","Draxl","|K|0.305153|EK|G||OL1|3.4932|EOL1|OL2|1.5192|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6408|ENAOL1|NAOL2|1.5192|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.321|124.621|AH-2.5|1000|1000|1.321|124.621|AH-2|1000|1000|1.37|129.234|AH-1.5|1000|1000|1.37|129.234||AH1.5|1000|1000|1.61|146.322|AH2|1000|1000|1.757|159.687|AH2.5|1000|1000|1.757|159.687|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|5.93708|1|1.54|6|EK-1.5||K21|7.73622|1|4.65024|6|EK21||K1.5|1.9361|6|2.4247|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/calgary-challenger-men/tomic-bernard-draxl-liam-WbBdqF4D/","","2.88","1.45","2.7","1.4","","","2.8","1.43","2.88","1.45","","","","","","",""
"CSV","0000018","20241018|131446","20241014_1579509_012205_032633","R09_1_USA_W100 Macon","Davis","Stefanini","|K|0.594881|EK|G||OL1|1.79985|EOL1|OL2|2.53175|EOL2|OH1|2.366|EOH1|OH2|3.2851|EOH2|EG|NA|NOT|ENA||AH-5.5|4.01|391.615|1.375|134.292|AH-5|4.01|391.615|1.517|148.097|AH-4|3.153|307.912|1.749|170.796|AH-3.5|2.47|241.251|1.749|170.796|AH-3|2.47|241.251|1.98|193.341|AH-2.5|2.121|207.134|1.98|193.341|AH-2|2.121|207.134|2.098|204.931|AH-1.5|2|195.3|2.098|204.931||AH1.5|1.81|173.528|2.462|236.002|AH2|1.81|173.528|2.682|257.153|AH2.5|1.707|163.632|2.682|257.153|AH3|1.707|163.632|2.983|286.031|AH3.5|1.604|153.754|2.983|286.031|AH4|1.604|153.754|3.584|343.66|AH4.5|1.471|141.041|3.584|343.66|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.92813|5.6|1.73281|5.6|EK-1.5||K21|5.61257|5.6|7.36661|5.6|EK21||K1.5|1.5|1|4.74343|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-w100-macon-ga-women/davis-lauren-stefanini-lucrezia-pvgn5hX9/#ah;2;-0.50;2","-0.5","","","1.65","2.1","","","","","1.65","2.1","","","","","","",""
"CSV","0000018","20241018|131449","20241014_1579509_012205_032633","R09_1_USA_W100 Macon","Davis","Stefanini","|K|0.594881|EK|G||OL1|1.79985|EOL1|OL2|2.53175|EOL2|OH1|2.366|EOH1|OH2|3.2851|EOH2|EG|NA|NOT|ENA||AH-5.5|4.01|391.615|1.375|134.292|AH-5|4.01|391.615|1.517|148.097|AH-4|3.153|307.912|1.749|170.796|AH-3.5|2.47|241.251|1.749|170.796|AH-3|2.47|241.251|1.98|193.341|AH-2.5|2.121|207.134|1.98|193.341|AH-2|2.121|207.134|2.098|204.931|AH-1.5|2|195.3|2.098|204.931||AH1.5|1.81|173.528|2.462|236.002|AH2|1.81|173.528|2.682|257.153|AH2.5|1.707|163.632|2.682|257.153|AH3|1.707|163.632|2.983|286.031|AH3.5|1.604|153.754|2.983|286.031|AH4|1.604|153.754|3.584|343.66|AH4.5|1.471|141.041|3.584|343.66|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.92813|5.6|1.73281|5.6|EK-1.5||K21|5.61257|5.6|7.36661|5.6|EK21||K1.5|1.5|1|4.74343|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-w100-macon-ga-women/davis-lauren-stefanini-lucrezia-pvgn5hX9/#ah;2;-2.50;2","-2.5","1.92","1.85","1.88","1.82","","","","","1.92","1.85","","","","","","",""
"CSV","0000018","20241018|131456","20241014_1579509_012205_032633","R09_1_USA_W100 Macon","Davis","Stefanini","|K|0.594881|EK|G||OL1|1.79985|EOL1|OL2|2.53175|EOL2|OH1|2.366|EOH1|OH2|3.2851|EOH2|EG|NA|NOT|ENA||AH-5.5|4.01|391.615|1.375|134.292|AH-5|4.01|391.615|1.517|148.097|AH-4|3.153|307.912|1.749|170.796|AH-3.5|2.47|241.251|1.749|170.796|AH-3|2.47|241.251|1.98|193.341|AH-2.5|2.121|207.134|1.98|193.341|AH-2|2.121|207.134|2.098|204.931|AH-1.5|2|195.3|2.098|204.931||AH1.5|1.81|173.528|2.462|236.002|AH2|1.81|173.528|2.682|257.153|AH2.5|1.707|163.632|2.682|257.153|AH3|1.707|163.632|2.983|286.031|AH3.5|1.604|153.754|2.983|286.031|AH4|1.604|153.754|3.584|343.66|AH4.5|1.471|141.041|3.584|343.66|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.92813|5.6|1.73281|5.6|EK-1.5||K21|5.61257|5.6|7.36661|5.6|EK21||K1.5|1.5|1|4.74343|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-w100-macon-ga-women/davis-lauren-stefanini-lucrezia-pvgn5hX9/#ah;2;1.50;1","1.5","1.28","3.54","1.27","3.4","","","","","1.28","3.54","","","","","","",""
