"FSM","0000049","20241023|081214","20241021_2016104_088336_057933","R04_0_TUR_M15 Kayseri","Leather","Summers","|K|0.286296|EK|G||OL1|3.584|EOL1|OL2|1.50024|EOL2|OH1|5.25|EOH1|OH2|141|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|836.03|836.03|119.078|119.078|AH-3.5|624.164|624.164|119.078|119.078|AH-3|624.164|624.164|125.185|125.185|AH-2.5|497.068|497.068|125.185|125.185|AH-2|497.068|497.068|129.133|129.133|AH-1.5|443.252|443.252|129.133|129.133||AH1.5|332.975|332.975|142.923|142.923|AH2|332.975|332.975|151.583|151.583|AH2.5|293.86|293.86|151.583|151.583|AH3|293.86|293.86|166.803|166.803|AH3.5|249.694|249.694|166.803|166.803|AH4|249.694|249.694|200.045|200.045|AH4.5|199.955|199.955|200.045|200.045|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-kayseri-2-men/leather-joe-summers-matthew-ALSZY2DN/","","","","2.95","1.35","","","","","2.95","1.35","","","","","","",""
"FSM","0000050","20241023|081225","20241021_2015504_027082_036793","R04_0_USA_M25 Norman","Altamirano","Corwin","|K|0.227196|EK|G||OL1|4.51584|EOL1|OL2|1.3832|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1416.91|1416.91|113.72|113.72|AH-3.5|828.849|828.849|113.72|113.72|AH-3|828.849|828.849|119.679|119.679|AH-2.5|608.165|608.165|119.679|119.679|AH-2|608.165|608.165|123.805|123.805|AH-1.5|520.088|520.088|123.805|123.805||AH1.5|371.049|371.049|136.894|136.894|AH2|371.049|371.049|146.132|146.132|AH2.5|316.77|316.77|146.132|146.132|AH3|316.77|316.77|162.469|162.469|AH3.5|260.078|260.078|162.469|162.469|AH4|260.078|260.078|198.678|198.678|AH4.5|201.34|201.34|198.678|198.678|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/altamirano-collin-corwin-felix-pOAnvSPq/#ah;2;5.00;2","5.0","1.74","2.0","1.73","1.97","","","","","1.74","2.0","","","","","","",""
"FSM","0000050","20241023|081224","20241021_2015504_027082_036793","R04_0_USA_M25 Norman","Altamirano","Corwin","|K|0.227196|EK|G||OL1|4.51584|EOL1|OL2|1.3832|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1416.91|1416.91|113.72|113.72|AH-3.5|828.849|828.849|113.72|113.72|AH-3|828.849|828.849|119.679|119.679|AH-2.5|608.165|608.165|119.679|119.679|AH-2|608.165|608.165|123.805|123.805|AH-1.5|520.088|520.088|123.805|123.805||AH1.5|371.049|371.049|136.894|136.894|AH2|371.049|371.049|146.132|146.132|AH2.5|316.77|316.77|146.132|146.132|AH3|316.77|316.77|162.469|162.469|AH3.5|260.078|260.078|162.469|162.469|AH4|260.078|260.078|198.678|198.678|AH4.5|201.34|201.34|198.678|198.678|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/altamirano-collin-corwin-felix-pOAnvSPq/#ah;2;4.50;2","4.5","1.95","1.78","1.93","1.77","","","","","1.95","1.78","","","","","","",""
"FSM","0000050","20241023|081228","20241021_2015504_027082_036793","R04_0_USA_M25 Norman","Altamirano","Corwin","|K|0.227196|EK|G||OL1|4.51584|EOL1|OL2|1.3832|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1416.91|1416.91|113.72|113.72|AH-3.5|828.849|828.849|113.72|113.72|AH-3|828.849|828.849|119.679|119.679|AH-2.5|608.165|608.165|119.679|119.679|AH-2|608.165|608.165|123.805|123.805|AH-1.5|520.088|520.088|123.805|123.805||AH1.5|371.049|371.049|136.894|136.894|AH2|371.049|371.049|146.132|146.132|AH2.5|316.77|316.77|146.132|146.132|AH3|316.77|316.77|162.469|162.469|AH3.5|260.078|260.078|162.469|162.469|AH4|260.078|260.078|198.678|198.678|AH4.5|201.34|201.34|198.678|198.678|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/altamirano-collin-corwin-felix-pOAnvSPq/#ah;2;1.50;1","1.5","2.19","1.62","2.17","1.61","","","","","2.19","1.62","","","","","","",""
"FSM","0000050","20241023|081226","20241021_2015504_027082_036793","R04_0_USA_M25 Norman","Altamirano","Corwin","|K|0.227196|EK|G||OL1|4.51584|EOL1|OL2|1.3832|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1416.91|1416.91|113.72|113.72|AH-3.5|828.849|828.849|113.72|113.72|AH-3|828.849|828.849|119.679|119.679|AH-2.5|608.165|608.165|119.679|119.679|AH-2|608.165|608.165|123.805|123.805|AH-1.5|520.088|520.088|123.805|123.805||AH1.5|371.049|371.049|136.894|136.894|AH2|371.049|371.049|146.132|146.132|AH2.5|316.77|316.77|146.132|146.132|AH3|316.77|316.77|162.469|162.469|AH3.5|260.078|260.078|162.469|162.469|AH4|260.078|260.078|198.678|198.678|AH4.5|201.34|201.34|198.678|198.678|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/altamirano-collin-corwin-felix-pOAnvSPq/#ah;2;-1.50;1","-1.5","7.21","1.07","7.1","1.07","","","","","7.21","1.07","","","","","","",""
"FSM","0000050","20241023|081218","20241021_2015504_027082_036793","R04_0_USA_M25 Norman","Altamirano","Corwin","|K|0.227196|EK|G||OL1|4.51584|EOL1|OL2|1.3832|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1416.91|1416.91|113.72|113.72|AH-3.5|828.849|828.849|113.72|113.72|AH-3|828.849|828.849|119.679|119.679|AH-2.5|608.165|608.165|119.679|119.679|AH-2|608.165|608.165|123.805|123.805|AH-1.5|520.088|520.088|123.805|123.805||AH1.5|371.049|371.049|136.894|136.894|AH2|371.049|371.049|146.132|146.132|AH2.5|316.77|316.77|146.132|146.132|AH3|316.77|316.77|162.469|162.469|AH3.5|260.078|260.078|162.469|162.469|AH4|260.078|260.078|198.678|198.678|AH4.5|201.34|201.34|198.678|198.678|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/altamirano-collin-corwin-felix-pOAnvSPq/","","3.81","1.23","3.75","1.23","","","3.8","1.23","3.81","1.23","","","","","","",""
"FSM","0000051","20241023|081237","20241021_2015504_060951_067703","R04_0_USA_M25 Norman","Maloney","Dostanic","|K|0.359697|EK|G||OL1|2.85696|EOL1|OL2|1.67048|EOL2|OH1|4.185|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/maloney-patrick-dostanic-stefan-b9qTj59k/#ah;2;1.50;2","1.5","1.79","1.94","1.8","1.9","","","","","1.8","1.94","","","","","","",""
"FSM","0000051","20241023|081239","20241021_2015504_060951_067703","R04_0_USA_M25 Norman","Maloney","Dostanic","|K|0.359697|EK|G||OL1|2.85696|EOL1|OL2|1.67048|EOL2|OH1|4.185|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/maloney-patrick-dostanic-stefan-b9qTj59k/#ah;2;0.50;2","0.5","1.91","1.82","1.95","1.75","","","","","1.95","1.82","","","","","","",""
"FSM","0000051","20241023|081242","20241021_2015504_060951_067703","R04_0_USA_M25 Norman","Maloney","Dostanic","|K|0.359697|EK|G||OL1|2.85696|EOL1|OL2|1.67048|EOL2|OH1|4.185|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/maloney-patrick-dostanic-stefan-b9qTj59k/#ah;2;1.50;1","1.5","1.43","2.66","1.43","2.62","","","","","1.43","2.66","","","","","","",""
"FSM","0000051","20241023|081240","20241021_2015504_060951_067703","R04_0_USA_M25 Norman","Maloney","Dostanic","|K|0.359697|EK|G||OL1|2.85696|EOL1|OL2|1.67048|EOL2|OH1|4.185|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/maloney-patrick-dostanic-stefan-b9qTj59k/#ah;2;-1.50;1","-1.5","3.14","1.32","3.1","1.32","","","","","3.14","1.32","","","","","","",""
"FSM","0000051","20241023|081231","20241021_2015504_060951_067703","R04_0_USA_M25 Norman","Maloney","Dostanic","|K|0.359697|EK|G||OL1|2.85696|EOL1|OL2|1.67048|EOL2|OH1|4.185|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-norman-men/maloney-patrick-dostanic-stefan-b9qTj59k/","","1.96","1.78","2.04","1.69","","","1.95","1.77","2.07","1.78","","","","","","",""
