"FSM","0000043","20241029|075112","20241028_2017404_037376_031562","R04_0_ITA_M15 Selva Gardena","Rispoli","Oradini","|K|0.261246|EK|G||OL1|3.92192|EOL1|OL2|1.44704|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1678.62|1678.62|114.919|114.919|AH-3.5|770.291|770.291|114.919|114.919|AH-3|770.291|770.291|122.898|122.898|AH-2.5|536.728|536.728|122.898|122.898|AH-2|536.728|536.728|129.768|129.768|AH-1.5|435.931|435.931|129.768|129.768||AH1.5|322.882|322.882|144.867|144.867|AH2|322.882|322.882|153.888|153.888|AH2.5|285.571|285.571|153.888|153.888|AH3|285.571|285.571|172.574|172.574|AH3.5|237.791|237.791|172.574|172.574|AH4|237.791|237.791|215.422|215.422|AH4.5|186.639|186.639|215.422|215.422|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-selva-gardena-men/rispoli-nicola-oradini-giovanni-Q3kEvZ9N/","","","","3.4","1.27","","","","","3.4","1.28","","","","","","",""
"FSM","0000044","20241029|075115","20241028_2017404_085844_029866","R04_0_ITA_M15 Selva Gardena","Serafini","Fossati","|K|0.86856|EK|G||OL1|1.23424|EOL1|OL2|7.79264|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|184.131|184.131|303.978|303.978|AH-3.5|149.025|149.025|303.978|303.978|AH-3|149.025|149.025|405.871|405.871|AH-2.5|132.694|132.694|405.871|405.871|AH-2|132.694|132.694|506.946|506.946|AH-1.5|124.573|124.573|506.946|506.946||AH1.5|112.945|112.945|872.476|872.476|AH2|112.945|112.945|1194.85|1194.85|AH2.5|109.134|109.134|1194.85|1194.85|AH3|109.134|109.134|2558.27|2558.27|AH3.5|104.068|104.068|2558.27|2558.27|AH4|104.068|104.068|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-selva-gardena-men/serafini-marcello-fossati-carlo-alberto-OvgcrHAb/","","","","1.1","5.85","","","","","1.11","5.85","","","","","","",""
"FSM","0000045","20241029|075123","20241028_2017004_038250_093889","R04_0_TUN_M15 Monastir","Beauge","Gil Garcia","|K|0.875637|EK|G||OL1|1.2236|EOL1|OL2|8.2432|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|153.363|153.363|407.976|407.976|AH-3.5|132.47|132.47|407.976|407.976|AH-3|132.47|132.47|551.292|551.292|AH-2.5|122.159|122.159|551.292|551.292|AH-2|122.159|122.159|698.802|698.802|AH-1.5|116.7|116.7|698.802|698.802||AH1.5|107.668|107.668|1404.19|1404.19|AH2|107.668|107.668|2087.29|2087.29|AH2.5|105.032|105.032|2087.29|2087.29|AH3|105.032|105.032|4735.79|4735.79|AH3.5|102.157|102.157|4735.79|4735.79|AH4|102.157|102.157|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/beauge-maxence-gil-garcia-aaron-lKkgzvcT/#ah;2;-5.50;2","-5.5","","","1.79","1.91","","","","","1.79","1.91","","","","","","",""
"FSM","0000045","20241029|075125","20241028_2017004_038250_093889","R04_0_TUN_M15 Monastir","Beauge","Gil Garcia","|K|0.875637|EK|G||OL1|1.2236|EOL1|OL2|8.2432|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|153.363|153.363|407.976|407.976|AH-3.5|132.47|132.47|407.976|407.976|AH-3|132.47|132.47|551.292|551.292|AH-2.5|122.159|122.159|551.292|551.292|AH-2|122.159|122.159|698.802|698.802|AH-1.5|116.7|116.7|698.802|698.802||AH1.5|107.668|107.668|1404.19|1404.19|AH2|107.668|107.668|2087.29|2087.29|AH2.5|105.032|105.032|2087.29|2087.29|AH3|105.032|105.032|4735.79|4735.79|AH3.5|102.157|102.157|4735.79|4735.79|AH4|102.157|102.157|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/beauge-maxence-gil-garcia-aaron-lKkgzvcT/#ah;2;-6.00;2","-6.0","","","2.01","1.71","","","","","2.01","1.71","","","","","","",""
"FSM","0000045","20241029|075119","20241028_2017004_038250_093889","R04_0_TUN_M15 Monastir","Beauge","Gil Garcia","|K|0.875637|EK|G||OL1|1.2236|EOL1|OL2|8.2432|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|153.363|153.363|407.976|407.976|AH-3.5|132.47|132.47|407.976|407.976|AH-3|132.47|132.47|551.292|551.292|AH-2.5|122.159|122.159|551.292|551.292|AH-2|122.159|122.159|698.802|698.802|AH-1.5|116.7|116.7|698.802|698.802||AH1.5|107.668|107.668|1404.19|1404.19|AH2|107.668|107.668|2087.29|2087.29|AH2.5|105.032|105.032|2087.29|2087.29|AH3|105.032|105.032|4735.79|4735.79|AH3.5|102.157|102.157|4735.79|4735.79|AH4|102.157|102.157|1e+006|1e+006|AH4.5|100.01|100.01|1e+006|1e+006|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/beauge-maxence-gil-garcia-aaron-lKkgzvcT/","","","","1.14","4.9","","","","","1.14","4.95","","","","","","",""
"FSM","0000046","20241029|075138","20241028_2017004_074146_095482","R04_0_TUN_M15 Monastir","Mujakic","Jadoun","|K|0.363724|EK|G||OL1|2.816|EOL1|OL2|1.68112|EOL2|OH1|4.125|EOH1|OH2|158|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/mujakic-alen-jadoun-nicolas-hCh1U8Q7/#ah;2;3.00;2","3.0","","","1.73","1.97","","","","","1.73","1.97","","","","","","",""
"FSM","0000046","20241029|075137","20241028_2017004_074146_095482","R04_0_TUN_M15 Monastir","Mujakic","Jadoun","|K|0.363724|EK|G||OL1|2.816|EOL1|OL2|1.68112|EOL2|OH1|4.125|EOH1|OH2|158|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/mujakic-alen-jadoun-nicolas-hCh1U8Q7/#ah;2;2.50;2","2.5","","","1.84","1.86","","","","","1.84","1.86","","","","","","",""
"FSM","0000046","20241029|075129","20241028_2017004_074146_095482","R04_0_TUN_M15 Monastir","Mujakic","Jadoun","|K|0.363724|EK|G||OL1|2.816|EOL1|OL2|1.68112|EOL2|OH1|4.125|EOH1|OH2|158|EOH2|EG|NA|NOT|ENA||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/mujakic-alen-jadoun-nicolas-hCh1U8Q7/","","","","2.2","1.6","","","","","2.2","1.61","","","","","","",""
"FSM","0000047","20241029|075143","20241028_2017004_035883_071357","R04_0_TUN_M15 Monastir","Scaglia","Cuenin","|K|0.205674|EK|G||OL1|4.98688|EOL1|OL2|1.34064|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1779.05|1779.05|109.997|109.997|AH-3.5|1100.3|1100.3|109.997|109.997|AH-3|1100.3|1100.3|113.338|113.338|AH-2.5|849.757|849.757|113.338|113.338|AH-2|849.757|849.757|116.661|116.661|AH-1.5|700.217|700.217|116.661|116.661||AH1.5|472.569|472.569|126.841|126.841|AH2|472.569|472.569|133.103|133.103|AH2.5|402.086|402.086|133.103|133.103|AH3|402.086|402.086|145.055|145.055|AH3.5|321.951|321.951|145.055|145.055|AH4|321.951|321.951|169.811|169.811|AH4.5|243.243|243.243|169.811|169.811|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-44-men/scaglia-mathieu-cuenin-sean-K0ZCjasA/","","","","3.65","1.24","","","","","3.65","1.25","","","","","","",""
"FSM","0000048","20241029|075152","20241028_2021804_007805_047259","R04_0_TUN_M25 Monastir","de Schepper","Tabur","|K|0.254126|EK|G||OL1|4.03456|EOL1|OL2|1.4364|EOL2|OH1|1|EOH1|OH2|135|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|963.242|963.242|117.685|117.685|AH-3.5|665.456|665.456|117.685|117.685|AH-3|665.456|665.456|124.315|124.315|AH-2.5|511.271|511.271|124.315|124.315|AH-2|511.271|511.271|128.326|128.326|AH-1.5|453.034|453.034|128.326|128.326||AH1.5|334.034|334.034|142.729|142.729|AH2|334.034|334.034|152.141|152.141|AH2.5|291.787|291.787|152.141|152.141|AH3|291.787|291.787|167.912|167.912|AH3.5|247.248|247.248|167.912|167.912|AH4|247.248|247.248|207.457|207.457|AH4.5|193.061|193.061|207.457|207.457|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-men/de-schepper-kenny-tabur-clement-Kvd91CCi/#ah;2;4.50;2","4.5","1.71","2.04","1.72","2.0","","","","","1.72","2.04","","","","","","",""
"FSM","0000048","20241029|075153","20241028_2021804_007805_047259","R04_0_TUN_M25 Monastir","de Schepper","Tabur","|K|0.254126|EK|G||OL1|4.03456|EOL1|OL2|1.4364|EOL2|OH1|1|EOH1|OH2|135|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|963.242|963.242|117.685|117.685|AH-3.5|665.456|665.456|117.685|117.685|AH-3|665.456|665.456|124.315|124.315|AH-2.5|511.271|511.271|124.315|124.315|AH-2|511.271|511.271|128.326|128.326|AH-1.5|453.034|453.034|128.326|128.326||AH1.5|334.034|334.034|142.729|142.729|AH2|334.034|334.034|152.141|152.141|AH2.5|291.787|291.787|152.141|152.141|AH3|291.787|291.787|167.912|167.912|AH3.5|247.248|247.248|167.912|167.912|AH4|247.248|247.248|207.457|207.457|AH4.5|193.061|193.061|207.457|207.457|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-men/de-schepper-kenny-tabur-clement-Kvd91CCi/#ah;2;3.50;2","3.5","2.17","1.63","","","","","","","2.17","1.63","","","","","","",""
