"FDM","0000001","20241029|123735","20241028_2017409_082922_115637","R09_0_ITA_M15 Selva Gardena","De Bernardis/Taddia","Fondriest/Vedovelli","|K|0.458574|EK|G||OL1|2.2995|EOL1|OL2|1.89995|EOL2|OH1|1|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-selva-gardena-men-doubles/de-bernardis-alessio-taddia-leonardo-fondriest-matteo-vedovelli-stefan-rLHhVW8L/","","","","","","","","","","","","","","","","","",""
"FSM","0000002","20241029|123746","20241028_2016504_044217_080960","R04_0_BRA_M25 Lajeado","Ribeiro","Vilicich","|K|0.816275|EK|G||OL1|1.30872|EOL1|OL2|5.5808|EOL2|OH1|123|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|191.56|191.56|269.036|269.036|AH-3.5|159.159|159.159|269.036|269.036|AH-3|159.159|159.159|326.623|326.623|AH-2.5|144.126|144.126|326.623|326.623|AH-2|144.126|144.126|378.965|378.965|AH-1.5|135.847|135.847|378.965|378.965||AH1.5|123.546|123.546|524.707|524.707|AH2|123.546|123.546|608.519|608.519|AH2.5|119.665|119.665|608.519|608.519|AH3|119.665|119.665|776.376|776.376|AH3.5|114.785|114.785|776.376|776.376|AH4|114.785|114.785|1167.96|1167.96|AH4.5|109.364|109.364|1167.96|1167.96|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-lajeado-men/ribeiro-eduardo-vilicich-bautista-M9RCqroT/#ah;2;-4.50;2","-4.5","1.83","1.9","1.81","1.89","","","","","1.83","1.9","","","","","","",""
"FSM","0000002","20241029|123748","20241028_2016504_044217_080960","R04_0_BRA_M25 Lajeado","Ribeiro","Vilicich","|K|0.816275|EK|G||OL1|1.30872|EOL1|OL2|5.5808|EOL2|OH1|123|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|191.56|191.56|269.036|269.036|AH-3.5|159.159|159.159|269.036|269.036|AH-3|159.159|159.159|326.623|326.623|AH-2.5|144.126|144.126|326.623|326.623|AH-2|144.126|144.126|378.965|378.965|AH-1.5|135.847|135.847|378.965|378.965||AH1.5|123.546|123.546|524.707|524.707|AH2|123.546|123.546|608.519|608.519|AH2.5|119.665|119.665|608.519|608.519|AH3|119.665|119.665|776.376|776.376|AH3.5|114.785|114.785|776.376|776.376|AH4|114.785|114.785|1167.96|1167.96|AH4.5|109.364|109.364|1167.96|1167.96|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-lajeado-men/ribeiro-eduardo-vilicich-bautista-M9RCqroT/#ah;2;-5.00;2","-5.0","2.05","1.71","2.0","1.72","","","","","2.05","1.72","","","","","","",""
"FSM","0000002","20241029|123751","20241028_2016504_044217_080960","R04_0_BRA_M25 Lajeado","Ribeiro","Vilicich","|K|0.816275|EK|G||OL1|1.30872|EOL1|OL2|5.5808|EOL2|OH1|123|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|191.56|191.56|269.036|269.036|AH-3.5|159.159|159.159|269.036|269.036|AH-3|159.159|159.159|326.623|326.623|AH-2.5|144.126|144.126|326.623|326.623|AH-2|144.126|144.126|378.965|378.965|AH-1.5|135.847|135.847|378.965|378.965||AH1.5|123.546|123.546|524.707|524.707|AH2|123.546|123.546|608.519|608.519|AH2.5|119.665|119.665|608.519|608.519|AH3|119.665|119.665|776.376|776.376|AH3.5|114.785|114.785|776.376|776.376|AH4|114.785|114.785|1167.96|1167.96|AH4.5|109.364|109.364|1167.96|1167.96|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-lajeado-men/ribeiro-eduardo-vilicich-bautista-M9RCqroT/#ah;2;1.50;1","1.5","1.11","5.83","1.1","5.85","","","","","1.11","5.85","","","","","","",""
"FSM","0000002","20241029|123749","20241028_2016504_044217_080960","R04_0_BRA_M25 Lajeado","Ribeiro","Vilicich","|K|0.816275|EK|G||OL1|1.30872|EOL1|OL2|5.5808|EOL2|OH1|123|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|191.56|191.56|269.036|269.036|AH-3.5|159.159|159.159|269.036|269.036|AH-3|159.159|159.159|326.623|326.623|AH-2.5|144.126|144.126|326.623|326.623|AH-2|144.126|144.126|378.965|378.965|AH-1.5|135.847|135.847|378.965|378.965||AH1.5|123.546|123.546|524.707|524.707|AH2|123.546|123.546|608.519|608.519|AH2.5|119.665|119.665|608.519|608.519|AH3|119.665|119.665|776.376|776.376|AH3.5|114.785|114.785|776.376|776.376|AH4|114.785|114.785|1167.96|1167.96|AH4.5|109.364|109.364|1167.96|1167.96|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-lajeado-men/ribeiro-eduardo-vilicich-bautista-M9RCqroT/#ah;2;-1.50;1","-1.5","1.71","2.05","1.7","2.02","","","","","1.71","2.05","","","","","","",""
"FSM","0000002","20241029|123738","20241028_2016504_044217_080960","R04_0_BRA_M25 Lajeado","Ribeiro","Vilicich","|K|0.816275|EK|G||OL1|1.30872|EOL1|OL2|5.5808|EOL2|OH1|123|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|191.56|191.56|269.036|269.036|AH-3.5|159.159|159.159|269.036|269.036|AH-3|159.159|159.159|326.623|326.623|AH-2.5|144.126|144.126|326.623|326.623|AH-2|144.126|144.126|378.965|378.965|AH-1.5|135.847|135.847|378.965|378.965||AH1.5|123.546|123.546|524.707|524.707|AH2|123.546|123.546|608.519|608.519|AH2.5|119.665|119.665|608.519|608.519|AH3|119.665|119.665|776.376|776.376|AH3.5|114.785|114.785|776.376|776.376|AH4|114.785|114.785|1167.96|1167.96|AH4.5|109.364|109.364|1167.96|1167.96|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-lajeado-men/ribeiro-eduardo-vilicich-bautista-M9RCqroT/","","1.28","3.43","1.27","3.4","","","","","1.28","3.43","","","","","","",""
"SM","0000003","20241029|123802","20241028_1941704_037741_000674","R04_3_FRA_Rolex Paris Masters - Paris","Bergs","Gasquet","|K|0.75257|EK|G||OL1|1.463|EOL1|OL2|4.43475|EOL2|OH1|1.9285|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4763|ENAOL1|NAOL2|4.44285|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.254|5.654|1.467|1.95|AH-5|4.254|5.654|1.81|2.405|AH-4|2.747|3.651|2.408|3.2|AH-3.5|1.995|2.651|2.408|3.2|AH-3|1.995|2.651|3.151|4.187|AH-2.5|1.669|2.218|3.151|4.187|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.276|1.691|7.683|10.183|AH3|1.276|1.691|11.975|15.872|AH3.5|1.204|1.596|11.975|15.872|AH4|1.204|1.596|23.18|30.724|AH4.5|1.148|1.522|23.18|30.724|AH5|1.148|1.522|59.869|79.351|AH5.5|1.114|1.477|59.869|79.351||EAH||AHS||K-1.5|2.31599|7|2.02284|7|EK-1.5||K21|4.08339|7|7.82187|1|EK21||K1.5|1.52|7|8.51213|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-paris/bergs-zizou-gasquet-richard-8AZsGooR/#ah;2;-2.50;2","-2.5","","","1.64","2.12","","","","","1.64","2.12","","","","","","",""
"SM","0000003","20241029|123800","20241028_1941704_037741_000674","R04_3_FRA_Rolex Paris Masters - Paris","Bergs","Gasquet","|K|0.75257|EK|G||OL1|1.463|EOL1|OL2|4.43475|EOL2|OH1|1.9285|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4763|ENAOL1|NAOL2|4.44285|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.254|5.654|1.467|1.95|AH-5|4.254|5.654|1.81|2.405|AH-4|2.747|3.651|2.408|3.2|AH-3.5|1.995|2.651|2.408|3.2|AH-3|1.995|2.651|3.151|4.187|AH-2.5|1.669|2.218|3.151|4.187|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.276|1.691|7.683|10.183|AH3|1.276|1.691|11.975|15.872|AH3.5|1.204|1.596|11.975|15.872|AH4|1.204|1.596|23.18|30.724|AH4.5|1.148|1.522|23.18|30.724|AH5|1.148|1.522|59.869|79.351|AH5.5|1.114|1.477|59.869|79.351||EAH||AHS||K-1.5|2.31599|7|2.02284|7|EK-1.5||K21|4.08339|7|7.82187|1|EK21||K1.5|1.52|7|8.51213|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/atp-paris/bergs-zizou-gasquet-richard-8AZsGooR/#ah;2;-3.50;2","-3.5","","","1.93","1.77","","","2.04","1.76","2.04","1.77","","","","","","",""
"SM","0000003","20241029|123806","20241028_1941704_037741_000674","R04_3_FRA_Rolex Paris Masters - Paris","Bergs","Gasquet","|K|0.75257|EK|G||OL1|1.463|EOL1|OL2|4.43475|EOL2|OH1|1.9285|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4763|ENAOL1|NAOL2|4.44285|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.254|5.654|1.467|1.95|AH-5|4.254|5.654|1.81|2.405|AH-4|2.747|3.651|2.408|3.2|AH-3.5|1.995|2.651|2.408|3.2|AH-3|1.995|2.651|3.151|4.187|AH-2.5|1.669|2.218|3.151|4.187|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.276|1.691|7.683|10.183|AH3|1.276|1.691|11.975|15.872|AH3.5|1.204|1.596|11.975|15.872|AH4|1.204|1.596|23.18|30.724|AH4.5|1.148|1.522|23.18|30.724|AH5|1.148|1.522|59.869|79.351|AH5.5|1.114|1.477|59.869|79.351||EAH||AHS||K-1.5|2.31599|7|2.02284|7|EK-1.5||K21|4.08339|7|7.82187|1|EK21||K1.5|1.52|7|8.51213|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-paris/bergs-zizou-gasquet-richard-8AZsGooR/#ah;2;1.50;1","1.5","","","1.14","4.9","","","1.16","5.4","1.16","5.4","","","","","","",""
"SM","0000003","20241029|123804","20241028_1941704_037741_000674","R04_3_FRA_Rolex Paris Masters - Paris","Bergs","Gasquet","|K|0.75257|EK|G||OL1|1.463|EOL1|OL2|4.43475|EOL2|OH1|1.9285|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4763|ENAOL1|NAOL2|4.44285|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.254|5.654|1.467|1.95|AH-5|4.254|5.654|1.81|2.405|AH-4|2.747|3.651|2.408|3.2|AH-3.5|1.995|2.651|2.408|3.2|AH-3|1.995|2.651|3.151|4.187|AH-2.5|1.669|2.218|3.151|4.187|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.276|1.691|7.683|10.183|AH3|1.276|1.691|11.975|15.872|AH3.5|1.204|1.596|11.975|15.872|AH4|1.204|1.596|23.18|30.724|AH4.5|1.148|1.522|23.18|30.724|AH5|1.148|1.522|59.869|79.351|AH5.5|1.114|1.477|59.869|79.351||EAH||AHS||K-1.5|2.31599|7|2.02284|7|EK-1.5||K21|4.08339|7|7.82187|1|EK21||K1.5|1.52|7|8.51213|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/atp-paris/bergs-zizou-gasquet-richard-8AZsGooR/#ah;2;-1.50;1","-1.5","","","2.1","1.65","","","2.15","1.7","2.15","1.7","","","","","","",""
"SM","0000003","20241029|123755","20241028_1941704_037741_000674","R04_3_FRA_Rolex Paris Masters - Paris","Bergs","Gasquet","|K|0.75257|EK|G||OL1|1.463|EOL1|OL2|4.43475|EOL2|OH1|1.9285|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4763|ENAOL1|NAOL2|4.44285|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.254|5.654|1.467|1.95|AH-5|4.254|5.654|1.81|2.405|AH-4|2.747|3.651|2.408|3.2|AH-3.5|1.995|2.651|2.408|3.2|AH-3|1.995|2.651|3.151|4.187|AH-2.5|1.669|2.218|3.151|4.187|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.276|1.691|7.683|10.183|AH3|1.276|1.691|11.975|15.872|AH3.5|1.204|1.596|11.975|15.872|AH4|1.204|1.596|23.18|30.724|AH4.5|1.148|1.522|23.18|30.724|AH5|1.148|1.522|59.869|79.351|AH5.5|1.114|1.477|59.869|79.351||EAH||AHS||K-1.5|2.31599|7|2.02284|7|EK-1.5||K21|4.08339|7|7.82187|1|EK21||K1.5|1.52|7|8.51213|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/atp-paris/bergs-zizou-gasquet-richard-8AZsGooR/","","","","1.39","2.75","","","1.41","2.9","1.44","3.11","","","","","","",""
