"FSM","0000043","20241108|081027","20241104_2022409_007805_059165","R09_0_TUN_M25 Monastir","de Schepper","Vylegzhanin","|K|0.568106|EK|G||OL1|1.88328|EOL1|OL2|2.37568|EOL2|OH1|177|EOH1|OH2|3.48|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|251.991|251.991|190.547|190.547|AH-3.5|210.439|210.439|190.547|190.547|AH-3|210.439|210.439|212.97|212.97|AH-2.5|188.519|188.519|212.97|212.97|AH-2|188.519|188.519|227.008|227.008|AH-1.5|178.735|178.735|227.008|227.008||AH1.5|157.347|157.347|274.376|274.376|AH2|157.347|157.347|301.22|301.22|AH2.5|149.697|149.697|301.22|301.22|AH3|149.697|149.697|342.903|342.903|AH3.5|141.169|141.169|342.903|342.903|AH4|141.169|141.169|440.254|440.254|AH4.5|129.39|129.39|440.254|440.254|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-2-men/de-schepper-kenny-vylegzhanin-nikolay-8UurDgdt/","","","","","","","","1.57","2.25","1.57","2.33","","","","","","",""
"FSM","0000044","20241108|081047","20241104_2022409_063737_026706","R09_0_TUN_M25 Monastir","Maestrelli","Celikbilek","|K|0.503868|EK|G||OL1|2.11736|EOL1|OL2|2.14928|EOL2|OH1|199|EOH1|OH2|202|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|333.633|333.633|159.471|159.471|AH-3.5|268.149|268.149|159.471|159.471|AH-3|268.149|268.149|173.73|173.73|AH-2.5|235.631|235.631|173.73|173.73|AH-2|235.631|235.631|182.309|182.309|AH-1.5|221.494|221.494|182.309|182.309||AH1.5|190.492|190.492|210.507|210.507|AH2|190.492|190.492|227.933|227.933|AH2.5|178.166|178.166|227.933|227.933|AH3|178.166|178.166|252.208|252.208|AH3.5|165.699|165.699|252.208|252.208|AH4|165.699|165.699|303.233|303.233|AH4.5|149.204|149.204|303.233|303.233|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-2-men/maestrelli-francesco-celikbilek-altug-joy4NcMh/#ah;2;-0.50;2","-0.5","","","1.75","1.95","","","","","1.75","1.95","","","","","","",""
"FSM","0000044","20241108|081045","20241104_2022409_063737_026706","R09_0_TUN_M25 Monastir","Maestrelli","Celikbilek","|K|0.503868|EK|G||OL1|2.11736|EOL1|OL2|2.14928|EOL2|OH1|199|EOH1|OH2|202|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|333.633|333.633|159.471|159.471|AH-3.5|268.149|268.149|159.471|159.471|AH-3|268.149|268.149|173.73|173.73|AH-2.5|235.631|235.631|173.73|173.73|AH-2|235.631|235.631|182.309|182.309|AH-1.5|221.494|221.494|182.309|182.309||AH1.5|190.492|190.492|210.507|210.507|AH2|190.492|190.492|227.933|227.933|AH2.5|178.166|178.166|227.933|227.933|AH3|178.166|178.166|252.208|252.208|AH3.5|165.699|165.699|252.208|252.208|AH4|165.699|165.699|303.233|303.233|AH4.5|149.204|149.204|303.233|303.233|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-2-men/maestrelli-francesco-celikbilek-altug-joy4NcMh/#ah;2;-1.50;2","-1.5","","","1.86","1.84","","","","","1.86","1.84","","","","","","",""
"FSM","0000044","20241108|081038","20241104_2022409_063737_026706","R09_0_TUN_M25 Monastir","Maestrelli","Celikbilek","|K|0.503868|EK|G||OL1|2.11736|EOL1|OL2|2.14928|EOL2|OH1|199|EOH1|OH2|202|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|333.633|333.633|159.471|159.471|AH-3.5|268.149|268.149|159.471|159.471|AH-3|268.149|268.149|173.73|173.73|AH-2.5|235.631|235.631|173.73|173.73|AH-2|235.631|235.631|182.309|182.309|AH-1.5|221.494|221.494|182.309|182.309||AH1.5|190.492|190.492|210.507|210.507|AH2|190.492|190.492|227.933|227.933|AH2.5|178.166|178.166|227.933|227.933|AH3|178.166|178.166|252.208|252.208|AH3.5|165.699|165.699|252.208|252.208|AH4|165.699|165.699|303.233|303.233|AH4.5|149.204|149.204|303.233|303.233|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-2-men/maestrelli-francesco-celikbilek-altug-joy4NcMh/","","","","1.69","2.04","","","1.66","2.1","1.72","2.1","","","","","","",""
"FSM","0000045","20241108|081058","20241104_2022909_055290_085119","R09_0_TUR_M15 Antalya","Jianu","Snitari","|K|0.696854|EK|G||OL1|1.53216|EOL1|OL2|3.3792|EOL2|OH1|144|EOH1|OH2|4.95|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|219.901|219.901|214.016|214.016|AH-3.5|187.707|187.707|214.016|214.016|AH-3|187.707|187.707|240.921|240.921|AH-2.5|170.962|170.962|240.921|240.921|AH-2|170.962|170.962|268.977|268.977|AH-1.5|159.18|159.18|268.977|268.977||AH1.5|143.636|143.636|329.171|329.171|AH2|143.636|143.636|350.231|350.231|AH2.5|139.963|139.963|350.231|350.231|AH3|139.963|139.963|399.281|399.281|AH3.5|133.413|133.413|399.281|399.281|AH4|133.413|133.413|513.682|513.682|AH4.5|124.173|124.173|513.682|513.682|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-16-men/jianu-filip-cristian-ilya-snitari-fHKz8CNb/#ah;2;-5.50;2","-5.5","","","1.9","1.8","","","","","1.9","1.8","","","","","","",""
"FSM","0000045","20241108|081052","20241104_2022909_055290_085119","R09_0_TUR_M15 Antalya","Jianu","Snitari","|K|0.696854|EK|G||OL1|1.53216|EOL1|OL2|3.3792|EOL2|OH1|144|EOH1|OH2|4.95|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|219.901|219.901|214.016|214.016|AH-3.5|187.707|187.707|214.016|214.016|AH-3|187.707|187.707|240.921|240.921|AH-2.5|170.962|170.962|240.921|240.921|AH-2|170.962|170.962|268.977|268.977|AH-1.5|159.18|159.18|268.977|268.977||AH1.5|143.636|143.636|329.171|329.171|AH2|143.636|143.636|350.231|350.231|AH2.5|139.963|139.963|350.231|350.231|AH3|139.963|139.963|399.281|399.281|AH3.5|133.413|133.413|399.281|399.281|AH4|133.413|133.413|513.682|513.682|AH4.5|124.173|124.173|513.682|513.682|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-16-men/jianu-filip-cristian-ilya-snitari-fHKz8CNb/","","","","1.21","3.9","","","1.21","4.0","1.22","4.0","","","","","","",""
"SM","0000046","20241108|081112","20241111_1942008_022807_029932","R08_3_ITA_Nitto ATP Finals - Turin","Medvedev","Fritz","|K|0.583379|EK|G||OL1|1.892|EOL1|OL2|2.63895|EOL2|OH1|2.494|EOH1|OH2|3.3017|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.82|9.064|1.299|1.726|AH-5|6.82|9.064|1.497|1.99|AH-4|4.019|5.342|1.799|2.391|AH-3.5|2.772|3.684|1.799|2.391|AH-3|2.772|3.684|2.066|2.746|AH-2.5|2.312|3.073|2.066|2.746|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.075|3.633|4.815|AH3|1.565|2.075|5.357|7.101|AH3.5|1.375|1.822|5.357|7.101|AH4|1.375|1.822|9.352|12.395|AH4.5|1.239|1.642|9.352|12.395|AH5|1.239|1.642|20.496|27.165|AH5.5|1.156|1.532|20.496|27.165||EAH||AHS||K-1.5|3.24097|7|1.58979|7|EK-1.5||K21|5.08526|7|5.9116|7|EK21||K1.5|1.52|7|4.14743|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/medvedev-daniil-fritz-taylor-vBsZPyQ0/#ah;2;-0.50;2","-0.5","1.78","2.1","1.72","2.0","","","","","1.78","2.1","","","","","","",""
"SM","0000046","20241108|081110","20241111_1942008_022807_029932","R08_3_ITA_Nitto ATP Finals - Turin","Medvedev","Fritz","|K|0.583379|EK|G||OL1|1.892|EOL1|OL2|2.63895|EOL2|OH1|2.494|EOH1|OH2|3.3017|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.82|9.064|1.299|1.726|AH-5|6.82|9.064|1.497|1.99|AH-4|4.019|5.342|1.799|2.391|AH-3.5|2.772|3.684|1.799|2.391|AH-3|2.772|3.684|2.066|2.746|AH-2.5|2.312|3.073|2.066|2.746|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.075|3.633|4.815|AH3|1.565|2.075|5.357|7.101|AH3.5|1.375|1.822|5.357|7.101|AH4|1.375|1.822|9.352|12.395|AH4.5|1.239|1.642|9.352|12.395|AH5|1.239|1.642|20.496|27.165|AH5.5|1.156|1.532|20.496|27.165||EAH||AHS||K-1.5|3.24097|7|1.58979|7|EK-1.5||K21|5.08526|7|5.9116|7|EK21||K1.5|1.52|7|4.14743|7|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/medvedev-daniil-fritz-taylor-vBsZPyQ0/#ah;2;-1.50;2","-1.5","1.94","1.91","1.87","1.83","","","1.82","1.98","1.94","1.98","","","","","","",""
"SM","0000046","20241108|081115","20241111_1942008_022807_029932","R08_3_ITA_Nitto ATP Finals - Turin","Medvedev","Fritz","|K|0.583379|EK|G||OL1|1.892|EOL1|OL2|2.63895|EOL2|OH1|2.494|EOH1|OH2|3.3017|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.82|9.064|1.299|1.726|AH-5|6.82|9.064|1.497|1.99|AH-4|4.019|5.342|1.799|2.391|AH-3.5|2.772|3.684|1.799|2.391|AH-3|2.772|3.684|2.066|2.746|AH-2.5|2.312|3.073|2.066|2.746|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.075|3.633|4.815|AH3|1.565|2.075|5.357|7.101|AH3.5|1.375|1.822|5.357|7.101|AH4|1.375|1.822|9.352|12.395|AH4.5|1.239|1.642|9.352|12.395|AH5|1.239|1.642|20.496|27.165|AH5.5|1.156|1.532|20.496|27.165||EAH||AHS||K-1.5|3.24097|7|1.58979|7|EK-1.5||K21|5.08526|7|5.9116|7|EK21||K1.5|1.52|7|4.14743|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/medvedev-daniil-fritz-taylor-vBsZPyQ0/#ah;2;1.50;1","1.5","1.28","3.87","1.25","3.57","","","1.23","4.2","1.28","4.2","","","","","","",""
"SM","0000046","20241108|081113","20241111_1942008_022807_029932","R08_3_ITA_Nitto ATP Finals - Turin","Medvedev","Fritz","|K|0.583379|EK|G||OL1|1.892|EOL1|OL2|2.63895|EOL2|OH1|2.494|EOH1|OH2|3.3017|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.82|9.064|1.299|1.726|AH-5|6.82|9.064|1.497|1.99|AH-4|4.019|5.342|1.799|2.391|AH-3.5|2.772|3.684|1.799|2.391|AH-3|2.772|3.684|2.066|2.746|AH-2.5|2.312|3.073|2.066|2.746|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.075|3.633|4.815|AH3|1.565|2.075|5.357|7.101|AH3.5|1.375|1.822|5.357|7.101|AH4|1.375|1.822|9.352|12.395|AH4.5|1.239|1.642|9.352|12.395|AH5|1.239|1.642|20.496|27.165|AH5.5|1.156|1.532|20.496|27.165||EAH||AHS||K-1.5|3.24097|7|1.58979|7|EK-1.5||K21|5.08526|7|5.9116|7|EK21||K1.5|1.52|7|4.14743|7|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/medvedev-daniil-fritz-taylor-vBsZPyQ0/#ah;2;-1.50;1","-1.5","2.79","1.47","2.62","1.43","","","2.65","1.48","2.79","1.48","","","","","","",""
"SM","0000046","20241108|081103","20241111_1942008_022807_029932","R08_3_ITA_Nitto ATP Finals - Turin","Medvedev","Fritz","|K|0.583379|EK|G||OL1|1.892|EOL1|OL2|2.63895|EOL2|OH1|2.494|EOH1|OH2|3.3017|EOH2|EG|NA||NAOL1|1.9092|ENAOL1|NAOL2|2.64377|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|6.82|9.064|1.299|1.726|AH-5|6.82|9.064|1.497|1.99|AH-4|4.019|5.342|1.799|2.391|AH-3.5|2.772|3.684|1.799|2.391|AH-3|2.772|3.684|2.066|2.746|AH-2.5|2.312|3.073|2.066|2.746|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.565|2.075|3.633|4.815|AH3|1.565|2.075|5.357|7.101|AH3.5|1.375|1.822|5.357|7.101|AH4|1.375|1.822|9.352|12.395|AH4.5|1.239|1.642|9.352|12.395|AH5|1.239|1.642|20.496|27.165|AH5.5|1.156|1.532|20.496|27.165||EAH||AHS||K-1.5|3.24097|7|1.58979|7|EK-1.5||K21|5.08526|7|5.9116|7|EK21||K1.5|1.52|7|4.14743|7|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin/medvedev-daniil-fritz-taylor-vBsZPyQ0/","","1.71","2.23","1.64","2.12","","","1.62","2.33","1.73","2.33","","","","","","",""
