"FSM","0000043","20241113|080418","20241111_2024404_067863_069339","R04_0_TUR_M15 Antalya","Saritas","Stice","|K|0.553615|EK|G||OL1|1.92584|EOL1|OL2|2.304|EOL2|OH1|181|EOH1|OH2|3.375|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|292.589|292.589|166.298|166.298|AH-3.5|250.834|250.834|166.298|166.298|AH-3|250.834|250.834|180.878|180.878|AH-2.5|223.642|223.642|180.878|180.878|AH-2|223.642|223.642|197.536|197.536|AH-1.5|202.527|202.527|197.536|197.536||AH1.5|177.602|177.602|228.863|228.863|AH2|177.602|177.602|235.512|235.512|AH2.5|173.794|173.794|235.512|235.512|AH3|173.794|173.794|254.01|254.01|AH3.5|164.931|164.931|254.01|254.01|AH4|164.931|164.931|305.992|305.992|AH4.5|148.546|148.546|305.992|305.992|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-17-men/saritas-gokberk-stice-tyler-0hnxGq4l/","","","","1.48","2.45","","","","","1.55","2.45","","","","","","",""
"FSM","0000044","20241113|080439","20241111_2023304_084239_034756","R04_0_USA_M25 Columbus","Van Sambeek","Jones","|K|0.621887|EK|G||OL1|1.71304|EOL1|OL2|2.7136|EOL2|OH1|1|EOH1|OH2|3.975|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.911|236.911|196.675|196.675|AH-3.5|203.439|203.439|196.675|196.675|AH-3|203.439|203.439|214.264|214.264|AH-2.5|187.517|187.517|214.264|214.264|AH-2|187.517|187.517|228.049|228.049|AH-1.5|178.095|178.095|228.049|228.049||AH1.5|157.678|157.678|273.377|273.377|AH2|157.678|157.678|297.308|297.308|AH2.5|150.682|150.682|297.308|297.308|AH3|150.682|150.682|347.611|347.611|AH3.5|140.386|140.386|347.611|347.611|AH4|140.386|140.386|427.517|427.517|AH4.5|130.533|130.533|427.517|427.517|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-men/fons-van-sambeek-jones-adam-0QVjzIRb/#ah;2;-2.50;2","-2.5","1.77","1.96","1.76","1.94","","","","","1.77","1.96","","","","","","",""
"FSM","0000044","20241113|080437","20241111_2023304_084239_034756","R04_0_USA_M25 Columbus","Van Sambeek","Jones","|K|0.621887|EK|G||OL1|1.71304|EOL1|OL2|2.7136|EOL2|OH1|1|EOH1|OH2|3.975|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.911|236.911|196.675|196.675|AH-3.5|203.439|203.439|196.675|196.675|AH-3|203.439|203.439|214.264|214.264|AH-2.5|187.517|187.517|214.264|214.264|AH-2|187.517|187.517|228.049|228.049|AH-1.5|178.095|178.095|228.049|228.049||AH1.5|157.678|157.678|273.377|273.377|AH2|157.678|157.678|297.308|297.308|AH2.5|150.682|150.682|297.308|297.308|AH3|150.682|150.682|347.611|347.611|AH3.5|140.386|140.386|347.611|347.611|AH4|140.386|140.386|427.517|427.517|AH4.5|130.533|130.533|427.517|427.517|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-men/fons-van-sambeek-jones-adam-0QVjzIRb/#ah;2;-3.50;2","-3.5","1.99","1.75","1.97","1.73","","","","","1.99","1.75","","","","","","",""
"FSM","0000044","20241113|080442","20241111_2023304_084239_034756","R04_0_USA_M25 Columbus","Van Sambeek","Jones","|K|0.621887|EK|G||OL1|1.71304|EOL1|OL2|2.7136|EOL2|OH1|1|EOH1|OH2|3.975|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.911|236.911|196.675|196.675|AH-3.5|203.439|203.439|196.675|196.675|AH-3|203.439|203.439|214.264|214.264|AH-2.5|187.517|187.517|214.264|214.264|AH-2|187.517|187.517|228.049|228.049|AH-1.5|178.095|178.095|228.049|228.049||AH1.5|157.678|157.678|273.377|273.377|AH2|157.678|157.678|297.308|297.308|AH2.5|150.682|150.682|297.308|297.308|AH3|150.682|150.682|347.611|347.611|AH3.5|140.386|140.386|347.611|347.611|AH4|140.386|140.386|427.517|427.517|AH4.5|130.533|130.533|427.517|427.517|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-men/fons-van-sambeek-jones-adam-0QVjzIRb/#ah;2;1.50;1","1.5","1.24","3.7","1.24","3.65","","","","","1.24","3.7","","","","","","",""
"FSM","0000044","20241113|080440","20241111_2023304_084239_034756","R04_0_USA_M25 Columbus","Van Sambeek","Jones","|K|0.621887|EK|G||OL1|1.71304|EOL1|OL2|2.7136|EOL2|OH1|1|EOH1|OH2|3.975|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.911|236.911|196.675|196.675|AH-3.5|203.439|203.439|196.675|196.675|AH-3|203.439|203.439|214.264|214.264|AH-2.5|187.517|187.517|214.264|214.264|AH-2|187.517|187.517|228.049|228.049|AH-1.5|178.095|178.095|228.049|228.049||AH1.5|157.678|157.678|273.377|273.377|AH2|157.678|157.678|297.308|297.308|AH2.5|150.682|150.682|297.308|297.308|AH3|150.682|150.682|347.611|347.611|AH3.5|140.386|140.386|347.611|347.611|AH4|140.386|140.386|427.517|427.517|AH4.5|130.533|130.533|427.517|427.517|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-men/fons-van-sambeek-jones-adam-0QVjzIRb/#ah;2;-1.50;1","-1.5","2.24","1.6","2.23","1.58","","","","","2.24","1.6","","","","","","",""
"FSM","0000044","20241113|080431","20241111_2023304_084239_034756","R04_0_USA_M25 Columbus","Van Sambeek","Jones","|K|0.621887|EK|G||OL1|1.71304|EOL1|OL2|2.7136|EOL2|OH1|1|EOH1|OH2|3.975|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|236.911|236.911|196.675|196.675|AH-3.5|203.439|203.439|196.675|196.675|AH-3|203.439|203.439|214.264|214.264|AH-2.5|187.517|187.517|214.264|214.264|AH-2|187.517|187.517|228.049|228.049|AH-1.5|178.095|178.095|228.049|228.049||AH1.5|157.678|157.678|273.377|273.377|AH2|157.678|157.678|297.308|297.308|AH2.5|150.682|150.682|297.308|297.308|AH3|150.682|150.682|347.611|347.611|AH3.5|140.386|140.386|347.611|347.611|AH4|140.386|140.386|427.517|427.517|AH4.5|130.533|130.533|427.517|427.517|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-men/fons-van-sambeek-jones-adam-0QVjzIRb/","","1.54","2.36","1.52","2.37","","","1.54","2.35","1.54","2.37","","","","","","",""
"SM","0000045","20241113|080454","20241111_1942008_068074_029372","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Rublev","|K|0.749271|EK|G||OL1|1.474|EOL1|OL2|4.36905|EOL2|OH1|1.943|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4874|ENAOL1|NAOL2|4.37703|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.24|5.636|1.469|1.952|AH-5|4.24|5.636|1.816|2.413|AH-4|2.733|3.633|2.489|3.308|AH-3.5|1.943|2.582|2.489|3.308|AH-3|1.943|2.582|3.306|4.394|AH-2.5|1.628|2.164|3.306|4.394|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.256|1.665|8.475|11.233|AH3|1.256|1.665|12.403|16.439|AH3.5|1.2|1.59|12.403|16.439|AH4|1.2|1.59|29.962|39.712|AH4.5|1.135|1.505|29.962|39.712|AH5|1.135|1.505|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.23332|7|2.09693|7|EK-1.5||K21|4.06754|7|7.46042|1|EK21||K1.5|1.52|7|12.0302|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-rublev-andrey-0O0yrAon/#ah;2;-2.50;2","-2.5","1.85","2.03","1.78","1.92","","","1.85","1.95","1.85","2.03","","","","","","",""
"SM","0000045","20241113|080456","20241111_1942008_068074_029372","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Rublev","|K|0.749271|EK|G||OL1|1.474|EOL1|OL2|4.36905|EOL2|OH1|1.943|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4874|ENAOL1|NAOL2|4.37703|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.24|5.636|1.469|1.952|AH-5|4.24|5.636|1.816|2.413|AH-4|2.733|3.633|2.489|3.308|AH-3.5|1.943|2.582|2.489|3.308|AH-3|1.943|2.582|3.306|4.394|AH-2.5|1.628|2.164|3.306|4.394|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.256|1.665|8.475|11.233|AH3|1.256|1.665|12.403|16.439|AH3.5|1.2|1.59|12.403|16.439|AH4|1.2|1.59|29.962|39.712|AH4.5|1.135|1.505|29.962|39.712|AH5|1.135|1.505|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.23332|7|2.09693|7|EK-1.5||K21|4.06754|7|7.46042|1|EK21||K1.5|1.52|7|12.0302|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-rublev-andrey-0O0yrAon/#ah;2;-3.50;2","-3.5","2.27","1.68","2.08","1.66","","","2.25","1.64","2.27","1.68","","","","","","",""
"SM","0000045","20241113|080500","20241111_1942008_068074_029372","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Rublev","|K|0.749271|EK|G||OL1|1.474|EOL1|OL2|4.36905|EOL2|OH1|1.943|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4874|ENAOL1|NAOL2|4.37703|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.24|5.636|1.469|1.952|AH-5|4.24|5.636|1.816|2.413|AH-4|2.733|3.633|2.489|3.308|AH-3.5|1.943|2.582|2.489|3.308|AH-3|1.943|2.582|3.306|4.394|AH-2.5|1.628|2.164|3.306|4.394|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.256|1.665|8.475|11.233|AH3|1.256|1.665|12.403|16.439|AH3.5|1.2|1.59|12.403|16.439|AH4|1.2|1.59|29.962|39.712|AH4.5|1.135|1.505|29.962|39.712|AH5|1.135|1.505|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.23332|7|2.09693|7|EK-1.5||K21|4.06754|7|7.46042|1|EK21||K1.5|1.52|7|12.0302|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-rublev-andrey-0O0yrAon/#ah;2;1.50;1","1.5","1.24","4.43","1.21","3.9","","","1.2","4.6","1.24","4.6","","","","","","",""
"SM","0000045","20241113|080458","20241111_1942008_068074_029372","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Rublev","|K|0.749271|EK|G||OL1|1.474|EOL1|OL2|4.36905|EOL2|OH1|1.943|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4874|ENAOL1|NAOL2|4.37703|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.24|5.636|1.469|1.952|AH-5|4.24|5.636|1.816|2.413|AH-4|2.733|3.633|2.489|3.308|AH-3.5|1.943|2.582|2.489|3.308|AH-3|1.943|2.582|3.306|4.394|AH-2.5|1.628|2.164|3.306|4.394|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.256|1.665|8.475|11.233|AH3|1.256|1.665|12.403|16.439|AH3.5|1.2|1.59|12.403|16.439|AH4|1.2|1.59|29.962|39.712|AH4.5|1.135|1.505|29.962|39.712|AH5|1.135|1.505|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.23332|7|2.09693|7|EK-1.5||K21|4.06754|7|7.46042|1|EK21||K1.5|1.52|7|12.0302|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-rublev-andrey-0O0yrAon/#ah;2;-1.50;1","-1.5","2.35","1.65","2.25","1.57","","","2.38","1.58","2.38","1.65","","","","","","",""
"SM","0000045","20241113|080447","20241111_1942008_068074_029372","R08_3_ITA_Nitto ATP Finals - Turin","Alcaraz","Rublev","|K|0.749271|EK|G||OL1|1.474|EOL1|OL2|4.36905|EOL2|OH1|1.943|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4874|ENAOL1|NAOL2|4.37703|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.24|5.636|1.469|1.952|AH-5|4.24|5.636|1.816|2.413|AH-4|2.733|3.633|2.489|3.308|AH-3.5|1.943|2.582|2.489|3.308|AH-3|1.943|2.582|3.306|4.394|AH-2.5|1.628|2.164|3.306|4.394|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1.256|1.665|8.475|11.233|AH3|1.256|1.665|12.403|16.439|AH3.5|1.2|1.59|12.403|16.439|AH4|1.2|1.59|29.962|39.712|AH4.5|1.135|1.505|29.962|39.712|AH5|1.135|1.505|10940|14500|AH5.5|1.094|1.45|10940|14500||EAH||AHS||K-1.5|2.23332|7|2.09693|7|EK-1.5||K21|4.06754|7|7.46042|1|EK21||K1.5|1.52|7|12.0302|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/world/atp-finals-turin/alcaraz-garfia-carlos-rublev-andrey-0O0yrAon/","","1.54","2.62","1.49","2.44","","","1.53","2.55","1.55","2.62","","","","","","",""
