"FSM","0000007","20241201|081011","20241125_2026412_056641_011981","R12_0_TUN_M25 Monastir","Onclin","Giustino","|K|0.658011|EK|G||OL1|1.61728|EOL1|OL2|3.00032|EOL2|OH1|152|EOH1|OH2|4.395|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|229.976|229.976|210.19|210.19|AH-3.5|190.752|190.752|210.19|210.19|AH-3|190.752|190.752|236.602|236.602|AH-2.5|173.205|173.205|236.602|236.602|AH-2|173.205|173.205|261.036|261.036|AH-1.5|162.098|162.098|261.036|261.036||AH1.5|144.986|144.986|322.293|322.293|AH2|144.986|144.986|348.649|348.649|AH2.5|140.217|140.217|348.649|348.649|AH3|140.217|140.217|409.871|409.871|AH3.5|132.272|132.272|409.871|409.871|AH4|132.272|132.272|525.078|525.078|AH4.5|123.525|123.525|525.078|525.078|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m25-monastir-4-men/onclin-gauthier-giustino-lorenzo-lKkW2Ro9/","","","","","","","","1.6","2.22","1.6","2.27","","","","","","",""
"FSM","0000008","20241201|081034","20241125_2026212_104215_084377","R12_0_TUR_M25 Antalya","Budkov Kjaer","Brunold","|K|0.657528|EK|G||OL1|1.62792|EOL1|OL2|2.99008|EOL2|OH1|153|EOH1|OH2|4.38|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|234.953|234.953|197.821|197.821|AH-3.5|202.227|202.227|197.821|197.821|AH-3|202.227|202.227|220.787|220.787|AH-2.5|182.79|182.79|220.787|220.787|AH-2|182.79|182.79|240.844|240.844|AH-1.5|171.001|171.001|240.844|240.844||AH1.5|153.995|153.995|285.204|285.204|AH2|153.995|153.995|300.851|300.851|AH2.5|149.788|149.788|300.851|300.851|AH3|149.788|149.788|327.768|327.768|AH3.5|143.904|143.904|327.768|327.768|AH4|143.904|143.904|396.633|396.633|AH4.5|133.712|133.712|396.633|396.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-6-men/budkov-kjaer-nicolai-brunold-mika-YLW4UcM0/#ah;2;-3.50;2","-3.5","","","1.72","2.0","","","","","1.72","2.0","","","","","","",""
"FSM","0000008","20241201|081036","20241125_2026212_104215_084377","R12_0_TUR_M25 Antalya","Budkov Kjaer","Brunold","|K|0.657528|EK|G||OL1|1.62792|EOL1|OL2|2.99008|EOL2|OH1|153|EOH1|OH2|4.38|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|234.953|234.953|197.821|197.821|AH-3.5|202.227|202.227|197.821|197.821|AH-3|202.227|202.227|220.787|220.787|AH-2.5|182.79|182.79|220.787|220.787|AH-2|182.79|182.79|240.844|240.844|AH-1.5|171.001|171.001|240.844|240.844||AH1.5|153.995|153.995|285.204|285.204|AH2|153.995|153.995|300.851|300.851|AH2.5|149.788|149.788|300.851|300.851|AH3|149.788|149.788|327.768|327.768|AH3.5|143.904|143.904|327.768|327.768|AH4|143.904|143.904|396.633|396.633|AH4.5|133.712|133.712|396.633|396.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-6-men/budkov-kjaer-nicolai-brunold-mika-YLW4UcM0/#ah;2;-4.50;2","-4.5","","","2.05","1.68","","","","","2.05","1.68","","","","","","",""
"FSM","0000008","20241201|081027","20241125_2026212_104215_084377","R12_0_TUR_M25 Antalya","Budkov Kjaer","Brunold","|K|0.657528|EK|G||OL1|1.62792|EOL1|OL2|2.99008|EOL2|OH1|153|EOH1|OH2|4.38|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|234.953|234.953|197.821|197.821|AH-3.5|202.227|202.227|197.821|197.821|AH-3|202.227|202.227|220.787|220.787|AH-2.5|182.79|182.79|220.787|220.787|AH-2|182.79|182.79|240.844|240.844|AH-1.5|171.001|171.001|240.844|240.844||AH1.5|153.995|153.995|285.204|285.204|AH2|153.995|153.995|300.851|300.851|AH2.5|149.788|149.788|300.851|300.851|AH3|149.788|149.788|327.768|327.768|AH3.5|143.904|143.904|327.768|327.768|AH4|143.904|143.904|396.633|396.633|AH4.5|133.712|133.712|396.633|396.633|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-6-men/budkov-kjaer-nicolai-brunold-mika-YLW4UcM0/","","","","1.4","2.7","","","1.4","2.75","1.4","2.75","","","","","","",""
"CSM","0000009","20241201|081054","20241125_2021412_042229_034349","R12_1_CHI_Temuco Challenger","Ugo Carabelli","Habib","|K|0.636305|EK|G||OL1|1.6669|EOL1|OL2|2.92875|EOL2|OH1|158|EOH1|OH2|275|EOH2|EG|NA||NAOL1|1.6669|ENAOL1|NAOL2|3.0525|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.35|221.723|2.27|214.138|AH-2.5|1.989|187.613|2.27|214.138|AH-2|1.989|187.613|2.648|249.837|AH-1.5|1.767|166.739|2.648|249.837||AH1.5|1.589|144.441|3.575|325.016|AH2|1.589|144.441|4.073|370.274|AH2.5|1.507|136.999|4.073|370.274|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.67696|6|1.78986|6|EK-1.5||K21|4.54714|6|8.3003|1|EK21||K1.5|1.54|6|4.85571|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/chile/temuco-challenger-men/ugo-carabelli-camilo-habib-hady-tvAXl7Jj/#ah;2;-1.50;2","-1.5","1.84","2.02","1.78","1.92","","","","","1.84","2.02","","","","","","",""
"CSM","0000009","20241201|081051","20241125_2021412_042229_034349","R12_1_CHI_Temuco Challenger","Ugo Carabelli","Habib","|K|0.636305|EK|G||OL1|1.6669|EOL1|OL2|2.92875|EOL2|OH1|158|EOH1|OH2|275|EOH2|EG|NA||NAOL1|1.6669|ENAOL1|NAOL2|3.0525|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.35|221.723|2.27|214.138|AH-2.5|1.989|187.613|2.27|214.138|AH-2|1.989|187.613|2.648|249.837|AH-1.5|1.767|166.739|2.648|249.837||AH1.5|1.589|144.441|3.575|325.016|AH2|1.589|144.441|4.073|370.274|AH2.5|1.507|136.999|4.073|370.274|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.67696|6|1.78986|6|EK-1.5||K21|4.54714|6|8.3003|1|EK21||K1.5|1.54|6|4.85571|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/chile/temuco-challenger-men/ugo-carabelli-camilo-habib-hady-tvAXl7Jj/#ah;2;-2.50;2","-2.5","2.03","1.83","1.97","1.73","","","","","2.03","1.83","","","","","","",""
"CSM","0000009","20241201|081059","20241125_2021412_042229_034349","R12_1_CHI_Temuco Challenger","Ugo Carabelli","Habib","|K|0.636305|EK|G||OL1|1.6669|EOL1|OL2|2.92875|EOL2|OH1|158|EOH1|OH2|275|EOH2|EG|NA||NAOL1|1.6669|ENAOL1|NAOL2|3.0525|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.35|221.723|2.27|214.138|AH-2.5|1.989|187.613|2.27|214.138|AH-2|1.989|187.613|2.648|249.837|AH-1.5|1.767|166.739|2.648|249.837||AH1.5|1.589|144.441|3.575|325.016|AH2|1.589|144.441|4.073|370.274|AH2.5|1.507|136.999|4.073|370.274|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.67696|6|1.78986|6|EK-1.5||K21|4.54714|6|8.3003|1|EK21||K1.5|1.54|6|4.85571|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/chile/temuco-challenger-men/ugo-carabelli-camilo-habib-hady-tvAXl7Jj/#ah;2;1.50;1","1.5","1.29","3.75","1.26","3.47","","","1.25","3.9","1.29","3.9","","","","","","",""
"CSM","0000009","20241201|081056","20241125_2021412_042229_034349","R12_1_CHI_Temuco Challenger","Ugo Carabelli","Habib","|K|0.636305|EK|G||OL1|1.6669|EOL1|OL2|2.92875|EOL2|OH1|158|EOH1|OH2|275|EOH2|EG|NA||NAOL1|1.6669|ENAOL1|NAOL2|3.0525|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.35|221.723|2.27|214.138|AH-2.5|1.989|187.613|2.27|214.138|AH-2|1.989|187.613|2.648|249.837|AH-1.5|1.767|166.739|2.648|249.837||AH1.5|1.589|144.441|3.575|325.016|AH2|1.589|144.441|4.073|370.274|AH2.5|1.507|136.999|4.073|370.274|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.67696|6|1.78986|6|EK-1.5||K21|4.54714|6|8.3003|1|EK21||K1.5|1.54|6|4.85571|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/chile/temuco-challenger-men/ugo-carabelli-camilo-habib-hady-tvAXl7Jj/#ah;2;-1.50;1","-1.5","2.62","1.52","2.45","1.48","","","","","2.62","1.52","","","","","","",""
"CSM","0000009","20241201|081043","20241125_2021412_042229_034349","R12_1_CHI_Temuco Challenger","Ugo Carabelli","Habib","|K|0.636305|EK|G||OL1|1.6669|EOL1|OL2|2.92875|EOL2|OH1|158|EOH1|OH2|275|EOH2|EG|NA||NAOL1|1.6669|ENAOL1|NAOL2|3.0525|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.35|221.723|2.27|214.138|AH-2.5|1.989|187.613|2.27|214.138|AH-2|1.989|187.613|2.648|249.837|AH-1.5|1.767|166.739|2.648|249.837||AH1.5|1.589|144.441|3.575|325.016|AH2|1.589|144.441|4.073|370.274|AH2.5|1.507|136.999|4.073|370.274|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.67696|6|1.78986|6|EK-1.5||K21|4.54714|6|8.3003|1|EK21||K1.5|1.54|6|4.85571|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/chile/temuco-challenger-men/ugo-carabelli-camilo-habib-hady-tvAXl7Jj/","","1.67","2.27","1.61","2.17","","","1.64","2.23","1.67","2.28","","","","","","",""
"CSM","0000010","20241201|081114","20241125_2021312_063021_013447","R12_1_POR_Maia Challenger","Passaro","Dzumhur","|K|0.504251|EK|G||OL1|2.11935|EOL1|OL2|2.1513|EOL2|OH1|199|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2089|ENAOL1|NAOL2|2.2422|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.805|264.655|1.886|177.884|AH-2.5|2.421|228.396|1.886|177.884|AH-2|2.421|228.396|1.993|188.045|AH-1.5|2.264|213.579|1.993|188.045||AH1.5|2.01|182.708|2.43|220.908|AH2|2.01|182.708|2.629|239.04|AH2.5|1.891|171.922|2.629|239.04|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.56207|6|1.54|6|EK-1.5||K21|5.12224|6|5.34701|6|EK21||K1.5|1.54|6|3.75473|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/maia-challenger-men/passaro-francesco-dzumhur-damir-pYg7p5uB/#ah;2;-0.50;2","-0.5","1.84","2.04","","","","","","","1.84","2.04","","","","","","",""
"CSM","0000010","20241201|081111","20241125_2021312_063021_013447","R12_1_POR_Maia Challenger","Passaro","Dzumhur","|K|0.504251|EK|G||OL1|2.11935|EOL1|OL2|2.1513|EOL2|OH1|199|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.2089|ENAOL1|NAOL2|2.2422|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|2.805|264.655|1.886|177.884|AH-2.5|2.421|228.396|1.886|177.884|AH-2|2.421|228.396|1.993|188.045|AH-1.5|2.264|213.579|1.993|188.045||AH1.5|2.01|182.708|2.43|220.908|AH2|2.01|182.708|2.629|239.04|AH2.5|1.891|171.922|2.629|239.04|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.56207|6|1.54|6|EK-1.5||K21|5.12224|6|5.34701|6|EK21||K1.5|1.54|6|3.75473|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/maia-challenger-men/passaro-francesco-dzumhur-damir-pYg7p5uB/#ah;2;-1.50;2","-1.5","1.97","1.9","","","","","","","1.97","1.9","","","","","","",""
