"DV","0000007","20241227|162405","20250101_1594104_057370_072046","R04_2_AUS_Brisbane International - Brisbane","Kudermetova/Potapova","Xu/Yang","|K|0.781177|EK|G||OL1|1.43|EOL1|OL2|4.74366|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.31838|ENAOL1|NAOL2|5.20066|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-brisbane-doubles/kudermetova-veronika-potapova-anastasia-xu-yi-fan-yang-zhaoxuan-6aKcXCR1/","","","","1.31","3.15","","","","","1.33","3.15","","","","","","",""
"FSM","0000008","20241227|162416","20241223_2030212_059423_095461","R12_0_INA_M15 Bali","Weber","Matsuoka","|K|0.685842|EK|G||OL1|1.55782|EOL1|OL2|3.30165|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/indonesia/itf-m15-bali-4-men/weber-arthur-matsuoka-hayato-YyqaStPE/#ah;2;-4.50;2","-4.5","","","1.8","1.9","","","","","1.8","1.9","","","","","","",""
"FSM","0000008","20241227|162418","20241223_2030212_059423_095461","R12_0_INA_M15 Bali","Weber","Matsuoka","|K|0.685842|EK|G||OL1|1.55782|EOL1|OL2|3.30165|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/indonesia/itf-m15-bali-4-men/weber-arthur-matsuoka-hayato-YyqaStPE/#ah;2;-5.00;2","-5.0","","","2.01","1.71","","","","","2.01","1.71","","","","","","",""
"FSM","0000008","20241227|162408","20241223_2030212_059423_095461","R12_0_INA_M15 Bali","Weber","Matsuoka","|K|0.685842|EK|G||OL1|1.55782|EOL1|OL2|3.30165|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/indonesia/itf-m15-bali-4-men/weber-arthur-matsuoka-hayato-YyqaStPE/","","","","1.27","3.4","","","1.28","3.4","1.28","3.4","","","","","","",""
"FSM","0000009","20241227|162419","20241223_2029205_097360_017972","R05_0_TUR_M15 Antalya","Karol Pio","Agamenone","|K|0.0843997|EK|G||OL1|12.2647|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"SV","0000010","20241227|162431","20250101_1594103_016627_032308","R03_2_AUS_Brisbane International - Brisbane","Hon","Guo","|K|0.74122|EK|G||OL1|1.539|EOL1|OL2|3.9861|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.512|ENAOL1|NAOL2|4.22217|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-brisbane/hon-priscilla-guo-hanyu-QPStvgtH/#ah;2;-4.50;2","-4.5","1.75","2.1","1.63","2.13","","","","","1.75","2.13","","","","","","",""
"SV","0000010","20241227|162429","20250101_1594103_016627_032308","R03_2_AUS_Brisbane International - Brisbane","Hon","Guo","|K|0.74122|EK|G||OL1|1.539|EOL1|OL2|3.9861|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.512|ENAOL1|NAOL2|4.22217|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-brisbane/hon-priscilla-guo-hanyu-QPStvgtH/#ah;2;-5.50;2","-5.5","2.21","1.68","2.02","1.7","","","2.06","1.73","2.21","1.73","","","","","","",""
"SV","0000010","20241227|162434","20250101_1594103_016627_032308","R03_2_AUS_Brisbane International - Brisbane","Hon","Guo","|K|0.74122|EK|G||OL1|1.539|EOL1|OL2|3.9861|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.512|ENAOL1|NAOL2|4.22217|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-brisbane/hon-priscilla-guo-hanyu-QPStvgtH/#ah;2;1.50;1","1.5","1.07","9.78","1.05","7.85","","","1.08","8.5","1.08","9.78","","","","","","",""
"SV","0000010","20241227|162432","20250101_1594103_016627_032308","R03_2_AUS_Brisbane International - Brisbane","Hon","Guo","|K|0.74122|EK|G||OL1|1.539|EOL1|OL2|3.9861|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.512|ENAOL1|NAOL2|4.22217|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-brisbane/hon-priscilla-guo-hanyu-QPStvgtH/#ah;2;-1.50;1","-1.5","1.64","2.29","1.54","2.33","","","1.64","2.2","1.64","2.33","","","","","","",""
"SV","0000010","20241227|162423","20250101_1594103_016627_032308","R03_2_AUS_Brisbane International - Brisbane","Hon","Guo","|K|0.74122|EK|G||OL1|1.539|EOL1|OL2|3.9861|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.512|ENAOL1|NAOL2|4.22217|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-brisbane/hon-priscilla-guo-hanyu-QPStvgtH/","","1.22","4.39","1.19","4.15","","","1.21","4.4","1.22","4.4","","","","","","",""
"FSV","0000011","20241227|162434","20241223_1592109_046151_071777","R09_0_TUR_W15 Antalya","Hodzic","El Aouni","|K|0.485321|EK|G||OL1|2.1321|EOL1|OL2|2.07675|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
