"FSM","0000001","20241230|173518","20241230_2029304_014861_037062","R04_0_INA_M25 Bali","Escoffier","Tamm","|K|0.85256|EK|G||OL1|1.25906|EOL1|OL2|7.02765|EOL2|OH1|118|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"SM","0000002","20241230|173537","20250101_2031105_024225_061838","R05_2_AUS_Brisbane International - Brisbane","Nishioka","Lehecka","|K|0.352831|EK|G||OL1|3.0175|EOL1|OL2|1.79025|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.11548|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/nishioka-yoshihito-lehecka-jiri-UmSe7nv2/#ah;2;3.50;2","3.5","1.67","2.29","","","","","1.7","2.12","1.7","2.29","","","","","","",""
"SM","0000002","20241230|173535","20250101_2031105_024225_061838","R05_2_AUS_Brisbane International - Brisbane","Nishioka","Lehecka","|K|0.352831|EK|G||OL1|3.0175|EOL1|OL2|1.79025|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.11548|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/nishioka-yoshihito-lehecka-jiri-UmSe7nv2/#ah;2;2.50;2","2.5","2.03","1.85","","","","","","","2.03","1.85","","","","","","",""
"SM","0000002","20241230|173541","20250101_2031105_024225_061838","R05_2_AUS_Brisbane International - Brisbane","Nishioka","Lehecka","|K|0.352831|EK|G||OL1|3.0175|EOL1|OL2|1.79025|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.11548|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/nishioka-yoshihito-lehecka-jiri-UmSe7nv2/#ah;2;1.50;1","1.5","1.69","2.27","","","","","1.64","2.23","1.69","2.27","","","","","","",""
"SM","0000002","20241230|173539","20250101_2031105_024225_061838","R05_2_AUS_Brisbane International - Brisbane","Nishioka","Lehecka","|K|0.352831|EK|G||OL1|3.0175|EOL1|OL2|1.79025|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.11548|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/nishioka-yoshihito-lehecka-jiri-UmSe7nv2/#ah;2;-1.50;1","-1.5","4.73","1.22","","","","","5.0","1.18","5.0","1.22","","","","","","",""
"SM","0000002","20241230|173526","20250101_2031105_024225_061838","R05_2_AUS_Brisbane International - Brisbane","Nishioka","Lehecka","|K|0.352831|EK|G||OL1|3.0175|EOL1|OL2|1.79025|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.11548|ENAOL1|NAOL2|1.7205|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane/nishioka-yoshihito-lehecka-jiri-UmSe7nv2/","","2.74","1.51","","","","","2.75","1.45","2.75","1.51","","","","","","",""
"SM","0000003","20241230|173555","20250101_2031105_028267_011953","R05_2_AUS_Brisbane International - Brisbane","Vukic","Dimitrov","|K|0.171206|EK|G||OL1|6.21562|EOL1|OL2|1.39755|EOL2|OH1|1|EOH1|OH2|121|EOH2|EG|NA||NAOL1|6.41745|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/vukic-aleksandar-dimitrov-grigor-bPy8mhmT/#ah;2;4.50;2","4.5","1.6","2.44","","","","","","","1.6","2.44","","","","","","",""
"SM","0000003","20241230|173553","20250101_2031105_028267_011953","R05_2_AUS_Brisbane International - Brisbane","Vukic","Dimitrov","|K|0.171206|EK|G||OL1|6.21562|EOL1|OL2|1.39755|EOL2|OH1|1|EOH1|OH2|121|EOH2|EG|NA||NAOL1|6.41745|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/vukic-aleksandar-dimitrov-grigor-bPy8mhmT/#ah;2;3.50;2","3.5","2.12","1.78","","","","","2.1","1.71","2.12","1.78","","","","","","",""
"SM","0000003","20241230|173558","20250101_2031105_028267_011953","R05_2_AUS_Brisbane International - Brisbane","Vukic","Dimitrov","|K|0.171206|EK|G||OL1|6.21562|EOL1|OL2|1.39755|EOL2|OH1|1|EOH1|OH2|121|EOH2|EG|NA||NAOL1|6.41745|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/vukic-aleksandar-dimitrov-grigor-bPy8mhmT/#ah;2;1.50;1","1.5","2.26","1.69","","","","","2.1","1.72","2.26","1.72","","","","","","",""
"SM","0000003","20241230|173556","20250101_2031105_028267_011953","R05_2_AUS_Brisbane International - Brisbane","Vukic","Dimitrov","|K|0.171206|EK|G||OL1|6.21562|EOL1|OL2|1.39755|EOL2|OH1|1|EOH1|OH2|121|EOH2|EG|NA||NAOL1|6.41745|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/vukic-aleksandar-dimitrov-grigor-bPy8mhmT/#ah;2;-1.50;1","-1.5","9.18","1.09","","","","","8.5","1.08","9.18","1.09","","","","","","",""
"SM","0000003","20241230|173544","20250101_2031105_028267_011953","R05_2_AUS_Brisbane International - Brisbane","Vukic","Dimitrov","|K|0.171206|EK|G||OL1|6.21562|EOL1|OL2|1.39755|EOL2|OH1|1|EOH1|OH2|121|EOH2|EG|NA||NAOL1|6.41745|ENAOL1|NAOL2|1.3431|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane/vukic-aleksandar-dimitrov-grigor-bPy8mhmT/","","4.89","1.21","","","","","4.35","1.22","4.89","1.22","","","","","","",""
