"DV","0000001","20250104|130026","20250101_1594212_098621_095615","R12_2_NZL_ASB Classic - Auckland","Krunic/Santamaria","Jiang/Wu","|K|0.358431|EK|G||OL1|2.89881|EOL1|OL2|1.59073|EOL2|OH1|1|EOH1|OH2|156|EOH2|EG|NA||NAOL1|3.17502|ENAOL1|NAOL2|1.59432|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/new-zealand/wta-auckland-doubles/krunic-aleksandra-santamaria-sabrina-jiang-xinyu-wu-fang-hsien-rkVKzBil/","","2.34","1.6","","","","","","","2.34","1.6","","","","","","",""
"FSM","0000002","20250104|130030","20241230_2029412_053159_078906","R12_0_IND_M25 Indore","Gray","Banerjee","|K|0.526152|EK|G||OL1|2.0437|EOL1|OL2|2.2684|EOL2|OH1|191|EOH1|OH2|212|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-indore-men/gray-alastair-banerjee-samir-dEjsVo4S/","","","","","","","","","","","","","","","","","",""
"SV","0000003","20250104|130053","20250106_1594303_027032_026356","R03_2_AUS_Hobart International - Hobart","Bronzetti","Minnen","|K|0.461777|EK|G||OL1|2.2351|EOL1|OL2|2.1204|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.36747|ENAOL1|NAOL2|2.0832|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-hobart/bronzetti-lucia-minnen-greetje-zH1rUKyP/#ah;2;1.50;2","1.5","1.79","2.05","","","","","1.74","2.04","1.79","2.05","","","","","","",""
"SV","0000003","20250104|130055","20250106_1594303_027032_026356","R03_2_AUS_Hobart International - Hobart","Bronzetti","Minnen","|K|0.461777|EK|G||OL1|2.2351|EOL1|OL2|2.1204|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.36747|ENAOL1|NAOL2|2.0832|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-hobart/bronzetti-lucia-minnen-greetje-zH1rUKyP/#ah;2;0.50;2","0.5","1.9","1.92","","","","","","","1.9","1.92","","","","","","",""
"SV","0000003","20250104|130100","20250106_1594303_027032_026356","R03_2_AUS_Hobart International - Hobart","Bronzetti","Minnen","|K|0.461777|EK|G||OL1|2.2351|EOL1|OL2|2.1204|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.36747|ENAOL1|NAOL2|2.0832|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-hobart/bronzetti-lucia-minnen-greetje-zH1rUKyP/#ah;2;1.50;1","1.5","1.39","3.03","","","","","1.37","3.0","1.39","3.03","","","","","","",""
"SV","0000003","20250104|130057","20250106_1594303_027032_026356","R03_2_AUS_Hobart International - Hobart","Bronzetti","Minnen","|K|0.461777|EK|G||OL1|2.2351|EOL1|OL2|2.1204|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.36747|ENAOL1|NAOL2|2.0832|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-hobart/bronzetti-lucia-minnen-greetje-zH1rUKyP/#ah;2;-1.50;1","-1.5","3.23","1.35","","","","","3.15","1.34","3.23","1.35","","","","","","",""
"SV","0000003","20250104|130046","20250106_1594303_027032_026356","R03_2_AUS_Hobart International - Hobart","Bronzetti","Minnen","|K|0.461777|EK|G||OL1|2.2351|EOL1|OL2|2.1204|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA||NAOL1|2.36747|ENAOL1|NAOL2|2.0832|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-hobart/bronzetti-lucia-minnen-greetje-zH1rUKyP/","","1.94","1.88","","","","","1.93","1.86","1.96","1.88","","","","","","",""
"SV","0000004","20250104|130112","20250106_1594303_006933_008894","R03_2_AUS_Hobart International - Hobart","Rus","Parrizas-Diaz","|K|0.516371|EK|G||OL1|2.2116|EOL1|OL2|2.1321|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.1728|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-hobart/rus-arantxa-parrizas-diaz-nuria-fZaGkJpJ/#ah;2;-0.50;2","-0.5","1.81","2.02","","","","","","","1.81","2.02","","","","","","",""
"SV","0000004","20250104|130110","20250106_1594303_006933_008894","R03_2_AUS_Hobart International - Hobart","Rus","Parrizas-Diaz","|K|0.516371|EK|G||OL1|2.2116|EOL1|OL2|2.1321|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.1728|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-hobart/rus-arantxa-parrizas-diaz-nuria-fZaGkJpJ/#ah;2;-1.50;2","-1.5","1.93","1.89","","","","","1.81","1.96","1.93","1.96","","","","","","",""
"SV","0000004","20250104|130116","20250106_1594303_006933_008894","R03_2_AUS_Hobart International - Hobart","Rus","Parrizas-Diaz","|K|0.516371|EK|G||OL1|2.2116|EOL1|OL2|2.1321|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.1728|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-hobart/rus-arantxa-parrizas-diaz-nuria-fZaGkJpJ/#ah;2;1.50;1","1.5","1.32","3.43","","","","","1.27","3.65","1.32","3.65","","","","","","",""
"SV","0000004","20250104|130114","20250106_1594303_006933_008894","R03_2_AUS_Hobart International - Hobart","Rus","Parrizas-Diaz","|K|0.516371|EK|G||OL1|2.2116|EOL1|OL2|2.1321|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.1728|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-hobart/rus-arantxa-parrizas-diaz-nuria-fZaGkJpJ/#ah;2;-1.50;1","-1.5","2.81","1.44","","","","","2.6","1.47","2.9","1.47","","","","","","",""
