"DM","0000001","20250104|164627","20250101_2031212_037136_113218","R12_2_CHN_Hong Kong Tennis Open - Hong Kong","Khachanov/Rublev","Arends/Johnson","|K|0.506547|EK|G||OL1|2.1582|EOL1|OL2|2.2127|EOL2|OH1|198|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.24532|ENAOL1|NAOL2|2.30202|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/hong-kong/atp-hong-kong-doubles/khachanov-karen-rublev-andrey-arends-sander-johnson-luke-Ikh7mhVG/","","","","","","","","","","1.57","2.44","","","","","","",""
"FSM","0000002","20250104|164630","20241230_2029312_026059_071188","R12_0_INA_M25 Bali","Chung","Hussey","|K|0.496185|EK|G||OL1|2.1614|EOL1|OL2|2.1293|EOL2|OH1|202|EOH1|OH2|199|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/indonesia/itf-m25-bali-3-men/chung-hyeon-hussey-giles-foxxM6ht/","","","","","","","","","","2.29","1.59","","","","","","",""
"SM","0000003","20250104|164652","20250101_2031112_028087_061838","R12_2_AUS_Brisbane International - Brisbane","Opelka","Lehecka","|K|0.403575|EK|G||OL1|2.6288|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.72056|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/opelka-reilly-lehecka-jiri-630iHx84/#ah;2;1.50;2","1.5","","","","","","","1.7","2.12","1.73","2.12","","","","","","",""
"SM","0000003","20250104|164654","20250101_2031112_028087_061838","R12_2_AUS_Brisbane International - Brisbane","Opelka","Lehecka","|K|0.403575|EK|G||OL1|2.6288|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.72056|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/atp-brisbane/opelka-reilly-lehecka-jiri-630iHx84/#ah;2;0.50;2","0.5","","","","","","","","","1.9","1.8","","","","","","",""
"SM","0000003","20250104|164659","20250101_2031112_028087_061838","R12_2_AUS_Brisbane International - Brisbane","Opelka","Lehecka","|K|0.403575|EK|G||OL1|2.6288|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.72056|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/opelka-reilly-lehecka-jiri-630iHx84/#ah;2;1.50;1","1.5","1.44","2.93","","","","","1.37","3.1","1.44","3.1","","","","","","",""
"SM","0000003","20250104|164657","20250101_2031112_028087_061838","R12_2_AUS_Brisbane International - Brisbane","Opelka","Lehecka","|K|0.403575|EK|G||OL1|2.6288|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.72056|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/atp-brisbane/opelka-reilly-lehecka-jiri-630iHx84/#ah;2;-1.50;1","-1.5","3.6","1.32","","","","","3.8","1.26","3.8","1.32","","","","","","",""
"SM","0000003","20250104|164644","20250101_2031112_028087_061838","R12_2_AUS_Brisbane International - Brisbane","Opelka","Lehecka","|K|0.403575|EK|G||OL1|2.6288|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.72056|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/atp-brisbane/opelka-reilly-lehecka-jiri-630iHx84/","","2.13","1.79","","","","","2.07","1.76","2.13","1.83","","","","","","",""
"SV","0000004","20250104|164711","20250106_1594403_004177_014056","R03_2_AUS_Adelaide International - Adelaide","Siegemund","Bencic","|K|0.225355|EK|G||OL1|4.5732|EOL1|OL2|1.482|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.84404|ENAOL1|NAOL2|1.456|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-adelaide/siegemund-laura-bencic-belinda-IPjkwked/#ah;2;6.50;2","6.5","","","","","","","1.26","3.65","1.29","3.65","","","","","","",""
"SV","0000004","20250104|164709","20250106_1594403_004177_014056","R03_2_AUS_Adelaide International - Adelaide","Siegemund","Bencic","|K|0.225355|EK|G||OL1|4.5732|EOL1|OL2|1.482|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.84404|ENAOL1|NAOL2|1.456|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/wta-adelaide/siegemund-laura-bencic-belinda-IPjkwked/#ah;2;4.50;2","4.5","1.84","1.98","","","","","1.81","1.98","1.84","1.98","","","","","","",""
"SV","0000004","20250104|164715","20250106_1594403_004177_014056","R03_2_AUS_Adelaide International - Adelaide","Siegemund","Bencic","|K|0.225355|EK|G||OL1|4.5732|EOL1|OL2|1.482|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.84404|ENAOL1|NAOL2|1.456|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-adelaide/siegemund-laura-bencic-belinda-IPjkwked/#ah;2;1.50;1","1.5","1.92","1.9","","","","","1.87","1.91","1.92","1.91","","","","","","",""
"SV","0000004","20250104|164713","20250106_1594403_004177_014056","R03_2_AUS_Adelaide International - Adelaide","Siegemund","Bencic","|K|0.225355|EK|G||OL1|4.5732|EOL1|OL2|1.482|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.84404|ENAOL1|NAOL2|1.456|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/wta-adelaide/siegemund-laura-bencic-belinda-IPjkwked/#ah;2;-1.50;1","-1.5","6.52","1.12","","","","","6.0","1.14","6.52","1.14","","","","","","",""
"SV","0000004","20250104|164703","20250106_1594403_004177_014056","R03_2_AUS_Adelaide International - Adelaide","Siegemund","Bencic","|K|0.225355|EK|G||OL1|4.5732|EOL1|OL2|1.482|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|4.84404|ENAOL1|NAOL2|1.456|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-adelaide/siegemund-laura-bencic-belinda-IPjkwked/","","3.32","1.34","","","","","3.3","1.33","3.32","1.35","","","","","","",""
