"FSM","0000001","20250112|075556","20250106_2041212_052552_050511","R12_0_ESP_M15 Manacor","Kravchenko","Vives Marcos","|K|0.469872|EK|G||OL1|2.2791|EOL1|OL2|2.0223|EOL2|OH1|213|EOH1|OH2|189|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m15-manacor-men/kravchenko-georgii-vives-marcos-pedro-A9GURgp9/","","","","","","","","","","1.8","1.98","","","","","","",""
"FSM","0000002","20250112|075614","20250106_2040612_021329_087277","R12_0_FRA_M25 Hazebrouck","De Loore","Gea","|K|0.448255|EK|G||OL1|2.26912|EOL1|OL2|1.9474|EOL2|OH1|224|EOH1|OH2|182|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-m25-hazebrouck-men/de-loore-joris-gea-arthur-ngjXRE16/#ah;2;0.50;2","0.5","1.93","1.83","","","","","","","1.93","1.83","","","","","","",""
"FSM","0000002","20250112|075619","20250106_2040612_021329_087277","R12_0_FRA_M25 Hazebrouck","De Loore","Gea","|K|0.448255|EK|G||OL1|2.26912|EOL1|OL2|1.9474|EOL2|OH1|224|EOH1|OH2|182|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-m25-hazebrouck-men/de-loore-joris-gea-arthur-ngjXRE16/#ah;2;1.50;1","1.5","1.4","2.82","","","","","","","1.4","2.82","","","","","","",""
"FSM","0000002","20250112|075617","20250106_2040612_021329_087277","R12_0_FRA_M25 Hazebrouck","De Loore","Gea","|K|0.448255|EK|G||OL1|2.26912|EOL1|OL2|1.9474|EOL2|OH1|224|EOH1|OH2|182|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-m25-hazebrouck-men/de-loore-joris-gea-arthur-ngjXRE16/#ah;2;-1.50;1","-1.5","3.21","1.33","","","","","","","3.21","1.33","","","","","","",""
"FSM","0000002","20250112|075608","20250106_2040612_021329_087277","R12_0_FRA_M25 Hazebrouck","De Loore","Gea","|K|0.448255|EK|G||OL1|2.26912|EOL1|OL2|1.9474|EOL2|OH1|224|EOH1|OH2|182|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/itf-m25-hazebrouck-men/de-loore-joris-gea-arthur-ngjXRE16/","","1.97","1.79","","","","","1.97","1.77","1.97","1.95","","","","","","",""
"FSM","0000004","20250112|075623","20250106_2041112_054365_045938","R12_0_TUN_M15 Monastir","Potenza","Broska","|K|0.404295|EK|G||OL1|2.51224|EOL1|OL2|1.7976|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-men/potenza-luca-broska-florian-xbiqTot3/","","","","","","","","","","1.88","1.88","","","","","","",""
"FSM","0000005","20250112|075637","20250106_2040912_042963_025795","R12_0_TUR_M15 Antalya","Sanchez Jover","Kellovsky","|K|0.783055|EK|G||OL1|1.3696|EOL1|OL2|4.66993|EOL2|OH1|128|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-men/sanchez-jover-carlos-kellovsky-dominik-6kqIH8qd/","","","","","","","","","","1.23","3.97","","","","","","",""
"CSM","0000006","20250112|075658","20250113_2038301_087766_048442","R01_1_POR_Oeiras 2 Challenger","Butvilas","Molleker","|K|0.497941|EK|G||OL1|2.16879|EOL1|OL2|2.158|EOL2|OH1|2.814|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.12055|ENAOL1|NAOL2|2.11|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/butvilas-edas-molleker-rudolf-Mw7eDO5d/#ah;2;0.50;2","0.5","1.79","1.99","","","","","","","1.79","1.99","","","","","","",""
"CSM","0000006","20250112|075703","20250113_2038301_087766_048442","R01_1_POR_Oeiras 2 Challenger","Butvilas","Molleker","|K|0.497941|EK|G||OL1|2.16879|EOL1|OL2|2.158|EOL2|OH1|2.814|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.12055|ENAOL1|NAOL2|2.11|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/butvilas-edas-molleker-rudolf-Mw7eDO5d/#ah;2;1.50;1","1.5","1.36","3.04","","","","","","","1.36","3.04","","","","","","",""
"CSM","0000006","20250112|075701","20250113_2038301_087766_048442","R01_1_POR_Oeiras 2 Challenger","Butvilas","Molleker","|K|0.497941|EK|G||OL1|2.16879|EOL1|OL2|2.158|EOL2|OH1|2.814|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.12055|ENAOL1|NAOL2|2.11|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/butvilas-edas-molleker-rudolf-Mw7eDO5d/#ah;2;-1.50;1","-1.5","3.03","1.37","","","","","","","3.03","1.37","","","","","","",""
"CSM","0000006","20250112|075652","20250113_2038301_087766_048442","R01_1_POR_Oeiras 2 Challenger","Butvilas","Molleker","|K|0.497941|EK|G||OL1|2.16879|EOL1|OL2|2.158|EOL2|OH1|2.814|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.12055|ENAOL1|NAOL2|2.11|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/butvilas-edas-molleker-rudolf-Mw7eDO5d/","","1.86","1.91","","","","","","","1.87","1.91","","","","","","",""
