"FSM","0000043","20250116|082000","20250113_2041404_054365_085308","R04_0_TUN_M15 Monastir","Potenza","Bar Biryukov","|K|0.535837|EK|G||OL1|2.0009|EOL1|OL2|2.3112|EOL2|OH1|187|EOH1|OH2|216|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-2-men/potenza-luca-bar-biryukov-petr-MFjGH4XR/","","","","","","","","","","1.61","2.19","","","","","","",""
"FSM","0000044","20250116|082004","20250113_2041404_084941_067838","R04_0_TUN_M15 Monastir","Sakellaridis","Donnet","|K|0.138412|EK|G||OL1|7.32399|EOL1|OL2|1.2519|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-2-men/dimitris-sakellaridis-donnet-etienne-dWBg8uwH/","","","","","","","","","","5.68","1.11","","","","","","",""
"FSM","0000045","20250116|082017","20250113_2042005_039445_030971","R05_0_TUR_M15 Antalya","Chepelev","Bouquet","|K|0.376864|EK|G||OL1|2.69458|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/chepelev-andrey-bouquet-lucas-bPHjrwTj/#ah;2;5.50;2","5.5","","","","","","","","","1.44","2.6","","","","","","",""
"FSM","0000045","20250116|082015","20250113_2042005_039445_030971","R05_0_TUR_M15 Antalya","Chepelev","Bouquet","|K|0.376864|EK|G||OL1|2.69458|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/chepelev-andrey-bouquet-lucas-bPHjrwTj/#ah;2;3.50;2","3.5","","","","","","","","","1.9","1.8","","","","","","",""
"FSM","0000045","20250116|082021","20250113_2042005_039445_030971","R05_0_TUR_M15 Antalya","Chepelev","Bouquet","|K|0.376864|EK|G||OL1|2.69458|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/chepelev-andrey-bouquet-lucas-bPHjrwTj/#ah;2;1.50;1","1.5","","","","","","","","","1.73","2.0","","","","","","",""
"FSM","0000045","20250116|082019","20250113_2042005_039445_030971","R05_0_TUR_M15 Antalya","Chepelev","Bouquet","|K|0.376864|EK|G||OL1|2.69458|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/chepelev-andrey-bouquet-lucas-bPHjrwTj/#ah;2;-1.50;1","-1.5","","","","","","","","","4.4","1.17","","","","","","",""
"FSM","0000045","20250116|082007","20250113_2042005_039445_030971","R05_0_TUR_M15 Antalya","Chepelev","Bouquet","|K|0.376864|EK|G||OL1|2.69458|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/chepelev-andrey-bouquet-lucas-bPHjrwTj/","","","","","","","","","","2.63","1.43","","","","","","",""
"FSM","0000046","20250116|082024","20250113_2042005_042963_051700","R05_0_TUR_M15 Antalya","Sanchez Jover","Polukhin","|K|0.801069|EK|G||OL1|1.3375|EOL1|OL2|5.09539|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/sanchez-jover-carlos-polukhin-savva-xS0sabgC/","","","","","","","","","","1.17","4.57","","","","","","",""
"FSM","0000047","20250116|082037","20250113_2042005_030743_089396","R05_0_TUR_M15 Antalya","Vasa","Pacheco Mendez","|K|0.237362|EK|G||OL1|4.27486|EOL1|OL2|1.4124|EOL2|OH1|1|EOH1|OH2|132|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/vasa-eero-pacheco-mendez-rodrigo-h2eUVRfM/","","","","","","","","","","2.98","1.35","","","","","","",""
"CSM","0000048","20250116|082103","20250113_2038305_083794_020396","R05_1_POR_Oeiras 2 Challenger","Rocha","Ferreira Silva","|K|0.658153|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/rocha-henrique-silva-frederico-ferreira-zJGkW3nL/#ah;2;-1.50;2","-1.5","1.71","2.16","","","","","","","1.71","2.16","","","","","","",""
"CSM","0000048","20250116|082100","20250113_2038305_083794_020396","R05_1_POR_Oeiras 2 Challenger","Rocha","Ferreira Silva","|K|0.658153|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|2.128|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/portugal/oeiras-2-challenger-men/rocha-henrique-silva-frederico-ferreira-zJGkW3nL/#ah;2;-2.50;2","-2.5","1.88","1.94","","","","","","","1.88","1.94","","","","","","",""
