"FSM","0000013","20250118|124735","20250113_2041810_041083_058606","R10_0_ESP_M15 Manacor","Damas","Nijboer","|K|0.447022|EK|G||OL1|2.26912|EOL1|OL2|1.9367|EOL2|OH1|224|EOH1|OH2|181|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m15-manacor-2-men/damas-miguel-nijboer-ryan-UV41Zr7K/","","","","","","","","","","1.83","1.84","","","","","","",""
"FSM","0000014","20250118|124756","20250113_2041312_069838_050133","R12_0_IND_M25 Chennai","Vanshelboim","Crawford","|K|0.282502|EK|G||OL1|3.58602|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/india/itf-m25-chennai-men/vanshelboim-eric-crawford-oliver-rowPaMyo/#ah;2;5.00;2","5.0","1.52","2.46","","","","","","","1.52","2.46","","","","","","",""
"FSM","0000014","20250118|124754","20250113_2041312_069838_050133","R12_0_IND_M25 Chennai","Vanshelboim","Crawford","|K|0.282502|EK|G||OL1|3.58602|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/india/itf-m25-chennai-men/vanshelboim-eric-crawford-oliver-rowPaMyo/#ah;2;3.50;2","3.5","2.04","1.74","","","","","","","2.04","1.74","","","","","","",""
"FSM","0000014","20250118|124800","20250113_2041312_069838_050133","R12_0_IND_M25 Chennai","Vanshelboim","Crawford","|K|0.282502|EK|G||OL1|3.58602|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/india/itf-m25-chennai-men/vanshelboim-eric-crawford-oliver-rowPaMyo/#ah;2;1.50;1","1.5","1.81","1.95","","","","","","","1.81","1.95","","","","","","",""
"FSM","0000014","20250118|124758","20250113_2041312_069838_050133","R12_0_IND_M25 Chennai","Vanshelboim","Crawford","|K|0.282502|EK|G||OL1|3.58602|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/india/itf-m25-chennai-men/vanshelboim-eric-crawford-oliver-rowPaMyo/#ah;2;-1.50;1","-1.5","5.12","1.15","","","","","","","5.12","1.15","","","","","","",""
"FSM","0000014","20250118|124746","20250113_2041312_069838_050133","R12_0_IND_M25 Chennai","Vanshelboim","Crawford","|K|0.282502|EK|G||OL1|3.58602|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/itf-m25-chennai-men/vanshelboim-eric-crawford-oliver-rowPaMyo/","","2.93","1.38","","","","","","","2.93","1.38","","","","","","",""
"FSM","0000015","20250118|124803","20250113_2042110_079066_065731","R10_0_JAM_M15 Kingston","Martin","Mckennon","|K|0.748629|EK|G||OL1|1.4338|EOL1|OL2|4.03174|EOL2|OH1|134|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/jamaica/itf-m15-kingston-2-men/martin-andres-mckennon-maxwell-zw5kloHk/","","","","","","","","","","1.21","4.08","","","","","","",""
"SV","0000016","20250118|124819","20250113_1594507_044525_045854","R07_4_AUS_Australian Open - Melbourne","Lys","Swiatek","|K|0.000206508|EK|G||OL1|4987.71|EOL1|OL2|1.2|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA||NAOL1|5283.1|ENAOL1|NAOL2|1.1312|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-australian-open/lys-eva-swiatek-iga-6ib5DiyQ/","","21.69","1.03","","","","","13.0","1.03","21.69","1.04","","","","","","",""
"SV","0000017","20250118|124823","20250113_1594507_042098_017503","R07_4_AUS_Australian Open - Melbourne","Navarro","Kasatkina","|K|0.494523|EK|G||OL1|2.3142|EOL1|OL2|2.2572|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2736|ENAOL1|NAOL2|2.2176|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-australian-open/navarro-emma-kasatkina-daria-IVHAiAE6/","","1.94","1.94","","","","","1.9","1.9","1.94","1.94","","","","","","",""
"CSV","0000018","20250118|124835","20250113_1600910_016947_073190","R10_1_FRA_W35 Petit-Bourg","Tan","Ngounoue","|K|0.453795|EK|G||OL1|2.26304|EOL1|OL2|1.97248|EOL2|OH1|2.9835|EOH1|OH2|2.576|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/tan-harmony-ngounoue-clervie-6kJlicQ0/#ah;2;2.50;2","2.5","1.93","1.84","","","","","","","1.93","1.84","","","","","","",""
"CSV","0000018","20250118|124838","20250113_1600910_016947_073190","R10_1_FRA_W35 Petit-Bourg","Tan","Ngounoue","|K|0.453795|EK|G||OL1|2.26304|EOL1|OL2|1.97248|EOL2|OH1|2.9835|EOH1|OH2|2.576|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/tan-harmony-ngounoue-clervie-6kJlicQ0/#ah;2;1.50;1","1.5","1.56","2.38","","","","","","","1.56","2.38","","","","","","",""
"CSV","0000018","20250118|124836","20250113_1600910_016947_073190","R10_1_FRA_W35 Petit-Bourg","Tan","Ngounoue","|K|0.453795|EK|G||OL1|2.26304|EOL1|OL2|1.97248|EOL2|OH1|2.9835|EOH1|OH2|2.576|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/tan-harmony-ngounoue-clervie-6kJlicQ0/#ah;2;-1.50;1","-1.5","3.76","1.26","","","","","","","3.76","1.26","","","","","","",""
"CSV","0000018","20250118|124826","20250113_1600910_016947_073190","R10_1_FRA_W35 Petit-Bourg","Tan","Ngounoue","|K|0.453795|EK|G||OL1|2.26304|EOL1|OL2|1.97248|EOL2|OH1|2.9835|EOH1|OH2|2.576|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/tan-harmony-ngounoue-clervie-6kJlicQ0/","","2.28","1.61","","","","","","","2.3","1.61","","","","","","",""
