"FSM","0000007","20250119|083408","20250113_2042012_042963_085862","R12_0_TUR_M15 Antalya","Sanchez Jover","Feldbausch","|K|0.489123|EK|G||OL1|2.1935|EOL1|OL2|2.0972|EOL2|OH1|205|EOH1|OH2|196|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-2-men/sanchez-jover-carlos-feldbausch-kilian-Shyu3D4b/","","","","","","","","1.55","2.3","1.7","2.3","","","","","","",""
"CSM","0000008","20250119|083432","20250113_2038512_080391_026153","R12_1_ARG_Buenos Aires Challenger","Vallejo","Varillas","|K|0.374026|EK|G||OL1|2.85688|EOL1|OL2|1.7264|EOL2|OH1|268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.9748|ENAOL1|NAOL2|1.688|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/argentina/buenos-aires-2-challenger-men/vallejo-daniel-varillas-juan-pablo-hl0hiryq/#ah;2;3.50;2","3.5","1.74","2.16","","","","","","","1.74","2.16","","","","","","",""
"CSM","0000008","20250119|083430","20250113_2038512_080391_026153","R12_1_ARG_Buenos Aires Challenger","Vallejo","Varillas","|K|0.374026|EK|G||OL1|2.85688|EOL1|OL2|1.7264|EOL2|OH1|268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.9748|ENAOL1|NAOL2|1.688|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/argentina/buenos-aires-2-challenger-men/vallejo-daniel-varillas-juan-pablo-hl0hiryq/#ah;2;2.50;2","2.5","1.96","1.89","","","","","1.86","1.9","1.96","1.9","","","","","","",""
"CSM","0000008","20250119|083435","20250113_2038512_080391_026153","R12_1_ARG_Buenos Aires Challenger","Vallejo","Varillas","|K|0.374026|EK|G||OL1|2.85688|EOL1|OL2|1.7264|EOL2|OH1|268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.9748|ENAOL1|NAOL2|1.688|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/argentina/buenos-aires-2-challenger-men/vallejo-daniel-varillas-juan-pablo-hl0hiryq/#ah;2;1.50;1","1.5","1.56","2.52","","","","","1.5","2.55","1.56","2.55","","","","","","",""
"CSM","0000008","20250119|083434","20250113_2038512_080391_026153","R12_1_ARG_Buenos Aires Challenger","Vallejo","Varillas","|K|0.374026|EK|G||OL1|2.85688|EOL1|OL2|1.7264|EOL2|OH1|268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.9748|ENAOL1|NAOL2|1.688|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/argentina/buenos-aires-2-challenger-men/vallejo-daniel-varillas-juan-pablo-hl0hiryq/#ah;2;-1.50;1","-1.5","4.22","1.25","","","","","3.9","1.25","4.22","1.25","","","","","","",""
"CSM","0000008","20250119|083422","20250113_2038512_080391_026153","R12_1_ARG_Buenos Aires Challenger","Vallejo","Varillas","|K|0.374026|EK|G||OL1|2.85688|EOL1|OL2|1.7264|EOL2|OH1|268|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.9748|ENAOL1|NAOL2|1.688|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/argentina/buenos-aires-2-challenger-men/vallejo-daniel-varillas-juan-pablo-hl0hiryq/","","2.36","1.63","","","","","2.28","1.61","2.36","1.63","","","","","","",""
"CSV","0000009","20250119|083449","20250113_1600712_052398_014387","R12_1_ARG_W35 Buenos Aires","Ortenzi","Alves","|K|0.651341|EK|G||OL1|1.65088|EOL1|OL2|2.93888|EOL2|OH1|2.156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-w35-buenos-aires-women/ortenzi-jasmin-alves-carolina-fg0heixH/#ah;2;-2.50;2","-2.5","1.76","2.03","","","","","","","1.76","2.03","","","","","","",""
"CSV","0000009","20250119|083447","20250113_1600712_052398_014387","R12_1_ARG_W35 Buenos Aires","Ortenzi","Alves","|K|0.651341|EK|G||OL1|1.65088|EOL1|OL2|2.93888|EOL2|OH1|2.156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-w35-buenos-aires-women/ortenzi-jasmin-alves-carolina-fg0heixH/#ah;2;-3.00;2","-3.0","1.85","1.93","","","","","","","1.85","1.93","","","","","","",""
"CSV","0000009","20250119|083452","20250113_1600712_052398_014387","R12_1_ARG_W35 Buenos Aires","Ortenzi","Alves","|K|0.651341|EK|G||OL1|1.65088|EOL1|OL2|2.93888|EOL2|OH1|2.156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-w35-buenos-aires-women/ortenzi-jasmin-alves-carolina-fg0heixH/#ah;2;1.50;1","1.5","1.23","4.08","","","","","","","1.23","4.08","","","","","","",""
"CSV","0000009","20250119|083450","20250113_1600712_052398_014387","R12_1_ARG_W35 Buenos Aires","Ortenzi","Alves","|K|0.651341|EK|G||OL1|1.65088|EOL1|OL2|2.93888|EOL2|OH1|2.156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-w35-buenos-aires-women/ortenzi-jasmin-alves-carolina-fg0heixH/#ah;2;-1.50;1","-1.5","2.29","1.6","","","","","","","2.29","1.6","","","","","","",""
"CSV","0000009","20250119|083439","20250113_1600712_052398_014387","R12_1_ARG_W35 Buenos Aires","Ortenzi","Alves","|K|0.651341|EK|G||OL1|1.65088|EOL1|OL2|2.93888|EOL2|OH1|2.156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-w35-buenos-aires-women/ortenzi-jasmin-alves-carolina-fg0heixH/","","1.53","2.45","","","","","1.55","2.3","1.55","2.45","","","","","","",""
"CSV","0000010","20250119|083504","20250113_1600912_074280_073190","R12_1_FRA_W35 Petit-Bourg","Mboko","Ngounoue","|K|0.69253|EK|G||OL1|1.5544|EOL1|OL2|3.33824|EOL2|OH1|2.03|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/mboko-victoria-ngounoue-clervie-pMw8ipy8/#ah;2;-2.50;2","-2.5","1.75","2.04","","","","","","","1.75","2.04","","","","","","",""
"CSV","0000010","20250119|083505","20250113_1600912_074280_073190","R12_1_FRA_W35 Petit-Bourg","Mboko","Ngounoue","|K|0.69253|EK|G||OL1|1.5544|EOL1|OL2|3.33824|EOL2|OH1|2.03|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-w35-petit-bourg-women/mboko-victoria-ngounoue-clervie-pMw8ipy8/#ah;2;-3.50;2","-3.5","1.97","1.81","","","","","","","1.97","1.81","","","","","","",""
