"FSM","0000025","20250122|082050","20250120_2042604_076148_096542","R04_0_TUN_M15 Monastir","Ehrenschneider","Ivanov","|K|0.844107|EK|G||OL1|1.2733|EOL1|OL2|6.50346|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-3-men/ehrenschneider-nino-ivanov-saveliy-AR9rk9f3/","","","","","","","","","","1.22","3.75","","","","","","",""
"FSM","0000026","20250122|082054","20250120_2042604_066500_071357","R04_0_TUN_M15 Monastir","Hamza Reguig","Cuenin","|K|0.228426|EK|G||OL1|4.43694|EOL1|OL2|1.391|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-3-men/hamza-reguig-samir-cuenin-sean-AkhVu5Hk/","","","","","","","","","","3.75","1.22","","","","","","",""
"FSM","0000027","20250122|082054","20250120_2042604_102640_036257","R04_0_TUN_M15 Monastir","Teodor Pieleanu","Orlov","|K|0.24631|EK|G||OL1|4.11278|EOL1|OL2|1.4231|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000028","20250122|082057","20250120_2043004_086916_077835","R04_0_TUR_M15 Antalya","Maksimovic","Hallquist Lithen","|K|0.616882|EK|G||OL1|1.7441|EOL1|OL2|2.65406|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/maksimovic-marko-hallquist-lithen-john-2e90qV4b/","","","","","","","","","","1.65","2.05","","","","","","",""
"CSM","0000029","20250122|082107","20250120_2038704_009833_025165","R04_1_FRA_Quimper Challenger","Berankis","Coric","|K|0.27988|EK|G||OL1|3.81628|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1.946|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/berankis-ricardas-coric-borna-W6woZvrp/#ah;2;3.50;2","3.5","1.73","2.13","","","","","","","1.73","2.13","","","","","","",""
"CSM","0000029","20250122|082109","20250120_2038704_009833_025165","R04_1_FRA_Quimper Challenger","Berankis","Coric","|K|0.27988|EK|G||OL1|3.81628|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1.946|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/berankis-ricardas-coric-borna-W6woZvrp/#ah;2;2.50;2","2.5","2.07","1.78","","","","","","","2.07","1.78","","","","","","",""
"CSM","0000029","20250122|082113","20250120_2038704_009833_025165","R04_1_FRA_Quimper Challenger","Berankis","Coric","|K|0.27988|EK|G||OL1|3.81628|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1.946|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/berankis-ricardas-coric-borna-W6woZvrp/#ah;2;1.50;1","1.5","1.72","2.15","","","","","","","1.72","2.15","","","","","","",""
"CSM","0000029","20250122|082111","20250120_2038704_009833_025165","R04_1_FRA_Quimper Challenger","Berankis","Coric","|K|0.27988|EK|G||OL1|3.81628|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1.946|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/berankis-ricardas-coric-borna-W6woZvrp/#ah;2;-1.50;1","-1.5","5.16","1.17","","","","","","","5.16","1.17","","","","","","",""
"CSM","0000029","20250122|082100","20250120_2038704_009833_025165","R04_1_FRA_Quimper Challenger","Berankis","Coric","|K|0.27988|EK|G||OL1|3.81628|EOL1|OL2|1.49981|EOL2|OH1|1|EOH1|OH2|1.946|EOH2|EG|NA||NAOL1|3.9738|ENAOL1|NAOL2|1.46645|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/quimper-challenger-men/berankis-ricardas-coric-borna-W6woZvrp/","","2.75","1.46","","","","","2.85","1.4","2.85","1.47","","","","","","",""
"CSM","0000030","20250122|082126","20250120_2038704_084377_083554","R04_1_FRA_Quimper Challenger","Brunold","Gueymard Wayenburg","|K|0.512592|EK|G||OL1|2.11484|EOL1|OL2|2.22274|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0678|ENAOL1|NAOL2|2.1733|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/brunold-mika-gueymard-wayenburg-sascha-IaJueM43/#ah;2;-1.50;2","-1.5","1.72","2.14","","","","","","","1.72","2.14","","","","","","",""
"CSM","0000030","20250122|082125","20250120_2038704_084377_083554","R04_1_FRA_Quimper Challenger","Brunold","Gueymard Wayenburg","|K|0.512592|EK|G||OL1|2.11484|EOL1|OL2|2.22274|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0678|ENAOL1|NAOL2|2.1733|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/brunold-mika-gueymard-wayenburg-sascha-IaJueM43/#ah;2;-2.50;2","-2.5","1.89","1.93","","","","","","","1.89","1.93","","","","","","",""
"CSM","0000030","20250122|082130","20250120_2038704_084377_083554","R04_1_FRA_Quimper Challenger","Brunold","Gueymard Wayenburg","|K|0.512592|EK|G||OL1|2.11484|EOL1|OL2|2.22274|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0678|ENAOL1|NAOL2|2.1733|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/brunold-mika-gueymard-wayenburg-sascha-IaJueM43/#ah;2;1.50;1","1.5","1.24","4.18","","","","","","","1.24","4.18","","","","","","",""
"CSM","0000030","20250122|082128","20250120_2038704_084377_083554","R04_1_FRA_Quimper Challenger","Brunold","Gueymard Wayenburg","|K|0.512592|EK|G||OL1|2.11484|EOL1|OL2|2.22274|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0678|ENAOL1|NAOL2|2.1733|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/brunold-mika-gueymard-wayenburg-sascha-IaJueM43/#ah;2;-1.50;1","-1.5","2.38","1.6","","","","","","","2.38","1.6","","","","","","",""
"CSM","0000030","20250122|082116","20250120_2038704_084377_083554","R04_1_FRA_Quimper Challenger","Brunold","Gueymard Wayenburg","|K|0.512592|EK|G||OL1|2.11484|EOL1|OL2|2.22274|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.0678|ENAOL1|NAOL2|2.1733|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/quimper-challenger-men/brunold-mika-gueymard-wayenburg-sascha-IaJueM43/","","1.57","2.43","","","","","","","1.57","2.43","","","","","","",""
