"FSM","0000025","20250124|082019","20250120_2042609_100225_056891","R09_0_TUN_M15 Monastir","Ribecai","Paroulek","|K|0.297676|EK|G||OL1|3.40368|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-3-men/ribecai-michele-paroulek-tadeas-zTcHf69t/","","","","","","","","","","4.46","1.17","","","","","","",""
"FSM","0000026","20250124|082041","20250120_2043009_061537_056420","R09_0_TUR_M15 Antalya","Ionel","Krutykh","|K|0.458567|EK|G||OL1|2.3433|EOL1|OL2|1.9795|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/ionel-nicholas-david-krutykh-oleksii-0YNYLCem/#ah;2;0.50;2","0.5","","","","","","","","","1.8","1.9","","","","","","",""
"FSM","0000026","20250124|082043","20250120_2043009_061537_056420","R09_0_TUR_M15 Antalya","Ionel","Krutykh","|K|0.458567|EK|G||OL1|2.3433|EOL1|OL2|1.9795|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/ionel-nicholas-david-krutykh-oleksii-0YNYLCem/#ah;2;-0.50;2","-0.5","","","","","","","","","1.9","1.8","","","","","","",""
"FSM","0000026","20250124|082046","20250120_2043009_061537_056420","R09_0_TUR_M15 Antalya","Ionel","Krutykh","|K|0.458567|EK|G||OL1|2.3433|EOL1|OL2|1.9795|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/ionel-nicholas-david-krutykh-oleksii-0YNYLCem/#ah;2;1.50;1","1.5","","","","","","","","","1.36","2.9","","","","","","",""
"FSM","0000026","20250124|082044","20250120_2043009_061537_056420","R09_0_TUR_M15 Antalya","Ionel","Krutykh","|K|0.458567|EK|G||OL1|2.3433|EOL1|OL2|1.9795|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/ionel-nicholas-david-krutykh-oleksii-0YNYLCem/#ah;2;-1.50;1","-1.5","","","","","","","","","2.8","1.38","","","","","","",""
"FSM","0000026","20250124|082035","20250120_2043009_061537_056420","R09_0_TUR_M15 Antalya","Ionel","Krutykh","|K|0.458567|EK|G||OL1|2.3433|EOL1|OL2|1.9795|EOL2|OH1|219|EOH1|OH2|185|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/ionel-nicholas-david-krutykh-oleksii-0YNYLCem/","","","","","","","","1.85","1.85","1.85","1.88","","","","","","",""
"FSM","0000027","20250124|082049","20250120_2043009_086545_085862","R09_0_TUR_M15 Antalya","Pennaforti","Feldbausch","|K|0.231637|EK|G||OL1|4.37616|EOL1|OL2|1.4017|EOL2|OH1|1|EOH1|OH2|131|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/pennaforti-gabriele-feldbausch-kilian-4h1pxjZG/","","","","","","","","4.2","1.19","4.2","1.21","","","","","","",""
"FSM","0000028","20250124|082102","20250120_2043009_086619_089396","R09_0_TUR_M15 Antalya","Piraino","Pacheco Mendez","|K|0.441711|EK|G||OL1|2.29951|EOL1|OL2|1.926|EOL2|OH1|227|EOH1|OH2|180|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-3-men/piraino-gabriele-pacheco-mendez-rodrigo-jqWejF6e/","","","","","","","","1.9","1.8","1.9","1.8","","","","","","",""
"CSM","0000029","20250124|082123","20250120_2038709_083554_024084","R09_1_FRA_Quimper Challenger","Gueymard Wayenburg","Djere","|K|0.341998|EK|G||OL1|3.12338|EOL1|OL2|1.64008|EOL2|OH1|293|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2523|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/gueymard-wayenburg-sascha-djere-laslo-M5ZKl2Vj/#ah;2;3.50;2","3.5","1.92","1.95","","","","","1.9","1.86","1.92","1.95","","","","","","",""
"CSM","0000029","20250124|082125","20250120_2038709_083554_024084","R09_1_FRA_Quimper Challenger","Gueymard Wayenburg","Djere","|K|0.341998|EK|G||OL1|3.12338|EOL1|OL2|1.64008|EOL2|OH1|293|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2523|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/gueymard-wayenburg-sascha-djere-laslo-M5ZKl2Vj/#ah;2;2.50;2","2.5","2.35","1.65","","","","","","","2.35","1.65","","","","","","",""
"CSM","0000029","20250124|082128","20250120_2038709_083554_024084","R09_1_FRA_Quimper Challenger","Gueymard Wayenburg","Djere","|K|0.341998|EK|G||OL1|3.12338|EOL1|OL2|1.64008|EOL2|OH1|293|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2523|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/gueymard-wayenburg-sascha-djere-laslo-M5ZKl2Vj/#ah;2;1.50;1","1.5","1.83","2.05","","","","","1.76","2.02","1.83","2.05","","","","","","",""
"CSM","0000029","20250124|082127","20250120_2038709_083554_024084","R09_1_FRA_Quimper Challenger","Gueymard Wayenburg","Djere","|K|0.341998|EK|G||OL1|3.12338|EOL1|OL2|1.64008|EOL2|OH1|293|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2523|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/gueymard-wayenburg-sascha-djere-laslo-M5ZKl2Vj/#ah;2;-1.50;1","-1.5","6.23","1.15","","","","","5.75","1.14","6.23","1.15","","","","","","",""
"CSM","0000029","20250124|082115","20250120_2038709_083554_024084","R09_1_FRA_Quimper Challenger","Gueymard Wayenburg","Djere","|K|0.341998|EK|G||OL1|3.12338|EOL1|OL2|1.64008|EOL2|OH1|293|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2523|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/quimper-challenger-men/gueymard-wayenburg-sascha-djere-laslo-M5ZKl2Vj/","","3.15","1.4","","","","","3.1","1.36","3.2","1.4","","","","","","",""
"CSM","0000030","20250124|082139","20250120_2038709_028904_035323","R09_1_FRA_Quimper Challenger","Sachko","Martineau","|K|0.450696|EK|G||OL1|2.36652|EOL1|OL2|1.97457|EOL2|OH1|222|EOH1|OH2|2.562|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|1.93065|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/sachko-vitaliy-martineau-matteo-dW5fScBj/#ah;2;2.50;2","2.5","1.84","2.04","","","","","1.78","1.98","1.84","2.04","","","","","","",""
"CSM","0000030","20250124|082145","20250120_2038709_028904_035323","R09_1_FRA_Quimper Challenger","Sachko","Martineau","|K|0.450696|EK|G||OL1|2.36652|EOL1|OL2|1.97457|EOL2|OH1|222|EOH1|OH2|2.562|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|1.93065|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/sachko-vitaliy-martineau-matteo-dW5fScBj/#ah;2;1.50;1","1.5","1.58","2.5","","","","","1.49","2.55","1.58","2.55","","","","","","",""
"CSM","0000030","20250124|082143","20250120_2038709_028904_035323","R09_1_FRA_Quimper Challenger","Sachko","Martineau","|K|0.450696|EK|G||OL1|2.36652|EOL1|OL2|1.97457|EOL2|OH1|222|EOH1|OH2|2.562|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|1.93065|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/sachko-vitaliy-martineau-matteo-dW5fScBj/#ah;2;-1.50;1","-1.5","4.08","1.27","","","","","4.1","1.23","4.1","1.27","","","","","","",""
"CSM","0000030","20250124|082132","20250120_2038709_028904_035323","R09_1_FRA_Quimper Challenger","Sachko","Martineau","|K|0.450696|EK|G||OL1|2.36652|EOL1|OL2|1.97457|EOL2|OH1|222|EOH1|OH2|2.562|EOH2|EG|NA||NAOL1|2.4642|ENAOL1|NAOL2|1.93065|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/quimper-challenger-men/sachko-vitaliy-martineau-matteo-dW5fScBj/","","2.32","1.66","","","","","2.3","1.6","2.32","1.66","","","","","","",""
