"CDM","0000007","20250124|123110","20250120_2038610_117009_091389","R10_1_POR_Oeiras 3 Challenger","Cervantes/Martinez","Draxl/Harper","|K|0.350534|EK|G||OL1|2.91434|EOL1|OL2|1.5631|EOL2|OH1|286|EOH1|OH2|154|EOH2|EG|NA||NAOL1|2.9887|ENAOL1|NAOL2|1.6786|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-5-challenger-men-doubles/cervantes-huegun-inigo-martinez-luis-david-draxl-liam-harper-cleeve-EFxJhu75/","","","","","","","","","","2.35","1.57","","","","","","",""
"CDM","0000008","20250124|123113","20250120_2038610_019272_117008","R10_1_POR_Oeiras 3 Challenger","Middelkoop/Molchanov","Liutarevich/Veldheer","|K|0.59053|EK|G||OL1|1.7255|EOL1|OL2|2.49655|EOL2|OH1|170|EOH1|OH2|245|EOH2|EG|NA||NAOL1|1.853|ENAOL1|NAOL2|2.56025|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/portugal/oeiras-5-challenger-men-doubles/middelkoop-matwe-molchanov-denys-liutarevich-ivan-veldheer-mick-YHhKjJyI/","","","","","","","","","","1.52","2.46","","","","","","",""
"DV","0000009","20250124|123117","20250113_1594512_093781_098665","R12_4_AUS_Australian Open - Melbourne","Siniakova/Townsend","Hsieh/Ostapenko","|K|0.67294|EK|G||OL1|1.51935|EOL1|OL2|3.17934|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.52278|ENAOL1|NAOL2|3.48228|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/wta-australian-open-doubles/siniakova-katerina-townsend-taylor-hsieh-su-wei-ostapenko-jelena-dYUXsdNj/","","","","","","","","","","1.54","2.33","","","","","","",""
"FSM","0000010","20250124|123120","20250120_2042709_018648_091543","R09_0_CHI_M15 Santiago","Kicker","Cavallo","|K|0.881175|EK|G||OL1|1.2198|EOL1|OL2|8.52946|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-2-men/kicker-nicolas-cavallo-fernando-p8nwYy1e/","","","","","","","","","","1.09","5.75","","","","","","",""
"CSM","0000011","20250124|123146","20250120_2038709_081189_009833","R09_1_FRA_Quimper Challenger","Moller","Berankis","|K|0.605628|EK|G||OL1|1.79114|EOL1|OL2|2.70764|EOL2|OH1|2.324|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8194|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/moeller-elmer-berankis-ricardas-hQNALghT/#ah;2;-0.50;2","-0.5","1.93","1.92","","","","","","","1.93","1.92","","","","","","",""
"CSM","0000011","20250124|123144","20250120_2038709_081189_009833","R09_1_FRA_Quimper Challenger","Moller","Berankis","|K|0.605628|EK|G||OL1|1.79114|EOL1|OL2|2.70764|EOL2|OH1|2.324|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8194|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/quimper-challenger-men/moeller-elmer-berankis-ricardas-hQNALghT/#ah;2;-1.50;2","-1.5","2.07","1.8","","","","","2.04","1.74","2.07","1.8","","","","","","",""
"CSM","0000011","20250124|123150","20250120_2038709_081189_009833","R09_1_FRA_Quimper Challenger","Moller","Berankis","|K|0.605628|EK|G||OL1|1.79114|EOL1|OL2|2.70764|EOL2|OH1|2.324|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8194|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/moeller-elmer-berankis-ricardas-hQNALghT/#ah;2;1.50;1","1.5","1.35","3.34","","","","","1.35","3.1","1.35","3.34","","","","","","",""
"CSM","0000011","20250124|123148","20250120_2038709_081189_009833","R09_1_FRA_Quimper Challenger","Moller","Berankis","|K|0.605628|EK|G||OL1|1.79114|EOL1|OL2|2.70764|EOL2|OH1|2.324|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8194|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/quimper-challenger-men/moeller-elmer-berankis-ricardas-hQNALghT/#ah;2;-1.50;1","-1.5","3.03","1.41","","","","","3.15","1.34","3.15","1.41","","","","","","",""
"CSM","0000011","20250124|123136","20250120_2038709_081189_009833","R09_1_FRA_Quimper Challenger","Moller","Berankis","|K|0.605628|EK|G||OL1|1.79114|EOL1|OL2|2.70764|EOL2|OH1|2.324|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7513|ENAOL1|NAOL2|2.8194|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/quimper-challenger-men/moeller-elmer-berankis-ricardas-hQNALghT/","","1.92","1.93","","","","","1.9","1.88","1.92","2.02","","","","","","",""
"CSM","0000012","20250124|123201","20250120_2038809_012653_029665","R09_1_URU_Punta Del Este Challenger","Trungelliti","Taberner","|K|0.523762|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|2.674|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/trungelliti-marco-taberner-carlos-YJHc6HmI/#ah;2;0.50;2","0.5","1.86","2.0","","","","","","","1.86","2.0","","","","","","",""
"CSM","0000012","20250124|123202","20250120_2038809_012653_029665","R09_1_URU_Punta Del Este Challenger","Trungelliti","Taberner","|K|0.523762|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|2.674|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/trungelliti-marco-taberner-carlos-YJHc6HmI/#ah;2;-0.50;2","-0.5","1.98","1.88","","","","","","","1.98","1.88","","","","","","",""
"CSM","0000012","20250124|123206","20250120_2038809_012653_029665","R09_1_URU_Punta Del Este Challenger","Trungelliti","Taberner","|K|0.523762|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|2.674|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/trungelliti-marco-taberner-carlos-YJHc6HmI/#ah;2;1.50;1","1.5","1.39","3.13","","","","","1.33","3.2","1.39","3.2","","","","","","",""
"CSM","0000012","20250124|123204","20250120_2038809_012653_029665","R09_1_URU_Punta Del Este Challenger","Trungelliti","Taberner","|K|0.523762|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|2.674|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/trungelliti-marco-taberner-carlos-YJHc6HmI/#ah;2;-1.50;1","-1.5","3.17","1.38","","","","","3.05","1.36","3.17","1.38","","","","","","",""
"CSM","0000012","20250124|123154","20250120_2038809_012653_029665","R09_1_URU_Punta Del Este Challenger","Trungelliti","Taberner","|K|0.523762|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|2.674|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/punta-del-este-challenger-men/trungelliti-marco-taberner-carlos-YJHc6HmI/","","1.93","1.93","","","","","1.85","1.93","1.93","1.93","","","","","","",""
