"FSM","0000019","20250129|081114","20250127_2043404_092649_102841","R04_0_TUN_M15 Monastir","Pereira","Mazzola","|K|0.944681|EK|G||OL1|1.18|EOL1|OL2|18.315|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-4-men/tiago-pereira-mazzola-filippo-6LNd8BLM/","","","","","","","","","","1.1","5.87","","","","","","",""
"FSM","0000020","20250129|081114","20250127_2043804_025795_099740","R04_0_TUR_M25 Antalya","Kellovsky","Gretskiy","|K|0.841168|EK|G||OL1|1.2733|EOL1|OL2|6.3819|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"SM","0000022","20250129|081127","20250127_2031705_061667_019474","R05_2_FRA_Open Occitanie - Montpellier","Bu","Lestienne","|K|0.384376|EK|G||OL1|2.7666|EOL1|OL2|1.8908|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.86317|ENAOL1|NAOL2|1.8093|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/yunchaokete-bu-lestienne-constant-pz9LMNhM/#ah;2;-0.50;2","-0.5","1.86","2.02","","","","","","","1.86","2.02","","","","","","",""
"SM","0000022","20250129|081125","20250127_2031705_061667_019474","R05_2_FRA_Open Occitanie - Montpellier","Bu","Lestienne","|K|0.384376|EK|G||OL1|2.7666|EOL1|OL2|1.8908|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.86317|ENAOL1|NAOL2|1.8093|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-montpellier/yunchaokete-bu-lestienne-constant-pz9LMNhM/#ah;2;-1.50;2","-1.5","2.02","1.86","","","","","1.93","1.85","2.02","1.86","","","","","","",""
"SM","0000022","20250129|081130","20250127_2031705_061667_019474","R05_2_FRA_Open Occitanie - Montpellier","Bu","Lestienne","|K|0.384376|EK|G||OL1|2.7666|EOL1|OL2|1.8908|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.86317|ENAOL1|NAOL2|1.8093|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/yunchaokete-bu-lestienne-constant-pz9LMNhM/#ah;2;1.50;1","1.5","1.33","3.55","","","","","1.29","3.55","1.33","3.55","","","","","","",""
"SM","0000022","20250129|081128","20250127_2031705_061667_019474","R05_2_FRA_Open Occitanie - Montpellier","Bu","Lestienne","|K|0.384376|EK|G||OL1|2.7666|EOL1|OL2|1.8908|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.86317|ENAOL1|NAOL2|1.8093|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-montpellier/yunchaokete-bu-lestienne-constant-pz9LMNhM/#ah;2;-1.50;1","-1.5","3.01","1.43","","","","","2.85","1.42","3.01","1.44","","","","","","",""
"SM","0000022","20250129|081120","20250127_2031705_061667_019474","R05_2_FRA_Open Occitanie - Montpellier","Bu","Lestienne","|K|0.384376|EK|G||OL1|2.7666|EOL1|OL2|1.8908|EOL2|OH1|1|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.86317|ENAOL1|NAOL2|1.8093|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-montpellier/yunchaokete-bu-lestienne-constant-pz9LMNhM/","","1.79","2.12","","","","","1.74","2.08","1.8","2.12","","","","","","",""
"SV","0000023","20250129|081142","20250127_1594705_037266_065417","R05_2_AUT_Upper Austria Ladies Linz - Linz","Yastremska","Ruzic","|K|0.560999|EK|G||OL1|2.0406|EOL1|OL2|2.3484|EOL2|OH1|179|EOH1|OH2|228|EOH2|EG|NA||NAOL1|2.0048|ENAOL1|NAOL2|2.48748|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/austria/wta-linz/yastremska-dayana-ruzic-antonia-EeWCnUGU/#ah;2;-1.50;2","-1.5","1.81","2.06","","","","","","","1.81","2.06","","","","","","",""
"SV","0000023","20250129|081140","20250127_1594705_037266_065417","R05_2_AUT_Upper Austria Ladies Linz - Linz","Yastremska","Ruzic","|K|0.560999|EK|G||OL1|2.0406|EOL1|OL2|2.3484|EOL2|OH1|179|EOH1|OH2|228|EOH2|EG|NA||NAOL1|2.0048|ENAOL1|NAOL2|2.48748|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/austria/wta-linz/yastremska-dayana-ruzic-antonia-EeWCnUGU/#ah;2;-2.50;2","-2.5","1.95","1.89","","","","","1.94","1.85","1.95","1.89","","","","","","",""
"SV","0000023","20250129|081145","20250127_1594705_037266_065417","R05_2_AUT_Upper Austria Ladies Linz - Linz","Yastremska","Ruzic","|K|0.560999|EK|G||OL1|2.0406|EOL1|OL2|2.3484|EOL2|OH1|179|EOH1|OH2|228|EOH2|EG|NA||NAOL1|2.0048|ENAOL1|NAOL2|2.48748|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/austria/wta-linz/yastremska-dayana-ruzic-antonia-EeWCnUGU/#ah;2;1.50;1","1.5","1.29","3.79","","","","","1.27","3.75","1.29","3.79","","","","","","",""
"SV","0000023","20250129|081144","20250127_1594705_037266_065417","R05_2_AUT_Upper Austria Ladies Linz - Linz","Yastremska","Ruzic","|K|0.560999|EK|G||OL1|2.0406|EOL1|OL2|2.3484|EOL2|OH1|179|EOH1|OH2|228|EOH2|EG|NA||NAOL1|2.0048|ENAOL1|NAOL2|2.48748|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/austria/wta-linz/yastremska-dayana-ruzic-antonia-EeWCnUGU/#ah;2;-1.50;1","-1.5","2.58","1.53","","","","","2.55","1.5","2.58","1.53","","","","","","",""
