"FDM","0000001","20250201|123112","20250127_2043612_107526_112860","R12_0_USA_M15 Palm Coast","Horve/Okonkwo","Van Herck/Vankan","|K|0.757002|EK|G||OL1|1.36591|EOL1|OL2|4.34248|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-palm-coast-fl-men-doubles/horve-lucas-okonkwo-oliver-van-herck-louis-vankan-marlon-rBxlAiT1/","","","","","","","","","","1.37","3.0","","","","","","",""
"FSM","0000002","20250201|123115","20250127_2043510_036612_031944","R10_0_MEX_M15 Huamantla","Strode","Wallart","|K|0.243011|EK|G||OL1|4.17356|EOL1|OL2|1.4231|EOL2|OH1|1|EOH1|OH2|133|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-men/strode-isaiah-wallart-enzo-hhCf7zr3/","","","","","","","","3.15","1.31","3.15","1.31","","","","","","",""
"CSM","0000003","20250201|123137","20250127_2039110_089108_046722","R10_1_USA_Cleveland Challenger","Smith","Wolf","|K|0.453981|EK|G||OL1|2.35586|EOL1|OL2|1.98536|EOL2|OH1|221|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4531|ENAOL1|NAOL2|1.9412|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/cleveland-challenger-men/colton-smith-wolf-jeffrey-john-MTTUpufD/#ah;2;1.50;2","1.5","1.85","2.0","","","","","","","1.85","2.0","","","","","","",""
"CSM","0000003","20250201|123142","20250127_2039110_089108_046722","R10_1_USA_Cleveland Challenger","Smith","Wolf","|K|0.453981|EK|G||OL1|2.35586|EOL1|OL2|1.98536|EOL2|OH1|221|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4531|ENAOL1|NAOL2|1.9412|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/cleveland-challenger-men/colton-smith-wolf-jeffrey-john-MTTUpufD/#ah;2;1.50;1","1.5","1.44","2.91","","","","","","","1.44","2.91","","","","","","",""
"CSM","0000003","20250201|123141","20250127_2039110_089108_046722","R10_1_USA_Cleveland Challenger","Smith","Wolf","|K|0.453981|EK|G||OL1|2.35586|EOL1|OL2|1.98536|EOL2|OH1|221|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4531|ENAOL1|NAOL2|1.9412|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/cleveland-challenger-men/colton-smith-wolf-jeffrey-john-MTTUpufD/#ah;2;-1.50;1","-1.5","3.46","1.33","","","","","","","3.46","1.33","","","","","","",""
"CSM","0000003","20250201|123128","20250127_2039110_089108_046722","R10_1_USA_Cleveland Challenger","Smith","Wolf","|K|0.453981|EK|G||OL1|2.35586|EOL1|OL2|1.98536|EOL2|OH1|221|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.4531|ENAOL1|NAOL2|1.9412|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/cleveland-challenger-men/colton-smith-wolf-jeffrey-john-MTTUpufD/","","2.06","1.81","","","","","","","2.07","1.81","","","","","","",""
"CSV","0000004","20250201|123156","20250127_1602210_016947_057147","R10_1_FRA_W75 Andrezieux-Boutheon","Tan","Jacquemot","|K|0.346516|EK|G||OL1|2.95936|EOL1|OL2|1.65088|EOL2|OH1|1|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-w75-andrezieux-boutheon-women/tan-harmony-jacquemot-elsa-4OVGDQZg/#ah;2;3.50;2","3.5","1.97","1.81","","","","","","","1.97","1.81","","","","","","",""
"CSV","0000004","20250201|123154","20250127_1602210_016947_057147","R10_1_FRA_W75 Andrezieux-Boutheon","Tan","Jacquemot","|K|0.346516|EK|G||OL1|2.95936|EOL1|OL2|1.65088|EOL2|OH1|1|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-w75-andrezieux-boutheon-women/tan-harmony-jacquemot-elsa-4OVGDQZg/#ah;2;2.50;2","2.5","2.3","1.6","","","","","","","2.3","1.6","","","","","","",""
"CSV","0000004","20250201|123200","20250127_1602210_016947_057147","R10_1_FRA_W75 Andrezieux-Boutheon","Tan","Jacquemot","|K|0.346516|EK|G||OL1|2.95936|EOL1|OL2|1.65088|EOL2|OH1|1|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-w75-andrezieux-boutheon-women/tan-harmony-jacquemot-elsa-4OVGDQZg/#ah;2;1.50;1","1.5","1.78","2.01","","","","","","","1.78","2.01","","","","","","",""
"CSV","0000004","20250201|123158","20250127_1602210_016947_057147","R10_1_FRA_W75 Andrezieux-Boutheon","Tan","Jacquemot","|K|0.346516|EK|G||OL1|2.95936|EOL1|OL2|1.65088|EOL2|OH1|1|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-w75-andrezieux-boutheon-women/tan-harmony-jacquemot-elsa-4OVGDQZg/#ah;2;-1.50;1","-1.5","5.46","1.14","","","","","","","5.46","1.14","","","","","","",""
"CSV","0000004","20250201|123146","20250127_1602210_016947_057147","R10_1_FRA_W75 Andrezieux-Boutheon","Tan","Jacquemot","|K|0.346516|EK|G||OL1|2.95936|EOL1|OL2|1.65088|EOL2|OH1|1|EOH1|OH2|2.156|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/itf-w75-andrezieux-boutheon-women/tan-harmony-jacquemot-elsa-4OVGDQZg/","","2.93","1.39","","","","","2.95","1.36","3.01","1.39","","","","","","",""
"CSV","0000005","20250201|123211","20250127_1602110_071462_074280","R10_1_USA_W75 Rome","Brace","Mboko","|K|0.0898219|EK|G||OL1|11.4074|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|1.54|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-w75-rome-ga-women/brace-cadence-mboko-victoria-jXTblpQO/#ah;2;5.50;2","5.5","1.82","1.95","","","","","","","1.82","1.95","","","","","","",""
"CSV","0000005","20250201|123216","20250127_1602110_071462_074280","R10_1_USA_W75 Rome","Brace","Mboko","|K|0.0898219|EK|G||OL1|11.4074|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|1.54|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-w75-rome-ga-women/brace-cadence-mboko-victoria-jXTblpQO/#ah;2;1.50;1","1.5","2.43","1.54","","","","","","","2.43","1.54","","","","","","",""
"CSV","0000005","20250201|123214","20250127_1602110_071462_074280","R10_1_USA_W75 Rome","Brace","Mboko","|K|0.0898219|EK|G||OL1|11.4074|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|1.54|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-w75-rome-ga-women/brace-cadence-mboko-victoria-jXTblpQO/#ah;2;-1.50;1","-1.5","9.44","1.06","","","","","","","9.44","1.06","","","","","","",""
"CSV","0000005","20250201|123203","20250127_1602110_071462_074280","R10_1_USA_W75 Rome","Brace","Mboko","|K|0.0898219|EK|G||OL1|11.4074|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|1.54|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w75-rome-ga-women/brace-cadence-mboko-victoria-jXTblpQO/","","4.6","1.19","","","","","4.0","1.2","4.6","1.2","","","","","","",""
