"CDM","0000001","20250202|163430","20250127_2038910_115916_070747","R10_1_BRA_Piracicaba Challenger","Andreozzi/Luz","Aboian/Huertas Del Pino","|K|0.742548|EK|G||OL1|1.37025|EOL1|OL2|3.96391|EOL2|OH1|135|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4715|ENAOL1|NAOL2|4.06505|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/brazil/piracicaba-challenger-men-doubles/andreozzi-guido-luz-orlando-aboian-leonardo-huertas-del-pino-arklon-M743ne2L/","","","","","","","","","","1.16","4.88","","","","","","",""
"CSM","0000002","20250202|163443","20250203_2039403_069838_040825","R03_1_IND_Chennai Challenger","Vanshelboim","Sureshkumar","|K|0.734092|EK|G||OL1|1.47823|EOL1|OL2|4.01882|EOL2|OH1|1.918|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/india/chennai-challenger-men/vanshelboim-eric-sureshkumar-manish-MN4iWiV6/#ah;2;-4.00;2","-4.0","1.7","2.09","","","","","","","1.7","2.09","","","","","","",""
"CSM","0000002","20250202|163441","20250203_2039403_069838_040825","R03_1_IND_Chennai Challenger","Vanshelboim","Sureshkumar","|K|0.734092|EK|G||OL1|1.47823|EOL1|OL2|4.01882|EOL2|OH1|1.918|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/india/chennai-challenger-men/vanshelboim-eric-sureshkumar-manish-MN4iWiV6/#ah;2;-4.50;2","-4.5","1.87","1.88","","","","","","","1.87","1.88","","","","","","",""
"CSM","0000002","20250202|163447","20250203_2039403_069838_040825","R03_1_IND_Chennai Challenger","Vanshelboim","Sureshkumar","|K|0.734092|EK|G||OL1|1.47823|EOL1|OL2|4.01882|EOL2|OH1|1.918|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/india/chennai-challenger-men/vanshelboim-eric-sureshkumar-manish-MN4iWiV6/#ah;2;1.50;1","1.5","1.11","6.06","","","","","","","1.11","6.06","","","","","","",""
"CSM","0000002","20250202|163445","20250203_2039403_069838_040825","R03_1_IND_Chennai Challenger","Vanshelboim","Sureshkumar","|K|0.734092|EK|G||OL1|1.47823|EOL1|OL2|4.01882|EOL2|OH1|1.918|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/india/chennai-challenger-men/vanshelboim-eric-sureshkumar-manish-MN4iWiV6/#ah;2;-1.50;1","-1.5","1.75","2.03","","","","","","","1.75","2.03","","","","","","",""
"CSM","0000002","20250202|163435","20250203_2039403_069838_040825","R03_1_IND_Chennai Challenger","Vanshelboim","Sureshkumar","|K|0.734092|EK|G||OL1|1.47823|EOL1|OL2|4.01882|EOL2|OH1|1.918|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.44535|ENAOL1|NAOL2|4.1847|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/india/chennai-challenger-men/vanshelboim-eric-sureshkumar-manish-MN4iWiV6/","","1.3","3.35","","","","","","","1.3","3.35","","","","","","",""
"CSV","0000003","20250202|163459","20250203_1606904_071163_008549","R04_1_IND_Mumbai Open - Mumbai","Bejlek","Marino","|K|0.50397|EK|G||OL1|2.13328|EOL1|OL2|2.16544|EOL2|OH1|2.786|EOH1|OH2|2.828|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/india/mumbai-challenger-women/bejlek-sara-marino-rebecca-CYKyAjwA/#ah;2;-0.50;2","-0.5","1.81","2.03","","","","","","","1.81","2.03","","","","","","",""
"CSV","0000003","20250202|163501","20250203_1606904_071163_008549","R04_1_IND_Mumbai Open - Mumbai","Bejlek","Marino","|K|0.50397|EK|G||OL1|2.13328|EOL1|OL2|2.16544|EOL2|OH1|2.786|EOH1|OH2|2.828|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/india/mumbai-challenger-women/bejlek-sara-marino-rebecca-CYKyAjwA/#ah;2;-1.50;2","-1.5","1.93","1.89","","","","","","","1.93","1.89","","","","","","",""
"CSV","0000003","20250202|163505","20250203_1606904_071163_008549","R04_1_IND_Mumbai Open - Mumbai","Bejlek","Marino","|K|0.50397|EK|G||OL1|2.13328|EOL1|OL2|2.16544|EOL2|OH1|2.786|EOH1|OH2|2.828|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/india/mumbai-challenger-women/bejlek-sara-marino-rebecca-CYKyAjwA/#ah;2;1.50;1","1.5","1.33","3.39","","","","","","","1.33","3.39","","","","","","",""
"CSV","0000003","20250202|163503","20250203_1606904_071163_008549","R04_1_IND_Mumbai Open - Mumbai","Bejlek","Marino","|K|0.50397|EK|G||OL1|2.13328|EOL1|OL2|2.16544|EOL2|OH1|2.786|EOH1|OH2|2.828|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/india/mumbai-challenger-women/bejlek-sara-marino-rebecca-CYKyAjwA/#ah;2;-1.50;1","-1.5","2.8","1.45","","","","","","","2.8","1.45","","","","","","",""
"CSV","0000003","20250202|163451","20250203_1606904_071163_008549","R04_1_IND_Mumbai Open - Mumbai","Bejlek","Marino","|K|0.50397|EK|G||OL1|2.13328|EOL1|OL2|2.16544|EOL2|OH1|2.786|EOH1|OH2|2.828|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/india/mumbai-challenger-women/bejlek-sara-marino-rebecca-CYKyAjwA/","","1.76","2.09","","","","","","","1.76","2.09","","","","","","",""
