"FSM","0000019","20250209|081924","20250203_2044312_094055_100196","R12_0_TUN_M15 Monastir","Dhamne","Carboni","|K|0.545536|EK|G||OL1|1.9688|EOL1|OL2|2.23873|EOL2|OH1|184|EOH1|OH2|221|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-5-men/dhamne-manas-carboni-lorenzo-QcfJT2TH/","","","","1.48","2.45","","","1.57","2.25","1.57","2.45","","","","","","",""
"FSM","0000020","20250209|081943","20250203_2043912_030856_062258","R12_0_TUR_M25 Antalya","Kolar","Michalski","|K|0.420614|EK|G||OL1|2.41094|EOL1|OL2|1.8511|EOL2|OH1|1|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-2-men/kolar-zdenek-michalski-daniel-tYM1pTcD/#ah;2;1.50;2","1.5","","","1.71","2.01","","","","","1.71","2.01","","","","","","",""
"FSM","0000020","20250209|081944","20250203_2043912_030856_062258","R12_0_TUR_M25 Antalya","Kolar","Michalski","|K|0.420614|EK|G||OL1|2.41094|EOL1|OL2|1.8511|EOL2|OH1|1|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-2-men/kolar-zdenek-michalski-daniel-tYM1pTcD/#ah;2;-0.50;2","-0.5","","","1.9","1.8","","","","","1.9","1.8","","","","","","",""
"FSM","0000020","20250209|081936","20250203_2043912_030856_062258","R12_0_TUR_M25 Antalya","Kolar","Michalski","|K|0.420614|EK|G||OL1|2.41094|EOL1|OL2|1.8511|EOL2|OH1|1|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m25-antalya-2-men/kolar-zdenek-michalski-daniel-tYM1pTcD/","","","","1.85","1.85","","","1.86","1.86","1.88","1.88","","","","","","",""
"SM","0000021","20250209|081957","20250203_2031912_068074_039309","R12_2_NED_ABN AMRO Open - Rotterdam","Alcaraz","De Minaur","|K|0.705661|EK|G||OL1|1.6472|EOL1|OL2|3.604|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5762|ENAOL1|NAOL2|3.7298|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/alcaraz-garfia-carlos-de-minaur-alex-bypq2pWp/#ah;2;-3.50;2","-3.5","1.83","2.05","1.71","2.01","","","1.72","2.08","1.83","2.1","","","","","","",""
"SM","0000021","20250209|081959","20250203_2031912_068074_039309","R12_2_NED_ABN AMRO Open - Rotterdam","Alcaraz","De Minaur","|K|0.705661|EK|G||OL1|1.6472|EOL1|OL2|3.604|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5762|ENAOL1|NAOL2|3.7298|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/alcaraz-garfia-carlos-de-minaur-alex-bypq2pWp/#ah;2;-4.50;2","-4.5","2.36","1.64","2.13","1.63","","","2.25","1.62","2.36","1.64","","","","","","",""
"SM","0000021","20250209|082002","20250203_2031912_068074_039309","R12_2_NED_ABN AMRO Open - Rotterdam","Alcaraz","De Minaur","|K|0.705661|EK|G||OL1|1.6472|EOL1|OL2|3.604|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5762|ENAOL1|NAOL2|3.7298|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/alcaraz-garfia-carlos-de-minaur-alex-bypq2pWp/#ah;2;1.50;1","1.5","1.14","6.4","1.11","5.55","","","1.12","6.5","1.14","6.5","","","","","","",""
"SM","0000021","20250209|082000","20250203_2031912_068074_039309","R12_2_NED_ABN AMRO Open - Rotterdam","Alcaraz","De Minaur","|K|0.705661|EK|G||OL1|1.6472|EOL1|OL2|3.604|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5762|ENAOL1|NAOL2|3.7298|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/alcaraz-garfia-carlos-de-minaur-alex-bypq2pWp/#ah;2;-1.50;1","-1.5","2.05","1.83","1.9","1.8","","","1.89","1.89","2.05","1.9","","","","","","",""
"SM","0000021","20250209|081948","20250203_2031912_068074_039309","R12_2_NED_ABN AMRO Open - Rotterdam","Alcaraz","De Minaur","|K|0.705661|EK|G||OL1|1.6472|EOL1|OL2|3.604|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5762|ENAOL1|NAOL2|3.7298|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/netherlands/atp-rotterdam/alcaraz-garfia-carlos-de-minaur-alex-bypq2pWp/","","1.36","3.42","1.29","3.25","","","1.3","3.5","1.36","3.6","","","","","","",""
"CSM","0000023","20250209|082017","20250210_2039701_022269_030104","R01_1_BRN_Manama Challenger","Uchida","Bakshi","|K|0.599957|EK|G||OL1|1.80193|EOL1|OL2|2.665|EOL2|OH1|1|EOH1|OH2|250|EOH2|EG|NA||NAOL1|1.76185|ENAOL1|NAOL2|2.775|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/bahrain/manama-challenger-men/uchida-kaichi-bakshi-aleksandre-Q3cTK7pm/#ah;2;-1.50;2","-1.5","1.7","2.11","1.67","2.07","","","","","1.7","2.11","","","","","","",""
"CSM","0000023","20250209|082015","20250210_2039701_022269_030104","R01_1_BRN_Manama Challenger","Uchida","Bakshi","|K|0.599957|EK|G||OL1|1.80193|EOL1|OL2|2.665|EOL2|OH1|1|EOH1|OH2|250|EOH2|EG|NA||NAOL1|1.76185|ENAOL1|NAOL2|2.775|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/bahrain/manama-challenger-men/uchida-kaichi-bakshi-aleksandre-Q3cTK7pm/#ah;2;-2.50;2","-2.5","1.85","1.92","1.82","1.88","","","","","1.85","1.92","","","","","","",""
