"FSM","0000085","20250211|082530","20250210_2045104_046167_102193","R04_0_TUR_M15 Antalya","Mazza","Jankanj","|K|0.914138|EK|G||OL1|1.18|EOL1|OL2|11.8014|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-4-men/mazza-manuel-jankanj-vlado-boiRvfpB/","","","","1.06","7.5","","","1.05","8.0","1.06","8.0","","","","","","",""
"FSM","0000086","20250211|082541","20250210_2044804_090029_012534","R04_0_URU_M25 Punta del Este","Estevez","Olivo","|K|0.345747|EK|G||OL1|2.9377|EOL1|OL2|1.6371|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/estevez-juan-olivo-renzo-SpJoEnmp/#ah;2;3.50;2","3.5","1.81","1.92","1.8","1.9","","","","","1.81","1.92","","","","","","",""
"FSM","0000086","20250211|082542","20250210_2044804_090029_012534","R04_0_URU_M25 Punta del Este","Estevez","Olivo","|K|0.345747|EK|G||OL1|2.9377|EOL1|OL2|1.6371|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/estevez-juan-olivo-renzo-SpJoEnmp/#ah;2;3.00;2","3.0","1.93","1.81","1.92","1.78","","","","","1.93","1.81","","","","","","",""
"FSM","0000086","20250211|082545","20250210_2044804_090029_012534","R04_0_URU_M25 Punta del Este","Estevez","Olivo","|K|0.345747|EK|G||OL1|2.9377|EOL1|OL2|1.6371|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/estevez-juan-olivo-renzo-SpJoEnmp/#ah;2;1.50;1","1.5","1.61","2.2","1.6","2.2","","","","","1.61","2.2","","","","","","",""
"FSM","0000086","20250211|082544","20250210_2044804_090029_012534","R04_0_URU_M25 Punta del Este","Estevez","Olivo","|K|0.345747|EK|G||OL1|2.9377|EOL1|OL2|1.6371|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/estevez-juan-olivo-renzo-SpJoEnmp/#ah;2;-1.50;1","-1.5","3.97","1.22","3.9","1.21","","","","","3.97","1.22","","","","","","",""
"FSM","0000086","20250211|082534","20250210_2044804_090029_012534","R04_0_URU_M25 Punta del Este","Estevez","Olivo","|K|0.345747|EK|G||OL1|2.9377|EOL1|OL2|1.6371|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/estevez-juan-olivo-renzo-SpJoEnmp/","","2.47","1.5","2.59","1.44","","","","","2.59","1.5","","","","","","",""
"SM","0000087","20250211|082558","20250210_2032204_082371_028899","R04_2_FRA_Open 13 Provence - Marseille","van Assche","Bonzi","|K|0.328993|EK|G||OL1|3.2224|EOL1|OL2|1.74|EOL2|OH1|1|EOH1|OH2|150|EOH2|EG|NA||NAOL1|3.33488|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-marseille/van-assche-luca-bonzi-benjamin-CtqmKI9c/#ah;2;3.50;2","3.5","1.72","2.18","1.66","2.08","","","","","1.72","2.2","","","","","","",""
"SM","0000087","20250211|082556","20250210_2032204_082371_028899","R04_2_FRA_Open 13 Provence - Marseille","van Assche","Bonzi","|K|0.328993|EK|G||OL1|3.2224|EOL1|OL2|1.74|EOL2|OH1|1|EOH1|OH2|150|EOH2|EG|NA||NAOL1|3.33488|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-marseille/van-assche-luca-bonzi-benjamin-CtqmKI9c/#ah;2;2.50;2","2.5","2.03","1.83","1.92","1.78","","","2.07","1.73","2.07","1.83","","","","","","",""
"SM","0000087","20250211|082601","20250210_2032204_082371_028899","R04_2_FRA_Open 13 Provence - Marseille","van Assche","Bonzi","|K|0.328993|EK|G||OL1|3.2224|EOL1|OL2|1.74|EOL2|OH1|1|EOH1|OH2|150|EOH2|EG|NA||NAOL1|3.33488|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-marseille/van-assche-luca-bonzi-benjamin-CtqmKI9c/#ah;2;1.50;1","1.5","1.63","2.37","1.57","2.25","","","1.62","2.25","1.63","2.37","","","","","","",""
"SM","0000087","20250211|082600","20250210_2032204_082371_028899","R04_2_FRA_Open 13 Provence - Marseille","van Assche","Bonzi","|K|0.328993|EK|G||OL1|3.2224|EOL1|OL2|1.74|EOL2|OH1|1|EOH1|OH2|150|EOH2|EG|NA||NAOL1|3.33488|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-marseille/van-assche-luca-bonzi-benjamin-CtqmKI9c/#ah;2;-1.50;1","-1.5","4.91","1.2","4.42","1.17","","","4.9","1.18","4.91","1.2","","","","","","",""
"SM","0000087","20250211|082549","20250210_2032204_082371_028899","R04_2_FRA_Open 13 Provence - Marseille","van Assche","Bonzi","|K|0.328993|EK|G||OL1|3.2224|EOL1|OL2|1.74|EOL2|OH1|1|EOH1|OH2|150|EOH2|EG|NA||NAOL1|3.33488|ENAOL1|NAOL2|1.665|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-marseille/van-assche-luca-bonzi-benjamin-CtqmKI9c/","","2.61","1.54","2.42","1.48","","","2.7","1.47","2.7","1.54","","","","","","",""
