"FSM","0000055","20250213|092747","20250210_2044804_064916_098925","R04_0_URU_M25 Punta del Este","Pucinelli de Almeida","Valente","|K|0.9999|EK|G||OL1|1.18|EOL1|OL2|10130|EOL2|OH1|101|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/pucinelli-de-almeida-matheus-valente-rocco-0AgsV4bT/","","","","1.03","9.3","","","","","1.03","9.3","","","","","","",""
"FSM","0000056","20250213|092750","20250210_2044804_091721_073983","R04_0_URU_M25 Punta del Este","Ratti","Bueno","|K|0.000236152|EK|G||OL1|4289.62|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/ratti-lucio-bueno-gonzalo-4r0YWQTG/","","","","8.2","1.05","","","","","8.2","1.05","","","","","","",""
"FSM","0000057","20250213|092800","20250210_2044804_092294_073268","R04_0_URU_M25 Punta del Este","Ribeiro De Almeida","Aboian","|K|0.284004|EK|G||OL1|3.57589|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/de-almeida-gustavo-ribeiro-aboian-valerio-rB0kXZNa/#ah;2;4.50;2","4.5","1.75","2.0","1.65","2.1","","","","","1.75","2.1","","","","","","",""
"FSM","0000057","20250213|092802","20250210_2044804_092294_073268","R04_0_URU_M25 Punta del Este","Ribeiro De Almeida","Aboian","|K|0.284004|EK|G||OL1|3.57589|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/de-almeida-gustavo-ribeiro-aboian-valerio-rB0kXZNa/#ah;2;3.50;2","3.5","2.11","1.67","1.93","1.77","","","","","2.11","1.77","","","","","","",""
"FSM","0000057","20250213|092807","20250210_2044804_092294_073268","R04_0_URU_M25 Punta del Este","Ribeiro De Almeida","Aboian","|K|0.284004|EK|G||OL1|3.57589|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/de-almeida-gustavo-ribeiro-aboian-valerio-rB0kXZNa/#ah;2;1.50;1","1.5","1.83","1.89","1.82","1.88","","","","","1.83","1.89","","","","","","",""
"FSM","0000057","20250213|092804","20250210_2044804_092294_073268","R04_0_URU_M25 Punta del Este","Ribeiro De Almeida","Aboian","|K|0.284004|EK|G||OL1|3.57589|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/de-almeida-gustavo-ribeiro-aboian-valerio-rB0kXZNa/#ah;2;-1.50;1","-1.5","5.05","1.14","4.9","1.14","","","","","5.05","1.14","","","","","","",""
"FSM","0000057","20250213|092754","20250210_2044804_092294_073268","R04_0_URU_M25 Punta del Este","Ribeiro De Almeida","Aboian","|K|0.284004|EK|G||OL1|3.57589|EOL1|OL2|1.498|EOL2|OH1|1|EOH1|OH2|140|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/itf-m25-punta-del-este-men/de-almeida-gustavo-ribeiro-aboian-valerio-rB0kXZNa/","","3.07","1.34","2.59","1.44","","","","","3.07","1.44","","","","","","",""
"FSM","0000058","20250213|092807","20250210_2045605_032811_034423","R05_0_USA_M15 Naples","Monzon","Vitor Goncalves Ceolin","|K|0.630574|EK|G||OL1|1.7013|EOL1|OL2|2.74523|EOL2|OH1|159|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"SM","0000059","20250213|092821","20250210_2032005_091521_018720","R05_2_ARG_Argentina Open - Buenos Aires","Fonseca","Coria","|K|0.909833|EK|G||OL1|1.3|EOL1|OL2|11.766|EOL2|OH1|110|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1767|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/fonseca-joao-coria-federico-UBOr0GvK/#ah;2;-4.50;2","-4.5","1.68","2.29","1.6","2.2","","","","","1.68","2.29","","","","","","",""
"SM","0000059","20250213|092819","20250210_2032005_091521_018720","R05_2_ARG_Argentina Open - Buenos Aires","Fonseca","Coria","|K|0.909833|EK|G||OL1|1.3|EOL1|OL2|11.766|EOL2|OH1|110|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1767|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/fonseca-joao-coria-federico-UBOr0GvK/#ah;2;-5.50;2","-5.5","2.09","1.8","2.0","1.72","","","2.06","1.74","2.09","1.8","","","","","","",""
"SM","0000059","20250213|092825","20250210_2032005_091521_018720","R05_2_ARG_Argentina Open - Buenos Aires","Fonseca","Coria","|K|0.909833|EK|G||OL1|1.3|EOL1|OL2|11.766|EOL2|OH1|110|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.221|ENAOL1|NAOL2|12.1767|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/argentina/atp-buenos-aires/fonseca-joao-coria-federico-UBOr0GvK/#ah;2;1.50;1","1.5","1.08","9.68","1.06","7.3","","","1.06","10.5","1.08","10.5","","","","","","",""
