"FDM","0000001","20250214|163415","20250210_2045012_111278_117399","R12_0_ROU_M15 Bucharest","Romano/Wehnelt","Hudd/Stewart","|K|0.531966|EK|G||OL1|1.93076|EOL1|OL2|2.25556|EOL2|OH1|188|EOH1|OH2|3.638|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/romania/itf-m15-bucharest-men-doubles/romano-filippo-wehnelt-kai-hudd-emile-stewart-hamish-MyMGYxT1/","","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"CDV","0000004","20250214|163422","20250210_1607010_096531_097226","R10_1_MEX_Cancun Tennis Open - Cancun","Joint/Preston","Santamaria/Tang","|K|0.433196|EK|G||OL1|2.3331|EOL1|OL2|1.8585|EOL2|OH1|1|EOH1|OH2|2.5665|EOH2|EG|NA||NAOL1|2.4255|ENAOL1|NAOL2|1.88505|ENAOL2|NAVE1|-10|ENAVE1|NAVE2|-10|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/cancun-challenger-women-doubles/joint-maya-preston-taylah-santamaria-sabrina-tang-qianhui-S2fxrI2M/","","1.94","1.86","1.9","1.8","","","","","1.95","1.86","","","","","","",""
"FSM","0000005","20250214|163436","20250210_2044610_045979_050146","R10_0_NZL_M25 Timaru","Hsu","Bouzige","|K|0.780965|EK|G||OL1|1.3803|EOL1|OL2|4.62941|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/hsu-yu-hsiou-bouzige-moerani-IXjGwcCT/#ah;2;-4.00;2","-4.0","1.61","2.26","","","","","","","1.61","2.26","","","","","","",""
"FSM","0000005","20250214|163434","20250210_2044610_045979_050146","R10_0_NZL_M25 Timaru","Hsu","Bouzige","|K|0.780965|EK|G||OL1|1.3803|EOL1|OL2|4.62941|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/hsu-yu-hsiou-bouzige-moerani-IXjGwcCT/#ah;2;-4.50;2","-4.5","1.77","2.0","1.75","1.95","","","","","1.77","2.0","","","","","","",""
"FSM","0000005","20250214|163440","20250210_2044610_045979_050146","R10_0_NZL_M25 Timaru","Hsu","Bouzige","|K|0.780965|EK|G||OL1|1.3803|EOL1|OL2|4.62941|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/hsu-yu-hsiou-bouzige-moerani-IXjGwcCT/#ah;2;1.50;1","1.5","1.09","7.08","1.08","6.7","","","","","1.09","7.08","","","","","","",""
"FSM","0000005","20250214|163438","20250210_2044610_045979_050146","R10_0_NZL_M25 Timaru","Hsu","Bouzige","|K|0.780965|EK|G||OL1|1.3803|EOL1|OL2|4.62941|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/hsu-yu-hsiou-bouzige-moerani-IXjGwcCT/#ah;2;-1.50;1","-1.5","1.65","2.18","1.62","2.15","","","","","1.65","2.18","","","","","","",""
"FSM","0000005","20250214|163428","20250210_2044610_045979_050146","R10_0_NZL_M25 Timaru","Hsu","Bouzige","|K|0.780965|EK|G||OL1|1.3803|EOL1|OL2|4.62941|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/hsu-yu-hsiou-bouzige-moerani-IXjGwcCT/","","1.25","3.73","1.24","3.65","","","1.3","3.25","1.3","3.73","","","","","","",""
"FSM","0000006","20250214|163450","20250210_2044610_030954_023090","R10_0_NZL_M25 Timaru","Langmo","Nakagawa","|K|0.607083|EK|G||OL1|1.7655|EOL1|OL2|2.58315|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/langmo-christian-nakagawa-naoki-dbvQSubB/#ah;2;-1.50;2","-1.5","1.88","1.88","1.85","1.85","","","","","1.88","1.88","","","","","","",""
"FSM","0000006","20250214|163457","20250210_2044610_030954_023090","R10_0_NZL_M25 Timaru","Langmo","Nakagawa","|K|0.607083|EK|G||OL1|1.7655|EOL1|OL2|2.58315|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/langmo-christian-nakagawa-naoki-dbvQSubB/#ah;2;1.50;1","1.5","1.27","3.55","1.26","3.47","","","","","1.27","3.55","","","","","","",""
"FSM","0000006","20250214|163455","20250210_2044610_030954_023090","R10_0_NZL_M25 Timaru","Langmo","Nakagawa","|K|0.607083|EK|G||OL1|1.7655|EOL1|OL2|2.58315|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/langmo-christian-nakagawa-naoki-dbvQSubB/#ah;2;-1.50;1","-1.5","2.68","1.44","2.62","1.43","","","","","2.68","1.44","","","","","","",""
"FSM","0000006","20250214|163444","20250210_2044610_030954_023090","R10_0_NZL_M25 Timaru","Langmo","Nakagawa","|K|0.607083|EK|G||OL1|1.7655|EOL1|OL2|2.58315|EOL2|OH1|165|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/new-zealand/itf-m25-timaru-men/langmo-christian-nakagawa-naoki-dbvQSubB/","","1.69","2.11","1.67","2.07","","","1.65","2.1","1.69","2.11","","","","","","",""
