"FSM","0000031","20250225|095704","20250224_2047504_063476_096547","R04_0_TUN_M15 Monastir","Vasiliauskas","Loge","|K|0.0635635|EK|G||OL1|15.9446|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|107|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-8-men/vasiliauskas-matas-loge-jack-h4Aw1KLE/","","","","6.7","1.08","","","7.0","1.07","7.0","1.08","","","","","","",""
"SM","0000032","20250225|095717","20250224_2032604_071221_013674","R04_2_UAE_Dubai Duty Free Tennis Championships - Dubai","Nardi","Fucsovics","|K|0.327385|EK|G||OL1|3.2436|EOL1|OL2|1.7284|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.35682|ENAOL1|NAOL2|1.6539|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-arab-emirates/atp-dubai/nardi-luca-fucsovics-marton-xS4CW96F/#ah;2;3.50;2","3.5","1.63","2.31","1.67","2.07","","","1.58","2.32","1.67","2.32","","","","","","",""
"SM","0000032","20250225|095719","20250224_2032604_071221_013674","R04_2_UAE_Dubai Duty Free Tennis Championships - Dubai","Nardi","Fucsovics","|K|0.327385|EK|G||OL1|3.2436|EOL1|OL2|1.7284|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.35682|ENAOL1|NAOL2|1.6539|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-arab-emirates/atp-dubai/nardi-luca-fucsovics-marton-xS4CW96F/#ah;2;2.50;2","2.5","1.89","1.93","1.96","1.74","","","","","1.96","1.93","","","","","","",""
"SM","0000032","20250225|095724","20250224_2032604_071221_013674","R04_2_UAE_Dubai Duty Free Tennis Championships - Dubai","Nardi","Fucsovics","|K|0.327385|EK|G||OL1|3.2436|EOL1|OL2|1.7284|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.35682|ENAOL1|NAOL2|1.6539|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-arab-emirates/atp-dubai/nardi-luca-fucsovics-marton-xS4CW96F/#ah;2;1.50;1","1.5","1.6","2.45","1.63","2.13","","","1.52","2.5","1.63","2.5","","","","","","",""
"SM","0000032","20250225|095722","20250224_2032604_071221_013674","R04_2_UAE_Dubai Duty Free Tennis Championships - Dubai","Nardi","Fucsovics","|K|0.327385|EK|G||OL1|3.2436|EOL1|OL2|1.7284|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.35682|ENAOL1|NAOL2|1.6539|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-arab-emirates/atp-dubai/nardi-luca-fucsovics-marton-xS4CW96F/#ah;2;-1.50;1","-1.5","4.23","1.25","4.3","1.18","","","4.2","1.23","4.3","1.25","","","","","","",""
"SM","0000032","20250225|095709","20250224_2032604_071221_013674","R04_2_UAE_Dubai Duty Free Tennis Championships - Dubai","Nardi","Fucsovics","|K|0.327385|EK|G||OL1|3.2436|EOL1|OL2|1.7284|EOL2|OH1|1|EOH1|OH2|149|EOH2|EG|NA||NAOL1|3.35682|ENAOL1|NAOL2|1.6539|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-arab-emirates/atp-dubai/nardi-luca-fucsovics-marton-xS4CW96F/","","2.33","1.56","2.52","1.46","","","2.38","1.58","2.52","1.65","","","","","","",""
"CSM","0000033","20250225|095738","20250224_2040404_085899_050504","R04_1_SUI_Lugano Challenger","Prizmic","Paul","|K|0.718458|EK|G||OL1|1.5106|EOL1|OL2|3.79496|EOL2|OH1|1.96|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.477|ENAOL1|NAOL2|3.9516|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/prizmic-dino-paul-jakub-6cVdH5W7/#ah;2;-2.50;2","-2.5","1.64","2.32","1.56","2.27","","","","","1.64","2.32","","","","","","",""
"CSM","0000033","20250225|095736","20250224_2040404_085899_050504","R04_1_SUI_Lugano Challenger","Prizmic","Paul","|K|0.718458|EK|G||OL1|1.5106|EOL1|OL2|3.79496|EOL2|OH1|1.96|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.477|ENAOL1|NAOL2|3.9516|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/prizmic-dino-paul-jakub-6cVdH5W7/#ah;2;-3.50;2","-3.5","1.79","2.06","1.75","1.95","","","","","1.8","2.06","","","","","","",""
"CSM","0000033","20250225|095742","20250224_2040404_085899_050504","R04_1_SUI_Lugano Challenger","Prizmic","Paul","|K|0.718458|EK|G||OL1|1.5106|EOL1|OL2|3.79496|EOL2|OH1|1.96|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.477|ENAOL1|NAOL2|3.9516|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/prizmic-dino-paul-jakub-6cVdH5W7/#ah;2;1.50;1","1.5","1.16","5.66","1.14","4.9","","","","","1.16","5.66","","","","","","",""
"CSM","0000033","20250225|095740","20250224_2040404_085899_050504","R04_1_SUI_Lugano Challenger","Prizmic","Paul","|K|0.718458|EK|G||OL1|1.5106|EOL1|OL2|3.79496|EOL2|OH1|1.96|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.477|ENAOL1|NAOL2|3.9516|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/prizmic-dino-paul-jakub-6cVdH5W7/#ah;2;-1.50;1","-1.5","2.03","1.82","1.96","1.74","","","","","2.03","1.82","","","","","","",""
"CSM","0000033","20250225|095728","20250224_2040404_085899_050504","R04_1_SUI_Lugano Challenger","Prizmic","Paul","|K|0.718458|EK|G||OL1|1.5106|EOL1|OL2|3.79496|EOL2|OH1|1.96|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.477|ENAOL1|NAOL2|3.9516|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/switzerland/lugano-challenger-men/prizmic-dino-paul-jakub-6cVdH5W7/","","1.4","3.04","1.38","2.8","","","1.42","2.8","1.42","3.04","","","","","","",""
