"DM","0000013","20250227|121246","20250224_2032709_035651_117634","R09_2_CHI_Movistar Chile Open - Santiago","Gonzalez/Molteni","Barrios/Buse","|K|0.582147|EK|G||OL1|1.8748|EOL1|OL2|2.424|EOL2|OH1|172|EOH1|OH2|240|EOH2|EG|NA||NAOL1|1.95048|ENAOL1|NAOL2|2.58|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","","-","","","","","","","","","","","","","","","","","",""
"DM","0000014","20250227|121250","20250224_2032509_116644_048539","R09_2_MEX_Abierto Mexicano Telcel - Acapulco","Gonzalez/Miedler","Erler/Frantzen","|K|0.518035|EK|G||OL1|2.1146|EOL1|OL2|2.2672|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA||NAOL1|2.19996|ENAOL1|NAOL2|2.35872|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/atp-acapulco-doubles/gonzalez-santiago-miedler-lucas-erler-alexander-frantzen-constantin-b5q01eJ7/","","1.99","1.82","1.95","1.75","","","","","2.0","1.82","","","","","","",""
"DM","0000015","20250227|121254","20250224_2032509_117616_111496","R09_2_MEX_Abierto Mexicano Telcel - Acapulco","Hach Verdugo/Tracy","Balaji/Reyes-Varela","|K|0.353743|EK|G||OL1|2.8583|EOL1|OL2|1.6895|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA||NAOL1|3.04225|ENAOL1|NAOL2|1.7577|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/atp-acapulco-doubles/hach-hans-tracy-james-balaji-n-sriram-reyes-varela-miguel-angel-I3eHeWog/","","2.77","1.45","2.52","1.46","","","","","2.77","1.52","","","","","","",""
"DM","0000016","20250227|121258","20250224_2032509_117220_042754","R09_2_MEX_Abierto Mexicano Telcel - Acapulco","Machac/Mensik","Doumbia/Reboul","|K|0.577746|EK|G||OL1|1.8966|EOL1|OL2|2.3937|EOL2|OH1|174|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.97316|ENAOL1|NAOL2|2.54775|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/atp-acapulco-doubles/machac-tomas-mensik-jakub-doumbia-sadio-reboul-fabien-vL4LwZ9m/","","2.13","1.72","1.97","1.73","","","","","2.13","1.85","","","","","","",""
"FSM","0000017","20250227|121310","20250224_2047105_023099_038959","R05_0_ARG_M25 Yerba Buena","Casanova","Bruna","|K|0.940904|EK|G||OL1|1.18|EOL1|OL2|17.1501|EOL2|OH1|107|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-bruna-nicolas-K2WL7HNj/#ah;2;-6.50;2","-6.5","","","1.72","2.0","","","","","1.72","2.0","","","","","","",""
"FSM","0000017","20250227|121302","20250224_2047105_023099_038959","R05_0_ARG_M25 Yerba Buena","Casanova","Bruna","|K|0.940904|EK|G||OL1|1.18|EOL1|OL2|17.1501|EOL2|OH1|107|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-bruna-nicolas-K2WL7HNj/","","","","1.06","7.5","","","","","1.06","7.5","","","","","","",""
"SM","0000018","20250227|121325","20250224_2032709_052279_037532","R09_2_CHI_Movistar Chile Open - Santiago","Cerundolo","Etcheverry","|K|0.484647|EK|G||OL1|2.4012|EOL1|OL2|2.262|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA||NAOL1|2.2977|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/atp-santiago/cerundolo-francisco-etcheverry-tomas-martin-QesxtliU/#ah;2;0.50;2","0.5","1.86","2.01","","","","","","","1.86","2.01","","","","","","",""
"SM","0000018","20250227|121323","20250224_2032709_052279_037532","R09_2_CHI_Movistar Chile Open - Santiago","Cerundolo","Etcheverry","|K|0.484647|EK|G||OL1|2.4012|EOL1|OL2|2.262|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA||NAOL1|2.2977|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/atp-santiago/cerundolo-francisco-etcheverry-tomas-martin-QesxtliU/#ah;2;-0.50;2","-0.5","2.01","1.87","1.92","1.78","","","","","2.01","1.87","","","","","","",""
"SM","0000018","20250227|121330","20250224_2032709_052279_037532","R09_2_CHI_Movistar Chile Open - Santiago","Cerundolo","Etcheverry","|K|0.484647|EK|G||OL1|2.4012|EOL1|OL2|2.262|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA||NAOL1|2.2977|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/atp-santiago/cerundolo-francisco-etcheverry-tomas-martin-QesxtliU/#ah;2;1.50;1","1.5","1.37","3.27","1.34","3.0","","","","","1.37","3.27","","","","","","",""
"SM","0000018","20250227|121327","20250224_2032709_052279_037532","R09_2_CHI_Movistar Chile Open - Santiago","Cerundolo","Etcheverry","|K|0.484647|EK|G||OL1|2.4012|EOL1|OL2|2.262|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA||NAOL1|2.2977|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/atp-santiago/cerundolo-francisco-etcheverry-tomas-martin-QesxtliU/#ah;2;-1.50;1","-1.5","3.28","1.37","3.1","1.32","","","","","3.28","1.37","","","","","","",""
"SM","0000018","20250227|121315","20250224_2032709_052279_037532","R09_2_CHI_Movistar Chile Open - Santiago","Cerundolo","Etcheverry","|K|0.484647|EK|G||OL1|2.4012|EOL1|OL2|2.262|EOL2|OH1|207|EOH1|OH2|195|EOH2|EG|NA||NAOL1|2.2977|ENAOL1|NAOL2|2.1645|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/atp-santiago/cerundolo-francisco-etcheverry-tomas-martin-QesxtliU/","","1.93","1.96","1.85","1.85","","","","","1.93","1.96","","","","","","",""
