"FDM","0000001","20250227|174156","20250224_2047710_117708_117272","R10_0_EGY_M15 Sharm ElSheikh","Bessonov/Tumbas Kajgo","Wang/Wang","|K|0.291228|EK|G||OL1|3.62576|EOL1|OL2|1.45834|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/egypt/itf-m15-sharm-elsheikh-5-men-doubles/bessonov-dmitry-tumbas-kajgo-kristian-wang-aoran-wang-yukun-vq3Yowo2/","","","","3.15","1.31","","","","","3.15","1.31","","","","","","",""
"FDM","0000002","20250227|174200","20250224_2047710_117702_117705","R10_0_EGY_M15 Sharm ElSheikh","Bondioli/Cina","El Sallaly/Jans","|K|0.680949|EK|G||OL1|1.50969|EOL1|OL2|3.30956|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/egypt/itf-m15-sharm-elsheikh-5-men-doubles/bondioli-federico-cina-federico-el-sallaly-akram-jans-jarno-jZpcyH7N/","","","","1.27","3.4","","","","","1.27","3.4","","","","","","",""
"DV","0000004","20250227|174204","20250224_1599609_097226_099329","R09_2_MEX_Merida Open Akron - Merida","Santamaria/Tang","Panova/Perez","|K|0.225535|EK|G||OL1|4.61316|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|130|EOH2|EG|NA||NAOL1|5.05272|ENAOL1|NAOL2|1.3286|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/wta-merida-doubles/santamaria-sabrina-tang-qianhui-panova-alexandra-perez-ellen-EeYGSXH6/","","4.03","1.24","4.15","1.19","","","4.5","1.19","4.5","1.25","","","","","","",""
"FSM","0000005","20250227|174213","20250224_2046909_030954_099265","R09_0_AUS_M25 Launceston","Langmo","Marinkov","|K|0.710637|EK|G||OL1|1.5087|EOL1|OL2|3.50498|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/langmo-christian-marinkov-pavle-jFE5ZuVj/#ah;2;-3.50;2","-3.5","1.9","1.87","1.84","1.86","","","","","1.9","1.87","","","","","","",""
"FSM","0000005","20250227|174215","20250224_2046909_030954_099265","R09_0_AUS_M25 Launceston","Langmo","Marinkov","|K|0.710637|EK|G||OL1|1.5087|EOL1|OL2|3.50498|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/langmo-christian-marinkov-pavle-jFE5ZuVj/#ah;2;-4.50;2","-4.5","2.57","1.49","","","","","","","2.57","1.49","","","","","","",""
"FSM","0000005","20250227|174219","20250224_2046909_030954_099265","R09_0_AUS_M25 Launceston","Langmo","Marinkov","|K|0.710637|EK|G||OL1|1.5087|EOL1|OL2|3.50498|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/langmo-christian-marinkov-pavle-jFE5ZuVj/#ah;2;1.50;1","1.5","1.14","5.39","1.13","5.1","","","","","1.14","5.39","","","","","","",""
"FSM","0000005","20250227|174217","20250224_2046909_030954_099265","R09_0_AUS_M25 Launceston","Langmo","Marinkov","|K|0.710637|EK|G||OL1|1.5087|EOL1|OL2|3.50498|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/langmo-christian-marinkov-pavle-jFE5ZuVj/#ah;2;-1.50;1","-1.5","1.95","1.82","1.92","1.78","","","","","1.95","1.82","","","","","","",""
"FSM","0000005","20250227|174207","20250224_2046909_030954_099265","R09_0_AUS_M25 Launceston","Langmo","Marinkov","|K|0.710637|EK|G||OL1|1.5087|EOL1|OL2|3.50498|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/langmo-christian-marinkov-pavle-jFE5ZuVj/","","1.33","3.21","1.33","3.05","","","1.3","3.25","1.35","3.25","","","","","","",""
"FSM","0000006","20250227|174234","20250224_2046909_062709_014745","R09_0_AUS_M25 Launceston","Sheehy","Kubler","|K|0.0001|EK|G||OL1|10130|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/sheehy-joshua-kubler-jason-I5xbIPAb/#ah;2;6.00;2","6.0","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000006","20250227|174231","20250224_2046909_062709_014745","R09_0_AUS_M25 Launceston","Sheehy","Kubler","|K|0.0001|EK|G||OL1|10130|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/sheehy-joshua-kubler-jason-I5xbIPAb/#ah;2;5.50;2","5.5","","","2.1","1.65","","","","","2.1","1.65","","","","","","",""
"FSM","0000006","20250227|174223","20250224_2046909_062709_014745","R09_0_AUS_M25 Launceston","Sheehy","Kubler","|K|0.0001|EK|G||OL1|10130|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|101|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-launceston-men/sheehy-joshua-kubler-jason-I5xbIPAb/","","","","6.15","1.09","","","7.0","1.07","7.0","1.09","","","","","","",""
