"FDM","0000001","20250302|080749","20250224_2052912_117732_117741","R12_0_MEX_M15 Huamantla","Osorio/Strode","Fishback/Tudorica","|K|0.35288|EK|G||OL1|2.99336|EOL1|OL2|1.59185|EOL2|OH1|1|EOH1|OH2|155|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-4-men-doubles/osorio-juan-sebastian-strode-elijah-fishback-ryan-tudorica-alvin-nicholas-tSu5G7fK/","","","","","","","","","","","","","","","","","",""
"DV","0000002","20250302|080753","20250224_1599612_093802_074709","R12_2_MEX_Merida Open Akron - Merida","Danilina/Khromacheva","Piter/Sherif","|K|0.638882|EK|G||OL1|1.60093|EOL1|OL2|2.87803|EOL2|OH1|157|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.60454|ENAOL1|NAOL2|3.15226|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/wta-merida-doubles/danilina-anna-khromacheva-irina-piter-katarzyna-sherif-mayar-jBMXsTRk/","","1.51","2.58","1.48","2.45","","","","","1.51","2.58","","","","","","",""
"DV","0000003","20250302|080757","20250224_1595412_099330_099334","R12_2_USA_ATX Open - Austin","Blinkova/Yuan","Kessler/Zhang","|K|0.438213|EK|G||OL1|2.37931|EOL1|OL2|1.82526|EOL2|OH1|1|EOH1|OH2|179|EOH2|EG|NA||NAOL1|2.60602|ENAOL1|NAOL2|1.82938|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-austin-doubles/blinkova-anna-yuan-yue-1998-kessler-mccartney-zhang-shuai-CjdZ24w3/","","2.22","1.66","2.13","1.63","","","","","2.22","1.67","","","","","","",""
"FSM","0000004","20250302|080806","20250224_2047110_023099_018348","R10_0_ARG_M25 Yerba Buena","Casanova","Sakamoto","|K|0.409674|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-sakamoto-pedro-Qyo9TWv0/#ah;2;1.50;2","1.5","1.84","1.93","","","","","","","1.84","1.93","","","","","","",""
"FSM","0000004","20250302|080809","20250224_2047110_023099_018348","R10_0_ARG_M25 Yerba Buena","Casanova","Sakamoto","|K|0.409674|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-sakamoto-pedro-Qyo9TWv0/#ah;2;0.50;2","0.5","1.96","1.81","1.8","1.9","","","","","1.96","1.9","","","","","","",""
"FSM","0000004","20250302|080813","20250224_2047110_023099_018348","R10_0_ARG_M25 Yerba Buena","Casanova","Sakamoto","|K|0.409674|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-sakamoto-pedro-Qyo9TWv0/#ah;2;1.50;1","1.5","1.43","2.75","","","","","","","1.43","2.75","","","","","","",""
"FSM","0000004","20250302|080811","20250224_2047110_023099_018348","R10_0_ARG_M25 Yerba Buena","Casanova","Sakamoto","|K|0.409674|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-sakamoto-pedro-Qyo9TWv0/#ah;2;-1.50;1","-1.5","3.26","1.32","","","","","","","3.26","1.32","","","","","","",""
"FSM","0000004","20250302|080801","20250224_2047110_023099_018348","R10_0_ARG_M25 Yerba Buena","Casanova","Sakamoto","|K|0.409674|EK|G||OL1|2.48185|EOL1|OL2|1.819|EOL2|OH1|1|EOH1|OH2|170|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/casanova-hernan-sakamoto-pedro-Qyo9TWv0/","","2.02","1.77","1.72","2.0","","","","","2.02","2.0","","","","","","",""
"FSM","0000005","20250302|080822","20250224_2047110_090203_029905","R10_0_ARG_M25 Yerba Buena","Midon","Kestelboim","|K|0.681534|EK|G||OL1|1.5729|EOL1|OL2|3.19095|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/midon-lautaro-kestelboim-mariano-tbMYf5i3/#ah;2;-3.50;2","-3.5","1.75","2.05","1.78","1.92","","","","","1.78","2.05","","","","","","",""
"FSM","0000005","20250302|080825","20250224_2047110_090203_029905","R10_0_ARG_M25 Yerba Buena","Midon","Kestelboim","|K|0.681534|EK|G||OL1|1.5729|EOL1|OL2|3.19095|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/midon-lautaro-kestelboim-mariano-tbMYf5i3/#ah;2;-4.00;2","-4.0","1.88","1.88","2.07","1.67","","","","","2.07","1.88","","","","","","",""
"FSM","0000005","20250302|080829","20250224_2047110_090203_029905","R10_0_ARG_M25 Yerba Buena","Midon","Kestelboim","|K|0.681534|EK|G||OL1|1.5729|EOL1|OL2|3.19095|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/midon-lautaro-kestelboim-mariano-tbMYf5i3/#ah;2;1.50;1","1.5","1.18","4.69","1.19","4.15","","","","","1.19","4.69","","","","","","",""
"FSM","0000005","20250302|080827","20250224_2047110_090203_029905","R10_0_ARG_M25 Yerba Buena","Midon","Kestelboim","|K|0.681534|EK|G||OL1|1.5729|EOL1|OL2|3.19095|EOL2|OH1|147|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m25-yerba-buena-men/midon-lautaro-kestelboim-mariano-tbMYf5i3/#ah;2;-1.50;1","-1.5","2.03","1.76","2.07","1.67","","","","","2.07","1.76","","","","","","",""
