"DV","0000007","20250308|141913","20250303_1595505_094917_099042","R05_3_USA_BNP Paribas Open - Indian Wells","Putintseva/Tauson","Ostapenko/Perez","|K|0.210617|EK|G||OL1|4.93525|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA||NAOL1|5.4055|ENAOL1|NAOL2|1.29794|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/wta-indian-wells-doubles/putintseva-yulia-tauson-clara-ostapenko-jelena-perez-ellen-YVHs2Bek/","","3.19","1.35","3.1","1.32","","","","","3.19","1.35","","","","","","",""
"FSM","0000008","20250308|141924","20250303_2053710_030944_082490","R10_0_CAN_M15 Sherbrooke","Perez","Milavsky","|K|0.544268|EK|G||OL1|1.9688|EOL1|OL2|2.354|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/canada/itf-m15-sherbrooke-men/perez-alfredo-milavsky-daniel-t4LK8C8T/#ah;2;2.50;2","2.5","","","1.65","2.1","","","","","1.65","2.1","","","","","","",""
"FSM","0000008","20250308|141926","20250303_2053710_030944_082490","R10_0_CAN_M15 Sherbrooke","Perez","Milavsky","|K|0.544268|EK|G||OL1|1.9688|EOL1|OL2|2.354|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/canada/itf-m15-sherbrooke-men/perez-alfredo-milavsky-daniel-t4LK8C8T/#ah;2;1.50;2","1.5","","","1.76","1.94","","","","","1.76","1.94","","","","","","",""
"FSM","0000008","20250308|141917","20250303_2053710_030944_082490","R10_0_CAN_M15 Sherbrooke","Perez","Milavsky","|K|0.544268|EK|G||OL1|1.9688|EOL1|OL2|2.354|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/canada/itf-m15-sherbrooke-men/perez-alfredo-milavsky-daniel-t4LK8C8T/","","","","1.9","1.8","","","","","1.93","1.83","","","","","","",""
"FSM","0000009","20250308|141938","20250303_2053512_010404_076725","R12_0_CHN_M15 Maanshan","Bai","Agafonov","|K|0.642113|EK|G||OL1|1.6692|EOL1|OL2|2.8364|EOL2|OH1|156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-maanshan-2-men/bai-yan-agafonov-egor-2FasES16/#ah;2;-3.50;2","-3.5","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000009","20250308|141940","20250303_2053512_010404_076725","R12_0_CHN_M15 Maanshan","Bai","Agafonov","|K|0.642113|EK|G||OL1|1.6692|EOL1|OL2|2.8364|EOL2|OH1|156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-maanshan-2-men/bai-yan-agafonov-egor-2FasES16/#ah;2;-4.00;2","-4.0","","","2.05","1.68","","","","","2.05","1.68","","","","","","",""
"FSM","0000009","20250308|141931","20250303_2053512_010404_076725","R12_0_CHN_M15 Maanshan","Bai","Agafonov","|K|0.642113|EK|G||OL1|1.6692|EOL1|OL2|2.8364|EOL2|OH1|156|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-m15-maanshan-2-men/bai-yan-agafonov-egor-2FasES16/","","","","1.44","2.59","","","","","1.44","2.59","","","","","","",""
"SM","0000010","20250308|141955","20250303_2032806_029812_030470","R06_3_USA_BNP Paribas Open - Indian Wells","Berrettini","Tsitsipas","|K|0.543046|EK|G||OL1|2.146|EOL1|OL2|2.5404|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.0535|ENAOL1|NAOL2|2.4309|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/berrettini-matteo-tsitsipas-stefanos-ttmi3Bml/#ah;2;2.50;2","2.5","1.71","2.17","1.71","2.14","","","1.64","2.2","1.71","2.2","","","","","","",""
"SM","0000010","20250308|141953","20250303_2032806_029812_030470","R06_3_USA_BNP Paribas Open - Indian Wells","Berrettini","Tsitsipas","|K|0.543046|EK|G||OL1|2.146|EOL1|OL2|2.5404|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.0535|ENAOL1|NAOL2|2.4309|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/berrettini-matteo-tsitsipas-stefanos-ttmi3Bml/#ah;2;1.50;2","1.5","1.96","1.88","1.94","1.86","","","1.9","1.88","1.96","1.88","","","","","","",""
"SM","0000010","20250308|142000","20250303_2032806_029812_030470","R06_3_USA_BNP Paribas Open - Indian Wells","Berrettini","Tsitsipas","|K|0.543046|EK|G||OL1|2.146|EOL1|OL2|2.5404|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.0535|ENAOL1|NAOL2|2.4309|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/berrettini-matteo-tsitsipas-stefanos-ttmi3Bml/#ah;2;1.50;1","1.5","1.48","2.73","1.45","2.62","","","1.44","2.75","1.48","2.75","","","","","","",""
"SM","0000010","20250308|141957","20250303_2032806_029812_030470","R06_3_USA_BNP Paribas Open - Indian Wells","Berrettini","Tsitsipas","|K|0.543046|EK|G||OL1|2.146|EOL1|OL2|2.5404|EOL2|OH1|185|EOH1|OH2|219|EOH2|EG|NA||NAOL1|2.0535|ENAOL1|NAOL2|2.4309|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/berrettini-matteo-tsitsipas-stefanos-ttmi3Bml/#ah;2;-1.50;1","-1.5","3.9","1.27","3.7","1.25","","","3.9","1.25","3.9","1.27","","","","","","",""
