"FSM","0000031","20250312|075750","20250310_2054804_083906_035321","R04_0_TUN_M15 Monastir","Fantini","Tessa","|K|0.398184|EK|G||OL1|2.55276|EOL1|OL2|1.7869|EOL2|OH1|1|EOH1|OH2|167|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-10-men/fantini-luca-tessa-louis-nkYsqcFd/","","","","2.45","1.48","","","","","2.54","1.48","","","","","","",""
"FSM","0000032","20250312|075802","20250310_2054804_084941_086692","R04_0_TUN_M15 Monastir","Sakellaridis","Donald","|K|0.337672|EK|G||OL1|3.00861|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-10-men/dimitris-sakellaridis-donald-matthew-UDcSj9Y2/#ah;2;3.50;2","3.5","","","1.82","1.88","","","","","1.82","1.88","","","","","","",""
"FSM","0000032","20250312|075804","20250310_2054804_084941_086692","R04_0_TUN_M15 Monastir","Sakellaridis","Donald","|K|0.337672|EK|G||OL1|3.00861|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-10-men/dimitris-sakellaridis-donald-matthew-UDcSj9Y2/#ah;2;3.00;2","3.0","","","1.94","1.76","","","","","1.94","1.76","","","","","","",""
"FSM","0000032","20250312|075753","20250310_2054804_084941_086692","R04_0_TUN_M15 Monastir","Sakellaridis","Donald","|K|0.337672|EK|G||OL1|3.00861|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-10-men/dimitris-sakellaridis-donald-matthew-UDcSj9Y2/","","","","2.59","1.44","","","2.62","1.44","2.63","1.45","","","","","","",""
"FSM","0000033","20250312|075809","20250310_2055404_043553_071630","R04_0_TUR_M15 Antalya","Fomin","Zanada","|K|0.864811|EK|G||OL1|1.2412|EOL1|OL2|7.4962|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-8-men/fomin-sergey-edoardo-zanada-lOgaDKn2/","","","","1.1","5.85","","","","","1.12","5.85","","","","","","",""
"SM","0000034","20250312|075822","20250303_2032809_033860_069471","R09_3_USA_BNP Paribas Open - Indian Wells","Griekspoor","Rune","|K|0.402824|EK|G||OL1|2.6394|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.73153|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/griekspoor-tallon-rune-holger-t0mR45kg/#ah;2;2.50;2","2.5","1.76","2.14","1.72","2.12","","","","","1.76","2.14","","","","","","",""
"SM","0000034","20250312|075821","20250303_2032809_033860_069471","R09_3_USA_BNP Paribas Open - Indian Wells","Griekspoor","Rune","|K|0.402824|EK|G||OL1|2.6394|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.73153|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/griekspoor-tallon-rune-holger-t0mR45kg/#ah;2;1.50;2","1.5","2.01","1.86","1.98","1.82","","","1.98","1.81","2.01","1.86","","","","","","",""
"SM","0000034","20250312|075827","20250303_2032809_033860_069471","R09_3_USA_BNP Paribas Open - Indian Wells","Griekspoor","Rune","|K|0.402824|EK|G||OL1|2.6394|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.73153|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/griekspoor-tallon-rune-holger-t0mR45kg/#ah;2;1.50;1","1.5","1.5","2.73","1.46","2.6","","","1.47","2.65","1.5","2.73","","","","","","",""
"SM","0000034","20250312|075824","20250303_2032809_033860_069471","R09_3_USA_BNP Paribas Open - Indian Wells","Griekspoor","Rune","|K|0.402824|EK|G||OL1|2.6394|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.73153|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/griekspoor-tallon-rune-holger-t0mR45kg/#ah;2;-1.50;1","-1.5","4.3","1.25","4.0","1.22","","","4.1","1.24","4.3","1.25","","","","","","",""
"SM","0000034","20250312|075813","20250303_2032809_033860_069471","R09_3_USA_BNP Paribas Open - Indian Wells","Griekspoor","Rune","|K|0.402824|EK|G||OL1|2.6394|EOL1|OL2|1.9488|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.73153|ENAOL1|NAOL2|1.8648|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/griekspoor-tallon-rune-holger-t0mR45kg/","","2.38","1.65","2.32","1.61","","","2.3","1.62","2.38","1.65","","","","","","",""
"FSV","0000035","20250312|075830","20250310_1609804_062198_023648","R04_0_CAN_W15 Montreal","Kosan","Daavettila","|K|0.0888936|EK|G||OL1|11.5875|EOL1|OL2|1.2|EOL2|OH1|1|EOH1|OH2|110|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/canada/itf-w15-montreal-women/kosan-klara-daavettila-sara-vNoXn3gR/","","","","9.3","1.03","","","9.7","1.03","9.7","1.03","","","","","","",""
