"CDM","0000007","20250312|123442","20250310_2051604_117932_115803","R04_1_GRE_Hersonissos 2 Challenger","Jermar/Krutykh","Donski/Pujol Navarro","|K|0.384913|EK|G||OL1|2.6494|EOL1|OL2|1.65445|EOL2|OH1|260|EOH1|OH2|163|EOH2|EG|NA||NAOL1|2.717|ENAOL1|NAOL2|1.7767|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/greece/hersonissos-2-challenger-men-doubles/jermar-jan-krutykh-oleksii-donski-alexander-pujol-navarro-bruno-EmxMEfl2/","","","","2.25","1.57","","","","","2.33","1.57","","","","","","",""
"CDM","0000008","20250312|123446","20250310_2051604_047239_098130","R04_1_GRE_Hersonissos 2 Challenger","Merino/Negritu","Sultanov/Uzhylovskyi","|K|0.700125|EK|G||OL1|1.45145|EOL1|OL2|3.40346|EOL2|OH1|143|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5587|ENAOL1|NAOL2|3.4903|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/greece/hersonissos-2-challenger-men-doubles/merino-alexander-negritu-christoph-sultanov-khumoyun-uzhylovsky-volodymyr-E9DdRXX7/","","","","1.19","4.15","","","","","1.26","4.15","","","","","","",""
"FSM","0000010","20250312|123502","20250310_2054504_083555_034961","R04_0_POR_M25 Vale do Lobo","Bertrand","Fernandez Canovas","|K|0.792585|EK|G||OL1|1.3589|EOL1|OL2|4.89279|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/bertrand-robin-fernandez-canovas-andres-nmNc8Vx2/#ah;2;-5.00;2","-5.0","1.79","1.95","1.78","1.92","","","","","1.79","1.95","","","","","","",""
"FSM","0000010","20250312|123501","20250310_2054504_083555_034961","R04_0_POR_M25 Vale do Lobo","Bertrand","Fernandez Canovas","|K|0.792585|EK|G||OL1|1.3589|EOL1|OL2|4.89279|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/bertrand-robin-fernandez-canovas-andres-nmNc8Vx2/#ah;2;-5.50;2","-5.5","2.0","1.76","1.94","1.76","","","","","2.0","1.76","","","","","","",""
"FSM","0000010","20250312|123506","20250310_2054504_083555_034961","R04_0_POR_M25 Vale do Lobo","Bertrand","Fernandez Canovas","|K|0.792585|EK|G||OL1|1.3589|EOL1|OL2|4.89279|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/bertrand-robin-fernandez-canovas-andres-nmNc8Vx2/#ah;2;1.50;1","1.5","1.08","6.99","1.08","6.7","","","","","1.08","6.99","","","","","","",""
"FSM","0000010","20250312|123504","20250310_2054504_083555_034961","R04_0_POR_M25 Vale do Lobo","Bertrand","Fernandez Canovas","|K|0.792585|EK|G||OL1|1.3589|EOL1|OL2|4.89279|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/bertrand-robin-fernandez-canovas-andres-nmNc8Vx2/#ah;2;-1.50;1","-1.5","1.57","2.31","1.55","2.3","","","","","1.57","2.31","","","","","","",""
"FSM","0000010","20250312|123452","20250310_2054504_083555_034961","R04_0_POR_M25 Vale do Lobo","Bertrand","Fernandez Canovas","|K|0.792585|EK|G||OL1|1.3589|EOL1|OL2|4.89279|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/bertrand-robin-fernandez-canovas-andres-nmNc8Vx2/","","1.22","3.97","1.21","3.9","","","1.22","3.92","1.22","4.13","","","","","","",""
"FSM","0000011","20250312|123515","20250310_2054504_018016_045252","R04_0_POR_M25 Vale do Lobo","Broady","Izquierdo Luque","|K|0.859022|EK|G||OL1|1.2519|EOL1|OL2|7.1923|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/broady-liam-izquierdo-luque-rafael-0jmXMUie/#ah;2;-5.50;2","-5.5","1.71","2.05","1.72","2.0","","","","","1.72","2.05","","","","","","",""
"FSM","0000011","20250312|123517","20250310_2054504_018016_045252","R04_0_POR_M25 Vale do Lobo","Broady","Izquierdo Luque","|K|0.859022|EK|G||OL1|1.2519|EOL1|OL2|7.1923|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/broady-liam-izquierdo-luque-rafael-0jmXMUie/#ah;2;-6.00;2","-6.0","1.95","1.8","1.92","1.78","","","","","1.95","1.8","","","","","","",""
"FSM","0000011","20250312|123519","20250310_2054504_018016_045252","R04_0_POR_M25 Vale do Lobo","Broady","Izquierdo Luque","|K|0.859022|EK|G||OL1|1.2519|EOL1|OL2|7.1923|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/broady-liam-izquierdo-luque-rafael-0jmXMUie/#ah;2;-1.50;1","-1.5","1.41","2.75","1.4","2.7","","","","","1.41","2.75","","","","","","",""
"FSM","0000011","20250312|123510","20250310_2054504_018016_045252","R04_0_POR_M25 Vale do Lobo","Broady","Izquierdo Luque","|K|0.859022|EK|G||OL1|1.2519|EOL1|OL2|7.1923|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/portugal/itf-m25-vale-do-lobo-men/broady-liam-izquierdo-luque-rafael-0jmXMUie/","","1.12","5.6","1.13","5.1","","","1.16","4.5","1.16","5.6","","","","","","",""
