"DM","0000019","20250313|123931","20250303_2032810_108310_116142","R10_3_USA_BNP Paribas Open - Indian Wells","Arevalo/Pavic","Harrison/King","|K|0.647948|EK|G||OL1|1.6895|EOL1|OL2|2.8785|EOL2|OH1|155|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7577|ENAOL1|NAOL2|3.06375|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells-doubles/arevalo-marcelo-pavic-mate-harrison-christian-king-evan-bXRKXCWH/","","1.63","2.28","1.47","2.5","","","1.62","2.2","1.63","2.5","","","","","","",""
"FSM","0000021","20250313|123935","20250310_2054204_088200_052322","R04_0_ESP_M25 Les Franqueses del Valles","Cesar Porras","Sheyngezikht","|K|0.941994|EK|G||OL1|1.18|EOL1|OL2|17.4641|EOL2|OH1|107|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-les-franqueses-del-valles-men/cesar-porras-julio-sheyngezikht-leonid-jgsHmLSh/","","","","1.07","7.1","","","","","1.07","7.1","","","","","","",""
"FSM","0000022","20250313|123946","20250310_2055005_029810_064238","R05_0_MEX_M15 Huamantla","Osorio","Fellin","|K|0.203823|EK|G||OL1|4.97383|EOL1|OL2|1.3482|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-8-men/osorio-juan-sebastian-fellin-pietro-orlando-0Yyelw1D/#ah;2;5.00;2","5.0","","","1.65","2.1","","","","","1.65","2.1","","","","","","",""
"FSM","0000022","20250313|123944","20250310_2055005_029810_064238","R05_0_MEX_M15 Huamantla","Osorio","Fellin","|K|0.203823|EK|G||OL1|4.97383|EOL1|OL2|1.3482|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-8-men/osorio-juan-sebastian-fellin-pietro-orlando-0Yyelw1D/#ah;2;4.50;2","4.5","","","1.85","1.85","","","","","1.85","1.85","","","","","","",""
"FSM","0000022","20250313|123938","20250310_2055005_029810_064238","R05_0_MEX_M15 Huamantla","Osorio","Fellin","|K|0.203823|EK|G||OL1|4.97383|EOL1|OL2|1.3482|EOL2|OH1|1|EOH1|OH2|126|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/mexico/itf-m15-huamantla-8-men/osorio-juan-sebastian-fellin-pietro-orlando-0Yyelw1D/","","","","3.15","1.31","","","3.22","1.31","3.22","1.31","","","","","","",""
"SM","0000023","20250313|124001","20250303_2032809_052279_068074","R09_3_USA_BNP Paribas Open - Indian Wells","Cerundolo","Alcaraz","|K|0.0160984|EK|G||OL1|65.8472|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|102|EOH2|EG|NA||NAOL1|68.1456|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/cerundolo-francisco-alcaraz-garfia-carlos-8IVULUkd/#ah;2;6.50;2","6.5","1.55","2.59","","","","","1.48","2.6","1.55","2.6","","","","","","",""
"SM","0000023","20250313|123959","20250303_2032809_052279_068074","R09_3_USA_BNP Paribas Open - Indian Wells","Cerundolo","Alcaraz","|K|0.0160984|EK|G||OL1|65.8472|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|102|EOH2|EG|NA||NAOL1|68.1456|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/cerundolo-francisco-alcaraz-garfia-carlos-8IVULUkd/#ah;2;5.50;2","5.5","2.04","1.84","1.98","1.82","","","1.97","1.82","2.04","1.84","","","","","","",""
"SM","0000023","20250313|124005","20250303_2032809_052279_068074","R09_3_USA_BNP Paribas Open - Indian Wells","Cerundolo","Alcaraz","|K|0.0160984|EK|G||OL1|65.8472|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|102|EOH2|EG|NA||NAOL1|68.1456|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/cerundolo-francisco-alcaraz-garfia-carlos-8IVULUkd/#ah;2;1.50;1","1.5","3.37","1.36","3.05","1.34","","","3.15","1.35","3.37","1.36","","","","","","",""
"SM","0000023","20250313|124003","20250303_2032809_052279_068074","R09_3_USA_BNP Paribas Open - Indian Wells","Cerundolo","Alcaraz","|K|0.0160984|EK|G||OL1|65.8472|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|102|EOH2|EG|NA||NAOL1|68.1456|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/cerundolo-francisco-alcaraz-garfia-carlos-8IVULUkd/#ah;2;-1.50;1","-1.5","18.12","1.03","11.2","1.02","","","18.0","1.02","18.12","1.03","","","","","","",""
"SM","0000023","20250313|123950","20250303_2032809_052279_068074","R09_3_USA_BNP Paribas Open - Indian Wells","Cerundolo","Alcaraz","|K|0.0160984|EK|G||OL1|65.8472|EOL1|OL2|1.3|EOL2|OH1|1|EOH1|OH2|102|EOH2|EG|NA||NAOL1|68.1456|ENAOL1|NAOL2|1.1322|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/cerundolo-francisco-alcaraz-garfia-carlos-8IVULUkd/","","9.5","1.08","8.0","1.08","","","8.0","1.09","9.5","1.09","","","","","","",""
"CSM","0000024","20250313|124017","20250310_2051305_028108_083315","R05_1_DOM_Cap Cana Challenger","Muller","McCabe","|K|0.694934|EK|G||OL1|1.55376|EOL1|OL2|3.49648|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5192|ENAOL1|NAOL2|3.6408|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/cap-cana-challenger-men/muller-alexandre-mccabe-james-IXOcTCcM/#ah;2;-3.50;2","-3.5","1.94","1.88","1.91","1.79","","","1.93","1.84","1.94","1.88","","","","","","",""
