"CDM","0000007","20250315|123117","20250310_2051310_036797_118102","R10_1_DOM_Cap Cana Challenger","Escobar/Hidalgo","Cabral/Jebens","|K|0.453282|EK|G||OL1|2.25199|EOL1|OL2|1.85745|EOL2|OH1|221|EOH1|OH2|183|EOH2|EG|NA||NAOL1|2.30945|ENAOL1|NAOL2|1.9947|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/dominican-republic/cap-cana-challenger-men-doubles/escobar-gonzalo-hidalgo-diego-cabral-francisco-jebens-hendrik-8MqcHXuI/","","","","2.0","1.72","","","","","2.0","1.75","","","","","","",""
"CDM","0000008","20250315|123121","20250310_2051310_097319_070756","R10_1_DOM_Cap Cana Challenger","Schnaitter/Wallner","Nouza/Rikl","|K|0.444979|EK|G||OL1|2.29275|EOL1|OL2|1.83715|EOL2|OH1|225|EOH1|OH2|181|EOH2|EG|NA||NAOL1|2.35125|ENAOL1|NAOL2|1.9729|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-9|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/dominican-republic/cap-cana-challenger-men-doubles/schnaitter-jakob-wallner-mark-nouza-petr-rikl-patrik-zX1JLXED/","","","","2.0","1.72","","","","","2.04","1.75","","","","","","",""
"CDM","0000009","20250315|123125","20250310_2051210_079810_042754","R10_1_USA_Phoenix Challenger","Granollers/Zeballos","Doumbia/Reboul","|K|0.593781|EK|G||OL1|1.71535|EOL1|OL2|2.51693|EOL2|OH1|169|EOH1|OH2|247|EOH2|EG|NA||NAOL1|1.8421|ENAOL1|NAOL2|2.58115|ENAOL2|NAVE1|-9|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/phoenix-challenger-men-doubles/granollers-marcel-zeballos-horacio-doumbia-sadio-reboul-fabien-SbdDP6d5/","","","","1.48","2.45","","","","","1.48","2.45","","","","","","",""
"DM","0000010","20250315|123128","20250303_2032812_108310_110661","R12_3_USA_BNP Paribas Open - Indian Wells","Arevalo/Pavic","Korda/Thompson","|K|0.506749|EK|G||OL1|2.1582|EOL1|OL2|2.2127|EOL2|OH1|198|EOH1|OH2|203|EOH2|EG|NA||NAOL1|2.24532|ENAOL1|NAOL2|2.30202|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells-doubles/arevalo-marcelo-pavic-mate-korda-sebastian-thompson-jordan-ETZgxptB/","","1.58","2.39","1.55","2.3","","","1.57","2.35","1.58","2.39","","","","","","",""
"FSM","0000011","20250315|123140","20250310_2054112_026965_099265","R12_0_AUS_M25 Mildura","Jasika","Marinkov","|K|0.660949|EK|G||OL1|1.6264|EOL1|OL2|2.98835|EOL2|OH1|152|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-mildura-men/jasika-omar-marinkov-pavle-0dtkJgB5/#ah;2;-4.00;2","-4.0","1.93","1.83","1.78","1.92","","","","","1.93","1.92","","","","","","",""
"FSM","0000011","20250315|123138","20250310_2054112_026965_099265","R12_0_AUS_M25 Mildura","Jasika","Marinkov","|K|0.660949|EK|G||OL1|1.6264|EOL1|OL2|2.98835|EOL2|OH1|152|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/australia/itf-m25-mildura-men/jasika-omar-marinkov-pavle-0dtkJgB5/#ah;2;-4.50;2","-4.5","2.17","1.65","2.0","1.72","","","","","2.17","1.72","","","","","","",""
"FSM","0000011","20250315|123143","20250310_2054112_026965_099265","R12_0_AUS_M25 Mildura","Jasika","Marinkov","|K|0.660949|EK|G||OL1|1.6264|EOL1|OL2|2.98835|EOL2|OH1|152|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-mildura-men/jasika-omar-marinkov-pavle-0dtkJgB5/#ah;2;1.50;1","1.5","1.12","5.74","1.11","5.55","","","","","1.12","5.74","","","","","","",""
"FSM","0000011","20250315|123142","20250310_2054112_026965_099265","R12_0_AUS_M25 Mildura","Jasika","Marinkov","|K|0.660949|EK|G||OL1|1.6264|EOL1|OL2|2.98835|EOL2|OH1|152|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/australia/itf-m25-mildura-men/jasika-omar-marinkov-pavle-0dtkJgB5/#ah;2;-1.50;1","-1.5","1.87","1.88","1.84","1.86","","","","","1.87","1.88","","","","","","",""
"FSM","0000011","20250315|123132","20250310_2054112_026965_099265","R12_0_AUS_M25 Mildura","Jasika","Marinkov","|K|0.660949|EK|G||OL1|1.6264|EOL1|OL2|2.98835|EOL2|OH1|152|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-mildura-men/jasika-omar-marinkov-pavle-0dtkJgB5/","","1.32","3.23","1.27","3.4","","","1.3","3.18","1.32","3.4","","","","","","",""
"CSM","0000012","20250315|123158","20250310_2051510_014609_079113","R10_1_CHI_Santiago Challenger","Monteiro","Buse","|K|0.601813|EK|G||OL1|1.80193|EOL1|OL2|2.68632|EOL2|OH1|1|EOH1|OH2|252|EOH2|EG|NA||NAOL1|1.76185|ENAOL1|NAOL2|2.7972|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/santiago-challenger-men/monteiro-thiago-buse-ignacio-WGlYMyCt/#ah;2;-2.50;2","-2.5","1.87","1.99","1.82","1.88","","","1.75","2.02","1.87","2.02","","","","","","",""
"CSM","0000012","20250315|123156","20250310_2051510_014609_079113","R10_1_CHI_Santiago Challenger","Monteiro","Buse","|K|0.601813|EK|G||OL1|1.80193|EOL1|OL2|2.68632|EOL2|OH1|1|EOH1|OH2|252|EOH2|EG|NA||NAOL1|1.76185|ENAOL1|NAOL2|2.7972|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/santiago-challenger-men/monteiro-thiago-buse-ignacio-WGlYMyCt/#ah;2;-3.50;2","-3.5","2.2","1.71","2.1","1.65","","","","","2.2","1.71","","","","","","",""
