"FDM","0000007","20250317|125529","20250317_2055804_117950_117948","R04_0_AUS_M25 Swan Hill","Cook/Sim","Mehrotra/Pade","|K|0.78798|EK|G||OL1|1.30429|EOL1|OL2|4.97488|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-swan-hill-men-doubles/cook-ethan-sim-seongbin-mehrotra-arjun-pade-charlie-4CVqczKE/","","","","1.24","3.65","","","","","1.24","3.65","","","","","","",""
"FDM","0000008","20250317|125533","20250317_2055804_056674_117947","R04_0_AUS_M25 Swan Hill","Delaney/Delaney","Host/Markovina","","GEW","https://www.oddsportal.com/tennis/australia/itf-m25-swan-hill-men-doubles/delaney-jake-delaney-jesse-host-ty-markovina-duje-CIrbZWR7/","","","","1.29","3.25","","","","","1.29","3.25","","","","","","",""
"CSM","0000009","20250317|125542","20250317_2051703_055868_067172","R03_1_PAR_Asuncion Challenger","Rodriguez","Saraiva Dos Santos","|K|0.657914|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/paraguay/asuncion-challenger-men/rodriguez-lorenzo-joaquin-saraiva-dos-santos-paulo-andre-OtKUvQ6U/#ah;2;-3.50;2","-3.5","1.72","2.07","1.7","2.02","","","","","1.72","2.07","","","","","","",""
"CSM","0000009","20250317|125544","20250317_2051703_055868_067172","R03_1_PAR_Asuncion Challenger","Rodriguez","Saraiva Dos Santos","|K|0.657914|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/paraguay/asuncion-challenger-men/rodriguez-lorenzo-joaquin-saraiva-dos-santos-paulo-andre-OtKUvQ6U/#ah;2;-4.50;2","-4.5","2.07","1.72","2.04","1.69","","","","","2.07","1.72","","","","","","",""
"CSM","0000009","20250317|125547","20250317_2051703_055868_067172","R03_1_PAR_Asuncion Challenger","Rodriguez","Saraiva Dos Santos","|K|0.657914|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/paraguay/asuncion-challenger-men/rodriguez-lorenzo-joaquin-saraiva-dos-santos-paulo-andre-OtKUvQ6U/#ah;2;1.50;1","1.5","1.15","5.05","1.14","4.9","","","","","1.15","5.05","","","","","","",""
"CSM","0000009","20250317|125546","20250317_2051703_055868_067172","R03_1_PAR_Asuncion Challenger","Rodriguez","Saraiva Dos Santos","|K|0.657914|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/paraguay/asuncion-challenger-men/rodriguez-lorenzo-joaquin-saraiva-dos-santos-paulo-andre-OtKUvQ6U/#ah;2;-1.50;1","-1.5","1.85","1.9","1.83","1.87","","","","","1.85","1.9","","","","","","",""
"CSM","0000009","20250317|125536","20250317_2051703_055868_067172","R03_1_PAR_Asuncion Challenger","Rodriguez","Saraiva Dos Santos","|K|0.657914|EK|G||OL1|1.64008|EOL1|OL2|3.12338|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.6036|ENAOL1|NAOL2|3.2523|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/paraguay/asuncion-challenger-men/rodriguez-lorenzo-joaquin-saraiva-dos-santos-paulo-andre-OtKUvQ6U/","","1.37","2.98","1.36","2.87","","","1.44","2.62","1.44","2.98","","","","","","",""
"CSV","0000010","20250317|125559","20250317_1610404_051278_017500","R04_1_DOM_W50 Santo Domingo","Hu","Rodriguez","|K|0.535553|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w50-santo-domingo-women/hu-victoria-rodriguez-victoria-IBLivx9j/#ah;2;-0.50;2","-0.5","","","1.78","1.92","","","","","1.78","1.92","","","","","","",""
"CSV","0000010","20250317|125601","20250317_1610404_051278_017500","R04_1_DOM_W50 Santo Domingo","Hu","Rodriguez","|K|0.535553|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w50-santo-domingo-women/hu-victoria-rodriguez-victoria-IBLivx9j/#ah;2;-1.50;2","-1.5","1.83","1.91","1.86","1.84","","","","","1.86","1.91","","","","","","",""
"CSV","0000010","20250317|125604","20250317_1610404_051278_017500","R04_1_DOM_W50 Santo Domingo","Hu","Rodriguez","|K|0.535553|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w50-santo-domingo-women/hu-victoria-rodriguez-victoria-IBLivx9j/#ah;2;1.50;1","1.5","1.3","3.33","1.29","3.25","","","","","1.3","3.33","","","","","","",""
"CSV","0000010","20250317|125602","20250317_1610404_051278_017500","R04_1_DOM_W50 Santo Domingo","Hu","Rodriguez","|K|0.535553|EK|G||OL1|2.00464|EOL1|OL2|2.31552|EOL2|OH1|2.618|EOH1|OH2|3.024|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w50-santo-domingo-women/hu-victoria-rodriguez-victoria-IBLivx9j/#ah;2;-1.50;1","-1.5","2.58","1.47","2.55","1.45","","","","","2.58","1.47","","","","","","",""
